"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.905,1.905,188.943,176.176,214.821
0.002,0.547,1.948,1.948,189.252,176.006,214.403
0.003,1.090,1.997,1.997,189.558,175.838,213.987
0.005,1.625,2.059,2.059,189.860,175.672,213.578
0.006,2.146,2.142,2.142,190.155,175.511,213.180
0.008,2.650,2.251,2.251,190.441,175.356,212.795
0.009,3.132,2.393,2.393,190.716,175.209,212.428
0.011,3.588,2.575,2.575,190.978,175.071,212.081
0.012,4.014,2.795,2.795,191.224,174.943,211.758
0.014,4.405,3.038,3.038,191.452,174.828,211.462
0.015,4.757,3.291,3.291,191.660,174.725,211.197
0.017,5.066,3.538,3.538,191.846,174.638,210.966
0.018,5.327,3.765,3.765,192.007,174.568,210.773
0.020,5.538,3.956,3.956,192.142,174.515,210.619
0.021,5.704,4.098,4.098,192.253,174.477,210.501
0.023,5.830,4.193,4.193,192.341,174.451,210.415
0.024,5.921,4.249,4.249,192.408,174.435,210.356
0.026,5.983,4.276,4.276,192.458,174.426,210.320
0.027,6.021,4.283,4.283,192.491,174.422,210.301
0.029,6.041,4.278,4.278,192.509,174.419,210.296
0.030,6.049,4.272,4.272,192.515,174.416,210.300
0.032,6.061,4.270,4.270,192.511,174.408,210.308
0.033,6.081,4.274,4.274,192.499,174.394,210.317
0.035,6.110,4.281,4.281,192.481,174.372,210.320
0.037,6.152,4.292,4.292,192.458,174.337,210.315
0.038,6.209,4.305,4.305,192.433,174.289,210.297
0.040,6.280,4.319,4.319,192.407,174.229,210.269
0.041,6.364,4.334,4.334,192.380,174.160,210.231
0.043,6.457,4.349,4.349,192.353,174.083,210.186
0.044,6.558,4.363,4.363,192.326,174.000,210.135
0.046,6.662,4.377,4.377,192.301,173.914,210.081
0.047,6.769,4.392,4.392,192.278,173.826,210.026
0.049,6.874,4.407,4.407,192.257,173.739,209.970
0.050,6.975,4.423,4.423,192.241,173.655,209.917
0.052,7.069,4.439,4.439,192.228,173.576,209.867
0.053,7.154,4.455,4.455,192.220,173.504,209.823
0.055,7.226,4.471,4.471,192.218,173.441,209.787
0.056,7.286,4.486,4.486,192.223,173.388,209.760
0.058,7.334,4.500,4.500,192.232,173.345,209.741
0.059,7.375,4.513,4.513,192.248,173.308,209.730
0.061,7.412,4.522,4.522,192.268,173.278,209.727
0.062,7.448,4.530,4.530,192.293,173.253,209.730
0.064,7.485,4.535,4.535,192.322,173.230,209.739
0.065,7.527,4.538,4.538,192.355,173.209,209.754
0.067,7.573,4.540,4.540,192.391,173.188,209.773
0.068,7.624,4.541,4.541,192.430,173.165,209.797
0.070,7.680,4.542,4.542,192.472,173.139,209.824
0.072,7.742,4.542,4.542,192.515,173.108,209.854
0.073,7.808,4.543,4.543,192.561,173.072,209.886
0.075,7.881,4.546,4.546,192.608,173.028,209.920
0.076,7.959,4.552,4.552,192.655,172.977,209.955
0.078,8.041,4.561,4.561,192.704,172.920,209.989
0.079,8.127,4.576,4.576,192.753,172.857,210.021
0.081,8.217,4.597,4.597,192.803,172.788,210.052
0.082,8.310,4.625,4.625,192.852,172.715,210.078
0.084,8.405,4.657,4.657,192.901,172.636,210.100
0.085,8.503,4.690,4.690,192.950,172.553,210.117
0.087,8.602,4.719,4.719,192.998,172.466,210.127
0.088,8.704,4.742,4.742,193.044,172.376,210.129
0.090,8.808,4.755,4.755,193.089,172.282,210.123
0.091,8.915,4.754,4.754,193.133,172.186,210.107
0.093,9.025,4.737,4.737,193.175,172.088,210.081
0.094,9.136,4.709,4.709,193.215,171.990,210.047
0.096,9.249,4.673,4.673,193.253,171.892,210.006
0.097,9.362,4.633,4.633,193.290,171.796,209.958
0.099,9.474,4.592,4.592,193.325,171.703,209.907
0.100,9.582,4.553,4.553,193.358,171.616,209.852
0.102,9.686,4.521,4.521,193.390,171.534,209.796
0.104,9.784,4.497,4.497,193.420,171.461,209.740
0.105,9.873,4.478,4.478,193.449,171.396,209.686
0.107,9.954,4.464,4.464,193.477,171.341,209.634
0.108,10.023,4.454,4.454,193.503,171.298,209.586
0.110,10.080,4.447,4.447,193.528,171.268,209.544
0.111,10.126,4.441,4.441,193.552,171.250,209.509
0.113,10.163,4.436,4.436,193.573,171.243,209.480
0.114,10.191,4.432,4.432,193.591,171.244,209.459
0.116,10.212,4.427,4.427,193.606,171.248,209.444
0.117,10.226,4.424,4.424,193.616,171.255,209.437
0.119,10.233,4.421,4.421,193.620,171.260,209.437
0.120,10.240,4.419,4.419,193.618,171.261,209.444
0.122,10.259,4.418,4.418,193.610,171.256,209.460
0.123,10.291,4.418,4.418,193.593,171.241,209.483
0.125,10.340,4.418,4.418,193.568,171.213,209.514
0.126,10.407,4.419,4.419,193.534,171.170,209.553
0.128,10.496,4.419,4.419,193.489,171.109,209.601
0.129,10.607,4.420,4.420,193.436,171.029,209.656
0.131,10.738,4.420,4.420,193.377,170.929,209.716
0.132,10.885,4.419,4.419,193.315,170.812,209.779
0.134,11.046,4.417,4.417,193.255,170.677,209.843
0.135,11.219,4.411,4.411,193.199,170.525,209.905
0.137,11.403,4.400,4.400,193.152,170.357,209.963
0.139,11.598,4.383,4.383,193.116,170.173,210.015
0.140,11.802,4.358,4.358,193.096,169.974,210.059
0.142,12.017,4.323,4.323,193.094,169.762,210.092
0.143,12.245,4.280,4.280,193.115,169.536,210.112
0.145,12.488,4.231,4.231,193.161,169.297,210.116
0.146,12.751,4.185,4.185,193.237,169.046,210.104
0.148,13.033,4.147,4.147,193.341,168.785,210.073
0.149,13.333,4.122,4.122,193.469,168.518,210.028
0.151,13.644,4.118,4.118,193.617,168.250,209.970
0.152,13.963,4.139,4.139,193.779,167.983,209.903
0.154,14.284,4.185,4.185,193.950,167.723,209.828
0.155,14.599,4.251,4.251,194.126,167.473,209.749
0.157,14.904,4.329,4.329,194.302,167.237,209.668
0.158,15.191,4.412,4.412,194.472,167.020,209.589
0.160,15.455,4.494,4.494,194.632,166.825,209.512
0.161,15.688,4.567,4.567,194.776,166.656,209.442
0.163,15.884,4.625,4.625,194.901,166.518,209.381
0.164,16.037,4.668,4.668,195.001,166.414,209.331
0.166,16.146,4.699,4.699,195.076,166.343,209.293
0.167,16.219,4.721,4.721,195.128,166.300,209.267
0.169,16.263,4.735,4.735,195.162,166.278,209.250
0.170,16.284,4.745,4.745,195.181,166.272,209.242
0.172,16.292,4.754,4.754,195.189,166.275,209.242
0.174,16.301,4.762,4.762,195.188,166.281,209.248
0.175,16.314,4.771,4.771,195.184,166.285,209.260
0.177,16.331,4.779,4.779,195.179,166.279,209.275
0.178,16.359,4.789,4.789,195.177,166.259,209.294
0.180,16.405,4.798,4.798,195.181,166.218,209.314
0.181,16.477,4.808,4.808,195.195,166.150,209.335
0.183,16.584,4.818,4.818,195.223,166.049,209.355
0.184,16.725,4.831,4.831,195.266,165.915,209.374
0.186,16.897,4.850,4.850,195.322,165.754,209.390
0.187,17.094,4.878,4.878,195.391,165.570,209.403
0.189,17.311,4.919,4.919,195.472,165.369,209.412
0.190,17.543,4.976,4.976,195.563,165.155,209.415
0.192,17.786,5.053,5.053,195.664,164.935,209.413
0.193,18.034,5.152,5.152,195.774,164.712,209.404
0.195,18.283,5.268,5.268,195.891,164.493,209.387
0.196,18.529,5.393,5.393,196.016,164.282,209.362
0.198,18.767,5.520,5.520,196.145,164.085,209.327
0.199,18.995,5.642,5.642,196.280,163.907,209.282
0.201,19.210,5.750,5.750,196.417,163.753,209.226
0.202,19.412,5.838,5.838,196.558,163.623,209.159
0.204,19.603,5.901,5.901,196.698,163.517,209.084
0.205,19.786,5.944,5.944,196.838,163.431,209.003
0.207,19.960,5.972,5.972,196.974,163.364,208.917
0.209,20.127,5.989,5.989,197.106,163.315,208.829
0.210,20.284,6.001,6.001,197.231,163.280,208.741
0.212,20.432,6.011,6.011,197.349,163.258,208.654
0.213,20.568,6.025,6.025,197.456,163.248,208.570
0.215,20.692,6.044,6.044,197.552,163.246,208.492
0.216,20.801,6.066,6.066,197.635,163.251,208.421
0.218,20.893,6.090,6.090,197.703,163.262,208.360
0.219,20.967,6.116,6.116,197.755,163.276,208.310
0.221,21.021,6.142,6.142,197.790,163.290,208.271
