"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.539,1.539,252.417,225.362,244.772
0.001,0.071,1.548,1.548,252.446,225.425,244.755
0.003,0.142,1.556,1.556,252.473,225.488,244.738
0.004,0.210,1.563,1.563,252.495,225.549,244.718
0.005,0.277,1.568,1.568,252.511,225.610,244.697
0.007,0.341,1.571,1.571,252.517,225.670,244.673
0.008,0.406,1.571,1.571,252.511,225.729,244.645
0.009,0.474,1.567,1.567,252.492,225.785,244.612
0.011,0.550,1.560,1.560,252.456,225.839,244.574
0.012,0.637,1.549,1.549,252.402,225.891,244.530
0.014,0.740,1.539,1.539,252.326,225.940,244.479
0.015,0.864,1.533,1.533,252.228,225.987,244.421
0.016,1.010,1.535,1.535,252.104,226.029,244.354
0.018,1.179,1.547,1.547,251.957,226.068,244.281
0.019,1.368,1.573,1.573,251.789,226.100,244.201
0.020,1.573,1.616,1.616,251.603,226.126,244.118
0.022,1.791,1.679,1.679,251.403,226.144,244.033
0.023,2.020,1.757,1.757,251.191,226.152,243.947
0.024,2.257,1.848,1.848,250.970,226.150,243.862
0.026,2.498,1.948,1.948,250.744,226.135,243.780
0.027,2.741,2.052,2.052,250.515,226.108,243.703
0.028,2.984,2.157,2.157,250.287,226.066,243.631
0.030,3.225,2.259,2.259,250.061,226.008,243.568
0.031,3.463,2.353,2.353,249.842,225.934,243.514
0.032,3.697,2.440,2.440,249.632,225.843,243.469
0.034,3.926,2.519,2.519,249.430,225.739,243.434
0.035,4.152,2.591,2.591,249.238,225.623,243.408
0.036,4.373,2.657,2.657,249.057,225.498,243.390
0.038,4.587,2.717,2.717,248.887,225.367,243.381
0.039,4.795,2.773,2.773,248.730,225.232,243.379
0.041,4.993,2.825,2.825,248.586,225.095,243.384
0.042,5.181,2.874,2.874,248.457,224.959,243.395
0.043,5.358,2.921,2.921,248.342,224.826,243.413
0.045,5.521,2.964,2.964,248.244,224.698,243.436
0.046,5.669,3.005,3.005,248.162,224.578,243.465
0.047,5.802,3.045,3.045,248.097,224.467,243.498
0.049,5.923,3.082,3.082,248.047,224.363,243.534
0.050,6.035,3.118,3.118,248.008,224.265,243.573
0.051,6.141,3.153,3.153,247.979,224.171,243.612
0.053,6.242,3.187,3.187,247.957,224.080,243.651
0.054,6.341,3.221,3.221,247.940,223.990,243.688
0.055,6.438,3.255,3.255,247.926,223.900,243.723
0.057,6.536,3.289,3.289,247.912,223.809,243.754
0.058,6.635,3.324,3.324,247.896,223.714,243.779
0.059,6.739,3.361,3.361,247.877,223.614,243.799
0.061,6.849,3.400,3.400,247.850,223.508,243.811
0.062,6.966,3.441,3.441,247.816,223.396,243.815
0.064,7.091,3.483,3.483,247.775,223.278,243.811
