"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.673,2.673,230.130,199.493,221.003
0.001,0.141,2.688,2.688,230.017,199.480,220.921
0.002,0.283,2.704,2.704,229.903,199.465,220.838
0.004,0.426,2.723,2.723,229.786,199.447,220.757
0.005,0.572,2.746,2.746,229.666,199.425,220.678
0.006,0.721,2.774,2.774,229.541,199.397,220.600
0.007,0.875,2.808,2.808,229.411,199.362,220.525
0.008,1.035,2.849,2.849,229.275,199.319,220.454
0.010,1.204,2.899,2.899,229.130,199.265,220.385
0.011,1.382,2.959,2.959,228.977,199.200,220.322
0.012,1.572,3.028,3.028,228.814,199.122,220.262
0.013,1.777,3.105,3.105,228.639,199.030,220.208
0.014,1.997,3.187,3.187,228.453,198.922,220.160
0.016,2.233,3.272,3.272,228.256,198.800,220.118
0.017,2.479,3.358,3.358,228.052,198.667,220.081
0.018,2.732,3.443,3.443,227.845,198.525,220.050
0.019,2.988,3.525,3.525,227.637,198.378,220.025
0.020,3.242,3.603,3.603,227.433,198.229,220.004
0.022,3.490,3.674,3.674,227.235,198.080,219.989
0.023,3.728,3.739,3.739,227.047,197.935,219.980
0.024,3.951,3.797,3.797,226.872,197.796,219.975
0.025,4.154,3.849,3.849,226.715,197.668,219.975
0.027,4.334,3.895,3.895,226.577,197.552,219.980
0.028,4.486,3.935,3.935,226.463,197.451,219.989
0.029,4.608,3.969,3.969,226.375,197.368,220.003
0.030,4.705,3.997,3.997,226.308,197.300,220.020
0.031,4.780,4.019,4.019,226.262,197.246,220.041
0.033,4.838,4.035,4.035,226.231,197.202,220.064
0.034,4.883,4.048,4.048,226.215,197.167,220.089
0.035,4.922,4.056,4.056,226.209,197.139,220.114
0.036,4.957,4.062,4.062,226.211,197.116,220.141
0.037,4.991,4.065,4.065,226.218,197.095,220.167
0.039,5.025,4.067,4.067,226.226,197.075,220.192
0.040,5.059,4.069,4.069,226.234,197.053,220.216
0.041,5.093,4.071,4.071,226.237,197.027,220.238
0.042,5.130,4.074,4.074,226.234,196.995,220.257
0.043,5.171,4.078,4.078,226.225,196.959,220.274
0.045,5.215,4.082,4.082,226.211,196.919,220.288
0.046,5.263,4.086,4.086,226.193,196.877,220.299
0.047,5.311,4.091,4.091,226.171,196.834,220.307
0.048,5.359,4.096,4.096,226.149,196.792,220.313
0.049,5.405,4.101,4.101,226.125,196.752,220.316
0.051,5.448,4.106,4.106,226.102,196.716,220.317
0.052,5.486,4.111,4.111,226.081,196.685,220.315
0.053,5.516,4.116,4.116,226.063,196.661,220.311
0.054,5.539,4.121,4.121,226.048,196.644,220.305
0.055,5.554,4.125,4.125,226.039,196.637,220.296
0.057,5.566,4.129,4.129,226.035,196.638,220.286
0.058,5.579,4.133,4.133,226.034,196.646,220.274
0.059,5.595,4.136,4.136,226.037,196.658,220.264
0.060,5.612,4.139,4.139,226.041,196.672,220.255
0.061,5.628,4.140,4.140,226.046,196.685,220.248
0.063,5.639,4.141,4.141,226.050,196.695,220.245
0.064,5.645,4.141,4.141,226.053,196.700,220.246
0.065,5.653,4.141,4.141,226.053,196.697,220.254
0.066,5.672,4.139,4.139,226.049,196.684,220.268
0.067,5.707,4.137,4.137,226.041,196.659,220.290
0.069,5.759,4.134,4.134,226.027,196.620,220.320
0.070,5.830,4.130,4.130,226.005,196.564,220.361
0.071,5.919,4.125,4.125,225.978,196.495,220.409
0.072,6.023,4.120,4.120,225.946,196.413,220.464
0.073,6.139,4.114,4.114,225.910,196.322,220.525
0.075,6.264,4.107,4.107,225.870,196.222,220.590
0.076,6.396,4.101,4.101,225.827,196.118,220.657
0.077,6.531,4.094,4.094,225.783,196.009,220.726
0.078,6.668,4.088,4.088,225.737,195.900,220.794
0.080,6.804,4.082,4.082,225.691,195.791,220.861
0.081,6.936,4.076,4.076,225.646,195.686,220.925
0.082,7.061,4.072,4.072,225.602,195.585,220.985
0.083,7.176,4.068,4.068,225.560,195.492,221.040
0.084,7.283,4.065,4.065,225.520,195.406,221.089
0.086,7.381,4.064,4.064,225.482,195.327,221.133
0.087,7.472,4.064,4.064,225.445,195.255,221.172
0.088,7.555,4.065,4.065,225.407,195.189,221.208
0.089,7.634,4.069,4.069,225.370,195.128,221.241
0.090,7.707,4.075,4.075,225.332,195.073,221.271
0.092,7.777,4.083,4.083,225.292,195.023,221.300
0.093,7.845,4.092,4.092,225.250,194.977,221.326
0.094,7.911,4.103,4.103,225.206,194.935,221.353
0.095,7.977,4.114,4.114,225.159,194.897,221.378
0.096,8.044,4.124,4.124,225.109,194.862,221.405
0.098,8.112,4.131,4.131,225.055,194.829,221.431
0.099,8.183,4.137,4.137,224.998,194.797,221.458
0.100,8.254,4.138,4.138,224.940,194.765,221.484
0.101,8.326,4.135,4.135,224.881,194.732,221.510
0.102,8.399,4.126,4.126,224.823,194.696,221.534
0.104,8.472,4.114,4.114,224.766,194.656,221.557
0.105,8.545,4.098,4.098,224.712,194.612,221.577
0.106,8.619,4.081,4.081,224.661,194.561,221.595
0.107,8.695,4.062,4.062,224.615,194.502,221.610
0.108,8.775,4.043,4.043,224.573,194.435,221.621
0.110,8.860,4.024,4.024,224.539,194.357,221.628
0.111,8.952,4.008,4.008,224.511,194.269,221.631
0.112,9.050,3.995,3.995,224.490,194.174,221.630
0.113,9.152,3.985,3.985,224.474,194.073,221.626
0.114,9.255,3.977,3.977,224.462,193.971,221.620
0.116,9.356,3.972,3.972,224.455,193.871,221.611
0.117,9.452,3.969,3.969,224.450,193.775,221.601
0.118,9.541,3.968,3.968,224.447,193.688,221.590
0.119,9.618,3.969,3.969,224.445,193.611,221.578
0.120,9.681,3.971,3.971,224.444,193.549,221.567
0.122,9.728,3.975,3.975,224.441,193.504,221.557
0.123,9.754,3.979,3.979,224.437,193.479,221.548
0.124,9.763,3.983,3.983,224.431,193.478,221.542
0.125,9.785,3.988,3.988,224.422,193.497,221.537
0.127,9.820,3.992,3.992,224.412,193.530,221.534
0.128,9.862,3.994,3.994,224.402,193.571,221.533
0.129,9.905,3.995,3.995,224.394,193.613,221.532
0.130,9.942,3.994,3.994,224.387,193.650,221.533
0.131,9.967,3.991,3.991,224.383,193.675,221.534
0.133,9.975,3.984,3.984,224.384,193.682,221.536
0.134,9.993,3.976,3.976,224.390,193.665,221.537
0.135,10.043,3.966,3.966,224.402,193.616,221.538
0.136,10.130,3.956,3.956,224.421,193.531,221.539
0.137,10.263,3.947,3.947,224.449,193.402,221.539
0.139,10.440,3.940,3.940,224.485,193.228,221.537
0.140,10.657,3.935,3.935,224.529,193.016,221.535
0.141,10.903,3.934,3.934,224.577,192.774,221.532
0.142,11.172,3.937,3.937,224.629,192.510,221.528
0.143,11.455,3.944,3.944,224.682,192.233,221.524
0.145,11.743,3.955,3.955,224.736,191.950,221.520
