"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.473,1.473,236.622,215.961,213.801
0.001,0.150,1.537,1.537,236.582,215.943,213.945
0.003,0.302,1.601,1.601,236.544,215.926,214.090
0.004,0.455,1.666,1.666,236.508,215.907,214.238
0.006,0.611,1.734,1.734,236.475,215.888,214.389
0.007,0.771,1.805,1.805,236.447,215.868,214.545
0.009,0.936,1.879,1.879,236.424,215.846,214.707
0.010,1.107,1.957,1.957,236.408,215.823,214.877
0.012,1.287,2.041,2.041,236.400,215.798,215.054
0.013,1.476,2.130,2.130,236.400,215.771,215.241
0.014,1.676,2.226,2.226,236.410,215.742,215.439
0.016,1.890,2.331,2.331,236.432,215.710,215.649
0.017,2.116,2.443,2.443,236.465,215.675,215.871
0.019,2.353,2.566,2.566,236.508,215.639,216.100
0.020,2.594,2.699,2.699,236.559,215.602,216.333
0.022,2.837,2.842,2.842,236.618,215.565,216.566
0.023,3.077,2.992,2.992,236.682,215.529,216.794
0.025,3.309,3.142,3.142,236.750,215.496,217.014
0.026,3.529,3.287,3.287,236.820,215.467,217.220
0.027,3.732,3.421,3.421,236.891,215.441,217.409
0.029,3.915,3.539,3.539,236.962,215.421,217.576
0.030,4.072,3.635,3.635,237.030,215.407,217.717
0.032,4.201,3.706,3.706,237.095,215.401,217.829
0.033,4.302,3.754,3.754,237.155,215.402,217.909
0.035,4.380,3.783,3.783,237.210,215.407,217.964
0.036,4.441,3.798,3.798,237.262,215.416,217.996
0.038,4.493,3.803,3.803,237.310,215.425,218.012
0.039,4.539,3.801,3.801,237.355,215.433,218.016
0.040,4.581,3.797,3.797,237.397,215.438,218.013
0.042,4.621,3.796,3.796,237.437,215.436,218.006
0.043,4.660,3.798,3.798,237.474,215.427,218.003
0.045,4.701,3.805,3.805,237.510,215.407,218.006
0.046,4.751,3.818,3.818,237.545,215.375,218.021
0.048,4.816,3.838,3.838,237.579,215.329,218.052
0.049,4.900,3.867,3.867,237.612,215.269,218.101
0.051,5.000,3.906,3.906,237.643,215.197,218.163
0.052,5.113,3.956,3.956,237.674,215.117,218.237
0.053,5.234,4.013,4.013,237.703,215.032,218.318
0.055,5.360,4.075,4.075,237.730,214.945,218.404
0.056,5.486,4.140,4.140,237.756,214.857,218.491
0.058,5.608,4.204,4.204,237.779,214.773,218.576
0.059,5.722,4.264,4.264,237.800,214.695,218.657
0.061,5.823,4.317,4.317,237.818,214.627,218.729
0.062,5.908,4.361,4.361,237.834,214.570,218.790
0.063,5.973,4.396,4.396,237.846,214.527,218.837
0.065,6.018,4.423,4.423,237.856,214.498,218.870
0.066,6.046,4.442,4.442,237.864,214.481,218.891
0.068,6.062,4.454,4.454,237.871,214.472,218.902
0.069,6.069,4.460,4.460,237.876,214.470,218.906
0.071,6.075,4.461,4.461,237.882,214.471,218.904
0.072,6.084,4.458,4.458,237.889,214.472,218.898
0.074,6.094,4.452,4.452,237.896,214.472,218.891
0.075,6.107,4.445,4.445,237.906,214.468,218.884
0.076,6.124,4.438,4.438,237.918,214.457,218.881
0.078,6.149,4.434,4.434,237.933,214.436,218.882
0.079,6.188,4.435,4.435,237.952,214.403,218.890
0.081,6.238,4.441,4.441,237.974,214.360,218.904
0.082,6.299,4.454,4.454,237.998,214.309,218.923
0.084,6.366,4.473,4.473,238.024,214.251,218.946
0.085,6.438,4.495,4.495,238.051,214.189,218.972
0.087,6.512,4.519,4.519,238.078,214.126,219.000
0.088,6.586,4.543,4.543,238.104,214.063,219.028
0.089,6.657,4.563,4.563,238.129,214.002,219.056
0.091,6.722,4.580,4.580,238.151,213.947,219.082
0.092,6.778,4.589,4.589,238.169,213.899,219.105
0.094,6.824,4.594,4.594,238.184,213.860,219.124
0.095,6.857,4.594,4.594,238.194,213.832,219.138
0.097,6.878,4.590,4.590,238.201,213.814,219.148
0.098,6.891,4.585,4.585,238.204,213.804,219.155
0.100,6.896,4.578,4.578,238.205,213.801,219.159
0.101,6.900,4.571,4.571,238.204,213.803,219.163
0.102,6.906,4.566,4.566,238.202,213.807,219.166
