"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.285,3.285,173.204,192.666,196.658
0.001,0.059,3.253,3.253,173.146,192.666,196.648
0.003,0.115,3.222,3.222,173.091,192.666,196.641
0.004,0.164,3.193,3.193,173.042,192.666,196.636
0.006,0.202,3.170,3.170,173.004,192.667,196.637
0.007,0.229,3.151,3.151,172.978,192.669,196.644
0.009,0.247,3.140,3.140,172.970,192.673,196.660
0.010,0.275,3.137,3.137,172.981,192.678,196.686
0.012,0.327,3.144,3.144,173.015,192.685,196.723
0.013,0.406,3.162,3.162,173.076,192.693,196.774
0.015,0.519,3.190,3.190,173.166,192.705,196.840
0.016,0.668,3.229,3.229,173.290,192.718,196.923
0.018,0.855,3.279,3.279,173.447,192.734,197.023
0.019,1.074,3.341,3.341,173.633,192.753,197.137
0.021,1.317,3.416,3.416,173.841,192.772,197.261
0.022,1.577,3.502,3.502,174.064,192.793,197.393
0.023,1.848,3.596,3.596,174.297,192.814,197.529
0.025,2.121,3.696,3.696,174.533,192.834,197.664
0.026,2.389,3.796,3.796,174.765,192.853,197.797
0.028,2.646,3.894,3.894,174.988,192.870,197.923
0.029,2.883,3.986,3.986,175.195,192.885,198.039
0.031,3.095,4.068,4.068,175.380,192.897,198.142
0.032,3.273,4.140,4.140,175.536,192.906,198.228
0.034,3.415,4.200,4.200,175.661,192.910,198.296
0.035,3.525,4.250,4.250,175.758,192.912,198.347
0.037,3.607,4.291,4.291,175.830,192.912,198.384
0.038,3.664,4.323,4.323,175.882,192.911,198.409
0.040,3.703,4.347,4.347,175.918,192.909,198.423
0.041,3.725,4.364,4.364,175.939,192.908,198.430
0.043,3.737,4.375,4.375,175.951,192.908,198.430
0.044,3.744,4.381,4.381,175.957,192.910,198.427
0.045,3.753,4.384,4.384,175.960,192.915,198.421
0.047,3.764,4.385,4.385,175.965,192.924,198.416
0.048,3.781,4.385,4.385,175.974,192.937,198.412
0.050,3.805,4.386,4.386,175.989,192.956,198.412
0.051,3.835,4.389,4.389,176.010,192.978,198.415
0.053,3.871,4.394,4.394,176.034,193.003,198.421
0.054,3.911,4.399,4.399,176.062,193.031,198.430
0.056,3.955,4.405,4.405,176.093,193.060,198.443
0.057,4.002,4.409,4.409,176.125,193.090,198.459
0.059,4.051,4.409,4.409,176.158,193.120,198.479
0.060,4.101,4.406,4.406,176.191,193.150,198.502
0.062,4.151,4.398,4.398,176.223,193.178,198.528
0.063,4.201,4.385,4.385,176.253,193.204,198.559
0.065,4.250,4.369,4.369,176.280,193.227,198.592
0.066,4.300,4.353,4.353,176.305,193.248,198.630
0.067,4.351,4.338,4.338,176.329,193.269,198.670
0.069,4.406,4.327,4.327,176.352,193.292,198.714
0.070,4.465,4.320,4.320,176.376,193.319,198.761
0.072,4.529,4.321,4.321,176.402,193.351,198.810
0.073,4.600,4.328,4.328,176.431,193.390,198.862
0.075,4.679,4.340,4.340,176.463,193.439,198.915
0.076,4.769,4.355,4.355,176.500,193.498,198.971
0.078,4.871,4.371,4.371,176.542,193.570,199.029
0.079,4.987,4.386,4.386,176.591,193.658,199.088
0.081,5.119,4.399,4.399,176.648,193.761,199.149
0.082,5.264,4.409,4.409,176.710,193.877,199.211
0.084,5.418,4.415,4.415,176.776,194.001,199.273
0.085,5.576,4.417,4.417,176.844,194.129,199.336
0.087,5.733,4.417,4.417,176.911,194.256,199.398
0.088,5.884,4.414,4.414,176.976,194.378,199.460
0.089,6.025,4.408,4.408,177.036,194.490,199.521
0.091,6.152,4.401,4.401,177.089,194.588,199.580
0.092,6.260,4.392,4.392,177.133,194.668,199.638
0.094,6.345,4.383,4.383,177.167,194.724,199.694
0.095,6.409,4.375,4.375,177.187,194.752,199.747
0.097,6.460,4.369,4.369,177.193,194.750,199.798
0.098,6.512,4.368,4.368,177.188,194.725,199.843
0.100,6.569,4.372,4.372,177.176,194.685,199.883
0.101,6.628,4.383,4.383,177.161,194.639,199.915
0.103,6.679,4.401,4.401,177.147,194.594,199.938
0.104,6.716,4.422,4.422,177.137,194.561,199.949
0.106,6.730,4.443,4.443,177.137,194.546,199.949
0.107,6.754,4.459,4.459,177.150,194.559,199.934
0.109,6.818,4.467,4.467,177.179,194.608,199.904
0.110,6.935,4.462,4.462,177.229,194.702,199.857
0.111,7.112,4.440,4.440,177.304,194.848,199.790
