"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.290,2.290,171.699,192.812,197.789
0.001,0.347,2.430,2.430,171.997,192.768,197.962
0.003,0.690,2.568,2.568,172.291,192.723,198.132
0.004,1.028,2.703,2.703,172.581,192.679,198.301
0.005,1.356,2.833,2.833,172.862,192.636,198.464
0.006,1.673,2.956,2.956,173.133,192.593,198.622
0.008,1.974,3.070,3.070,173.391,192.551,198.773
0.009,2.258,3.174,3.174,173.633,192.511,198.915
0.010,2.520,3.267,3.267,173.856,192.471,199.047
0.012,2.758,3.346,3.346,174.058,192.433,199.167
0.013,2.970,3.414,3.414,174.237,192.397,199.275
0.014,3.151,3.471,3.471,174.389,192.363,199.367
0.016,3.300,3.518,3.518,174.511,192.330,199.444
0.017,3.414,3.557,3.557,174.603,192.300,199.505
0.018,3.496,3.588,3.588,174.667,192.273,199.549
0.019,3.552,3.612,3.612,174.706,192.249,199.581
0.021,3.587,3.632,3.632,174.725,192.229,199.602
0.022,3.606,3.646,3.646,174.728,192.214,199.615
0.023,3.621,3.657,3.657,174.717,192.205,199.621
0.025,3.641,3.666,3.666,174.698,192.201,199.623
0.026,3.666,3.672,3.672,174.674,192.205,199.623
0.027,3.693,3.676,3.676,174.649,192.215,199.624
0.028,3.722,3.680,3.680,174.626,192.234,199.628
0.030,3.755,3.685,3.685,174.610,192.261,199.637
0.031,3.796,3.689,3.689,174.605,192.298,199.653
0.032,3.849,3.695,3.695,174.614,192.345,199.678
0.034,3.917,3.702,3.702,174.636,192.400,199.711
0.035,3.998,3.708,3.708,174.669,192.462,199.752
0.036,4.090,3.714,3.714,174.712,192.529,199.798
0.038,4.189,3.720,3.720,174.761,192.599,199.848
0.039,4.293,3.724,3.724,174.816,192.670,199.900
0.040,4.399,3.727,3.727,174.873,192.741,199.953
0.041,4.504,3.728,3.728,174.932,192.811,200.006
0.043,4.604,3.727,3.727,174.989,192.876,200.056
0.044,4.698,3.726,3.726,175.044,192.935,200.103
0.045,4.781,3.724,3.724,175.093,192.988,200.144
0.047,4.850,3.724,3.724,175.135,193.031,200.179
0.048,4.904,3.724,3.724,175.169,193.063,200.205
0.049,4.943,3.727,3.727,175.193,193.087,200.224
0.051,4.970,3.733,3.733,175.211,193.103,200.237
0.052,4.989,3.742,3.742,175.224,193.115,200.244
0.053,5.002,3.752,3.752,175.232,193.124,200.248
0.054,5.013,3.763,3.763,175.238,193.134,200.249
0.056,5.026,3.773,3.773,175.242,193.146,200.248
0.057,5.044,3.781,3.781,175.247,193.163,200.247
0.058,5.069,3.784,3.784,175.253,193.188,200.247
0.060,5.104,3.781,3.781,175.263,193.222,200.250
0.061,5.153,3.771,3.771,175.276,193.268,200.255
0.062,5.217,3.754,3.754,175.296,193.328,200.265
0.063,5.300,3.732,3.732,175.324,193.405,200.281
0.065,5.401,3.708,3.708,175.359,193.497,200.303
0.066,5.518,3.685,3.685,175.403,193.602,200.329
0.067,5.647,3.666,3.666,175.456,193.716,200.359
0.069,5.787,3.653,3.653,175.518,193.837,200.392
0.070,5.936,3.651,3.651,175.591,193.962,200.428
0.071,6.092,3.661,3.661,175.675,194.088,200.465
0.073,6.253,3.684,3.684,175.769,194.213,200.503
0.074,6.418,3.716,3.716,175.875,194.333,200.541
0.075,6.586,3.754,3.754,175.994,194.446,200.578
0.076,6.756,3.795,3.795,176.125,194.549,200.614
0.078,6.929,3.835,3.835,176.269,194.639,200.647
0.079,7.106,3.871,3.871,176.426,194.714,200.678
0.080,7.288,3.898,3.898,176.595,194.773,200.705
0.082,7.473,3.915,3.915,176.773,194.819,200.729
0.083,7.661,3.920,3.920,176.957,194.853,200.751
0.084,7.849,3.916,3.916,177.143,194.875,200.770
0.085,8.036,3.902,3.902,177.328,194.889,200.787
0.087,8.218,3.882,3.882,177.510,194.895,200.802
0.088,8.394,3.856,3.856,177.685,194.895,200.816
0.089,8.560,3.826,3.826,177.850,194.891,200.828
0.091,8.713,3.795,3.795,178.003,194.884,200.840
0.092,8.850,3.762,3.762,178.139,194.876,200.850
0.093,8.969,3.729,3.729,178.257,194.868,200.860
0.095,9.065,3.698,3.698,178.353,194.862,200.869
0.096,9.140,3.669,3.669,178.428,194.859,200.878
0.097,9.196,3.643,3.643,178.483,194.857,200.887
0.098,9.235,3.622,3.622,178.521,194.857,200.896
0.100,9.260,3.605,3.605,178.544,194.859,200.904
0.101,9.274,3.595,3.595,178.555,194.862,200.911
0.102,9.282,3.592,3.592,178.556,194.865,200.919
0.104,9.292,3.594,3.594,178.549,194.869,200.925
0.105,9.306,3.601,3.601,178.537,194.872,200.931
0.106,9.323,3.610,3.610,178.522,194.876,200.936
0.108,9.340,3.622,3.622,178.505,194.879,200.941
