"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.345,1.345,185.088,210.316,199.870
0.002,0.201,1.442,1.442,185.232,210.387,199.748
0.003,0.400,1.538,1.538,185.373,210.457,199.627
0.005,0.594,1.632,1.632,185.512,210.525,199.509
0.006,0.782,1.724,1.724,185.647,210.591,199.396
0.008,0.962,1.812,1.812,185.777,210.653,199.288
0.009,1.131,1.895,1.895,185.899,210.711,199.187
0.011,1.287,1.973,1.973,186.013,210.763,199.094
0.012,1.429,2.045,2.045,186.118,210.810,199.011
0.014,1.553,2.108,2.108,186.211,210.849,198.939
0.015,1.659,2.163,2.163,186.292,210.881,198.879
0.017,1.743,2.208,2.208,186.360,210.904,198.833
0.018,1.806,2.242,2.242,186.412,210.917,198.802
0.020,1.851,2.264,2.264,186.452,210.923,198.781
0.021,1.882,2.273,2.273,186.480,210.922,198.768
0.023,1.904,2.271,2.271,186.498,210.916,198.758
0.024,1.922,2.263,2.263,186.509,210.907,198.746
0.026,1.942,2.254,2.254,186.513,210.895,198.729
0.027,1.971,2.246,2.246,186.514,210.884,198.704
0.029,2.011,2.245,2.245,186.512,210.873,198.664
0.030,2.068,2.256,2.256,186.511,210.866,198.608
0.032,2.146,2.281,2.281,186.510,210.862,198.530
0.033,2.250,2.319,2.319,186.513,210.865,198.427
0.035,2.381,2.368,2.368,186.521,210.874,198.296
0.036,2.537,2.428,2.428,186.533,210.889,198.141
0.038,2.713,2.495,2.495,186.548,210.910,197.968
0.039,2.901,2.569,2.569,186.566,210.935,197.781
0.041,3.098,2.646,2.646,186.586,210.963,197.587
0.042,3.298,2.726,2.726,186.606,210.993,197.391
0.044,3.495,2.807,2.807,186.626,211.025,197.197
0.046,3.684,2.888,2.888,186.645,211.056,197.012
0.047,3.858,2.967,2.967,186.662,211.087,196.841
0.049,4.014,3.042,3.042,186.677,211.115,196.689
0.050,4.144,3.114,3.114,186.688,211.141,196.562
0.052,4.246,3.178,3.178,186.695,211.163,196.463
0.053,4.321,3.236,3.236,186.698,211.181,196.390
0.055,4.372,3.284,3.284,186.698,211.195,196.341
0.056,4.403,3.321,3.321,186.696,211.205,196.312
0.058,4.416,3.345,3.345,186.692,211.211,196.301
0.059,4.422,3.356,3.356,186.687,211.213,196.303
0.061,4.437,3.351,3.351,186.682,211.211,196.317
0.062,4.461,3.329,3.329,186.676,211.204,196.339
0.064,4.490,3.295,3.295,186.672,211.193,196.366
0.065,4.523,3.254,3.254,186.669,211.178,196.395
0.067,4.557,3.208,3.208,186.668,211.159,196.423
0.068,4.591,3.163,3.163,186.670,211.136,196.447
0.070,4.623,3.124,3.124,186.675,211.111,196.467
0.071,4.653,3.094,3.094,186.682,211.086,196.482
0.073,4.679,3.076,3.076,186.691,211.064,196.492
0.074,4.699,3.068,3.068,186.703,211.047,196.496
0.076,4.716,3.071,3.071,186.717,211.038,196.494
0.077,4.735,3.082,3.082,186.733,211.038,196.485
0.079,4.762,3.100,3.100,186.751,211.051,196.469
0.080,4.803,3.124,3.124,186.770,211.078,196.445
0.082,4.861,3.154,3.154,186.791,211.122,196.413
0.083,4.939,3.187,3.187,186.814,211.185,196.373
0.085,5.038,3.222,3.222,186.838,211.268,196.325
0.086,5.155,3.257,3.257,186.864,211.368,196.269
0.088,5.286,3.290,3.290,186.892,211.480,196.207
0.090,5.426,3.321,3.321,186.922,211.600,196.142
0.091,5.571,3.347,3.347,186.954,211.724,196.075
