"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.183,2.183,295.012,280.397,272.182
0.002,0.448,2.206,2.206,294.944,280.296,272.614
0.003,0.893,2.235,2.235,294.877,280.195,273.042
0.005,1.330,2.276,2.276,294.815,280.096,273.463
0.007,1.756,2.334,2.334,294.757,279.999,273.873
0.008,2.167,2.416,2.416,294.706,279.906,274.270
0.010,2.559,2.527,2.527,294.664,279.815,274.650
0.012,2.929,2.671,2.671,294.633,279.730,275.008
0.013,3.273,2.836,2.836,294.613,279.649,275.342
0.015,3.589,3.008,3.008,294.607,279.574,275.649
0.017,3.873,3.172,3.172,294.617,279.506,275.924
0.018,4.122,3.314,3.314,294.645,279.446,276.164
0.020,4.336,3.417,3.417,294.691,279.393,276.367
0.022,4.518,3.470,3.470,294.756,279.349,276.531
0.023,4.675,3.479,3.479,294.837,279.312,276.660
0.025,4.814,3.460,3.460,294.930,279.281,276.758
0.027,4.942,3.426,3.426,295.033,279.256,276.830
0.028,5.065,3.394,3.394,295.143,279.235,276.879
0.030,5.183,3.377,3.377,295.257,279.217,276.910
0.032,5.300,3.389,3.389,295.371,279.203,276.925
0.033,5.412,3.428,3.428,295.483,279.190,276.930
0.035,5.519,3.488,3.488,295.589,279.177,276.927
0.036,5.618,3.557,3.557,295.687,279.165,276.922
0.038,5.705,3.628,3.628,295.773,279.152,276.918
0.040,5.778,3.692,3.692,295.844,279.136,276.919
0.041,5.839,3.741,3.741,295.903,279.119,276.925
0.043,5.890,3.772,3.772,295.949,279.100,276.936
0.045,5.934,3.789,3.789,295.985,279.080,276.951
0.046,5.973,3.796,3.796,296.013,279.058,276.969
0.048,6.010,3.796,3.796,296.034,279.036,276.989
0.050,6.046,3.792,3.792,296.051,279.014,277.012
0.051,6.082,3.787,3.787,296.064,278.992,277.036
0.053,6.118,3.784,3.784,296.077,278.969,277.061
0.055,6.153,3.783,3.783,296.091,278.948,277.085
0.056,6.189,3.785,3.785,296.108,278.927,277.109
0.058,6.226,3.792,3.792,296.129,278.907,277.132
0.060,6.264,3.804,3.804,296.155,278.888,277.153
0.061,6.306,3.822,3.822,296.188,278.870,277.172
0.063,6.351,3.845,3.845,296.225,278.853,277.191
0.065,6.401,3.872,3.872,296.268,278.836,277.209
0.066,6.454,3.901,3.901,296.315,278.818,277.226
0.068,6.512,3.929,3.929,296.367,278.800,277.244
0.070,6.573,3.954,3.954,296.422,278.780,277.262
0.071,6.639,3.975,3.975,296.482,278.759,277.281
0.073,6.709,3.990,3.990,296.545,278.736,277.301
0.075,6.783,4.002,4.002,296.611,278.710,277.322
0.076,6.862,4.013,4.013,296.680,278.682,277.346
0.078,6.944,4.024,4.024,296.752,278.650,277.371
