"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.785,2.785,240.289,238.419,242.211
0.001,0.246,2.903,2.903,240.109,238.401,242.378
0.002,0.491,3.020,3.020,239.930,238.383,242.543
0.004,0.732,3.137,3.137,239.751,238.366,242.703
0.005,0.967,3.254,3.254,239.574,238.350,242.857
0.006,1.194,3.370,3.370,239.399,238.336,243.001
0.007,1.413,3.485,3.485,239.226,238.323,243.135
0.008,1.621,3.599,3.599,239.056,238.312,243.254
0.010,1.817,3.712,3.712,238.889,238.304,243.358
0.011,2.001,3.823,3.823,238.727,238.298,243.444
0.012,2.173,3.933,3.933,238.569,238.295,243.509
0.013,2.332,4.040,4.040,238.415,238.296,243.553
0.014,2.482,4.142,4.142,238.268,238.300,243.578
0.015,2.624,4.240,4.240,238.126,238.306,243.585
0.017,2.758,4.331,4.331,237.992,238.316,243.578
0.018,2.887,4.415,4.415,237.865,238.327,243.558
0.019,3.010,4.492,4.492,237.746,238.341,243.529
0.020,3.127,4.559,4.559,237.637,238.357,243.493
0.021,3.236,4.616,4.616,237.537,238.374,243.452
0.023,3.337,4.663,4.663,237.448,238.393,243.408
0.024,3.429,4.702,4.702,237.369,238.413,243.365
0.025,3.511,4.733,4.733,237.302,238.434,243.324
0.026,3.582,4.756,4.756,237.244,238.454,243.286
0.027,3.645,4.771,4.771,237.196,238.473,243.251
0.029,3.699,4.780,4.780,237.154,238.489,243.221
0.030,3.744,4.783,4.783,237.118,238.501,243.196
0.031,3.781,4.781,4.781,237.087,238.509,243.177
0.032,3.812,4.774,4.774,237.059,238.510,243.165
0.033,3.839,4.764,4.764,237.033,238.504,243.160
0.035,3.868,4.751,4.751,237.008,238.490,243.163
0.036,3.905,4.737,4.737,236.982,238.466,243.175
0.037,3.953,4.721,4.721,236.955,238.433,243.195
0.038,4.008,4.706,4.706,236.927,238.393,243.223
0.039,4.071,4.693,4.693,236.900,238.348,243.255
0.041,4.136,4.681,4.681,236.873,238.299,243.290
0.042,4.203,4.673,4.673,236.848,238.249,243.326
0.043,4.267,4.667,4.667,236.825,238.200,243.361
0.044,4.327,4.664,4.664,236.806,238.154,243.394
0.045,4.380,4.663,4.663,236.790,238.113,243.423
0.046,4.422,4.662,4.662,236.778,238.079,243.445
0.048,4.451,4.664,4.664,236.772,238.054,243.459
0.049,4.468,4.665,4.665,236.770,238.038,243.465
0.050,4.477,4.667,4.667,236.771,238.030,243.466
0.051,4.482,4.669,4.669,236.774,238.026,243.464
0.052,4.485,4.671,4.671,236.776,238.026,243.461
0.054,4.487,4.672,4.672,236.775,238.027,243.460
0.055,4.493,4.674,4.674,236.770,238.028,243.463
0.056,4.507,4.674,4.674,236.760,238.026,243.473
0.057,4.533,4.675,4.675,236.742,238.020,243.491
0.058,4.576,4.675,4.675,236.714,238.008,243.521
0.060,4.637,4.675,4.675,236.676,237.987,243.564
0.061,4.716,4.675,4.675,236.628,237.959,243.619
0.062,4.808,4.674,4.674,236.571,237.924,243.684
0.063,4.910,4.673,4.673,236.510,237.884,243.755
0.064,5.018,4.672,4.672,236.445,237.841,243.829
0.066,5.127,4.670,4.670,236.379,237.795,243.903
0.067,5.233,4.667,4.667,236.315,237.748,243.973
0.068,5.332,4.663,4.663,236.255,237.702,244.037
0.069,5.421,4.659,4.659,236.200,237.658,244.092
0.070,5.495,4.653,4.653,236.154,237.617,244.133
0.072,5.551,4.647,4.647,236.119,237.581,244.159
0.073,5.594,4.639,4.639,236.093,237.550,244.170
0.074,5.629,4.630,4.630,236.073,237.521,244.168
0.075,5.663,4.619,4.619,236.056,237.495,244.155
0.076,5.700,4.607,4.607,236.041,237.468,244.133
0.077,5.743,4.592,4.592,236.023,237.442,244.104
0.079,5.792,4.576,4.576,236.001,237.413,244.071
0.080,5.849,4.557,4.557,235.972,237.382,244.035
0.081,5.914,4.536,4.536,235.932,237.346,243.998
0.082,5.989,4.512,4.512,235.879,237.305,243.963
0.083,6.078,4.487,4.487,235.811,237.257,243.931
0.085,6.179,4.460,4.460,235.730,237.204,243.903
0.086,6.289,4.434,4.434,235.640,237.147,243.877
0.087,6.404,4.407,4.407,235.544,237.086,243.854
0.088,6.521,4.382,4.382,235.447,237.024,243.833
0.089,6.637,4.359,4.359,235.351,236.962,243.813
0.091,6.748,4.338,4.338,235.261,236.902,243.795
0.092,6.850,4.321,4.321,235.179,236.843,243.777
0.093,6.939,4.307,4.307,235.110,236.789,243.759
0.094,7.014,4.296,4.296,235.058,236.739,243.741
0.095,7.073,4.287,4.287,235.023,236.696,243.722
0.097,7.122,4.282,4.282,235.000,236.656,243.704
0.098,7.166,4.278,4.278,234.984,236.619,243.686
0.099,7.212,4.277,4.277,234.966,236.580,243.670
0.100,7.263,4.277,4.277,234.940,236.538,243.656
0.101,7.326,4.279,4.279,234.899,236.492,243.646
0.103,7.409,4.282,4.282,234.837,236.437,243.639
0.104,7.521,4.285,4.285,234.745,236.372,243.637
0.105,7.670,4.288,4.288,234.618,236.294,243.641
0.106,7.864,4.290,4.290,234.449,236.202,243.651
0.107,8.105,4.290,4.290,234.234,236.094,243.667
0.108,8.385,4.288,4.288,233.982,235.972,243.688
0.110,8.696,4.282,4.282,233.701,235.840,243.712
0.111,9.028,4.273,4.273,233.401,235.701,243.737
0.112,9.371,4.260,4.260,233.091,235.558,243.762
0.113,9.715,4.243,4.243,232.779,235.414,243.784
0.114,10.050,4.224,4.224,232.476,235.271,243.802
0.116,10.367,4.206,4.206,232.190,235.134,243.813
0.117,10.658,4.189,4.189,231.931,235.004,243.817
0.118,10.911,4.175,4.175,231.706,234.886,243.812
0.119,11.124,4.165,4.165,231.522,234.781,243.797
0.120,11.303,4.162,4.162,231.371,234.688,243.774
0.122,11.452,4.167,4.167,231.249,234.607,243.746
0.123,11.577,4.181,4.181,231.149,234.537,243.716
0.124,11.683,4.202,4.202,231.066,234.479,243.686
0.125,11.774,4.229,4.229,230.993,234.431,243.659
0.126,11.855,4.261,4.261,230.925,234.392,243.638
0.128,11.931,4.296,4.296,230.856,234.364,243.626
0.129,12.011,4.333,4.333,230.779,234.343,243.624
0.130,12.102,4.371,4.371,230.690,234.332,243.635
0.131,12.210,4.409,4.409,230.584,234.327,243.660
0.132,12.336,4.445,4.445,230.464,234.330,243.697
0.133,12.478,4.481,4.481,230.330,234.339,243.744
0.135,12.634,4.519,4.519,230.184,234.354,243.797
0.136,12.804,4.562,4.562,230.026,234.373,243.854
0.137,12.983,4.613,4.613,229.858,234.396,243.914
0.138,13.172,4.673,4.673,229.681,234.423,243.973
0.139,13.367,4.745,4.745,229.496,234.453,244.030
0.141,13.568,4.831,4.831,229.305,234.484,244.082
0.142,13.773,4.934,4.934,229.108,234.517,244.126
0.143,13.979,5.054,5.054,228.907,234.550,244.163
0.144,14.187,5.184,5.184,228.704,234.585,244.191
