"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.475,2.475,186.572,178.549,208.931
0.001,0.157,2.502,2.502,186.480,178.636,209.023
0.003,0.306,2.527,2.527,186.392,178.721,209.109
0.004,0.440,2.546,2.546,186.314,178.799,209.185
0.006,0.552,2.556,2.556,186.250,178.868,209.246
0.007,0.635,2.555,2.555,186.206,178.924,209.286
0.008,0.683,2.540,2.540,186.185,178.965,209.302
0.010,0.711,2.508,2.508,186.193,178.987,209.286
0.011,0.776,2.457,2.457,186.234,178.987,209.235
0.012,0.900,2.392,2.392,186.314,178.961,209.144
0.014,1.092,2.323,2.323,186.437,178.908,209.006
0.015,1.360,2.261,2.261,186.608,178.823,208.818
0.017,1.706,2.215,2.215,186.828,178.706,208.578
0.018,2.118,2.197,2.197,187.089,178.561,208.294
0.019,2.582,2.217,2.217,187.382,178.394,207.977
0.021,3.082,2.285,2.285,187.698,178.211,207.635
0.022,3.604,2.403,2.403,188.028,178.016,207.280
0.023,4.133,2.558,2.558,188.361,177.817,206.921
0.025,4.655,2.739,2.739,188.689,177.617,206.567
0.026,5.155,2.932,2.932,189.004,177.424,206.230
0.028,5.618,3.125,3.125,189.294,177.242,205.919
0.029,6.029,3.304,3.304,189.551,177.076,205.643
0.030,6.375,3.456,3.456,189.767,176.934,205.414
0.032,6.648,3.572,3.572,189.935,176.816,205.234
0.033,6.856,3.653,3.653,190.062,176.720,205.101
0.034,7.006,3.708,3.708,190.152,176.643,205.008
0.036,7.109,3.741,3.741,190.211,176.581,204.950
0.037,7.175,3.760,3.760,190.243,176.530,204.923
0.039,7.219,3.771,3.771,190.253,176.488,204.920
0.040,7.261,3.779,3.779,190.247,176.450,204.937
0.041,7.312,3.792,3.792,190.231,176.413,204.967
0.043,7.371,3.810,3.810,190.208,176.374,205.007
0.044,7.438,3.833,3.833,190.185,176.329,205.050
0.045,7.508,3.857,3.857,190.166,176.275,205.091
0.047,7.583,3.882,3.882,190.154,176.212,205.128
0.048,7.662,3.906,3.906,190.147,176.140,205.160
0.050,7.743,3.927,3.927,190.145,176.064,205.189
0.051,7.826,3.942,3.942,190.146,175.984,205.213
0.052,7.909,3.952,3.952,190.149,175.904,205.233
0.054,7.989,3.958,3.958,190.153,175.826,205.250
0.055,8.064,3.959,3.959,190.157,175.752,205.263
0.056,8.132,3.956,3.956,190.159,175.685,205.273
0.058,8.190,3.952,3.952,190.159,175.627,205.279
0.059,8.237,3.946,3.946,190.155,175.581,205.283
0.061,8.271,3.939,3.939,190.146,175.548,205.284
0.062,8.296,3.932,3.932,190.133,175.527,205.282
0.063,8.320,3.925,3.925,190.114,175.513,205.278
0.065,8.346,3.918,3.918,190.092,175.501,205.271
0.066,8.377,3.910,3.910,190.067,175.486,205.261
0.067,8.415,3.901,3.901,190.039,175.463,205.249
0.069,8.464,3.890,3.890,190.008,175.428,205.234
0.070,8.528,3.878,3.878,189.977,175.374,205.217
0.072,8.613,3.863,3.863,189.945,175.298,205.196
0.073,8.724,3.848,3.848,189.912,175.195,205.174
0.074,8.866,3.834,3.834,189.880,175.059,205.148
0.076,9.043,3.824,3.824,189.849,174.886,205.121
0.077,9.253,3.821,3.821,189.820,174.681,205.091
0.078,9.488,3.827,3.827,189.792,174.450,205.061
0.080,9.740,3.844,3.844,189.767,174.200,205.032
0.081,10.003,3.875,3.875,189.744,173.940,205.005
0.083,10.268,3.920,3.920,189.724,173.677,204.981
0.084,10.528,3.975,3.975,189.707,173.418,204.961
0.085,10.776,4.037,4.037,189.694,173.171,204.948
0.087,11.005,4.102,4.102,189.684,172.943,204.941
0.088,11.206,4.164,4.164,189.679,172.741,204.942
0.089,11.373,4.220,4.220,189.679,172.574,204.952
0.091,11.502,4.266,4.266,189.684,172.447,204.972
0.092,11.597,4.298,4.298,189.694,172.357,205.000
0.094,11.667,4.319,4.319,189.709,172.297,205.033
0.095,11.720,4.329,4.329,189.730,172.262,205.068
0.096,11.766,4.331,4.331,189.757,172.245,205.101
