"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.404,1.404,195.966,172.027,179.668
0.001,0.108,1.390,1.390,195.890,172.104,179.658
0.003,0.215,1.378,1.378,195.815,172.180,179.652
0.004,0.320,1.368,1.368,195.743,172.256,179.654
0.006,0.423,1.363,1.363,195.673,172.330,179.668
0.007,0.525,1.363,1.363,195.606,172.402,179.697
0.009,0.631,1.371,1.371,195.545,172.472,179.747
0.010,0.745,1.387,1.387,195.488,172.539,179.819
0.011,0.873,1.412,1.412,195.439,172.603,179.920
0.013,1.025,1.449,1.449,195.396,172.663,180.052
0.014,1.204,1.499,1.499,195.362,172.720,180.219
0.016,1.419,1.562,1.562,195.338,172.771,180.426
0.017,1.671,1.641,1.641,195.323,172.818,180.673
0.019,1.955,1.736,1.736,195.316,172.860,180.954
0.020,2.263,1.849,1.849,195.316,172.897,181.260
0.021,2.587,1.980,1.980,195.322,172.929,181.582
0.023,2.919,2.124,2.124,195.331,172.958,181.913
0.024,3.250,2.272,2.272,195.343,172.982,182.243
0.026,3.572,2.419,2.419,195.355,173.002,182.563
0.027,3.875,2.555,2.555,195.367,173.018,182.866
0.029,4.152,2.675,2.675,195.376,173.030,183.143
0.030,4.394,2.769,2.769,195.382,173.038,183.385
0.032,4.593,2.833,2.833,195.382,173.043,183.583
0.033,4.744,2.869,2.869,195.375,173.045,183.734
0.034,4.851,2.883,2.883,195.363,173.044,183.841
0.036,4.922,2.881,2.881,195.345,173.042,183.909
0.037,4.963,2.871,2.871,195.322,173.038,183.944
0.039,4.992,2.858,2.858,195.295,173.033,183.951
0.040,5.027,2.848,2.848,195.263,173.028,183.935
0.042,5.075,2.848,2.848,195.229,173.023,183.903
0.043,5.133,2.856,2.856,195.191,173.020,183.859
0.044,5.198,2.871,2.871,195.151,173.018,183.808
0.046,5.264,2.890,2.890,195.109,173.019,183.757
0.047,5.328,2.909,2.909,195.066,173.023,183.710
0.049,5.387,2.927,2.927,195.022,173.029,183.670
0.050,5.443,2.941,2.941,194.977,173.038,183.639
0.052,5.497,2.948,2.948,194.930,173.046,183.614
0.053,5.549,2.947,2.947,194.881,173.052,183.596
0.054,5.601,2.941,2.941,194.830,173.055,183.584
0.056,5.655,2.928,2.928,194.777,173.054,183.578
0.057,5.712,2.910,2.910,194.721,173.046,183.577
0.059,5.772,2.886,2.886,194.662,173.031,183.581
0.060,5.840,2.859,2.859,194.600,173.006,183.588
0.062,5.915,2.828,2.828,194.535,172.970,183.599
0.063,6.001,2.794,2.794,194.465,172.922,183.614
0.064,6.097,2.759,2.759,194.393,172.862,183.630
0.066,6.201,2.723,2.723,194.317,172.792,183.648
0.067,6.311,2.688,2.688,194.240,172.716,183.667
0.069,6.425,2.656,2.656,194.161,172.635,183.685
0.070,6.539,2.626,2.626,194.083,172.555,183.702
0.072,6.651,2.601,2.601,194.005,172.476,183.717
0.073,6.758,2.581,2.581,193.929,172.402,183.729
0.074,6.857,2.565,2.565,193.855,172.336,183.736
0.076,6.947,2.553,2.553,193.784,172.280,183.738
0.077,7.026,2.545,2.545,193.717,172.238,183.735
0.079,7.093,2.540,2.540,193.656,172.213,183.724
0.080,7.153,2.538,2.538,193.599,172.202,183.708
0.082,7.208,2.539,2.539,193.547,172.202,183.688
0.083,7.260,2.541,2.541,193.500,172.206,183.670
0.085,7.306,2.543,2.543,193.456,172.211,183.655
0.086,7.347,2.540,2.540,193.416,172.209,183.647
0.087,7.387,2.532,2.532,193.378,172.196,183.650
0.089,7.435,2.515,2.515,193.343,172.167,183.666
0.090,7.504,2.487,2.487,193.310,172.116,183.699
0.092,7.604,2.447,2.447,193.278,172.038,183.752
0.093,7.741,2.396,2.396,193.248,171.927,183.828
0.095,7.924,2.339,2.339,193.218,171.779,183.930
0.096,8.149,2.281,2.281,193.188,171.596,184.057
0.097,8.409,2.229,2.229,193.160,171.383,184.204
0.099,8.696,2.187,2.187,193.132,171.148,184.366
0.100,9.000,2.162,2.162,193.107,170.898,184.538
0.102,9.314,2.158,2.158,193.084,170.640,184.714
0.103,9.628,2.176,2.176,193.063,170.380,184.891
0.105,9.934,2.210,2.210,193.045,170.127,185.061
0.106,10.224,2.256,2.256,193.030,169.886,185.222
0.107,10.488,2.308,2.308,193.020,169.666,185.366
0.109,10.718,2.361,2.361,193.013,169.472,185.490
0.110,10.907,2.409,2.409,193.011,169.311,185.589
0.112,11.053,2.449,2.449,193.012,169.184,185.662
0.113,11.162,2.476,2.476,193.016,169.088,185.712
0.115,11.239,2.493,2.493,193.022,169.018,185.743
0.116,11.288,2.501,2.501,193.028,168.971,185.758
0.117,11.315,2.502,2.502,193.033,168.944,185.758
0.119,11.331,2.497,2.497,193.036,168.933,185.748
0.120,11.348,2.486,2.486,193.035,168.934,185.731
0.122,11.373,2.472,2.472,193.030,168.944,185.708
0.123,11.404,2.457,2.457,193.020,168.959,185.684
0.125,11.437,2.441,2.441,193.002,168.976,185.661
0.126,11.472,2.426,2.426,192.977,168.991,185.642
0.128,11.509,2.414,2.414,192.945,169.002,185.628
0.129,11.548,2.406,2.406,192.908,169.010,185.619
0.130,11.588,2.403,2.403,192.867,169.013,185.616
0.132,11.630,2.408,2.408,192.826,169.012,185.617
0.133,11.672,2.420,2.420,192.785,169.004,185.625
0.135,11.714,2.437,2.437,192.747,168.991,185.637
0.136,11.758,2.458,2.458,192.713,168.971,185.656
0.138,11.803,2.480,2.480,192.686,168.945,185.680
0.139,11.853,2.502,2.502,192.667,168.910,185.710
0.140,11.909,2.521,2.521,192.658,168.867,185.746
0.142,11.976,2.535,2.535,192.661,168.816,185.788
0.143,12.052,2.544,2.544,192.674,168.756,185.835
0.145,12.139,2.548,2.548,192.694,168.690,185.886
0.146,12.232,2.548,2.548,192.718,168.617,185.939
0.148,12.330,2.544,2.544,192.744,168.540,185.993
0.149,12.431,2.537,2.537,192.768,168.458,186.048
0.150,12.533,2.528,2.528,192.789,168.373,186.101
0.152,12.634,2.517,2.517,192.802,168.286,186.151
0.153,12.734,2.506,2.506,192.805,168.198,186.197
0.155,12.832,2.496,2.496,192.796,168.110,186.238
0.156,12.929,2.489,2.489,192.771,168.023,186.273
0.158,13.028,2.487,2.487,192.729,167.937,186.300
0.159,13.133,2.492,2.492,192.669,167.853,186.321
0.160,13.244,2.504,2.504,192.596,167.771,186.337
0.162,13.362,2.526,2.526,192.510,167.691,186.350
0.163,13.486,2.559,2.559,192.415,167.613,186.362
0.165,13.615,2.599,2.599,192.311,167.536,186.375
