"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.068,2.068,186.135,172.870,194.819
0.001,0.336,2.256,2.256,185.827,172.897,194.949
0.002,0.668,2.442,2.442,185.521,172.923,195.078
0.004,0.996,2.625,2.625,185.220,172.949,195.205
0.005,1.314,2.802,2.802,184.928,172.975,195.329
0.006,1.622,2.972,2.972,184.646,173.000,195.448
0.007,1.915,3.133,3.133,184.377,173.025,195.562
0.009,2.191,3.284,3.284,184.124,173.049,195.669
0.010,2.447,3.422,3.422,183.889,173.071,195.770
0.011,2.681,3.547,3.547,183.675,173.093,195.861
0.012,2.889,3.657,3.657,183.484,173.114,195.943
0.014,3.069,3.753,3.753,183.320,173.133,196.014
0.015,3.218,3.837,3.837,183.185,173.151,196.073
0.016,3.334,3.907,3.907,183.080,173.167,196.119
0.017,3.419,3.966,3.966,183.004,173.182,196.154
0.018,3.477,4.013,4.013,182.953,173.195,196.178
0.020,3.512,4.049,4.049,182.922,173.205,196.193
0.021,3.529,4.074,4.074,182.909,173.213,196.200
0.022,3.535,4.090,4.090,182.909,173.219,196.200
0.023,3.547,4.099,4.099,182.918,173.223,196.195
0.025,3.565,4.102,4.102,182.934,173.224,196.185
0.026,3.587,4.102,4.102,182.952,173.221,196.173
0.027,3.609,4.101,4.101,182.968,173.216,196.159
0.028,3.629,4.100,4.100,182.979,173.208,196.145
0.030,3.646,4.101,4.101,182.981,173.196,196.133
0.031,3.667,4.107,4.107,182.971,173.181,196.122
0.032,3.698,4.119,4.119,182.948,173.162,196.114
0.033,3.738,4.134,4.134,182.914,173.141,196.109
0.034,3.786,4.153,4.153,182.872,173.118,196.106
0.036,3.842,4.174,4.174,182.822,173.093,196.106
0.037,3.903,4.196,4.196,182.767,173.067,196.109
0.038,3.967,4.219,4.219,182.709,173.040,196.114
0.039,4.034,4.241,4.241,182.649,173.013,196.122
0.041,4.101,4.262,4.262,182.588,172.986,196.132
0.042,4.166,4.281,4.281,182.530,172.960,196.145
0.043,4.228,4.298,4.298,182.474,172.935,196.160
0.044,4.286,4.312,4.312,182.425,172.912,196.178
0.046,4.338,4.325,4.325,182.382,172.891,196.198
0.047,4.384,4.335,4.335,182.346,172.873,196.220
0.048,4.425,4.344,4.344,182.317,172.857,196.244
0.049,4.461,4.351,4.351,182.294,172.843,196.269
0.050,4.494,4.356,4.356,182.277,172.831,196.294
0.052,4.523,4.360,4.360,182.264,172.821,196.318
0.053,4.549,4.363,4.363,182.257,172.814,196.342
0.054,4.572,4.364,4.364,182.253,172.808,196.365
0.055,4.593,4.364,4.364,182.252,172.804,196.385
0.057,4.611,4.363,4.363,182.255,172.802,196.402
0.058,4.626,4.362,4.362,182.259,172.802,196.417
0.059,4.638,4.359,4.359,182.265,172.803,196.427
0.060,4.648,4.357,4.357,182.273,172.806,196.433
0.062,4.657,4.354,4.354,182.280,172.810,196.435
0.063,4.666,4.350,4.350,182.288,172.815,196.434
0.064,4.676,4.347,4.347,182.295,172.820,196.430
0.065,4.685,4.344,4.344,182.302,172.824,196.425
0.067,4.692,4.342,4.342,182.306,172.828,196.420
0.068,4.698,4.340,4.340,182.308,172.831,196.416
0.069,4.701,4.340,4.340,182.308,172.832,196.413
0.070,4.705,4.340,4.340,182.304,172.830,196.414
0.071,4.714,4.341,4.341,182.296,172.826,196.418
0.073,4.731,4.344,4.344,182.284,172.818,196.426
0.074,4.756,4.347,4.347,182.267,172.807,196.440
0.075,4.791,4.351,4.351,182.244,172.791,196.461
0.076,4.835,4.355,4.355,182.216,172.771,196.489
0.078,4.887,4.358,4.358,182.184,172.747,196.523
0.079,4.946,4.361,4.361,182.148,172.721,196.561
0.080,5.010,4.363,4.363,182.110,172.691,196.602
0.081,5.076,4.362,4.362,182.070,172.660,196.646
0.083,5.145,4.361,4.361,182.030,172.628,196.691
0.084,5.213,4.358,4.358,181.991,172.596,196.736
0.085,5.279,4.353,4.353,181.953,172.563,196.779
0.086,5.342,4.349,4.349,181.918,172.532,196.821
0.087,5.399,4.343,4.343,181.887,172.501,196.859
0.089,5.450,4.338,4.338,181.861,172.473,196.893
0.090,5.493,4.333,4.333,181.840,172.448,196.921
0.091,5.528,4.328,4.328,181.826,172.426,196.943
0.092,5.555,4.324,4.324,181.817,172.406,196.959
0.094,5.576,4.321,4.321,181.811,172.389,196.969
0.095,5.592,4.319,4.319,181.809,172.373,196.975
0.096,5.607,4.317,4.317,181.808,172.359,196.976
0.097,5.621,4.316,4.316,181.808,172.345,196.972
0.099,5.636,4.316,4.316,181.808,172.332,196.965
0.100,5.652,4.316,4.316,181.806,172.319,196.955
0.101,5.672,4.316,4.316,181.801,172.305,196.942
0.102,5.695,4.317,4.317,181.792,172.291,196.927
0.103,5.722,4.318,4.318,181.778,172.275,196.910
0.105,5.755,4.316,4.316,181.758,172.257,196.891
0.106,5.794,4.311,4.311,181.731,172.236,196.872
0.107,5.841,4.302,4.302,181.696,172.211,196.852
0.108,5.900,4.287,4.287,181.650,172.179,196.835
0.110,5.971,4.265,4.265,181.594,172.139,196.820
0.111,6.057,4.235,4.235,181.524,172.087,196.810
0.112,6.162,4.197,4.197,181.441,172.023,196.805
0.113,6.288,4.151,4.151,181.343,171.944,196.807
0.115,6.438,4.101,4.101,181.229,171.848,196.818
0.116,6.614,4.051,4.051,181.097,171.733,196.837
0.117,6.820,4.003,4.003,180.945,171.597,196.867
0.118,7.058,3.961,3.961,180.774,171.438,196.910
0.119,7.331,3.928,3.928,180.581,171.254,196.965
0.121,7.639,3.907,3.907,180.366,171.044,197.034
0.122,7.978,3.902,3.902,180.132,170.812,197.115
0.123,8.339,3.911,3.911,179.886,170.564,197.206
0.124,8.716,3.932,3.932,179.631,170.304,197.303
0.126,9.100,3.961,3.961,179.372,170.039,197.406
0.127,9.485,3.997,3.997,179.113,169.773,197.510
0.128,9.863,4.035,4.035,178.860,169.512,197.614
0.129,10.227,4.073,4.073,178.618,169.261,197.715
0.131,10.569,4.107,4.107,178.389,169.025,197.811
0.132,10.882,4.135,4.135,178.180,168.809,197.899
0.133,11.158,4.155,4.155,177.996,168.619,197.977
0.134,11.390,4.169,4.169,177.840,168.461,198.042
0.135,11.573,4.179,4.179,177.716,168.337,198.093
0.137,11.708,4.186,4.186,177.623,168.246,198.131
0.138,11.803,4.191,4.191,177.555,168.185,198.157
0.139,11.863,4.197,4.197,177.509,168.149,198.173
0.140,11.895,4.206,4.206,177.481,168.136,198.182
0.142,11.911,4.217,4.217,177.467,168.141,198.185
0.143,11.931,4.234,4.234,177.463,168.161,198.183
0.144,11.962,4.254,4.254,177.464,168.191,198.180
0.145,12.000,4.277,4.277,177.467,168.229,198.177
0.147,12.042,4.301,4.301,177.467,168.271,198.176
0.148,12.084,4.326,4.326,177.461,168.313,198.178
0.149,12.127,4.349,4.349,177.444,168.351,198.186
0.150,12.173,4.371,4.371,177.413,168.382,198.201
0.151,12.229,4.389,4.389,177.367,168.405,198.223
0.153,12.296,4.404,4.404,177.309,168.422,198.251
0.154,12.374,4.415,4.415,177.238,168.434,198.283
0.155,12.463,4.423,4.423,177.157,168.441,198.319
0.156,12.562,4.429,4.429,177.066,168.444,198.357
0.158,12.668,4.434,4.434,176.967,168.445,198.395
0.159,12.780,4.439,4.439,176.862,168.444,198.434
0.160,12.897,4.445,4.445,176.751,168.443,198.470
