"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.810,3.810,223.019,202.859,218.712
0.001,0.324,3.856,3.856,222.996,203.038,218.981
0.003,0.646,3.902,3.902,222.972,203.218,219.247
0.004,0.962,3.949,3.949,222.946,203.396,219.508
0.005,1.272,3.997,3.997,222.916,203.573,219.759
0.007,1.571,4.046,4.046,222.883,203.749,220.000
0.008,1.859,4.096,4.096,222.844,203.922,220.226
0.009,2.133,4.147,4.147,222.798,204.093,220.435
0.011,2.391,4.200,4.200,222.745,204.261,220.624
0.012,2.633,4.255,4.255,222.684,204.426,220.790
0.013,2.858,4.312,4.312,222.612,204.587,220.930
0.015,3.068,4.370,4.370,222.530,204.744,221.042
0.016,3.264,4.430,4.430,222.437,204.897,221.122
0.017,3.452,4.491,4.491,222.331,205.044,221.170
0.019,3.637,4.553,4.553,222.214,205.187,221.189
0.020,3.824,4.617,4.617,222.087,205.324,221.185
0.021,4.012,4.681,4.681,221.954,205.455,221.163
0.023,4.203,4.745,4.745,221.814,205.580,221.128
0.024,4.394,4.807,4.807,221.670,205.699,221.085
0.025,4.584,4.866,4.866,221.524,205.811,221.040
0.027,4.769,4.920,4.920,221.377,205.916,220.998
0.028,4.948,4.968,4.968,221.231,206.013,220.963
0.029,5.119,5.008,5.008,221.087,206.103,220.942
0.031,5.281,5.038,5.038,220.948,206.186,220.940
0.032,5.434,5.059,5.059,220.815,206.260,220.961
0.033,5.584,5.073,5.073,220.690,206.325,221.008
0.035,5.734,5.083,5.083,220.571,206.384,221.080
0.036,5.888,5.093,5.093,220.460,206.435,221.172
0.037,6.045,5.106,5.106,220.354,206.479,221.281
0.039,6.207,5.125,5.125,220.255,206.518,221.403
0.040,6.372,5.153,5.153,220.162,206.552,221.534
0.041,6.537,5.193,5.193,220.073,206.581,221.670
0.043,6.700,5.245,5.245,219.990,206.606,221.808
0.044,6.859,5.305,5.305,219.911,206.628,221.945
0.045,7.010,5.371,5.371,219.836,206.647,222.075
0.047,7.152,5.439,5.439,219.766,206.665,222.196
0.048,7.280,5.506,5.506,219.698,206.681,222.304
0.049,7.394,5.570,5.570,219.634,206.696,222.397
0.051,7.494,5.626,5.626,219.573,206.711,222.475
0.052,7.583,5.673,5.673,219.516,206.725,222.541
0.053,7.660,5.712,5.712,219.462,206.739,222.594
0.055,7.727,5.742,5.742,219.412,206.752,222.638
0.056,7.787,5.765,5.765,219.365,206.764,222.673
0.057,7.838,5.783,5.783,219.323,206.777,222.700
0.059,7.884,5.797,5.797,219.285,206.789,222.721
0.060,7.923,5.808,5.808,219.251,206.801,222.738
0.061,7.958,5.816,5.816,219.222,206.813,222.751
0.063,7.988,5.823,5.823,219.197,206.825,222.763
0.064,8.014,5.829,5.829,219.177,206.837,222.774
0.065,8.037,5.834,5.834,219.161,206.849,222.786
0.066,8.058,5.838,5.838,219.149,206.861,222.798
0.068,8.078,5.843,5.843,219.140,206.873,222.811
0.069,8.098,5.848,5.848,219.131,206.885,222.825
0.070,8.119,5.853,5.853,219.124,206.898,222.839
0.072,8.140,5.859,5.859,219.115,206.910,222.854
0.073,8.162,5.865,5.865,219.105,206.923,222.869
0.074,8.186,5.872,5.872,219.092,206.935,222.885
0.076,8.212,5.880,5.880,219.075,206.948,222.901
0.077,8.242,5.887,5.887,219.053,206.960,222.917
0.078,8.277,5.895,5.895,219.025,206.972,222.934
0.080,8.318,5.902,5.902,218.990,206.985,222.951
0.081,8.365,5.909,5.909,218.948,206.997,222.969
0.082,8.419,5.916,5.916,218.899,207.009,222.987
