"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.323,2.323,192.800,183.719,158.232
0.001,0.260,2.478,2.478,192.710,183.906,158.074
0.003,0.518,2.630,2.630,192.621,184.090,157.918
0.004,0.769,2.775,2.775,192.534,184.270,157.765
0.006,1.012,2.909,2.909,192.450,184.442,157.616
0.007,1.243,3.030,3.030,192.370,184.604,157.473
0.009,1.459,3.133,3.133,192.294,184.754,157.336
0.010,1.658,3.216,3.216,192.225,184.889,157.208
0.011,1.836,3.276,3.276,192.163,185.006,157.090
0.013,1.990,3.315,3.315,192.109,185.104,156.982
0.014,2.120,3.338,3.338,192.064,185.179,156.887
0.016,2.222,3.350,3.350,192.028,185.230,156.806
0.017,2.301,3.356,3.356,192.002,185.259,156.738
0.019,2.362,3.359,3.359,191.985,185.271,156.680
0.020,2.410,3.366,3.366,191.975,185.270,156.633
0.021,2.451,3.378,3.378,191.974,185.260,156.594
0.023,2.487,3.398,3.398,191.978,185.245,156.561
0.024,2.520,3.422,3.422,191.989,185.230,156.533
0.026,2.552,3.448,3.448,192.005,185.219,156.509
0.027,2.582,3.475,3.475,192.026,185.216,156.487
0.028,2.616,3.501,3.501,192.051,185.226,156.465
0.030,2.661,3.523,3.523,192.078,185.252,156.442
0.031,2.719,3.540,3.540,192.109,185.295,156.418
0.033,2.790,3.552,3.552,192.141,185.353,156.392
0.034,2.873,3.562,3.562,192.176,185.422,156.364
0.036,2.964,3.570,3.570,192.213,185.501,156.336
0.037,3.063,3.579,3.579,192.251,185.587,156.306
0.038,3.167,3.590,3.590,192.291,185.678,156.276
0.040,3.273,3.605,3.605,192.331,185.771,156.245
0.041,3.379,3.626,3.626,192.373,185.864,156.213
0.043,3.484,3.652,3.652,192.414,185.955,156.181
0.044,3.584,3.681,3.681,192.456,186.040,156.148
0.046,3.679,3.712,3.712,192.497,186.120,156.116
0.047,3.770,3.742,3.742,192.538,186.193,156.084
0.048,3.855,3.770,3.770,192.578,186.262,156.053
0.050,3.935,3.794,3.794,192.617,186.325,156.023
0.051,4.010,3.812,3.812,192.655,186.384,155.996
0.053,4.080,3.823,3.823,192.692,186.438,155.970
0.054,4.146,3.831,3.831,192.727,186.489,155.948
0.056,4.206,3.835,3.835,192.760,186.536,155.928
0.057,4.262,3.837,3.837,192.790,186.579,155.912
0.058,4.313,3.839,3.839,192.819,186.620,155.901
0.060,4.360,3.843,3.843,192.844,186.658,155.893
0.061,4.403,3.849,3.849,192.868,186.694,155.889
0.063,4.443,3.859,3.859,192.889,186.729,155.887
0.064,4.481,3.871,3.871,192.908,186.761,155.887
0.066,4.517,3.884,3.884,192.926,186.792,155.887
0.067,4.551,3.898,3.898,192.942,186.822,155.887
0.068,4.584,3.911,3.911,192.956,186.852,155.885
0.070,4.616,3.924,3.924,192.969,186.881,155.882
0.071,4.648,3.934,3.934,192.981,186.910,155.875
0.073,4.681,3.942,3.942,192.992,186.939,155.865
0.074,4.716,3.949,3.949,193.002,186.969,155.850
0.075,4.754,3.954,3.954,193.012,187.000,155.830
0.077,4.797,3.959,3.959,193.022,187.034,155.806
0.078,4.844,3.964,3.964,193.032,187.070,155.777
0.080,4.897,3.971,3.971,193.043,187.110,155.745
0.081,4.955,3.978,3.978,193.055,187.154,155.708
0.083,5.021,3.988,3.988,193.068,187.204,155.667
0.084,5.093,4.001,4.001,193.083,187.259,155.623
0.085,5.174,4.016,4.016,193.099,187.322,155.574
0.087,5.263,4.034,4.034,193.118,187.391,155.523
0.088,5.360,4.056,4.056,193.139,187.469,155.468
0.090,5.465,4.081,4.081,193.163,187.554,155.411
0.091,5.575,4.110,4.110,193.188,187.644,155.353
0.093,5.687,4.143,4.143,193.215,187.737,155.296
0.094,5.801,4.179,4.179,193.242,187.833,155.242
0.095,5.913,4.215,4.215,193.270,187.929,155.191
0.097,6.022,4.251,4.251,193.298,188.024,155.146
0.098,6.127,4.286,4.286,193.325,188.117,155.107
0.100,6.224,4.317,4.317,193.352,188.205,155.075
0.101,6.313,4.343,4.343,193.377,188.288,155.054
0.103,6.393,4.364,4.364,193.400,188.363,155.043
0.104,6.464,4.381,4.381,193.422,188.431,155.042
0.105,6.528,4.394,4.394,193.441,188.492,155.049
0.107,6.587,4.404,4.404,193.459,188.546,155.063
0.108,6.640,4.414,4.414,193.475,188.594,155.082
0.110,6.689,4.424,4.424,193.488,188.635,155.105
0.111,6.734,4.436,4.436,193.500,188.670,155.129
