"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.024,3.024,230.633,232.743,264.669
0.001,0.226,3.094,3.094,230.829,232.682,264.762
0.003,0.449,3.164,3.164,231.024,232.622,264.854
0.004,0.669,3.234,3.234,231.215,232.562,264.945
0.005,0.882,3.304,3.304,231.400,232.504,265.032
0.007,1.087,3.373,3.373,231.578,232.447,265.116
0.008,1.282,3.442,3.442,231.748,232.392,265.195
0.009,1.464,3.511,3.511,231.906,232.340,265.269
0.010,1.632,3.579,3.579,232.052,232.291,265.336
0.012,1.783,3.646,3.646,232.184,232.246,265.395
0.013,1.916,3.711,3.711,232.299,232.204,265.446
0.014,2.029,3.772,3.772,232.396,232.167,265.488
0.016,2.119,3.828,3.828,232.474,232.134,265.520
0.017,2.187,3.877,3.877,232.532,232.106,265.542
0.018,2.237,3.919,3.919,232.574,232.082,265.556
0.020,2.273,3.951,3.951,232.603,232.062,265.564
0.021,2.297,3.973,3.973,232.620,232.046,265.567
0.022,2.313,3.985,3.985,232.630,232.033,265.567
0.023,2.325,3.990,3.990,232.634,232.022,265.565
0.025,2.334,3.991,3.991,232.635,232.013,265.563
0.026,2.340,3.990,3.990,232.636,232.007,265.563
0.027,2.348,3.991,3.991,232.641,232.002,265.567
0.029,2.362,3.996,3.996,232.650,231.998,265.576
0.030,2.386,4.008,4.008,232.669,231.994,265.591
0.031,2.423,4.030,4.030,232.697,231.991,265.615
0.033,2.472,4.061,4.061,232.734,231.987,265.646
0.034,2.529,4.098,4.098,232.779,231.983,265.682
0.035,2.595,4.139,4.139,232.830,231.978,265.722
0.036,2.666,4.181,4.181,232.885,231.972,265.766
0.038,2.740,4.220,4.220,232.943,231.964,265.812
0.039,2.815,4.255,4.255,233.001,231.954,265.859
0.040,2.890,4.282,4.282,233.059,231.941,265.905
0.042,2.963,4.300,4.300,233.115,231.926,265.949
0.043,3.031,4.310,4.310,233.166,231.907,265.991
0.044,3.094,4.313,4.313,233.212,231.885,266.027
0.046,3.151,4.311,4.311,233.251,231.858,266.059
0.047,3.202,4.306,4.306,233.282,231.828,266.086
0.048,3.251,4.300,4.300,233.308,231.794,266.110
0.049,3.300,4.294,4.294,233.329,231.757,266.133
0.051,3.351,4.291,4.291,233.347,231.716,266.159
0.052,3.406,4.291,4.291,233.363,231.672,266.188
0.053,3.467,4.296,4.296,233.378,231.625,266.223
