"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.728,1.728,268.563,244.061,239.562
0.001,0.107,1.771,1.771,268.608,244.037,239.657
0.003,0.213,1.812,1.813,268.652,244.014,239.750
0.004,0.318,1.852,1.852,268.697,243.992,239.843
0.005,0.422,1.888,1.889,268.743,243.972,239.934
0.006,0.525,1.921,1.921,268.789,243.954,240.024
0.008,0.625,1.947,1.948,268.836,243.939,240.111
0.009,0.723,1.968,1.968,268.884,243.927,240.195
0.010,0.818,1.980,1.980,268.934,243.919,240.276
0.012,0.911,1.985,1.985,268.986,243.915,240.353
0.013,1.001,1.984,1.983,269.039,243.917,240.426
0.014,1.089,1.977,1.976,269.094,243.923,240.494
0.015,1.174,1.967,1.965,269.150,243.936,240.557
0.017,1.255,1.956,1.954,269.205,243.951,240.614
0.018,1.328,1.944,1.943,269.255,243.966,240.665
0.019,1.388,1.934,1.934,269.296,243.976,240.708
0.021,1.432,1.928,1.928,269.322,243.978,240.744
0.022,1.463,1.926,1.928,269.331,243.968,240.771
0.023,1.497,1.930,1.934,269.319,243.942,240.790
0.024,1.557,1.940,1.946,269.280,243.897,240.798
0.026,1.654,1.957,1.963,269.212,243.829,240.797
0.027,1.794,1.982,1.988,269.110,243.734,240.784
0.028,1.984,2.015,2.020,268.969,243.608,240.760
0.030,2.228,2.057,2.060,268.788,243.449,240.724
0.031,2.521,2.109,2.107,268.569,243.259,240.677
0.032,2.853,2.171,2.163,268.321,243.046,240.621
0.033,3.214,2.240,2.225,268.051,242.815,240.560
0.035,3.593,2.314,2.293,267.766,242.573,240.494
0.036,3.979,2.391,2.367,267.476,242.327,240.428
0.037,4.363,2.468,2.444,267.187,242.084,240.361
0.039,4.734,2.544,2.525,266.907,241.848,240.298
0.040,5.082,2.616,2.608,266.644,241.628,240.240
0.041,5.396,2.682,2.693,266.406,241.430,240.190
0.042,5.665,2.742,2.778,266.200,241.260,240.150
0.044,5.882,2.795,2.860,266.034,241.124,240.121
0.045,6.044,2.842,2.937,265.908,241.023,240.105
0.046,6.160,2.883,3.008,265.817,240.952,240.099
0.047,6.235,2.919,3.069,265.756,240.908,240.102
0.049,6.279,2.950,3.118,265.720,240.885,240.113
0.050,6.303,2.976,3.154,265.703,240.881,240.130
0.051,6.326,2.999,3.174,265.702,240.889,240.151
0.053,6.357,3.017,3.179,265.709,240.908,240.175
0.054,6.394,3.033,3.174,265.721,240.931,240.200
0.055,6.431,3.049,3.162,265.733,240.955,240.226
0.056,6.463,3.063,3.147,265.739,240.977,240.249
0.058,6.488,3.079,3.133,265.734,240.990,240.269
0.059,6.512,3.097,3.123,265.717,240.995,240.286
0.060,6.543,3.118,3.122,265.690,240.991,240.299
0.062,6.582,3.144,3.133,265.654,240.981,240.310
0.063,6.629,3.172,3.154,265.612,240.963,240.320
0.064,6.682,3.203,3.183,265.565,240.940,240.328
0.065,6.739,3.234,3.217,265.515,240.913,240.336
0.067,6.798,3.264,3.253,265.465,240.882,240.344
0.068,6.858,3.293,3.288,265.416,240.849,240.353
0.069,6.917,3.317,3.319,265.370,240.813,240.363
0.071,6.973,3.337,3.343,265.330,240.777,240.376
0.072,7.024,3.351,3.357,265.297,240.741,240.391
0.073,7.072,3.360,3.363,265.272,240.705,240.409
0.074,7.118,3.365,3.365,265.252,240.668,240.429
0.076,7.164,3.367,3.363,265.236,240.629,240.448
0.077,7.212,3.368,3.361,265.222,240.587,240.465
0.078,7.262,3.369,3.361,265.207,240.541,240.479
0.080,7.317,3.372,3.366,265.190,240.489,240.488
0.081,7.379,3.378,3.378,265.168,240.431,240.491
0.082,7.450,3.387,3.399,265.140,240.366,240.485
0.083,7.534,3.400,3.428,265.103,240.292,240.471
0.085,7.634,3.416,3.462,265.056,240.208,240.445
0.086,7.753,3.435,3.499,264.996,240.113,240.407
0.087,7.891,3.455,3.537,264.923,240.007,240.356
0.089,8.046,3.478,3.575,264.838,239.892,240.294
0.090,8.213,3.501,3.609,264.746,239.772,240.224
0.091,8.388,3.526,3.638,264.648,239.648,240.148
0.092,8.567,3.550,3.661,264.548,239.524,240.068
0.094,8.744,3.575,3.677,264.448,239.402,239.987
0.095,8.917,3.597,3.688,264.350,239.284,239.908
0.096,9.079,3.618,3.694,264.258,239.174,239.832
0.098,9.227,3.636,3.695,264.175,239.074,239.762
0.099,9.356,3.651,3.694,264.102,238.986,239.701
0.100,9.463,3.661,3.689,264.044,238.913,239.650
0.101,9.543,3.667,3.682,264.001,238.857,239.612
0.103,9.599,3.668,3.673,263.972,238.817,239.585
0.104,9.635,3.664,3.664,263.955,238.791,239.568
0.105,9.653,3.658,3.654,263.948,238.776,239.560
0.107,9.658,3.651,3.645,263.950,238.771,239.559
0.108,9.668,3.643,3.638,263.959,238.774,239.564
0.109,9.687,3.636,3.632,263.972,238.783,239.573
0.110,9.710,3.631,3.629,263.987,238.796,239.584
0.112,9.736,3.629,3.630,264.004,238.812,239.597
0.113,9.762,3.631,3.634,264.019,238.828,239.611
0.114,9.785,3.635,3.641,264.030,238.843,239.622
0.116,9.801,3.641,3.649,264.038,238.855,239.632
0.117,9.813,3.648,3.659,264.041,238.864,239.638
0.118,9.820,3.656,3.668,264.040,238.870,239.642
0.119,9.825,3.663,3.676,264.037,238.873,239.644
0.121,9.829,3.668,3.682,264.033,238.874,239.644
0.122,9.835,3.671,3.686,264.027,238.873,239.642
0.123,9.842,3.672,3.687,264.022,238.870,239.638
0.125,9.850,3.670,3.685,264.018,238.865,239.634
0.126,9.859,3.667,3.682,264.015,238.859,239.628
0.127,9.869,3.663,3.677,264.016,238.852,239.621
0.128,9.880,3.657,3.672,264.020,238.844,239.614
0.130,9.895,3.651,3.666,264.028,238.835,239.606
0.131,9.913,3.645,3.660,264.040,238.824,239.597
0.132,9.935,3.638,3.656,264.055,238.812,239.586
0.134,9.962,3.631,3.651,264.071,238.796,239.572
0.135,9.993,3.623,3.645,264.087,238.776,239.554
