"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.126,2.126,233.256,257.718,265.069
0.001,0.105,2.156,2.156,233.179,257.663,265.115
0.002,0.211,2.186,2.186,233.101,257.608,265.160
0.003,0.316,2.215,2.215,233.024,257.553,265.206
0.005,0.421,2.243,2.243,232.947,257.498,265.252
0.006,0.525,2.271,2.271,232.870,257.444,265.297
0.007,0.629,2.296,2.296,232.794,257.390,265.342
0.008,0.733,2.320,2.320,232.719,257.336,265.388
0.009,0.835,2.342,2.342,232.643,257.282,265.432
0.010,0.937,2.362,2.362,232.569,257.229,265.477
0.012,1.038,2.379,2.379,232.495,257.176,265.521
0.013,1.138,2.394,2.394,232.422,257.124,265.565
0.014,1.237,2.408,2.408,232.350,257.072,265.608
0.015,1.333,2.420,2.420,232.278,257.023,265.649
0.016,1.423,2.430,2.430,232.207,256.978,265.681
0.017,1.508,2.441,2.441,232.133,256.941,265.702
0.019,1.588,2.450,2.450,232.059,256.914,265.706
0.020,1.668,2.460,2.460,231.981,256.899,265.690
0.021,1.759,2.470,2.470,231.900,256.900,265.650
0.022,1.871,2.482,2.482,231.815,256.918,265.579
0.023,2.014,2.500,2.500,231.725,256.957,265.475
0.024,2.196,2.525,2.525,231.629,257.019,265.333
0.025,2.424,2.563,2.563,231.526,257.107,265.149
0.027,2.705,2.615,2.615,231.417,257.223,264.918
0.028,3.039,2.684,2.684,231.300,257.367,264.641
0.029,3.416,2.775,2.775,231.179,257.535,264.325
0.030,3.826,2.889,2.889,231.056,257.721,263.981
0.031,4.258,3.029,3.029,230.935,257.920,263.618
0.032,4.700,3.191,3.191,230.816,258.126,263.245
0.034,5.142,3.366,3.366,230.705,258.334,262.871
0.035,5.573,3.548,3.548,230.602,258.540,262.507
0.036,5.981,3.729,3.729,230.511,258.737,262.161
0.037,6.356,3.902,3.902,230.435,258.921,261.844
0.038,6.686,4.058,4.058,230.375,259.085,261.563
0.039,6.961,4.191,4.191,230.336,259.225,261.330
0.041,7.173,4.293,4.293,230.318,259.337,261.151
0.042,7.326,4.359,4.359,230.321,259.422,261.023
0.043,7.430,4.394,4.394,230.342,259.482,260.941
0.044,7.499,4.402,4.402,230.377,259.522,260.898
0.045,7.552,4.389,4.389,230.424,259.544,260.887
0.046,7.612,4.360,4.360,230.481,259.553,260.902
0.047,7.684,4.322,4.322,230.544,259.550,260.937
0.049,7.767,4.279,4.279,230.611,259.540,260.986
0.050,7.857,4.238,4.238,230.679,259.525,261.042
0.051,7.945,4.202,4.202,230.745,259.509,261.099
0.052,8.026,4.176,4.176,230.806,259.495,261.150
0.053,8.093,4.159,4.159,230.860,259.487,261.189
0.054,8.146,4.149,4.149,230.906,259.486,261.215
0.056,8.184,4.147,4.147,230.942,259.491,261.228
0.057,8.214,4.150,4.150,230.969,259.504,261.230
0.058,8.242,4.159,4.159,230.986,259.525,261.223
