"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.787,2.787,258.611,235.139,242.266
0.001,0.253,2.875,2.875,258.477,235.003,242.100
0.003,0.504,2.964,2.964,258.344,234.868,241.936
0.004,0.751,3.055,3.055,258.212,234.736,241.775
0.006,0.992,3.148,3.148,258.083,234.607,241.618
0.007,1.225,3.244,3.244,257.957,234.482,241.466
0.009,1.448,3.344,3.344,257.835,234.363,241.322
0.010,1.660,3.449,3.449,257.718,234.251,241.186
0.012,1.857,3.559,3.559,257.606,234.148,241.060
0.013,2.040,3.670,3.670,257.501,234.053,240.944
0.014,2.204,3.778,3.778,257.404,233.969,240.842
0.016,2.349,3.879,3.879,257.314,233.896,240.753
0.017,2.474,3.970,3.970,257.234,233.836,240.680
0.019,2.579,4.045,4.045,257.162,233.788,240.621
0.020,2.666,4.101,4.101,257.099,233.750,240.574
0.022,2.737,4.135,4.135,257.044,233.723,240.538
0.023,2.794,4.150,4.150,256.998,233.703,240.511
0.025,2.839,4.150,4.150,256.959,233.692,240.492
0.026,2.874,4.141,4.141,256.928,233.686,240.478
0.027,2.900,4.124,4.124,256.904,233.685,240.468
0.029,2.918,4.107,4.107,256.887,233.689,240.460
0.030,2.932,4.091,4.091,256.877,233.695,240.453
0.032,2.944,4.081,4.081,256.874,233.703,240.445
0.033,2.958,4.078,4.078,256.876,233.712,240.434
0.035,2.977,4.078,4.078,256.885,233.720,240.419
0.036,2.999,4.083,4.083,256.898,233.727,240.403
0.038,3.025,4.091,4.091,256.915,233.733,240.385
0.039,3.053,4.101,4.101,256.934,233.737,240.365
0.040,3.082,4.112,4.112,256.956,233.738,240.345
0.042,3.113,4.124,4.124,256.979,233.736,240.324
0.043,3.144,4.136,4.136,257.001,233.729,240.304
0.045,3.175,4.148,4.148,257.023,233.718,240.286
0.046,3.206,4.159,4.159,257.043,233.701,240.269
0.048,3.238,4.169,4.169,257.060,233.678,240.254
0.049,3.272,4.178,4.178,257.074,233.649,240.242
0.051,3.311,4.185,4.185,257.084,233.613,240.232
0.052,3.355,4.191,4.191,257.091,233.571,240.222
0.053,3.403,4.195,4.195,257.097,233.524,240.212
0.055,3.457,4.197,4.197,257.102,233.472,240.197
0.056,3.516,4.198,4.198,257.106,233.416,240.178
0.058,3.581,4.199,4.199,257.112,233.357,240.152
0.059,3.652,4.198,4.198,257.120,233.296,240.117
0.061,3.731,4.196,4.196,257.130,233.232,240.072
0.062,3.819,4.194,4.194,257.145,233.168,240.015
0.064,3.917,4.193,4.193,257.163,233.102,239.943
0.065,4.029,4.193,4.193,257.188,233.037,239.855
0.066,4.154,4.196,4.196,257.218,232.973,239.752
0.068,4.290,4.203,4.203,257.253,232.910,239.637
0.069,4.432,4.214,4.214,257.292,232.851,239.514
0.071,4.577,4.232,4.232,257.333,232.795,239.386
0.072,4.722,4.255,4.255,257.376,232.743,239.258
0.074,4.862,4.283,4.283,257.420,232.698,239.134
0.075,4.993,4.312,4.312,257.463,232.658,239.016
0.077,5.112,4.341,4.341,257.505,232.627,238.910
0.078,5.214,4.367,4.367,257.545,232.604,238.818
0.079,5.297,4.388,4.388,257.581,232.590,238.745
0.081,5.357,4.401,4.401,257.612,232.587,238.694
0.082,5.395,4.405,4.405,257.639,232.593,238.668
0.084,5.421,4.402,4.402,257.660,232.607,238.660
0.085,5.446,4.393,4.393,257.676,232.625,238.667
0.087,5.473,4.381,4.381,257.688,232.642,238.684
0.088,5.500,4.368,4.368,257.696,232.657,238.706
0.090,5.523,4.357,4.357,257.699,232.665,238.727
0.091,5.539,4.348,4.348,257.699,232.662,238.743
0.092,5.556,4.344,4.344,257.695,232.647,238.748
0.094,5.591,4.343,4.343,257.688,232.614,238.738
0.095,5.653,4.344,4.344,257.678,232.561,238.708
0.097,5.748,4.344,4.344,257.665,232.485,238.652
0.098,5.881,4.342,4.342,257.649,232.383,238.568
0.100,6.047,4.336,4.336,257.631,232.259,238.459
0.101,6.239,4.323,4.323,257.611,232.118,238.331
0.103,6.449,4.304,4.304,257.589,231.965,238.188
0.104,6.671,4.278,4.278,257.566,231.805,238.036
0.105,6.897,4.248,4.248,257.542,231.643,237.881
0.107,7.120,4.214,4.214,257.517,231.484,237.727
0.108,7.332,4.179,4.179,257.491,231.333,237.579
0.110,7.528,4.143,4.143,257.466,231.194,237.444
0.111,7.699,4.107,4.107,257.440,231.074,237.325
0.113,7.838,4.074,4.074,257.415,230.976,237.229
0.114,7.940,4.044,4.044,257.391,230.905,237.160
