"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.787,1.947,75.910,-51.115,-3.422
0.001,0.099,1.804,1.974,75.844,-51.182,-3.453
0.003,0.197,1.820,1.999,75.778,-51.249,-3.483
0.004,0.295,1.837,2.024,75.713,-51.314,-3.513
0.005,0.390,1.856,2.048,75.649,-51.379,-3.541
0.007,0.484,1.876,2.070,75.585,-51.442,-3.569
0.008,0.574,1.898,2.091,75.523,-51.503,-3.595
0.010,0.662,1.923,2.108,75.463,-51.562,-3.620
0.011,0.746,1.950,2.124,75.404,-51.617,-3.642
0.012,0.826,1.980,2.137,75.348,-51.670,-3.662
0.014,0.901,2.011,2.148,75.294,-51.719,-3.679
0.015,0.970,2.044,2.159,75.243,-51.764,-3.694
0.016,1.034,2.076,2.170,75.194,-51.804,-3.705
0.018,1.093,2.108,2.182,75.149,-51.840,-3.713
0.019,1.144,2.138,2.196,75.107,-51.870,-3.717
0.021,1.191,2.166,2.212,75.068,-51.896,-3.718
0.022,1.233,2.192,2.232,75.032,-51.917,-3.715
0.023,1.273,2.215,2.254,74.997,-51.935,-3.710
0.025,1.312,2.238,2.279,74.962,-51.951,-3.703
0.026,1.351,2.261,2.305,74.927,-51.965,-3.694
0.027,1.391,2.284,2.332,74.891,-51.979,-3.685
0.029,1.433,2.309,2.360,74.852,-51.994,-3.675
0.030,1.478,2.336,2.388,74.811,-52.009,-3.666
0.032,1.528,2.365,2.416,74.765,-52.027,-3.657
0.033,1.583,2.398,2.444,74.715,-52.048,-3.650
0.034,1.644,2.434,2.472,74.659,-52.073,-3.645
0.036,1.714,2.472,2.502,74.596,-52.103,-3.643
0.037,1.793,2.513,2.534,74.526,-52.138,-3.643
0.038,1.881,2.557,2.568,74.448,-52.180,-3.648
0.040,1.980,2.603,2.606,74.362,-52.228,-3.656
0.041,2.087,2.651,2.647,74.270,-52.281,-3.670
0.043,2.201,2.701,2.693,74.173,-52.338,-3.689
0.044,2.322,2.754,2.742,74.071,-52.398,-3.714
0.045,2.448,2.809,2.796,73.966,-52.460,-3.745
0.047,2.579,2.866,2.854,73.859,-52.524,-3.784
0.048,2.713,2.925,2.916,73.750,-52.588,-3.831
0.049,2.851,2.987,2.982,73.641,-52.652,-3.887
0.051,2.992,3.051,3.052,73.532,-52.715,-3.951
0.052,3.136,3.117,3.126,73.426,-52.776,-4.025
0.053,3.282,3.184,3.203,73.321,-52.834,-4.110
0.055,3.431,3.252,3.282,73.221,-52.888,-4.205
0.056,3.582,3.319,3.362,73.125,-52.937,-4.311
