"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.438,3.438,289.763,292.960,299.599
0.001,0.167,3.431,3.431,289.615,293.032,299.628
0.002,0.333,3.425,3.425,289.468,293.103,299.655
0.004,0.499,3.422,3.422,289.320,293.173,299.681
0.005,0.664,3.421,3.421,289.171,293.240,299.706
0.006,0.827,3.423,3.423,289.022,293.305,299.727
0.007,0.990,3.431,3.431,288.872,293.365,299.746
0.009,1.151,3.444,3.444,288.721,293.420,299.760
0.010,1.311,3.464,3.464,288.569,293.469,299.770
0.011,1.471,3.491,3.491,288.416,293.512,299.775
0.012,1.629,3.526,3.526,288.261,293.547,299.774
0.013,1.788,3.568,3.568,288.105,293.575,299.766
0.015,1.948,3.615,3.615,287.947,293.593,299.752
0.016,2.109,3.669,3.669,287.788,293.603,299.730
0.017,2.269,3.727,3.727,287.629,293.605,299.704
0.018,2.429,3.789,3.789,287.473,293.601,299.672
0.019,2.587,3.854,3.854,287.319,293.593,299.638
0.021,2.741,3.923,3.923,287.170,293.580,299.602
0.022,2.889,3.993,3.993,287.027,293.565,299.566
0.023,3.030,4.063,4.063,286.892,293.550,299.530
0.024,3.162,4.133,4.133,286.765,293.534,299.496
0.026,3.283,4.200,4.200,286.649,293.519,299.465
0.027,3.392,4.262,4.262,286.544,293.507,299.439
0.028,3.486,4.319,4.319,286.453,293.499,299.418
0.029,3.565,4.369,4.369,286.375,293.496,299.403
0.030,3.631,4.410,4.410,286.310,293.497,299.394
0.032,3.686,4.441,4.441,286.255,293.503,299.392
0.033,3.731,4.464,4.464,286.211,293.513,299.395
0.034,3.771,4.480,4.480,286.175,293.527,299.402
0.035,3.808,4.490,4.490,286.145,293.545,299.415
0.036,3.845,4.495,4.495,286.120,293.567,299.432
0.038,3.884,4.498,4.498,286.099,293.592,299.453
0.039,3.926,4.500,4.500,286.080,293.621,299.477
0.040,3.972,4.502,4.502,286.062,293.652,299.505
0.041,4.022,4.506,4.506,286.043,293.687,299.535
0.043,4.076,4.512,4.512,286.022,293.724,299.568
0.044,4.133,4.518,4.518,285.998,293.763,299.603
0.045,4.193,4.526,4.526,285.973,293.804,299.638
0.046,4.253,4.535,4.535,285.947,293.845,299.675
0.047,4.314,4.544,4.544,285.920,293.886,299.710
0.049,4.373,4.552,4.552,285.893,293.925,299.745
0.050,4.429,4.560,4.560,285.867,293.963,299.778
0.051,4.481,4.567,4.567,285.842,293.997,299.808
0.052,4.528,4.573,4.573,285.820,294.028,299.835
0.053,4.569,4.578,4.578,285.800,294.055,299.858
0.055,4.602,4.582,4.582,285.783,294.077,299.877
0.056,4.625,4.586,4.586,285.770,294.092,299.889
0.057,4.640,4.588,4.588,285.761,294.101,299.896
0.058,4.648,4.590,4.590,285.756,294.106,299.899
0.060,4.651,4.592,4.592,285.752,294.107,299.899
0.061,4.654,4.593,4.593,285.751,294.105,299.897
0.062,4.657,4.594,4.594,285.751,294.103,299.895
0.063,4.659,4.595,4.595,285.750,294.101,299.894
0.064,4.661,4.597,4.597,285.749,294.102,299.895
0.066,4.667,4.598,4.598,285.747,294.105,299.900
0.067,4.680,4.601,4.601,285.742,294.112,299.909
0.068,4.702,4.605,4.605,285.734,294.126,299.925
0.069,4.736,4.610,4.610,285.723,294.146,299.949
0.070,4.782,4.616,4.616,285.707,294.175,299.982
0.072,4.840,4.624,4.624,285.687,294.211,300.022
0.073,4.907,4.633,4.633,285.664,294.254,300.069
0.074,4.981,4.643,4.643,285.638,294.301,300.120
0.075,5.061,4.654,4.654,285.611,294.351,300.175
0.077,5.143,4.664,4.664,285.583,294.403,300.232
0.078,5.225,4.674,4.674,285.555,294.456,300.289
0.079,5.306,4.682,4.682,285.528,294.508,300.345
0.080,5.383,4.689,4.689,285.502,294.557,300.398
0.081,5.454,4.694,4.694,285.479,294.602,300.447
0.083,5.516,4.697,4.697,285.459,294.643,300.490
0.084,5.568,4.698,4.698,285.443,294.676,300.526
0.085,5.609,4.697,4.697,285.431,294.703,300.555
0.086,5.640,4.696,4.696,285.422,294.723,300.577
0.087,5.663,4.695,4.695,285.416,294.737,300.593
0.089,5.678,4.694,4.694,285.411,294.746,300.606
0.090,5.689,4.694,4.694,285.407,294.750,300.615
0.091,5.698,4.695,4.695,285.402,294.750,300.622
0.092,5.707,4.697,4.697,285.397,294.746,300.628
0.094,5.719,4.700,4.700,285.389,294.740,300.635
0.095,5.734,4.704,4.704,285.379,294.731,300.643
0.096,5.755,4.708,4.708,285.364,294.721,300.653
0.097,5.781,4.713,4.713,285.345,294.709,300.667
0.098,5.813,4.717,4.717,285.321,294.698,300.685
0.100,5.852,4.721,4.721,285.293,294.686,300.708
0.101,5.895,4.724,4.724,285.261,294.675,300.735
0.102,5.942,4.725,4.725,285.227,294.666,300.766
0.103,5.992,4.726,4.726,285.191,294.658,300.801
0.104,6.045,4.724,4.724,285.156,294.653,300.840
0.106,6.099,4.722,4.722,285.121,294.650,300.882
0.107,6.155,4.717,4.717,285.089,294.651,300.927
0.108,6.211,4.711,4.711,285.060,294.656,300.974
0.109,6.268,4.703,4.703,285.035,294.666,301.025
0.111,6.326,4.694,4.694,285.016,294.681,301.078
0.112,6.386,4.682,4.682,285.003,294.701,301.133
0.113,6.450,4.669,4.669,284.997,294.727,301.191
0.114,6.518,4.654,4.654,284.995,294.757,301.251
0.115,6.591,4.639,4.639,284.998,294.791,301.316
0.117,6.669,4.625,4.625,285.002,294.828,301.385
0.118,6.753,4.611,4.611,285.008,294.867,301.459
0.119,6.843,4.599,4.599,285.014,294.908,301.539
0.120,6.939,4.588,4.588,285.019,294.949,301.626
0.122,7.041,4.580,4.580,285.021,294.989,301.719
0.123,7.150,4.576,4.576,285.019,295.029,301.821
0.124,7.266,4.574,4.574,285.012,295.066,301.931
0.125,7.391,4.574,4.574,284.998,295.100,302.050
0.126,7.525,4.578,4.578,284.977,295.131,302.178
0.128,7.665,4.583,4.583,284.950,295.159,302.314
0.129,7.811,4.591,4.591,284.918,295.184,302.454
0.130,7.960,4.601,4.601,284.881,295.206,302.596
0.131,8.109,4.613,4.613,284.842,295.225,302.739
0.132,8.256,4.627,4.627,284.800,295.243,302.879
0.134,8.399,4.642,4.642,284.758,295.259,303.014
0.135,8.535,4.658,4.658,284.716,295.273,303.143
0.136,8.662,4.673,4.673,284.675,295.286,303.262
0.137,8.776,4.688,4.688,284.637,295.299,303.369
0.139,8.876,4.702,4.702,284.603,295.310,303.462
0.140,8.959,4.714,4.714,284.573,295.322,303.539
0.141,9.026,4.724,4.724,284.548,295.333,303.600
0.142,9.079,4.731,4.731,284.527,295.344,303.647
0.143,9.120,4.735,4.735,284.510,295.354,303.683
0.145,9.152,4.736,4.736,284.497,295.365,303.710
0.146,9.176,4.736,4.736,284.487,295.374,303.729
0.147,9.194,4.734,4.734,284.479,295.384,303.744
0.148,9.210,4.732,4.732,284.473,295.392,303.755
0.149,9.223,4.729,4.729,284.470,295.400,303.766
0.151,9.238,4.726,4.726,284.467,295.408,303.778
0.152,9.254,4.724,4.724,284.466,295.414,303.793
0.153,9.276,4.723,4.723,284.465,295.420,303.814
0.154,9.305,4.723,4.723,284.464,295.426,303.842
0.156,9.344,4.725,4.725,284.462,295.433,303.880
0.157,9.395,4.729,4.729,284.457,295.444,303.930
0.158,9.460,4.735,4.735,284.448,295.460,303.993
0.159,9.543,4.744,4.744,284.435,295.485,304.071
0.160,9.647,4.755,4.755,284.415,295.518,304.166
0.162,9.773,4.770,4.770,284.389,295.563,304.281
0.163,9.925,4.789,4.789,284.353,295.622,304.417
0.164,10.106,4.813,4.813,284.308,295.696,304.576
0.165,10.319,4.843,4.843,284.253,295.788,304.760
0.166,10.567,4.883,4.883,284.185,295.899,304.971
0.168,10.851,4.933,4.933,284.104,296.031,305.209
0.169,11.167,4.995,4.995,284.012,296.181,305.472
0.170,11.508,5.070,5.070,283.911,296.345,305.753
0.171,11.865,5.162,5.162,283.803,296.519,306.045
0.173,12.230,5.270,5.270,283.692,296.700,306.343
0.174,12.595,5.393,5.393,283.580,296.882,306.639
0.175,12.954,5.525,5.525,283.469,297.062,306.929
0.176,13.297,5.661,5.661,283.363,297.235,307.205
0.177,13.617,5.795,5.795,283.262,297.398,307.462
0.179,13.907,5.924,5.924,283.171,297.547,307.692
0.180,14.157,6.041,6.041,283.091,297.676,307.892
0.181,14.362,6.141,6.141,283.025,297.783,308.052
0.182,14.517,6.219,6.219,282.973,297.866,308.174
0.183,14.629,6.274,6.274,282.936,297.927,308.259
0.185,14.702,6.307,6.307,282.910,297.969,308.313
0.186,14.741,6.323,6.323,282.894,297.994,308.340
0.187,14.754,6.325,6.325,282.888,298.004,308.344
0.188,14.769,6.315,6.315,282.888,298.003,308.329
0.190,14.801,6.296,6.296,282.894,297.992,308.300
0.191,14.845,6.273,6.273,282.905,297.974,308.261
0.192,14.896,6.248,6.248,282.918,297.951,308.217
0.193,14.950,6.223,6.223,282.933,297.927,308.171
0.194,15.001,6.200,6.200,282.946,297.902,308.129
0.196,15.044,6.179,6.179,282.959,297.881,308.093
0.197,15.079,6.161,6.161,282.969,297.863,308.064
0.198,15.106,6.146,6.146,282.976,297.848,308.044
0.199,15.123,6.135,6.135,282.980,297.838,308.031
0.200,15.130,6.129,6.129,282.981,297.833,308.026
0.202,15.134,6.128,6.128,282.978,297.833,308.029
0.203,15.148,6.132,6.132,282.971,297.838,308.040
0.204,15.173,6.142,6.142,282.960,297.850,308.058
0.205,15.209,6.157,6.157,282.944,297.869,308.086
0.207,15.258,6.176,6.176,282.923,297.894,308.121
0.208,15.319,6.198,6.198,282.897,297.927,308.165
0.209,15.392,6.224,6.224,282.865,297.968,308.217
0.210,15.478,6.252,6.252,282.827,298.016,308.277
0.211,15.573,6.281,6.281,282.785,298.070,308.343
0.213,15.675,6.312,6.312,282.739,298.127,308.414
0.214,15.782,6.343,6.344,282.689,298.186,308.488
0.215,15.892,6.375,6.375,282.637,298.245,308.565
0.216,16.002,6.405,6.405,282.583,298.301,308.643
0.217,16.110,6.433,6.433,282.529,298.354,308.719
0.219,16.214,6.459,6.459,282.474,298.402,308.794
0.220,16.312,6.481,6.482,282.419,298.442,308.865
0.221,16.403,6.500,6.500,282.366,298.472,308.932
0.222,16.484,6.514,6.514,282.315,298.492,308.992
