"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.388,2.448,196.165,209.692,192.732
0.001,0.136,2.367,2.409,196.083,209.752,192.822
0.003,0.269,2.344,2.369,196.006,209.814,192.911
0.004,0.399,2.319,2.329,195.936,209.880,192.999
0.005,0.523,2.289,2.288,195.880,209.950,193.085
0.007,0.643,2.255,2.246,195.840,210.027,193.168
0.008,0.762,2.214,2.203,195.822,210.112,193.248
0.009,0.884,2.165,2.158,195.830,210.207,193.325
0.010,1.018,2.108,2.112,195.867,210.314,193.397
0.012,1.172,2.042,2.063,195.938,210.433,193.464
0.013,1.357,1.969,2.014,196.048,210.568,193.525
0.014,1.578,1.893,1.963,196.200,210.719,193.580
0.016,1.837,1.817,1.912,196.392,210.885,193.629
0.017,2.127,1.744,1.861,196.616,211.064,193.671
0.018,2.440,1.676,1.811,196.865,211.253,193.707
0.020,2.770,1.617,1.762,197.129,211.447,193.737
0.021,3.107,1.569,1.714,197.401,211.645,193.761
0.022,3.443,1.534,1.669,197.673,211.842,193.779
0.024,3.771,1.509,1.628,197.937,212.036,193.792
0.025,4.082,1.495,1.592,198.184,212.223,193.800
0.026,4.367,1.490,1.562,198.407,212.401,193.802
0.027,4.619,1.493,1.540,198.598,212.567,193.799
0.029,4.833,1.504,1.527,198.750,212.717,193.792
0.030,5.012,1.521,1.523,198.867,212.852,193.780
0.031,5.162,1.542,1.531,198.952,212.974,193.765
0.033,5.287,1.568,1.548,199.011,213.083,193.748
0.034,5.392,1.597,1.572,199.048,213.179,193.728
0.035,5.482,1.626,1.602,199.068,213.265,193.708
0.037,5.560,1.656,1.635,199.073,213.340,193.688
0.038,5.628,1.683,1.668,199.070,213.405,193.668
0.039,5.689,1.708,1.701,199.062,213.462,193.650
0.041,5.741,1.729,1.730,199.054,213.512,193.633
0.042,5.786,1.745,1.755,199.050,213.554,193.620
0.043,5.825,1.756,1.775,199.051,213.591,193.609
0.045,5.861,1.763,1.791,199.057,213.626,193.601
0.046,5.897,1.767,1.804,199.066,213.660,193.592
0.047,5.935,1.768,1.815,199.079,213.695,193.584
0.048,5.978,1.767,1.823,199.093,213.734,193.575
0.050,6.026,1.765,1.831,199.109,213.779,193.564
0.051,6.084,1.763,1.839,199.125,213.832,193.550
0.052,6.151,1.761,1.847,199.140,213.895,193.532
0.054,6.232,1.761,1.856,199.154,213.971,193.509
0.055,6.327,1.763,1.867,199.166,214.062,193.480
0.056,6.440,1.770,1.880,199.175,214.168,193.446
0.058,6.566,1.783,1.897,199.181,214.288,193.406
0.059,6.704,1.802,1.917,199.184,214.418,193.361
0.060,6.849,1.829,1.943,199.186,214.555,193.313
0.062,6.999,1.865,1.974,199.184,214.697,193.263
0.063,7.151,1.909,2.010,199.181,214.840,193.211
0.064,7.302,1.959,2.048,199.176,214.981,193.159
0.065,7.448,2.012,2.089,199.169,215.117,193.107
0.067,7.586,2.066,2.129,199.160,215.246,193.057
0.068,7.714,2.118,2.168,199.150,215.364,193.010
0.069,7.828,2.167,2.204,199.138,215.468,192.966
0.071,7.928,2.209,2.235,199.125,215.560,192.925
0.072,8.018,2.244,2.261,199.111,215.640,192.888
0.073,8.100,2.271,2.282,199.095,215.712,192.853
0.075,8.176,2.293,2.300,199.078,215.779,192.820
0.076,8.248,2.312,2.315,199.059,215.841,192.789
0.077,8.320,2.330,2.331,199.038,215.902,192.759
0.079,8.392,2.347,2.348,199.015,215.964,192.729
0.080,8.469,2.367,2.367,198.990,216.030,192.699
0.081,8.551,2.390,2.390,198.963,216.101,192.669
0.082,8.641,2.418,2.418,198.934,216.181,192.637
0.084,8.740,2.449,2.449,198.903,216.269,192.605
0.085,8.847,2.482,2.483,198.870,216.365,192.572
0.086,8.958,2.516,2.516,198.836,216.466,192.540
0.088,9.072,2.548,2.549,198.800,216.570,192.510
0.089,9.187,2.579,2.579,198.765,216.676,192.483
0.090,9.299,2.606,2.606,198.729,216.780,192.459
0.092,9.408,2.628,2.627,198.693,216.881,192.441
0.093,9.510,2.644,2.643,198.658,216.976,192.428
0.094,9.605,2.657,2.655,198.625,217.064,192.422
0.096,9.690,2.665,2.663,198.592,217.143,192.425
0.097,9.764,2.670,2.668,198.562,217.210,192.436
0.098,9.829,2.673,2.671,198.534,217.265,192.455
