"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.588,2.588,75.374,-51.336,-2.735
0.001,0.226,2.656,2.656,75.248,-51.463,-2.873
0.003,0.450,2.725,2.725,75.124,-51.589,-3.010
0.004,0.670,2.794,2.794,75.001,-51.712,-3.146
0.005,0.884,2.864,2.864,74.881,-51.829,-3.279
0.007,1.091,2.936,2.936,74.763,-51.939,-3.410
0.008,1.289,3.009,3.009,74.650,-52.040,-3.537
0.009,1.476,3.084,3.084,74.542,-52.130,-3.659
0.011,1.651,3.162,3.162,74.439,-52.209,-3.777
0.012,1.811,3.242,3.242,74.343,-52.273,-3.888
0.013,1.957,3.324,3.324,74.255,-52.321,-3.993
0.014,2.087,3.406,3.406,74.174,-52.352,-4.090
0.016,2.203,3.488,3.488,74.102,-52.364,-4.180
0.017,2.305,3.569,3.569,74.040,-52.354,-4.261
0.018,2.399,3.648,3.648,73.988,-52.322,-4.332
0.020,2.490,3.725,3.725,73.945,-52.271,-4.395
0.021,2.583,3.798,3.798,73.911,-52.204,-4.450
0.022,2.681,3.867,3.867,73.885,-52.123,-4.497
0.024,2.784,3.932,3.932,73.865,-52.030,-4.538
0.025,2.891,3.993,3.993,73.851,-51.930,-4.572
0.026,3.000,4.048,4.048,73.843,-51.825,-4.602
0.028,3.110,4.098,4.098,73.838,-51.718,-4.626
0.029,3.219,4.143,4.143,73.836,-51.611,-4.646
0.030,3.323,4.182,4.182,73.837,-51.508,-4.663
0.032,3.421,4.215,4.215,73.839,-51.411,-4.677
0.033,3.509,4.243,4.243,73.841,-51.324,-4.689
0.034,3.585,4.266,4.266,73.843,-51.249,-4.700
0.036,3.647,4.286,4.286,73.844,-51.187,-4.709
0.037,3.696,4.303,4.303,73.844,-51.140,-4.719
0.038,3.733,4.318,4.318,73.843,-51.105,-4.730
0.039,3.759,4.331,4.331,73.841,-51.083,-4.743
0.041,3.778,4.345,4.345,73.838,-51.072,-4.759
0.042,3.798,4.358,4.358,73.834,-51.072,-4.779
0.043,3.825,4.372,4.372,73.828,-51.083,-4.803
0.045,3.862,4.387,4.387,73.822,-51.104,-4.833
0.046,3.909,4.403,4.403,73.815,-51.134,-4.869
0.047,3.968,4.420,4.420,73.806,-51.173,-4.912
0.049,4.039,4.439,4.439,73.797,-51.220,-4.964
0.050,4.121,4.459,4.459,73.787,-51.274,-5.025
0.051,4.215,4.481,4.481,73.776,-51.335,-5.096
0.053,4.321,4.504,4.504,73.763,-51.402,-5.177
0.054,4.436,4.530,4.530,73.751,-51.474,-5.266
0.055,4.560,4.557,4.557,73.738,-51.549,-5.363
0.057,4.690,4.587,4.587,73.725,-51.628,-5.466
0.058,4.824,4.619,4.619,73.711,-51.708,-5.573
0.059,4.962,4.653,4.653,73.699,-51.789,-5.684
0.061,5.100,4.689,4.689,73.687,-51.869,-5.796
0.062,5.237,4.727,4.727,73.676,-51.948,-5.908
0.063,5.372,4.767,4.767,73.666,-52.024,-6.018
0.064,5.503,4.807,4.807,73.657,-52.096,-6.127
0.066,5.627,4.846,4.846,73.650,-52.164,-6.231
0.067,5.744,4.884,4.884,73.645,-52.226,-6.330
0.068,5.851,4.919,4.919,73.643,-52.281,-6.421
0.070,5.948,4.951,4.951,73.642,-52.329,-6.506
0.071,6.036,4.978,4.978,73.643,-52.370,-6.583
0.072,6.116,5.000,5.000,73.647,-52.406,-6.655
0.074,6.188,5.018,5.018,73.652,-52.437,-6.720
0.075,6.254,5.033,5.033,73.659,-52.464,-6.779
0.076,6.314,5.045,5.045,73.667,-52.488,-6.834
0.078,6.370,5.056,5.056,73.677,-52.509,-6.885
0.079,6.421,5.067,5.067,73.688,-52.528,-6.931
0.080,6.469,5.077,5.077,73.700,-52.546,-6.974
0.082,6.515,5.089,5.089,73.713,-52.564,-7.014
0.083,6.559,5.102,5.102,73.727,-52.582,-7.051
0.084,6.601,5.117,5.117,73.742,-52.602,-7.086
