"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.325,3.325,304.475,324.778,315.386
0.001,0.037,3.318,3.318,304.472,324.746,315.403
0.003,0.072,3.310,3.310,304.469,324.715,315.420
0.004,0.104,3.304,3.304,304.467,324.686,315.436
0.006,0.133,3.300,3.300,304.465,324.661,315.449
0.007,0.156,3.298,3.298,304.464,324.640,315.459
0.008,0.172,3.300,3.300,304.463,324.625,315.465
0.010,0.181,3.305,3.305,304.464,324.616,315.466
0.011,0.186,3.314,3.314,304.466,324.615,315.462
0.013,0.199,3.326,3.326,304.469,324.623,315.452
0.014,0.225,3.339,3.339,304.474,324.641,315.434
0.015,0.263,3.352,3.352,304.481,324.670,315.410
0.017,0.314,3.363,3.363,304.489,324.709,315.378
0.018,0.368,3.370,3.370,304.497,324.750,315.344
0.020,0.419,3.372,3.372,304.504,324.789,315.312
0.021,0.458,3.367,3.367,304.509,324.817,315.285
0.022,0.479,3.355,3.355,304.510,324.830,315.269
0.024,0.489,3.340,3.340,304.507,324.821,315.268
0.025,0.532,3.323,3.323,304.498,324.782,315.285
0.027,0.617,3.308,3.308,304.482,324.709,315.324
0.028,0.752,3.297,3.297,304.457,324.594,315.392
0.029,0.945,3.293,3.293,304.424,324.431,315.490
0.031,1.204,3.297,3.297,304.380,324.215,315.624
0.032,1.521,3.312,3.312,304.326,323.949,315.790
0.034,1.885,3.336,3.336,304.264,323.646,315.981
0.035,2.282,3.367,3.367,304.198,323.315,316.191
0.036,2.700,3.404,3.404,304.127,322.968,316.412
0.038,3.126,3.445,3.445,304.056,322.615,316.639
0.039,3.546,3.489,3.489,303.985,322.267,316.863
0.041,3.947,3.535,3.535,303.917,321.935,317.079
0.042,4.317,3.580,3.580,303.854,321.630,317.278
0.043,4.643,3.625,3.625,303.797,321.362,317.456
0.045,4.912,3.670,3.670,303.750,321.143,317.603
0.046,5.114,3.713,3.713,303.713,320.979,317.717
0.048,5.256,3.756,3.756,303.686,320.867,317.798
0.049,5.345,3.796,3.796,303.668,320.800,317.853
0.050,5.390,3.834,3.834,303.658,320.769,317.884
0.052,5.403,3.869,3.869,303.655,320.768,317.897
0.053,5.425,3.901,3.901,303.659,320.790,317.896
0.055,5.465,3.930,3.930,303.668,320.828,317.885
0.056,5.516,3.955,3.955,303.681,320.874,317.868
0.057,5.569,3.976,3.976,303.697,320.921,317.851
0.059,5.617,3.992,3.992,303.717,320.962,317.836
0.060,5.653,4.002,4.002,303.737,320.991,317.829
0.062,5.678,4.007,4.007,303.759,321.003,317.832
0.063,5.704,4.008,4.008,303.783,320.999,317.844
0.064,5.741,4.004,4.004,303.808,320.982,317.864
0.066,5.789,3.997,3.997,303.836,320.954,317.891
0.067,5.849,3.988,3.988,303.867,320.915,317.924
0.069,5.918,3.978,3.978,303.901,320.868,317.962
0.070,5.997,3.968,3.968,303.939,320.814,318.004
0.071,6.082,3.959,3.959,303.982,320.756,318.050
0.073,6.173,3.951,3.951,304.029,320.694,318.098
0.074,6.269,3.945,3.945,304.081,320.631,318.147
0.076,6.368,3.940,3.940,304.139,320.567,318.197
0.077,6.469,3.937,3.937,304.201,320.505,318.246
0.078,6.570,3.936,3.936,304.267,320.445,318.294
0.080,6.671,3.937,3.937,304.335,320.386,318.341
0.081,6.770,3.940,3.940,304.403,320.330,318.386
0.083,6.866,3.946,3.946,304.470,320.278,318.429
0.084,6.956,3.952,3.952,304.534,320.228,318.469
0.085,7.041,3.960,3.960,304.595,320.183,318.506
0.087,7.117,3.968,3.968,304.650,320.143,318.539
0.088,7.183,3.976,3.976,304.699,320.107,318.568
0.090,7.239,3.983,3.983,304.740,320.077,318.591
0.091,7.283,3.989,3.989,304.771,320.053,318.610
0.092,7.315,3.993,3.993,304.794,320.034,318.624
0.094,7.338,3.995,3.995,304.809,320.020,318.633
0.095,7.353,3.996,3.996,304.818,320.011,318.639
0.097,7.360,3.996,3.996,304.822,320.005,318.642
0.098,7.363,3.995,3.995,304.821,320.002,318.642
0.099,7.368,3.993,3.993,304.816,320.002,318.641
0.101,7.376,3.991,3.991,304.809,320.004,318.637
0.102,7.386,3.989,3.989,304.801,320.007,318.633
0.104,7.397,3.987,3.987,304.792,320.011,318.628
0.105,7.407,3.985,3.985,304.783,320.016,318.623
0.106,7.417,3.983,3.983,304.776,320.020,318.619
0.108,7.424,3.982,3.982,304.770,320.023,318.616
0.109,7.428,3.980,3.980,304.767,320.024,318.613
0.111,7.429,3.979,3.979,304.767,320.024,318.612
0.112,7.433,3.977,3.977,304.770,320.021,318.613
0.113,7.443,3.976,3.976,304.776,320.014,318.616
0.115,7.459,3.975,3.975,304.787,320.004,318.621
0.116,7.481,3.973,3.973,304.803,319.989,318.628
0.118,7.512,3.970,3.970,304.824,319.970,318.639
0.119,7.551,3.965,3.965,304.850,319.944,318.652
0.120,7.599,3.959,3.959,304.883,319.913,318.669
0.122,7.656,3.950,3.950,304.921,319.876,318.689
0.123,7.722,3.940,3.940,304.966,319.834,318.714
0.125,7.796,3.928,3.928,305.015,319.787,318.742
0.126,7.877,3.916,3.916,305.068,319.736,318.775
0.127,7.965,3.905,3.905,305.126,319.681,318.813
0.129,8.059,3.896,3.896,305.187,319.624,318.856
0.130,8.159,3.888,3.888,305.251,319.565,318.905
0.132,8.264,3.885,3.885,305.317,319.503,318.958
0.133,8.374,3.885,3.885,305.386,319.441,319.018
0.134,8.489,3.889,3.889,305.456,319.379,319.084
0.136,8.607,3.896,3.896,305.527,319.317,319.156
0.137,8.730,3.907,3.907,305.600,319.254,319.233
0.139,8.858,3.921,3.921,305.674,319.191,319.315
0.140,8.989,3.938,3.938,305.751,319.128,319.400
0.141,9.123,3.958,3.958,305.831,319.063,319.487
0.143,9.262,3.980,3.980,305.914,318.998,319.576
0.144,9.403,4.004,4.004,306.000,318.931,319.666
0.146,9.547,4.031,4.031,306.091,318.862,319.755
0.147,9.694,4.061,4.061,306.186,318.792,319.843
0.148,9.845,4.092,4.092,306.286,318.720,319.928
0.150,9.998,4.126,4.126,306.391,318.645,320.010
0.151,10.154,4.161,4.161,306.501,318.568,320.089
0.153,10.314,4.199,4.199,306.617,318.489,320.167
0.154,10.477,4.238,4.238,306.736,318.409,320.244
0.155,10.643,4.280,4.280,306.859,318.329,320.322
0.157,10.813,4.325,4.325,306.986,318.249,320.403
0.158,10.987,4.374,4.374,307.114,318.169,320.488
0.160,11.164,4.426,4.426,307.245,318.090,320.579
0.161,11.345,4.482,4.482,307.377,318.014,320.676
0.162,11.531,4.542,4.542,307.509,317.939,320.782
0.164,11.721,4.608,4.608,307.642,317.868,320.898
0.165,11.917,4.677,4.677,307.775,317.799,321.026
0.167,12.117,4.751,4.751,307.906,317.735,321.163
0.168,12.320,4.830,4.830,308.034,317.674,321.307
0.169,12.522,4.913,4.913,308.159,317.618,321.456
0.171,12.722,5.001,5.001,308.279,317.565,321.607
0.172,12.917,5.094,5.094,308.393,317.517,321.757
0.174,13.104,5.190,5.190,308.500,317.473,321.905
0.175,13.282,5.287,5.287,308.599,317.433,322.047
0.176,13.447,5.381,5.381,308.688,317.398,322.181
0.178,13.597,5.471,5.471,308.768,317.368,322.304
0.179,13.729,5.552,5.552,308.835,317.342,322.415
0.181,13.841,5.623,5.623,308.891,317.322,322.510
0.182,13.936,5.680,5.680,308.936,317.306,322.592
0.183,14.016,5.723,5.723,308.972,317.293,322.662
0.185,14.082,5.751,5.751,309.000,317.285,322.722
0.186,14.139,5.769,5.769,309.023,317.279,322.773
0.188,14.186,5.778,5.778,309.042,317.276,322.817
0.189,14.228,5.780,5.780,309.058,317.275,322.856
0.190,14.266,5.778,5.778,309.074,317.275,322.890
0.192,14.303,5.773,5.773,309.090,317.277,322.923
0.193,14.340,5.769,5.769,309.109,317.279,322.955
0.195,14.381,5.766,5.766,309.132,317.282,322.988
0.196,14.427,5.765,5.765,309.161,317.284,323.024
0.197,14.478,5.768,5.768,309.196,317.287,323.061
0.199,14.537,5.776,5.776,309.240,317.290,323.100
0.200,14.604,5.791,5.791,309.292,317.294,323.143
0.202,14.680,5.814,5.814,309.354,317.299,323.187
0.203,14.767,5.845,5.845,309.426,317.304,323.234
0.204,14.866,5.885,5.885,309.511,317.310,323.284
0.206,14.977,5.932,5.932,309.609,317.318,323.337
0.207,15.103,5.986,5.986,309.721,317.327,323.393
0.209,15.243,6.046,6.046,309.848,317.338,323.452
0.210,15.400,6.110,6.110,309.991,317.351,323.515
0.211,15.570,6.178,6.178,310.148,317.365,323.579
0.213,15.750,6.249,6.249,310.314,317.381,323.646
0.214,15.935,6.322,6.322,310.486,317.399,323.713
0.216,16.123,6.394,6.394,310.660,317.419,323.780
0.217,16.309,6.463,6.463,310.833,317.440,323.845
0.218,16.490,6.528,6.528,311.001,317.464,323.909
0.220,16.661,6.587,6.587,311.159,317.489,323.969
0.221,16.820,6.638,6.638,311.305,317.516,324.025
0.223,16.962,6.679,6.679,311.435,317.544,324.076
0.224,17.084,6.710,6.710,311.544,317.574,324.121
0.225,17.185,6.730,6.730,311.631,317.606,324.159
0.227,17.267,6.741,6.741,311.699,317.640,324.192
0.228,17.334,6.745,6.745,311.750,317.674,324.219
0.230,17.390,6.742,6.742,311.787,317.710,324.241
0.231,17.439,6.732,6.732,311.814,317.747,324.260
0.232,17.484,6.718,6.718,311.834,317.784,324.275
0.234,17.527,6.700,6.700,311.851,317.821,324.288
0.235,17.569,6.679,6.679,311.866,317.859,324.299
0.237,17.612,6.656,6.656,311.884,317.896,324.309
0.238,17.657,6.633,6.633,311.907,317.934,324.318
0.239,17.707,6.610,6.610,311.939,317.971,324.328
0.241,17.762,6.589,6.589,311.979,318.007,324.338
0.242,17.820,6.571,6.571,312.025,318.042,324.348
0.244,17.880,6.556,6.556,312.073,318.076,324.357
0.245,17.937,6.545,6.545,312.120,318.108,324.364
0.246,17.989,6.537,6.537,312.162,318.138,324.369
0.248,18.034,6.530,6.530,312.197,318.166,324.372
0.249,18.069,6.526,6.526,312.221,318.191,324.371
0.251,18.093,6.522,6.522,312.231,318.213,324.366
0.252,18.115,6.518,6.518,312.224,318.231,324.357
0.254,18.150,6.514,6.514,312.196,318.246,324.343
0.255,18.206,6.508,6.508,312.145,318.258,324.324
0.256,18.277,6.501,6.501,312.078,318.265,324.301
0.258,18.355,6.491,6.492,312.003,318.270,324.277
