"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.734,2.734,221.363,215.524,223.817
0.001,0.413,2.833,2.833,221.046,215.789,223.819
0.003,0.823,2.933,2.933,220.732,216.052,223.821
0.004,1.224,3.033,3.033,220.425,216.310,223.823
0.006,1.613,3.135,3.135,220.127,216.559,223.824
0.007,1.986,3.239,3.239,219.841,216.799,223.824
0.008,2.338,3.345,3.345,219.571,217.026,223.824
0.010,2.666,3.454,3.454,219.321,217.238,223.822
0.011,2.966,3.567,3.567,219.092,217.431,223.819
0.013,3.233,3.680,3.680,218.889,217.604,223.815
0.014,3.463,3.789,3.789,218.714,217.754,223.810
0.015,3.653,3.893,3.893,218.571,217.879,223.803
0.017,3.802,3.985,3.985,218.459,217.977,223.794
0.018,3.914,4.064,4.064,218.377,218.052,223.784
0.020,3.993,4.125,4.125,218.320,218.106,223.773
0.021,4.045,4.165,4.165,218.284,218.141,223.762
0.022,4.074,4.185,4.185,218.265,218.161,223.751
0.024,4.087,4.190,4.190,218.262,218.168,223.741
0.025,4.099,4.184,4.184,218.268,218.166,223.731
0.027,4.118,4.172,4.172,218.282,218.155,223.724
0.028,4.141,4.159,4.159,218.299,218.140,223.718
0.029,4.165,4.149,4.149,218.316,218.123,223.715
0.031,4.186,4.147,4.147,218.329,218.107,223.715
0.032,4.204,4.155,4.155,218.337,218.092,223.718
0.034,4.218,4.169,4.169,218.342,218.080,223.723
0.035,4.229,4.187,4.187,218.344,218.071,223.730
0.036,4.239,4.207,4.207,218.344,218.067,223.739
0.038,4.250,4.225,4.225,218.341,218.067,223.750
0.039,4.264,4.239,4.239,218.338,218.072,223.762
0.041,4.281,4.245,4.245,218.334,218.084,223.775
0.042,4.304,4.243,4.243,218.331,218.102,223.788
0.043,4.334,4.234,4.234,218.329,218.128,223.802
0.045,4.370,4.220,4.220,218.328,218.162,223.815
0.046,4.415,4.202,4.202,218.330,218.205,223.828
0.048,4.466,4.184,4.184,218.334,218.255,223.840
0.049,4.523,4.167,4.167,218.339,218.310,223.852
0.050,4.585,4.154,4.154,218.347,218.370,223.862
0.052,4.648,4.145,4.145,218.355,218.433,223.872
0.053,4.714,4.141,4.141,218.365,218.496,223.880
0.055,4.778,4.139,4.139,218.375,218.560,223.887
0.056,4.841,4.140,4.140,218.386,218.622,223.893
0.058,4.901,4.141,4.141,218.397,218.680,223.896
0.059,4.956,4.142,4.142,218.409,218.734,223.898
0.060,5.005,4.141,4.141,218.420,218.781,223.898
0.062,5.047,4.138,4.138,218.431,218.823,223.897
0.063,5.086,4.132,4.132,218.441,218.860,223.895
0.065,5.122,4.125,4.125,218.449,218.895,223.895
0.066,5.158,4.118,4.118,218.456,218.930,223.898
0.067,5.195,4.112,4.112,218.461,218.967,223.905
0.069,5.238,4.107,4.107,218.462,219.007,223.918
0.070,5.289,4.105,4.105,218.461,219.054,223.939
0.072,5.351,4.107,4.107,218.456,219.109,223.968
0.073,5.428,4.113,4.113,218.448,219.174,224.007
0.074,5.521,4.122,4.122,218.435,219.251,224.058
0.076,5.633,4.136,4.136,218.417,219.342,224.121
0.077,5.762,4.153,4.153,218.395,219.445,224.196
0.079,5.904,4.174,4.174,218.371,219.557,224.279
0.080,6.055,4.198,4.198,218.345,219.676,224.368
0.081,6.210,4.225,4.225,218.318,219.798,224.459
0.083,6.365,4.255,4.255,218.292,219.921,224.551
0.084,6.516,4.287,4.287,218.268,220.041,224.640
0.086,6.659,4.319,4.319,218.247,220.155,224.723
0.087,6.790,4.351,4.351,218.231,220.261,224.798
0.088,6.904,4.380,4.380,218.219,220.356,224.861
0.090,6.999,4.408,4.408,218.215,220.436,224.911
0.091,7.072,4.431,4.431,218.217,220.500,224.946
0.093,7.126,4.449,4.449,218.225,220.549,224.967
0.094,7.165,4.464,4.464,218.236,220.585,224.979
0.095,7.194,4.474,4.474,218.249,220.610,224.983
0.097,7.215,4.481,4.481,218.262,220.627,224.982
0.098,7.229,4.485,4.485,218.272,220.636,224.980
0.100,7.237,4.487,4.487,218.279,220.639,224.979
0.101,7.239,4.486,4.486,218.280,220.640,224.981
0.102,7.251,4.483,4.483,218.273,220.639,224.991
0.104,7.276,4.480,4.480,218.256,220.638,225.009
0.105,7.318,4.478,4.478,218.228,220.640,225.040
0.107,7.378,4.477,4.477,218.188,220.645,225.085
0.108,7.451,4.479,4.479,218.141,220.653,225.141
0.109,7.537,4.486,4.486,218.089,220.666,225.207
0.111,7.632,4.498,4.498,218.034,220.682,225.284
0.112,7.735,4.515,4.515,217.980,220.704,225.368
0.114,7.843,4.538,4.538,217.929,220.730,225.460
0.115,7.954,4.562,4.562,217.885,220.761,225.557
0.116,8.068,4.586,4.586,217.851,220.797,225.659
0.118,8.183,4.606,4.606,217.828,220.839,225.764
0.119,8.301,4.621,4.621,217.821,220.887,225.872
0.121,8.423,4.626,4.626,217.831,220.941,225.980
0.122,8.550,4.620,4.620,217.858,221.000,226.089
0.123,8.683,4.603,4.603,217.900,221.063,226.199
0.125,8.823,4.578,4.578,217.954,221.129,226.310
0.126,8.968,4.547,4.547,218.019,221.198,226.420
0.128,9.118,4.515,4.515,218.092,221.268,226.531
0.129,9.271,4.484,4.484,218.172,221.337,226.641
0.130,9.426,4.456,4.456,218.256,221.406,226.752
0.132,9.581,4.436,4.436,218.342,221.473,226.862
0.133,9.735,4.423,4.423,218.429,221.537,226.972
0.135,9.886,4.416,4.416,218.513,221.597,227.082
0.136,10.033,4.414,4.414,218.594,221.653,227.190
0.137,10.175,4.413,4.413,218.670,221.707,227.297
0.139,10.312,4.413,4.413,218.738,221.763,227.402
0.140,10.444,4.411,4.411,218.798,221.822,227.505
0.142,10.572,4.406,4.406,218.847,221.887,227.604
0.143,10.698,4.395,4.395,218.884,221.961,227.698
0.144,10.825,4.381,4.381,218.907,222.047,227.789
0.146,10.956,4.364,4.364,218.914,222.147,227.873
0.147,11.097,4.346,4.346,218.904,222.263,227.952
0.149,11.254,4.327,4.327,218.875,222.400,228.024
0.150,11.432,4.308,4.308,218.825,222.558,228.089
0.151,11.631,4.291,4.291,218.757,222.736,228.146
0.153,11.848,4.276,4.276,218.672,222.929,228.198
0.154,12.078,4.263,4.263,218.575,223.132,228.243
0.156,12.314,4.252,4.252,218.470,223.340,228.283
0.157,12.553,4.241,4.241,218.360,223.548,228.318
0.158,12.786,4.231,4.231,218.248,223.751,228.350
0.160,13.010,4.221,4.221,218.139,223.944,228.379
0.161,13.217,4.210,4.210,218.035,224.121,228.405
0.163,13.401,4.197,4.197,217.941,224.278,228.429
0.164,13.557,4.184,4.184,217.860,224.409,228.453
0.165,13.680,4.171,4.171,217.795,224.511,228.476
0.167,13.774,4.158,4.158,217.744,224.586,228.498
0.168,13.843,4.147,4.147,217.706,224.640,228.520
0.170,13.893,4.139,4.139,217.679,224.676,228.542
0.171,13.930,4.133,4.133,217.659,224.699,228.564
0.173,13.959,4.133,4.133,217.646,224.713,228.585
0.174,13.985,4.136,4.136,217.636,224.724,228.606
0.175,14.010,4.141,4.141,217.628,224.736,228.627
0.177,14.038,4.148,4.148,217.619,224.753,228.647
0.178,14.073,4.155,4.155,217.608,224.781,228.667
0.180,14.123,4.160,4.160,217.591,224.823,228.686
0.181,14.190,4.163,4.163,217.568,224.882,228.706
0.182,14.276,4.162,4.162,217.538,224.960,228.729
0.184,14.384,4.158,4.158,217.500,225.057,228.758
0.185,14.514,4.154,4.154,217.455,225.173,228.795
0.187,14.668,4.155,4.155,217.401,225.308,228.844
0.188,14.846,4.163,4.163,217.338,225.464,228.906
0.189,15.052,4.183,4.184,217.267,225.639,228.984
0.191,15.285,4.219,4.219,217.186,225.836,229.082
0.192,15.549,4.275,4.275,217.095,226.053,229.201
0.194,15.845,4.351,4.351,216.994,226.292,229.344
0.195,16.176,4.447,4.447,216.883,226.552,229.514
0.196,16.536,4.558,4.558,216.762,226.831,229.708
0.198,16.917,4.682,4.682,216.636,227.121,229.919
0.199,17.310,4.815,4.815,216.505,227.417,230.143
0.201,17.706,4.954,4.954,216.374,227.713,230.371
0.202,18.097,5.096,5.096,216.244,228.002,230.600
0.203,18.472,5.239,5.239,216.119,228.279,230.821
0.205,18.825,5.377,5.377,216.001,228.537,231.030
0.206,19.145,5.509,5.509,215.892,228.770,231.220
0.208,19.423,5.632,5.632,215.796,228.973,231.384
0.209,19.651,5.742,5.742,215.716,229.139,231.518
0.210,19.822,5.836,5.836,215.652,229.264,231.616
0.212,19.942,5.911,5.911,215.602,229.351,231.683
0.213,20.021,5.964,5.964,215.563,229.407,231.723
0.215,20.068,5.998,5.998,215.532,229.436,231.741
0.216,20.097,6.015,6.015,215.504,229.445,231.743
0.217,20.126,6.021,6.021,215.477,229.439,231.733
0.219,20.163,6.020,6.020,215.447,229.424,231.718
0.220,20.208,6.015,6.015,215.411,229.404,231.702
0.222,20.259,6.011,6.011,215.364,229.387,231.690
0.223,20.320,6.011,6.011,215.304,229.376,231.687
0.224,20.398,6.017,6.017,215.228,229.378,231.699
0.226,20.498,6.030,6.031,215.133,229.395,231.728
0.227,20.618,6.050,6.050,215.025,229.425,231.771
0.229,20.754,6.075,6.075,214.907,229.466,231.825
0.230,20.903,6.106,6.107,214.781,229.515,231.888
0.231,21.059,6.144,6.144,214.652,229.570,231.957
0.233,21.218,6.187,6.187,214.524,229.629,232.028
0.234,21.373,6.235,6.235,214.400,229.689,232.101
0.236,21.522,6.285,6.285,214.283,229.748,232.171
0.237,21.658,6.336,6.335,214.177,229.804,232.235
0.238,21.776,6.385,6.384,214.086,229.854,232.292
0.240,21.873,6.429,6.428,214.013,229.896,232.339
0.241,21.947,6.466,6.465,213.958,229.931,232.375
0.243,22.003,6.493,6.493,213.918,229.960,232.402
0.244,22.044,6.510,6.511,213.893,229.985,232.422
0.245,22.073,6.517,6.519,213.879,230.006,232.435
0.247,22.095,6.518,6.521,213.874,230.026,232.444
0.248,22.117,6.513,6.517,213.878,230.047,232.450
0.250,22.140,6.505,6.509,213.887,230.068,232.453
0.251,22.169,6.497,6.499,213.899,230.093,232.456
0.252,22.202,6.489,6.489,213.913,230.123,232.460
0.254,22.241,6.483,6.480,213.927,230.159,232.467
0.255,22.286,6.479,6.472,213.938,230.202,232.476
0.257,22.337,6.477,6.467,213.947,230.251,232.489
0.258,22.393,6.475,6.462,213.955,230.304,232.504
0.259,22.451,6.472,6.459,213.962,230.359,232.521
0.261,22.510,6.468,6.458,213.967,230.415,232.539
0.262,22.569,6.461,6.458,213.972,230.471,232.558
0.264,22.626,6.450,6.460,213.978,230.524,232.577
0.265,22.678,6.437,6.462,213.983,230.573,232.595
0.266,22.725,6.423,6.466,213.989,230.616,232.612
0.268,22.765,6.407,6.470,213.996,230.652,232.628
0.269,22.796,6.393,6.474,214.004,230.679,232.642
0.271,22.819,6.381,6.478,214.014,230.697,232.653
0.272,22.836,6.372,6.482,214.023,230.706,232.662
0.273,22.847,6.367,6.485,214.032,230.710,232.668
0.275,22.856,6.367,6.488,214.040,230.708,232.671
0.276,22.863,6.370,6.489,214.045,230.703,232.672
0.278,22.871,6.376,6.489,214.047,230.695,232.671
0.279,22.880,6.383,6.487,214.044,230.687,232.667
0.281,22.893,6.391,6.484,214.036,230.680,232.660
0.282,22.910,6.398,6.480,214.022,230.675,232.651
0.283,22.935,6.404,6.473,214.001,230.673,232.639
0.285,22.967,6.408,6.465,213.973,230.676,232.625
0.286,23.006,6.411,6.456,213.937,230.684,232.609
0.288,23.051,6.412,6.446,213.897,230.698,232.594
0.289,23.100,6.412,6.435,213.854,230.717,232.581
0.290,23.151,6.411,6.425,213.811,230.741,232.571
