"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.456,2.456,199.851,224.194,192.350
0.001,0.140,2.472,2.472,199.972,224.186,192.419
0.003,0.277,2.486,2.486,200.092,224.177,192.487
0.004,0.411,2.498,2.498,200.208,224.168,192.553
0.006,0.540,2.508,2.508,200.319,224.159,192.617
0.007,0.662,2.513,2.513,200.423,224.149,192.679
0.008,0.774,2.514,2.514,200.519,224.138,192.738
0.010,0.876,2.510,2.510,200.604,224.127,192.793
0.011,0.966,2.499,2.499,200.677,224.114,192.843
0.013,1.042,2.482,2.482,200.736,224.099,192.888
0.014,1.103,2.462,2.462,200.780,224.084,192.927
0.015,1.148,2.438,2.438,200.807,224.066,192.960
0.017,1.181,2.413,2.413,200.816,224.047,192.985
0.018,1.208,2.389,2.389,200.812,224.029,193.005
0.020,1.232,2.365,2.365,200.801,224.012,193.018
0.021,1.251,2.345,2.345,200.789,224.000,193.027
0.022,1.260,2.330,2.330,200.783,223.994,193.031
0.024,1.267,2.322,2.322,200.789,223.996,193.031
0.025,1.294,2.323,2.323,200.813,224.009,193.028
0.027,1.348,2.336,2.336,200.861,224.034,193.023
0.028,1.436,2.363,2.363,200.939,224.074,193.017
0.029,1.564,2.407,2.407,201.053,224.130,193.009
0.031,1.738,2.469,2.469,201.210,224.205,193.001
0.032,1.962,2.549,2.549,201.413,224.300,192.993
0.034,2.230,2.644,2.644,201.657,224.412,192.985
0.035,2.533,2.747,2.747,201.931,224.539,192.975
0.036,2.860,2.854,2.854,202.228,224.677,192.964
0.038,3.203,2.961,2.961,202.537,224.824,192.949
0.039,3.551,3.061,3.061,202.850,224.977,192.930
0.041,3.897,3.151,3.151,203.158,225.132,192.907
0.042,4.230,3.227,3.227,203.451,225.286,192.877
0.043,4.541,3.291,3.291,203.722,225.436,192.841
0.045,4.822,3.346,3.346,203.959,225.580,192.798
0.046,5.065,3.395,3.395,204.156,225.713,192.746
0.047,5.266,3.442,3.442,204.304,225.835,192.686
0.049,5.430,3.489,3.489,204.406,225.943,192.618
0.050,5.566,3.539,3.539,204.469,226.039,192.545
0.052,5.683,3.596,3.596,204.497,226.123,192.468
0.053,5.790,3.658,3.658,204.497,226.196,192.390
0.054,5.891,3.721,3.721,204.475,226.257,192.312
0.056,5.989,3.784,3.784,204.435,226.307,192.237
0.057,6.084,3.843,3.843,204.385,226.346,192.167
0.059,6.174,3.896,3.896,204.329,226.376,192.104
0.060,6.255,3.940,3.940,204.273,226.395,192.049
0.061,6.323,3.973,3.973,204.223,226.405,192.004
0.063,6.373,3.993,3.993,204.184,226.407,191.972
0.064,6.409,4.004,4.004,204.156,226.401,191.950
0.066,6.433,4.007,4.007,204.138,226.391,191.938
0.067,6.449,4.005,4.005,204.129,226.379,191.932
0.068,6.460,3.999,3.999,204.128,226.368,191.932
0.070,6.471,3.991,3.991,204.134,226.360,191.934
0.071,6.485,3.984,3.984,204.147,226.356,191.938
0.073,6.503,3.979,3.979,204.164,226.361,191.940
0.074,6.529,3.977,3.977,204.186,226.376,191.940
0.075,6.567,3.976,3.976,204.211,226.404,191.935
0.077,6.619,3.978,3.978,204.238,226.447,191.924
0.078,6.688,3.984,3.984,204.266,226.507,191.904
0.080,6.773,3.992,3.992,204.295,226.581,191.876
0.081,6.871,4.004,4.004,204.325,226.668,191.841
0.082,6.979,4.019,4.019,204.356,226.764,191.801
0.084,7.095,4.037,4.037,204.386,226.867,191.757
0.085,7.215,4.057,4.057,204.416,226.972,191.710
0.087,7.336,4.078,4.078,204.447,227.078,191.660
0.088,7.454,4.099,4.099,204.476,227.182,191.610
0.089,7.568,4.119,4.119,204.505,227.280,191.560
0.091,7.674,4.137,4.137,204.534,227.369,191.512
0.092,7.768,4.153,4.153,204.561,227.448,191.466
0.094,7.850,4.167,4.167,204.586,227.512,191.424
0.095,7.918,4.180,4.180,204.610,227.564,191.386
0.096,7.977,4.191,4.191,204.633,227.605,191.351
0.098,8.026,4.201,4.201,204.654,227.636,191.319
0.099,8.069,4.211,4.211,204.673,227.661,191.289
0.101,8.106,4.221,4.221,204.690,227.680,191.263
0.102,8.139,4.231,4.231,204.704,227.695,191.238
0.103,8.168,4.243,4.243,204.717,227.709,191.215
0.105,8.196,4.254,4.254,204.727,227.723,191.193
0.106,8.223,4.266,4.266,204.735,227.739,191.173
0.108,8.251,4.278,4.278,204.740,227.759,191.153
0.109,8.283,4.291,4.291,204.743,227.785,191.134
0.110,8.319,4.303,4.303,204.744,227.815,191.116
0.112,8.357,4.316,4.316,204.743,227.848,191.097
0.113,8.397,4.328,4.328,204.743,227.884,191.078
0.115,8.438,4.339,4.339,204.743,227.920,191.060
0.116,8.478,4.350,4.350,204.745,227.955,191.040
0.117,8.517,4.358,4.358,204.750,227.989,191.020
0.119,8.555,4.365,4.365,204.758,228.019,190.999
0.120,8.591,4.369,4.369,204.771,228.044,190.977
0.122,8.626,4.370,4.370,204.789,228.063,190.954
0.123,8.662,4.368,4.368,204.814,228.074,190.929
0.124,8.704,4.364,4.364,204.845,228.077,190.902
0.126,8.751,4.360,4.360,204.882,228.073,190.873
0.127,8.804,4.356,4.356,204.922,228.064,190.840
0.128,8.861,4.353,4.353,204.964,228.053,190.803
0.130,8.923,4.354,4.354,205.006,228.041,190.759
0.131,8.988,4.359,4.359,205.045,228.032,190.708
0.133,9.056,4.368,4.368,205.079,228.027,190.649
0.134,9.130,4.381,4.381,205.107,228.028,190.580
0.135,9.212,4.396,4.396,205.127,228.039,190.502
0.137,9.305,4.410,4.410,205.136,228.060,190.411
0.138,9.414,4.421,4.421,205.132,228.096,190.308
0.140,9.542,4.427,4.427,205.115,228.146,190.192
0.141,9.689,4.427,4.427,205.085,228.211,190.064
0.142,9.851,4.419,4.419,205.044,228.288,189.927
0.144,10.026,4.404,4.404,204.995,228.374,189.782
0.145,10.211,4.383,4.383,204.941,228.468,189.633
0.147,10.401,4.360,4.360,204.883,228.567,189.482
0.148,10.593,4.337,4.337,204.825,228.670,189.330
0.149,10.783,4.316,4.316,204.768,228.773,189.182
0.151,10.967,4.300,4.300,204.714,228.876,189.038
0.152,11.142,4.290,4.290,204.667,228.974,188.901
0.154,11.304,4.288,4.288,204.628,229.067,188.775
0.155,11.450,4.292,4.292,204.600,229.152,188.660
0.156,11.580,4.300,4.300,204.582,229.230,188.556
0.158,11.696,4.310,4.310,204.571,229.299,188.464
0.159,11.800,4.322,4.322,204.566,229.362,188.381
0.161,11.892,4.333,4.333,204.565,229.417,188.308
0.162,11.973,4.341,4.341,204.566,229.465,188.243
0.163,12.045,4.348,4.348,204.567,229.508,188.185
0.165,12.108,4.351,4.351,204.567,229.544,188.133
0.166,12.163,4.354,4.354,204.563,229.575,188.087
0.168,12.212,4.355,4.355,204.553,229.600,188.046
0.169,12.258,4.357,4.357,204.536,229.620,188.009
0.170,12.304,4.359,4.359,204.511,229.636,187.974
0.172,12.352,4.363,4.363,204.478,229.649,187.942
0.173,12.400,4.369,4.369,204.442,229.660,187.912
0.175,12.447,4.376,4.376,204.406,229.673,187.883
0.176,12.492,4.382,4.382,204.374,229.688,187.856
0.177,12.534,4.388,4.388,204.348,229.708,187.829
0.179,12.575,4.390,4.390,204.333,229.734,187.803
0.180,12.619,4.390,4.390,204.330,229.769,187.776
0.182,12.673,4.384,4.384,204.345,229.814,187.750
0.183,12.746,4.373,4.373,204.380,229.872,187.722
0.184,12.844,4.356,4.356,204.439,229.944,187.692
0.186,12.970,4.336,4.336,204.524,230.031,187.661
0.187,13.124,4.312,4.312,204.634,230.134,187.628
0.189,13.304,4.287,4.287,204.767,230.250,187.591
0.190,13.507,4.262,4.262,204.920,230.377,187.549
0.191,13.730,4.238,4.238,205.089,230.514,187.503
0.193,13.970,4.215,4.215,205.272,230.659,187.450
0.194,14.223,4.196,4.196,205.467,230.810,187.390
0.196,14.487,4.180,4.180,205.670,230.964,187.323
0.197,14.758,4.168,4.168,205.878,231.121,187.246
0.198,15.035,4.161,4.161,206.089,231.279,187.160
0.200,15.315,4.161,4.161,206.299,231.435,187.064
0.201,15.594,4.166,4.166,206.507,231.589,186.957
0.203,15.874,4.180,4.180,206.711,231.738,186.838
0.204,16.154,4.201,4.201,206.912,231.885,186.709
0.205,16.435,4.232,4.232,207.110,232.028,186.571
0.207,16.716,4.272,4.272,207.304,232.169,186.423
0.208,16.998,4.325,4.325,207.496,232.306,186.268
0.209,17.281,4.390,4.390,207.684,232.441,186.105
0.211,17.565,4.468,4.468,207.870,232.572,185.936
0.212,17.850,4.561,4.561,208.053,232.702,185.760
0.214,18.135,4.669,4.669,208.234,232.829,185.580
0.215,18.421,4.789,4.789,208.412,232.953,185.394
0.216,18.707,4.918,4.918,208.588,233.076,185.205
0.218,18.990,5.051,5.051,208.760,233.195,185.014
0.219,19.268,5.187,5.187,208.927,233.310,184.824
0.221,19.538,5.322,5.322,209.088,233.419,184.638
0.222,19.796,5.452,5.452,209.241,233.521,184.457
0.223,20.039,5.574,5.574,209.384,233.616,184.284
0.225,20.264,5.686,5.686,209.516,233.701,184.123
0.226,20.469,5.787,5.787,209.635,233.776,183.974
0.228,20.649,5.876,5.876,209.740,233.839,183.842
0.229,20.802,5.950,5.950,209.829,233.890,183.728
0.230,20.925,6.009,6.009,209.901,233.926,183.635
0.232,21.015,6.050,6.050,209.954,233.948,183.566
0.233,21.076,6.073,6.073,209.990,233.956,183.517
0.235,21.114,6.080,6.080,210.013,233.954,183.488
0.236,21.135,6.075,6.075,210.026,233.945,183.473
0.237,21.150,6.063,6.063,210.031,233.931,183.471
0.239,21.167,6.048,6.048,210.033,233.916,183.477
0.240,21.185,6.034,6.034,210.034,233.902,183.489
0.242,21.202,6.027,6.027,210.037,233.893,183.503
0.243,21.218,6.031,6.031,210.047,233.892,183.516
0.244,21.241,6.047,6.047,210.065,233.901,183.526
0.246,21.279,6.073,6.073,210.096,233.923,183.528
0.247,21.340,6.105,6.105,210.142,233.961,183.520
0.249,21.422,6.142,6.142,210.202,234.015,183.502
0.250,21.523,6.181,6.181,210.274,234.080,183.476
0.251,21.638,6.219,6.219,210.355,234.155,183.443
0.253,21.763,6.253,6.253,210.443,234.235,183.404
0.254,21.894,6.283,6.283,210.534,234.319,183.362
0.256,22.027,6.307,6.307,210.627,234.404,183.317
0.257,22.158,6.328,6.328,210.718,234.486,183.272
0.258,22.282,6.346,6.346,210.805,234.563,183.227
0.260,22.396,6.361,6.361,210.885,234.631,183.185
0.261,22.495,6.374,6.374,210.956,234.689,183.147
0.263,22.575,6.387,6.387,211.015,234.732,183.115
0.264,22.638,6.399,6.399,211.063,234.763,183.087
0.265,22.687,6.411,6.411,211.100,234.784,183.064
0.267,22.725,6.421,6.421,211.130,234.799,183.045
0.268,22.755,6.430,6.430,211.152,234.809,183.028
0.270,22.779,6.437,6.436,211.168,234.818,183.012
0.271,22.801,6.441,6.441,211.181,234.828,182.997
0.272,22.825,6.442,6.442,211.191,234.843,182.982
0.274,22.854,6.440,6.440,211.201,234.866,182.966
0.275,22.893,6.435,6.435,211.211,234.898,182.947
0.277,22.945,6.428,6.429,211.224,234.944,182.926
0.278,23.014,6.420,6.422,211.240,235.006,182.901
0.279,23.098,6.413,6.415,211.259,235.082,182.871
0.281,23.196,6.408,6.410,211.282,235.171,182.838
0.282,23.305,6.406,6.407,211.307,235.271,182.801
0.284,23.423,6.408,6.407,211.333,235.378,182.761
0.285,23.547,6.414,6.411,211.359,235.491,182.717
0.286,23.674,6.421,6.418,211.386,235.607,182.671
0.288,23.804,6.428,6.426,211.412,235.724,182.621
0.289,23.933,6.432,6.435,211.436,235.840,182.570
0.291,24.059,6.432,6.444,211.458,235.952,182.515
0.292,24.180,6.425,6.452,211.477,236.057,182.459
0.293,24.294,6.410,6.458,211.492,236.154,182.401
0.295,24.402,6.385,6.461,211.503,236.243,182.340
0.296,24.509,6.350,6.459,211.510,236.326,182.273
