"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.691,2.691,193.190,207.719,182.690
0.001,0.157,2.745,2.745,193.343,207.702,182.718
0.003,0.313,2.799,2.799,193.495,207.685,182.745
0.004,0.466,2.852,2.852,193.645,207.669,182.773
0.006,0.615,2.904,2.904,193.791,207.653,182.800
0.007,0.759,2.954,2.954,193.932,207.638,182.826
0.009,0.897,3.003,3.003,194.067,207.624,182.852
0.010,1.027,3.050,3.050,194.194,207.612,182.878
0.012,1.148,3.094,3.094,194.312,207.601,182.903
0.013,1.260,3.136,3.136,194.420,207.592,182.927
0.015,1.360,3.177,3.177,194.517,207.586,182.951
0.016,1.447,3.215,3.215,194.601,207.581,182.974
0.018,1.523,3.253,3.253,194.674,207.580,182.996
0.019,1.589,3.289,3.289,194.736,207.581,183.020
0.021,1.648,3.323,3.323,194.788,207.586,183.046
0.022,1.701,3.358,3.358,194.831,207.594,183.076
0.024,1.753,3.392,3.392,194.868,207.607,183.110
0.025,1.806,3.428,3.428,194.899,207.625,183.150
0.027,1.864,3.466,3.466,194.924,207.647,183.196
0.028,1.929,3.507,3.507,194.946,207.675,183.251
0.030,2.003,3.552,3.552,194.966,207.709,183.315
0.031,2.089,3.601,3.601,194.985,207.748,183.388
0.033,2.186,3.655,3.655,195.002,207.794,183.472
0.034,2.291,3.710,3.710,195.019,207.844,183.563
0.036,2.401,3.765,3.765,195.034,207.896,183.658
0.037,2.514,3.817,3.817,195.048,207.951,183.755
0.038,2.626,3.864,3.864,195.060,208.007,183.852
0.040,2.736,3.903,3.903,195.069,208.062,183.947
0.041,2.840,3.933,3.933,195.077,208.116,184.036
0.043,2.936,3.954,3.954,195.081,208.166,184.118
0.044,3.021,3.967,3.967,195.082,208.212,184.189
0.046,3.093,3.976,3.976,195.080,208.253,184.248
0.047,3.150,3.981,3.981,195.074,208.288,184.293
0.049,3.194,3.984,3.984,195.066,208.316,184.325
0.050,3.226,3.989,3.989,195.056,208.338,184.347
0.052,3.249,3.996,3.996,195.045,208.354,184.359
0.053,3.265,4.005,4.005,195.033,208.363,184.364
0.055,3.278,4.016,4.016,195.021,208.366,184.362
0.056,3.291,4.028,4.028,195.010,208.363,184.355
0.058,3.308,4.040,4.040,195.000,208.354,184.345
0.059,3.329,4.053,4.053,194.992,208.338,184.333
0.061,3.354,4.064,4.064,194.988,208.317,184.321
0.062,3.383,4.075,4.075,194.986,208.289,184.311
0.064,3.415,4.083,4.083,194.987,208.259,184.303
0.065,3.445,4.088,4.088,194.989,208.229,184.300
