"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.470,3.470,309.952,276.632,279.024
0.001,0.042,3.440,3.440,309.918,276.651,279.007
0.003,0.082,3.412,3.412,309.885,276.668,278.992
0.004,0.117,3.385,3.385,309.856,276.682,278.979
0.005,0.144,3.363,3.363,309.832,276.691,278.969
0.006,0.163,3.345,3.345,309.815,276.695,278.964
0.008,0.172,3.333,3.333,309.806,276.691,278.965
0.009,0.188,3.328,3.328,309.807,276.678,278.974
0.010,0.219,3.331,3.331,309.820,276.655,278.990
0.012,0.269,3.344,3.344,309.846,276.621,279.016
0.013,0.343,3.364,3.364,309.887,276.573,279.053
0.014,0.441,3.392,3.392,309.945,276.510,279.102
0.015,0.567,3.426,3.426,310.022,276.431,279.164
0.017,0.717,3.466,3.466,310.114,276.338,279.237
0.018,0.888,3.511,3.511,310.220,276.233,279.319
0.019,1.074,3.559,3.559,310.336,276.118,279.409
0.021,1.271,3.610,3.610,310.460,275.996,279.502
0.022,1.475,3.663,3.663,310.588,275.869,279.597
0.023,1.680,3.717,3.717,310.717,275.740,279.691
0.025,1.883,3.771,3.771,310.845,275.612,279.783
0.026,2.078,3.822,3.822,310.968,275.487,279.869
0.027,2.262,3.871,3.871,311.082,275.367,279.947
0.028,2.429,3.916,3.916,311.186,275.256,280.015
0.030,2.575,3.956,3.956,311.276,275.155,280.070
0.031,2.699,3.989,3.989,311.352,275.065,280.112
0.032,2.803,4.016,4.016,311.413,274.986,280.142
0.034,2.889,4.036,4.036,311.462,274.919,280.161
0.035,2.958,4.050,4.050,311.500,274.861,280.171
0.036,3.012,4.060,4.060,311.526,274.814,280.171
0.037,3.054,4.064,4.064,311.543,274.777,280.165
0.039,3.085,4.064,4.064,311.552,274.749,280.152
0.040,3.111,4.060,4.060,311.553,274.731,280.134
0.041,3.136,4.052,4.052,311.547,274.721,280.113
0.043,3.162,4.042,4.042,311.536,274.719,280.088
0.044,3.193,4.029,4.029,311.521,274.726,280.063
0.045,3.227,4.015,4.015,311.503,274.739,280.036
0.046,3.263,4.001,4.001,311.484,274.756,280.011
0.048,3.298,3.986,3.986,311.466,274.776,279.989
0.049,3.328,3.972,3.972,311.452,274.794,279.970
0.050,3.350,3.959,3.959,311.443,274.809,279.956
0.052,3.361,3.948,3.948,311.442,274.817,279.948
0.053,3.370,3.941,3.941,311.451,274.816,279.949
0.054,3.396,3.937,3.937,311.472,274.803,279.958
0.055,3.444,3.939,3.939,311.507,274.776,279.977
0.057,3.519,3.947,3.947,311.558,274.732,280.009
0.058,3.623,3.962,3.962,311.627,274.668,280.053
0.059,3.759,3.985,3.985,311.716,274.583,280.111
0.061,3.922,4.017,4.017,311.822,274.480,280.180
0.062,4.107,4.059,4.059,311.941,274.362,280.258
0.063,4.308,4.108,4.108,312.070,274.234,280.343
0.065,4.518,4.162,4.162,312.206,274.099,280.431
0.066,4.733,4.218,4.218,312.344,273.960,280.520
0.067,4.947,4.274,4.274,312.482,273.823,280.607
0.068,5.153,4.328,4.328,312.616,273.689,280.690
0.070,5.347,4.375,4.375,312.743,273.564,280.766
0.071,5.522,4.415,4.415,312.859,273.451,280.833
0.072,5.674,4.445,4.445,312.961,273.353,280.887
0.074,5.796,4.467,4.467,313.047,273.275,280.927
0.075,5.892,4.481,4.481,313.116,273.215,280.954
0.076,5.965,4.490,4.490,313.172,273.171,280.970
0.077,6.020,4.494,4.494,313.217,273.140,280.978
0.079,6.062,4.495,4.495,313.254,273.122,280.979
0.080,6.094,4.494,4.494,313.286,273.114,280.976
0.081,6.123,4.493,4.493,313.315,273.113,280.972
0.083,6.152,4.492,4.492,313.343,273.118,280.969
0.084,6.184,4.492,4.492,313.374,273.127,280.968
0.085,6.221,4.493,4.493,313.409,273.136,280.973
0.086,6.267,4.495,4.495,313.452,273.145,280.986
0.088,6.324,4.498,4.498,313.505,273.151,281.008
0.089,6.395,4.504,4.504,313.567,273.154,281.040
0.090,6.476,4.511,4.511,313.639,273.152,281.080
0.092,6.566,4.520,4.520,313.717,273.145,281.124
0.093,6.663,4.532,4.532,313.800,273.134,281.171
0.094,6.763,4.544,4.544,313.888,273.118,281.218
0.095,6.866,4.557,4.557,313.977,273.097,281.263
0.097,6.968,4.570,4.570,314.067,273.071,281.304
0.098,7.069,4.582,4.582,314.156,273.038,281.339
0.099,7.167,4.592,4.592,314.243,273.000,281.364
0.101,7.262,4.600,4.600,314.325,272.955,281.379
0.102,7.354,4.605,4.605,314.402,272.905,281.379
0.103,7.444,4.606,4.606,314.472,272.849,281.367
0.105,7.533,4.603,4.603,314.538,272.792,281.347
0.106,7.619,4.597,4.597,314.599,272.738,281.323
0.107,7.697,4.586,4.586,314.658,272.692,281.300
0.108,7.766,4.571,4.571,314.716,272.657,281.284
0.110,7.827,4.551,4.551,314.773,272.637,281.278
0.111,7.886,4.526,4.526,314.831,272.637,281.288
0.112,7.957,4.496,4.496,314.891,272.660,281.318
0.114,8.056,4.463,4.463,314.955,272.712,281.373
0.115,8.193,4.428,4.428,315.023,272.795,281.459
0.116,8.378,4.392,4.393,315.096,272.914,281.579
0.117,8.613,4.359,4.359,315.177,273.070,281.736
0.119,8.894,4.329,4.329,315.263,273.257,281.927
0.120,9.213,4.305,4.305,315.356,273.467,282.147
0.121,9.560,4.288,4.288,315.455,273.694,282.391
0.123,9.928,4.279,4.279,315.558,273.928,282.655
0.124,10.309,4.277,4.277,315.668,274.164,282.935
0.125,10.696,4.280,4.280,315.781,274.393,283.225
0.126,11.080,4.286,4.286,315.900,274.607,283.520
0.128,11.455,4.293,4.293,316.023,274.801,283.818
0.129,11.815,4.300,4.300,316.149,274.965,284.112
0.130,12.154,4.303,4.303,316.279,275.092,284.398
0.132,12.471,4.303,4.303,316.413,275.177,284.672
0.133,12.768,4.296,4.296,316.548,275.222,284.933
0.134,13.051,4.285,4.286,316.684,275.232,285.180
0.135,13.321,4.272,4.272,316.819,275.214,285.414
0.137,13.582,4.257,4.257,316.952,275.171,285.634
0.138,13.832,4.242,4.242,317.082,275.111,285.839
0.139,14.071,4.228,4.228,317.206,275.037,286.030
0.141,14.297,4.217,4.217,317.324,274.955,286.205
0.142,14.509,4.211,4.211,317.434,274.871,286.365
0.143,14.703,4.209,4.209,317.535,274.790,286.509
0.145,14.876,4.212,4.212,317.625,274.717,286.637
0.146,15.025,4.218,4.218,317.703,274.658,286.749
0.147,15.152,4.229,4.229,317.771,274.611,286.847
0.148,15.263,4.242,4.242,317.829,274.574,286.933
0.150,15.361,4.259,4.259,317.882,274.542,287.010
0.151,15.452,4.277,4.277,317.930,274.512,287.081
0.152,15.540,4.298,4.298,317.976,274.481,287.150
0.154,15.631,4.320,4.320,318.022,274.445,287.218
0.155,15.728,4.346,4.346,318.071,274.399,287.290
0.156,15.839,4.375,4.375,318.124,274.341,287.367
0.157,15.967,4.410,4.410,318.184,274.267,287.453
0.159,16.120,4.449,4.449,318.254,274.173,287.551
0.160,16.301,4.495,4.495,318.334,274.056,287.663
