"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.994,1.994,299.662,283.035,275.239
0.001,0.501,2.083,2.083,299.643,282.965,275.735
0.003,0.997,2.175,2.175,299.624,282.897,276.226
0.004,1.484,2.270,2.270,299.605,282.830,276.708
0.006,1.957,2.371,2.371,299.584,282.765,277.176
0.007,2.413,2.479,2.479,299.561,282.703,277.627
0.009,2.846,2.597,2.597,299.537,282.645,278.055
0.010,3.252,2.726,2.726,299.511,282.592,278.457
0.011,3.626,2.866,2.866,299.481,282.543,278.827
0.013,3.965,3.014,3.014,299.449,282.501,279.162
0.014,4.264,3.161,3.161,299.413,282.466,279.456
0.016,4.518,3.302,3.302,299.373,282.438,279.705
0.017,4.724,3.429,3.429,299.329,282.418,279.905
0.019,4.880,3.535,3.535,299.281,282.407,280.054
0.020,4.992,3.614,3.614,299.231,282.403,280.154
0.021,5.070,3.661,3.661,299.181,282.404,280.213
0.023,5.124,3.678,3.678,299.134,282.407,280.239
0.024,5.165,3.673,3.673,299.092,282.412,280.237
0.026,5.206,3.654,3.654,299.059,282.414,280.215
0.027,5.248,3.626,3.626,299.036,282.414,280.179
0.029,5.293,3.598,3.598,299.027,282.407,280.136
0.030,5.339,3.575,3.575,299.034,282.393,280.092
0.031,5.390,3.565,3.565,299.059,282.368,280.056
0.033,5.453,3.569,3.569,299.105,282.331,280.033
0.034,5.540,3.584,3.584,299.176,282.280,280.030
0.036,5.659,3.608,3.608,299.271,282.213,280.053
0.037,5.810,3.640,3.640,299.390,282.132,280.100
0.039,5.989,3.679,3.679,299.528,282.041,280.168
0.040,6.189,3.722,3.722,299.680,281.942,280.253
0.041,6.404,3.767,3.767,299.842,281.839,280.350
0.043,6.628,3.813,3.813,300.011,281.736,280.455
0.044,6.855,3.860,3.860,300.181,281.635,280.565
0.046,7.077,3.905,3.905,300.348,281.540,280.676
0.047,7.288,3.949,3.949,300.509,281.454,280.783
0.049,7.483,3.990,3.990,300.658,281.381,280.883
0.050,7.653,4.027,4.027,300.793,281.323,280.972
0.051,7.795,4.059,4.059,300.907,281.285,281.045
0.053,7.902,4.086,4.086,300.999,281.268,281.099
0.054,7.980,4.109,4.109,301.068,281.270,281.136
0.056,8.038,4.128,4.128,301.118,281.286,281.157
0.057,8.081,4.145,4.145,301.153,281.311,281.167
0.059,8.117,4.159,4.159,301.175,281.339,281.168
0.060,8.147,4.172,4.172,301.188,281.366,281.163
