"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.006,2.006,299.647,283.065,275.262
0.001,0.473,2.089,2.089,299.630,283.013,275.732
0.003,0.943,2.174,2.174,299.613,282.961,276.198
0.004,1.404,2.264,2.264,299.594,282.909,276.656
0.006,1.853,2.359,2.359,299.574,282.858,277.102
0.007,2.287,2.463,2.463,299.553,282.809,277.532
0.008,2.701,2.576,2.576,299.529,282.762,277.943
0.010,3.090,2.702,2.702,299.503,282.717,278.329
0.011,3.452,2.841,2.841,299.474,282.674,278.687
0.013,3.783,2.990,2.990,299.441,282.633,279.013
0.014,4.078,3.140,3.140,299.404,282.596,279.304
0.015,4.334,3.285,3.285,299.363,282.562,279.554
0.017,4.548,3.418,3.418,299.318,282.533,279.761
0.018,4.717,3.531,3.531,299.267,282.507,279.920
0.020,4.845,3.618,3.618,299.212,282.485,280.034
0.021,4.940,3.672,3.672,299.157,282.466,280.109
0.022,5.010,3.694,3.694,299.104,282.449,280.151
0.024,5.063,3.691,3.691,299.054,282.435,280.165
0.025,5.108,3.671,3.671,299.012,282.421,280.157
0.027,5.151,3.642,3.642,298.979,282.409,280.134
0.028,5.192,3.610,3.610,298.958,282.396,280.102
0.029,5.231,3.583,3.583,298.951,282.382,280.065
0.031,5.270,3.569,3.569,298.962,282.368,280.030
0.032,5.314,3.571,3.571,298.993,282.351,280.003
0.034,5.373,3.587,3.587,299.047,282.332,279.990
0.035,5.454,3.614,3.614,299.125,282.310,279.997
0.036,5.565,3.650,3.650,299.229,282.283,280.026
0.038,5.704,3.693,3.693,299.355,282.250,280.074
0.039,5.868,3.740,3.740,299.499,282.210,280.141
0.041,6.055,3.787,3.787,299.659,282.159,280.222
0.042,6.260,3.835,3.835,299.831,282.098,280.317
0.043,6.482,3.882,3.882,300.012,282.023,280.421
0.045,6.718,3.930,3.930,300.198,281.933,280.534
0.046,6.964,3.979,3.979,300.387,281.826,280.652
0.048,7.220,4.029,4.029,300.573,281.701,280.773
0.049,7.483,4.082,4.082,300.756,281.555,280.895
0.050,7.753,4.138,4.138,300.930,281.388,281.016
0.052,8.031,4.197,4.197,301.093,281.196,281.132
0.053,8.315,4.260,4.260,301.243,280.980,281.242
0.055,8.607,4.327,4.327,301.378,280.744,281.346
0.056,8.903,4.396,4.396,301.501,280.492,281.443
0.057,9.202,4.469,4.469,301.612,280.230,281.534
0.059,9.499,4.545,4.545,301.711,279.964,281.619
0.060,9.790,4.623,4.623,301.799,279.697,281.697
0.062,10.073,4.704,4.704,301.878,279.435,281.769
0.063,10.343,4.785,4.785,301.948,279.183,281.834
0.064,10.594,4.864,4.864,302.009,278.946,281.893
0.066,10.824,4.938,4.938,302.063,278.729,281.945
0.067,11.027,5.005,5.005,302.110,278.537,281.990
0.069,11.198,5.061,5.061,302.151,278.375,282.029
0.070,11.334,5.104,5.104,302.186,278.248,282.062
0.071,11.436,5.131,5.131,302.217,278.155,282.089
0.073,11.507,5.143,5.143,302.241,278.091,282.110
0.074,11.552,5.143,5.143,302.261,278.054,282.126
0.076,11.576,5.133,5.133,302.274,278.039,282.139
0.077,11.589,5.118,5.118,302.282,278.044,282.148
0.078,11.610,5.100,5.100,302.284,278.065,282.154
0.080,11.643,5.082,5.082,302.279,278.097,282.159
0.081,11.686,5.069,5.069,302.269,278.138,282.162
0.083,11.734,5.061,5.061,302.252,278.184,282.165
0.084,11.787,5.058,5.058,302.228,278.231,282.168
0.085,11.841,5.058,5.058,302.198,278.275,282.172
0.087,11.894,5.061,5.061,302.161,278.314,282.177
0.088,11.947,5.066,5.066,302.119,278.344,282.184
0.090,11.997,5.071,5.071,302.075,278.367,282.193
0.091,12.044,5.076,5.076,302.033,278.382,282.204
0.092,12.085,5.079,5.079,301.995,278.390,282.218
0.094,12.118,5.081,5.081,301.965,278.391,282.234
0.095,12.145,5.082,5.082,301.947,278.384,282.252
0.097,12.170,5.081,5.081,301.944,278.370,282.273
0.098,12.205,5.080,5.080,301.959,278.350,282.296
0.099,12.257,5.078,5.078,301.996,278.323,282.322
0.101,12.334,5.075,5.075,302.057,278.289,282.352
0.102,12.438,5.072,5.072,302.148,278.249,282.384
0.104,12.573,5.070,5.070,302.270,278.203,282.419
0.105,12.741,5.068,5.068,302.425,278.152,282.457
0.106,12.938,5.069,5.069,302.609,278.095,282.499
0.108,13.158,5.073,5.073,302.816,278.033,282.542
0.109,13.395,5.080,5.080,303.040,277.969,282.588
0.111,13.645,5.093,5.093,303.275,277.902,282.636
0.112,13.901,5.111,5.111,303.517,277.833,282.685
0.113,14.158,5.134,5.134,303.759,277.763,282.735
0.115,14.410,5.159,5.159,303.996,277.693,282.786
0.116,14.652,5.185,5.185,304.222,277.623,282.837
0.118,14.879,5.208,5.208,304.432,277.556,282.889
0.119,15.085,5.227,5.227,304.621,277.490,282.940
0.120,15.265,5.239,5.239,304.782,277.428,282.991
0.122,15.415,5.242,5.242,304.911,277.370,283.041
0.123,15.538,5.237,5.237,305.009,277.315,283.090
0.125,15.639,5.226,5.226,305.081,277.264,283.140
0.126,15.724,5.211,5.211,305.130,277.216,283.190
0.127,15.799,5.194,5.194,305.161,277.170,283.241
0.129,15.869,5.180,5.180,305.177,277.127,283.293
0.130,15.938,5.169,5.169,305.182,277.085,283.348
0.132,16.008,5.165,5.165,305.181,277.044,283.405
0.133,16.081,5.169,5.169,305.177,277.004,283.466
0.134,16.157,5.179,5.179,305.174,276.964,283.530
0.136,16.236,5.194,5.194,305.177,276.924,283.598
0.137,16.321,5.212,5.212,305.189,276.883,283.671
0.139,16.413,5.230,5.230,305.215,276.842,283.750
0.140,16.515,5.248,5.248,305.255,276.799,283.834
0.141,16.627,5.263,5.263,305.307,276.755,283.922
0.143,16.748,5.274,5.274,305.372,276.711,284.015
0.144,16.877,5.281,5.281,305.446,276.667,284.111
0.146,17.014,5.287,5.287,305.529,276.622,284.210
0.147,17.157,5.292,5.292,305.618,276.578,284.313
0.148,17.305,5.298,5.298,305.713,276.534,284.417
0.150,17.456,5.305,5.305,305.812,276.491,284.523
0.151,17.609,5.316,5.316,305.913,276.449,284.630
0.153,17.762,5.331,5.331,306.014,276.409,284.738
0.154,17.915,5.350,5.350,306.115,276.370,284.846
0.155,18.066,5.373,5.373,306.214,276.332,284.953
0.157,18.213,5.398,5.398,306.309,276.297,285.059
0.158,18.355,5.425,5.425,306.401,276.265,285.164
0.160,18.493,5.454,5.454,306.489,276.234,285.265
0.161,18.626,5.483,5.483,306.574,276.207,285.363
0.162,18.752,5.512,5.512,306.655,276.183,285.456
0.164,18.871,5.540,5.540,306.733,276.162,285.544
0.165,18.983,5.567,5.567,306.808,276.145,285.625
0.167,19.086,5.590,5.590,306.879,276.132,285.699
0.168,19.182,5.610,5.610,306.947,276.123,285.765
0.169,19.268,5.625,5.625,307.012,276.119,285.822
0.171,19.345,5.634,5.634,307.074,276.119,285.869
