"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.995,1.995,-23.580,115.541,162.485
0.001,0.087,1.964,1.964,-23.634,115.474,162.469
0.003,0.171,1.933,1.933,-23.685,115.409,162.453
0.004,0.248,1.904,1.904,-23.732,115.349,162.439
0.005,0.316,1.878,1.878,-23.772,115.296,162.425
0.006,0.370,1.856,1.856,-23.802,115.253,162.413
0.008,0.409,1.838,1.838,-23.820,115.220,162.404
0.009,0.429,1.825,1.825,-23.824,115.202,162.397
0.010,0.442,1.819,1.819,-23.812,115.200,162.392
0.012,0.477,1.821,1.821,-23.781,115.216,162.391
0.013,0.541,1.832,1.832,-23.729,115.253,162.394
0.014,0.639,1.853,1.853,-23.653,115.313,162.401
0.015,0.772,1.885,1.885,-23.551,115.398,162.412
0.017,0.944,1.932,1.932,-23.421,115.511,162.429
0.018,1.151,1.993,1.993,-23.267,115.647,162.449
0.019,1.386,2.072,2.072,-23.093,115.804,162.474
0.021,1.644,2.168,2.168,-22.904,115.977,162.502
0.022,1.919,2.281,2.281,-22.704,116.162,162.532
0.023,2.203,2.408,2.408,-22.497,116.354,162.564
0.025,2.492,2.543,2.543,-22.288,116.551,162.597
0.026,2.778,2.683,2.683,-22.082,116.748,162.631
0.027,3.057,2.824,2.824,-21.883,116.940,162.666
0.028,3.321,2.960,2.960,-21.696,117.123,162.699
0.030,3.565,3.088,3.088,-21.525,117.294,162.731
0.031,3.783,3.203,3.203,-21.375,117.449,162.762
0.032,3.969,3.304,3.304,-21.250,117.583,162.790
0.034,4.124,3.393,3.393,-21.149,117.698,162.815
0.035,4.252,3.470,3.470,-21.068,117.795,162.838
0.036,4.356,3.536,3.536,-21.006,117.876,162.859
0.037,4.441,3.594,3.594,-20.959,117.945,162.878
0.039,4.511,3.644,3.644,-20.924,118.002,162.895
0.040,4.567,3.688,3.688,-20.899,118.050,162.911
0.041,4.615,3.727,3.727,-20.880,118.092,162.924
0.043,4.658,3.763,3.763,-20.864,118.130,162.937
0.044,4.698,3.797,3.797,-20.849,118.165,162.948
0.045,4.739,3.830,3.830,-20.831,118.200,162.959
0.046,4.784,3.864,3.864,-20.808,118.238,162.968
0.048,4.837,3.900,3.900,-20.777,118.280,162.977
0.049,4.898,3.940,3.940,-20.738,118.326,162.986
0.050,4.968,3.985,3.985,-20.692,118.377,162.996
0.052,5.044,4.037,4.037,-20.641,118.432,163.007
0.053,5.125,4.093,4.093,-20.585,118.489,163.021
