"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.240,2.240,-22.707,116.506,162.865
0.001,0.251,2.402,2.402,-22.566,116.714,162.863
0.003,0.502,2.565,2.565,-22.427,116.922,162.863
0.004,0.750,2.728,2.728,-22.290,117.128,162.865
0.006,0.994,2.892,2.892,-22.157,117.333,162.870
0.007,1.234,3.057,3.057,-22.029,117.536,162.881
0.009,1.469,3.222,3.222,-21.908,117.737,162.898
0.010,1.698,3.390,3.390,-21.794,117.934,162.923
0.012,1.921,3.558,3.558,-21.690,118.128,162.957
0.013,2.137,3.725,3.725,-21.596,118.317,163.001
0.015,2.347,3.888,3.888,-21.513,118.502,163.057
0.016,2.551,4.044,4.044,-21.444,118.682,163.126
0.018,2.751,4.191,4.191,-21.389,118.856,163.208
0.019,2.949,4.326,4.326,-21.349,119.023,163.306
0.021,3.147,4.447,4.447,-21.323,119.184,163.417
0.022,3.344,4.551,4.551,-21.308,119.337,163.542
0.023,3.543,4.638,4.638,-21.304,119.481,163.678
0.025,3.742,4.710,4.710,-21.307,119.616,163.824
0.026,3.942,4.766,4.766,-21.316,119.741,163.980
0.028,4.141,4.807,4.807,-21.330,119.855,164.144
0.029,4.341,4.833,4.833,-21.346,119.957,164.314
0.031,4.539,4.844,4.844,-21.363,120.047,164.490
0.032,4.736,4.842,4.842,-21.378,120.124,164.671
0.034,4.931,4.831,4.831,-21.390,120.187,164.854
0.035,5.122,4.815,4.815,-21.398,120.235,165.040
0.037,5.311,4.797,4.797,-21.398,120.268,165.226
0.038,5.497,4.782,4.782,-21.393,120.288,165.411
0.040,5.680,4.774,4.774,-21.383,120.297,165.593
0.041,5.858,4.777,4.777,-21.368,120.295,165.770
0.043,6.030,4.790,4.790,-21.350,120.286,165.941
0.044,6.194,4.812,4.812,-21.329,120.271,166.103
0.045,6.349,4.838,4.838,-21.307,120.252,166.256
0.047,6.493,4.866,4.866,-21.284,120.231,166.396
0.048,6.624,4.891,4.891,-21.261,120.209,166.523
0.050,6.739,4.912,4.912,-21.238,120.189,166.634
0.051,6.837,4.924,4.924,-21.217,120.172,166.728
0.053,6.915,4.928,4.928,-21.199,120.160,166.803
