"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.163,2.163,-23.991,115.001,161.013
0.001,0.397,2.235,2.235,-23.718,115.281,161.081
0.003,0.791,2.309,2.309,-23.447,115.559,161.148
0.004,1.180,2.387,2.387,-23.181,115.835,161.215
0.006,1.561,2.471,2.471,-22.921,116.106,161.281
0.007,1.933,2.564,2.564,-22.670,116.372,161.346
0.009,2.291,2.668,2.668,-22.430,116.630,161.410
0.010,2.635,2.784,2.784,-22.203,116.880,161.473
0.011,2.961,2.915,2.915,-21.991,117.121,161.533
0.013,3.267,3.056,3.056,-21.797,117.350,161.592
0.014,3.550,3.203,3.203,-21.623,117.566,161.649
0.016,3.809,3.353,3.353,-21.470,117.768,161.703
0.017,4.043,3.500,3.500,-21.341,117.955,161.755
0.019,4.253,3.640,3.640,-21.233,118.129,161.804
0.020,4.442,3.769,3.769,-21.146,118.290,161.852
0.022,4.613,3.884,3.884,-21.077,118.440,161.898
0.023,4.770,3.986,3.986,-21.024,118.580,161.943
0.024,4.913,4.075,4.075,-20.986,118.711,161.987
0.026,5.047,4.155,4.155,-20.962,118.836,162.030
0.027,5.174,4.227,4.227,-20.949,118.955,162.073
0.029,5.297,4.294,4.294,-20.945,119.069,162.116
0.030,5.416,4.357,4.357,-20.949,119.180,162.159
0.032,5.535,4.418,4.418,-20.960,119.290,162.204
0.033,5.653,4.477,4.477,-20.974,119.398,162.249
0.034,5.771,4.530,4.530,-20.992,119.504,162.298
0.036,5.888,4.576,4.576,-21.010,119.606,162.351
0.037,6.003,4.613,4.613,-21.027,119.703,162.411
0.039,6.116,4.640,4.640,-21.042,119.794,162.478
0.040,6.229,4.654,4.654,-21.052,119.877,162.554
0.042,6.343,4.654,4.654,-21.056,119.950,162.641
0.043,6.461,4.642,4.642,-21.052,120.013,162.740
0.045,6.586,4.621,4.621,-21.039,120.064,162.853
0.046,6.722,4.594,4.594,-21.014,120.102,162.982
0.047,6.874,4.564,4.564,-20.976,120.126,163.127
0.049,7.045,4.533,4.533,-20.925,120.135,163.289
0.050,7.232,4.507,4.507,-20.861,120.132,163.465
0.052,7.433,4.485,4.485,-20.787,120.120,163.652
0.053,7.645,4.470,4.470,-20.704,120.102,163.847
0.055,7.865,4.460,4.460,-20.614,120.079,164.046
0.056,8.089,4.455,4.455,-20.519,120.056,164.247
0.057,8.314,4.453,4.453,-20.419,120.034,164.447
0.059,8.535,4.454,4.454,-20.316,120.017,164.643
0.060,8.750,4.458,4.458,-20.213,120.006,164.831
0.062,8.956,4.463,4.463,-20.110,120.005,165.009
0.063,9.149,4.468,4.468,-20.010,120.016,165.174
0.065,9.330,4.475,4.475,-19.913,120.039,165.324
0.066,9.500,4.482,4.482,-19.818,120.075,165.461
0.068,9.662,4.490,4.490,-19.726,120.121,165.586
0.069,9.817,4.498,4.498,-19.636,120.177,165.698
0.070,9.966,4.506,4.506,-19.548,120.242,165.800
0.072,10.111,4.513,4.513,-19.461,120.314,165.893
0.073,10.254,4.521,4.521,-19.377,120.393,165.976
0.075,10.394,4.528,4.528,-19.294,120.477,166.051
0.076,10.532,4.537,4.537,-19.212,120.565,166.119
0.078,10.668,4.547,4.547,-19.131,120.656,166.180
0.079,10.804,4.558,4.558,-19.051,120.750,166.236
0.080,10.938,4.571,4.571,-18.971,120.844,166.288
0.082,11.070,4.586,4.586,-18.893,120.940,166.335
0.083,11.200,4.604,4.604,-18.815,121.035,166.378
0.085,11.328,4.623,4.623,-18.739,121.130,166.417
0.086,11.453,4.643,4.643,-18.665,121.223,166.454
0.088,11.574,4.664,4.664,-18.592,121.315,166.487
0.089,11.692,4.685,4.685,-18.522,121.405,166.518
0.091,11.806,4.706,4.706,-18.454,121.491,166.547
0.092,11.915,4.725,4.725,-18.388,121.574,166.574
0.093,12.019,4.744,4.744,-18.325,121.652,166.600
0.095,12.118,4.763,4.763,-18.265,121.726,166.626
0.096,12.210,4.781,4.781,-18.207,121.794,166.650
0.098,12.297,4.799,4.799,-18.153,121.858,166.674
0.099,12.378,4.817,4.817,-18.101,121.916,166.697
0.101,12.454,4.835,4.835,-18.053,121.969,166.719
0.102,12.524,4.854,4.854,-18.007,122.018,166.740
0.103,12.588,4.874,4.874,-17.964,122.061,166.761
0.105,12.647,4.893,4.893,-17.924,122.099,166.781
0.106,12.700,4.910,4.910,-17.886,122.132,166.800
0.108,12.748,4.926,4.926,-17.852,122.160,166.819
0.109,12.791,4.940,4.940,-17.820,122.182,166.836
0.111,12.829,4.950,4.950,-17.790,122.200,166.853
0.112,12.864,4.956,4.956,-17.763,122.214,166.869
0.114,12.896,4.959,4.959,-17.737,122.225,166.884
0.115,12.927,4.960,4.960,-17.712,122.235,166.898
0.116,12.957,4.959,4.959,-17.686,122.246,166.911
0.118,12.989,4.959,4.959,-17.659,122.258,166.923
0.119,13.024,4.960,4.960,-17.631,122.274,166.934
0.121,13.062,4.964,4.964,-17.600,122.295,166.944
0.122,13.107,4.971,4.971,-17.566,122.322,166.953
0.124,13.159,4.982,4.982,-17.528,122.357,166.960
0.125,13.221,4.998,4.998,-17.485,122.401,166.966
0.126,13.293,5.016,5.016,-17.437,122.455,166.971
0.128,13.376,5.039,5.039,-17.383,122.518,166.975
0.129,13.469,5.064,5.064,-17.324,122.589,166.979
0.131,13.569,5.093,5.093,-17.259,122.666,166.983
0.132,13.677,5.124,5.124,-17.190,122.748,166.987
0.134,13.790,5.159,5.159,-17.116,122.834,166.993
0.135,13.908,5.195,5.195,-17.037,122.921,167.000
0.136,14.030,5.233,5.233,-16.953,123.009,167.009
0.138,14.155,5.272,5.272,-16.864,123.096,167.021
0.139,14.281,5.311,5.311,-16.771,123.180,167.036
0.141,14.409,5.351,5.351,-16.674,123.261,167.055
0.142,14.538,5.391,5.391,-16.573,123.337,167.078
0.144,14.667,5.430,5.430,-16.468,123.408,167.104
0.145,14.796,5.470,5.470,-16.361,123.476,167.132
0.147,14.926,5.511,5.511,-16.253,123.540,167.162
0.148,15.054,5.553,5.553,-16.145,123.602,167.192
0.149,15.181,5.597,5.597,-16.037,123.661,167.222
0.151,15.305,5.644,5.644,-15.931,123.719,167.251
0.152,15.427,5.695,5.695,-15.827,123.776,167.279
0.154,15.545,5.748,5.748,-15.727,123.833,167.304
0.155,15.658,5.803,5.803,-15.631,123.890,167.325
0.157,15.767,5.858,5.858,-15.540,123.947,167.342
0.158,15.870,5.912,5.912,-15.456,124.006,167.354
0.159,15.969,5.964,5.964,-15.377,124.065,167.363
0.161,16.063,6.012,6.012,-15.304,124.124,167.367
0.162,16.151,6.055,6.055,-15.237,124.182,167.369
0.164,16.235,6.094,6.094,-15.176,124.239,167.369
0.165,16.313,6.127,6.127,-15.121,124.294,167.367
0.167,16.385,6.156,6.156,-15.071,124.346,167.363
0.168,16.452,6.180,6.180,-15.027,124.395,167.359
0.170,16.511,6.200,6.200,-14.988,124.441,167.356
0.171,16.565,6.216,6.216,-14.954,124.482,167.353
0.172,16.610,6.229,6.229,-14.926,124.518,167.351
0.174,16.649,6.239,6.239,-14.902,124.548,167.351
0.175,16.681,6.246,6.246,-14.883,124.574,167.352
0.177,16.707,6.251,6.251,-14.869,124.595,167.355
0.178,16.727,6.255,6.255,-14.857,124.611,167.358
0.180,16.742,6.257,6.257,-14.849,124.623,167.362
0.181,16.752,6.259,6.259,-14.844,124.631,167.366
0.182,16.759,6.261,6.261,-14.840,124.635,167.371
0.184,16.764,6.262,6.262,-14.839,124.636,167.375
0.185,16.770,6.264,6.264,-14.838,124.633,167.380
0.187,16.777,6.265,6.265,-14.838,124.627,167.383
0.188,16.786,6.266,6.266,-14.838,124.619,167.386
0.190,16.797,6.267,6.267,-14.838,124.608,167.389
0.191,16.808,6.267,6.267,-14.838,124.596,167.390
0.193,16.819,6.266,6.266,-14.838,124.585,167.391
0.194,16.829,6.265,6.265,-14.838,124.576,167.391
0.195,16.835,6.263,6.264,-14.837,124.570,167.391
0.197,16.836,6.262,6.263,-14.837,124.569,167.390
0.198,16.841,6.262,6.262,-14.836,124.573,167.389
0.200,16.853,6.263,6.263,-14.834,124.584,167.387
0.201,16.873,6.266,6.266,-14.833,124.604,167.386
0.203,16.903,6.271,6.271,-14.830,124.634,167.384
0.204,16.943,6.279,6.279,-14.828,124.675,167.382
0.205,16.995,6.288,6.288,-14.825,124.726,167.380
0.207,17.055,6.298,6.298,-14.821,124.786,167.376
0.208,17.122,6.309,6.308,-14.815,124.853,167.371
0.210,17.196,6.319,6.318,-14.808,124.926,167.364
0.211,17.273,6.327,6.327,-14.800,125.002,167.354
0.213,17.353,6.334,6.334,-14.789,125.080,167.340
0.214,17.435,6.338,6.339,-14.775,125.159,167.322
0.216,17.517,6.340,6.342,-14.759,125.236,167.300
0.217,17.599,6.339,6.342,-14.739,125.310,167.272
0.218,17.680,6.337,6.340,-14.716,125.380,167.238
0.220,17.759,6.332,6.335,-14.689,125.443,167.198
0.221,17.838,6.324,6.326,-14.659,125.501,167.153
0.223,17.918,6.315,6.314,-14.624,125.554,167.105
0.224,17.998,6.304,6.299,-14.586,125.604,167.056
0.226,18.078,6.290,6.282,-14.544,125.652,167.008
0.227,18.157,6.274,6.263,-14.498,125.700,166.963
0.228,18.237,6.257,6.244,-14.448,125.748,166.924
0.230,18.318,6.237,6.226,-14.394,125.799,166.893
0.231,18.400,6.215,6.209,-14.337,125.854,166.871
0.233,18.487,6.192,6.195,-14.275,125.914,166.861
0.234,18.580,6.167,6.184,-14.210,125.980,166.864
0.236,18.682,6.140,6.173,-14.141,126.054,166.884
0.237,18.795,6.110,6.162,-14.069,126.134,166.917
0.239,18.916,6.078,6.148,-13.995,126.218,166.962
0.240,19.042,6.044,6.129,-13.921,126.306,167.016
0.241,19.172,6.007,6.104,-13.848,126.394,167.076
0.243,19.303,5.968,6.071,-13.776,126.482,167.141
0.244,19.431,5.926,6.029,-13.707,126.567,167.207
