"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.386,3.386,-71.480,-48.555,-0.241
0.001,0.035,3.368,3.368,-71.510,-48.536,-0.240
0.003,0.069,3.351,3.351,-71.538,-48.519,-0.238
0.004,0.099,3.338,3.338,-71.563,-48.502,-0.232
0.005,0.125,3.329,3.329,-71.581,-48.486,-0.223
0.006,0.147,3.326,3.326,-71.592,-48.472,-0.209
0.008,0.171,3.331,3.331,-71.593,-48.461,-0.188
0.009,0.203,3.346,3.346,-71.583,-48.452,-0.160
0.010,0.248,3.371,3.371,-71.559,-48.446,-0.122
0.012,0.310,3.408,3.408,-71.520,-48.444,-0.074
0.013,0.392,3.454,3.454,-71.464,-48.446,-0.014
0.014,0.497,3.509,3.509,-71.389,-48.453,0.059
0.016,0.627,3.569,3.569,-71.293,-48.464,0.146
0.017,0.781,3.634,3.634,-71.177,-48.480,0.246
0.018,0.953,3.701,3.701,-71.047,-48.500,0.356
0.019,1.138,3.769,3.769,-70.904,-48.523,0.473
0.021,1.332,3.835,3.835,-70.755,-48.547,0.593
0.022,1.529,3.899,3.899,-70.601,-48.574,0.715
0.023,1.726,3.959,3.959,-70.448,-48.600,0.834
0.025,1.916,4.015,4.015,-70.298,-48.626,0.949
0.026,2.095,4.065,4.065,-70.156,-48.651,1.055
0.027,2.257,4.109,4.109,-70.026,-48.674,1.150
0.029,2.399,4.146,4.146,-69.912,-48.694,1.232
0.030,2.516,4.174,4.174,-69.816,-48.710,1.296
0.031,2.605,4.195,4.195,-69.742,-48.723,1.343
0.032,2.670,4.207,4.207,-69.685,-48.732,1.374
0.034,2.715,4.212,4.212,-69.644,-48.740,1.392
0.035,2.746,4.213,4.213,-69.615,-48.746,1.399
0.036,2.766,4.211,4.211,-69.596,-48.752,1.399
0.038,2.781,4.207,4.207,-69.584,-48.758,1.394
0.039,2.795,4.203,4.203,-69.575,-48.767,1.386
0.040,2.811,4.201,4.201,-69.568,-48.778,1.378
0.042,2.829,4.202,4.202,-69.559,-48.792,1.372
0.043,2.852,4.207,4.207,-69.545,-48.811,1.372
0.044,2.885,4.215,4.215,-69.523,-48.836,1.379
0.045,2.932,4.225,4.225,-69.492,-48.866,1.396
0.047,2.991,4.239,4.239,-69.452,-48.902,1.421
0.048,3.060,4.255,4.255,-69.406,-48.941,1.454
0.049,3.137,4.272,4.272,-69.354,-48.983,1.491
0.051,3.219,4.292,4.292,-69.299,-49.027,1.533
0.052,3.302,4.313,4.313,-69.242,-49.071,1.576
0.053,3.386,4.335,4.335,-69.186,-49.114,1.620
0.054,3.466,4.356,4.356,-69.131,-49.154,1.662
0.056,3.540,4.377,4.377,-69.080,-49.191,1.702
0.057,3.606,4.395,4.395,-69.035,-49.223,1.736
0.058,3.660,4.410,4.410,-68.996,-49.249,1.765
0.060,3.700,4.422,4.422,-68.967,-49.268,1.785
0.061,3.728,4.429,4.429,-68.946,-49.280,1.798
0.062,3.745,4.432,4.432,-68.932,-49.287,1.805
0.064,3.754,4.431,4.431,-68.924,-49.291,1.807
0.065,3.759,4.428,4.428,-68.919,-49.292,1.807
0.066,3.763,4.424,4.424,-68.916,-49.293,1.805
0.067,3.767,4.422,4.422,-68.913,-49.296,1.803
0.069,3.773,4.422,4.422,-68.909,-49.301,1.803
0.070,3.785,4.426,4.426,-68.903,-49.310,1.806
0.071,3.806,4.435,4.435,-68.891,-49.325,1.815
0.073,3.839,4.449,4.449,-68.873,-49.348,1.829
0.074,3.885,4.468,4.468,-68.848,-49.380,1.852
0.075,3.947,4.491,4.491,-68.814,-49.421,1.882
0.077,4.021,4.517,4.517,-68.773,-49.471,1.920
0.078,4.105,4.544,4.544,-68.727,-49.526,1.964
0.079,4.197,4.572,4.572,-68.678,-49.586,2.012
0.080,4.292,4.600,4.600,-68.627,-49.650,2.062
0.082,4.389,4.626,4.626,-68.577,-49.714,2.115
0.083,4.485,4.651,4.651,-68.527,-49.778,2.167
0.084,4.578,4.675,4.675,-68.482,-49.840,2.217
0.086,4.663,4.696,4.696,-68.442,-49.898,2.265
0.087,4.739,4.715,4.715,-68.408,-49.951,2.308
0.088,4.803,4.733,4.733,-68.383,-49.997,2.345
0.089,4.854,4.748,4.748,-68.368,-50.035,2.376
0.091,4.893,4.761,4.761,-68.362,-50.065,2.400
0.092,4.923,4.771,4.771,-68.362,-50.087,2.419
0.093,4.946,4.779,4.779,-68.368,-50.104,2.434
0.095,4.965,4.785,4.785,-68.377,-50.116,2.446
0.096,4.981,4.789,4.789,-68.388,-50.124,2.455
0.097,4.996,4.790,4.790,-68.399,-50.128,2.463
0.099,5.008,4.790,4.790,-68.409,-50.131,2.471
0.100,5.019,4.788,4.788,-68.415,-50.132,2.480
0.101,5.030,4.784,4.784,-68.416,-50.133,2.491
0.102,5.045,4.779,4.779,-68.409,-50.134,2.504
0.104,5.068,4.773,4.773,-68.395,-50.137,2.522
0.105,5.099,4.766,4.766,-68.372,-50.142,2.543
0.106,5.138,4.759,4.759,-68.342,-50.148,2.567
0.108,5.182,4.751,4.751,-68.308,-50.155,2.594
0.109,5.230,4.743,4.743,-68.270,-50.163,2.622
0.110,5.280,4.736,4.736,-68.229,-50.171,2.651
0.112,5.331,4.730,4.730,-68.189,-50.180,2.679
0.113,5.380,4.724,4.724,-68.149,-50.188,2.707
0.114,5.426,4.719,4.719,-68.113,-50.196,2.733
0.115,5.466,4.715,4.715,-68.080,-50.203,2.757
0.117,5.501,4.710,4.710,-68.053,-50.208,2.778
0.118,5.527,4.706,4.706,-68.034,-50.213,2.795
0.119,5.544,4.701,4.701,-68.023,-50.216,2.808
0.121,5.558,4.696,4.696,-68.015,-50.221,2.818
0.122,5.573,4.690,4.690,-68.010,-50.231,2.828
0.123,5.594,4.682,4.682,-68.003,-50.248,2.839
0.125,5.626,4.672,4.672,-67.993,-50.275,2.853
0.126,5.673,4.659,4.659,-67.974,-50.314,2.870
0.127,5.738,4.641,4.641,-67.946,-50.368,2.893
0.128,5.827,4.619,4.619,-67.904,-50.440,2.924
0.130,5.943,4.590,4.590,-67.846,-50.533,2.964
0.131,6.091,4.554,4.554,-67.769,-50.649,3.014
0.132,6.275,4.510,4.510,-67.670,-50.790,3.076
0.134,6.498,4.461,4.461,-67.546,-50.959,3.152
0.135,6.755,4.412,4.412,-67.402,-51.153,3.240
0.136,7.039,4.365,4.365,-67.240,-51.366,3.336
0.137,7.345,4.325,4.325,-67.065,-51.595,3.439
0.139,7.665,4.297,4.297,-66.882,-51.835,3.546
0.140,7.993,4.284,4.284,-66.695,-52.081,3.654
0.141,8.322,4.290,4.290,-66.508,-52.329,3.762
0.143,8.645,4.319,4.319,-66.325,-52.575,3.866
0.144,8.957,4.366,4.366,-66.150,-52.814,3.964
0.145,9.251,4.428,4.428,-65.988,-53.042,4.053
0.147,9.519,4.499,4.499,-65.843,-53.253,4.131
0.148,9.756,4.574,4.574,-65.718,-53.445,4.196
0.149,9.962,4.649,4.649,-65.615,-53.616,4.248
0.150,10.140,4.718,4.718,-65.532,-53.767,4.288
0.152,10.292,4.777,4.777,-65.465,-53.900,4.317
0.153,10.422,4.823,4.823,-65.412,-54.017,4.339
0.154,10.533,4.857,4.857,-65.372,-54.119,4.354
0.156,10.627,4.880,4.880,-65.342,-54.208,4.364
0.157,10.708,4.895,4.895,-65.320,-54.286,4.371
0.158,10.777,4.902,4.902,-65.303,-54.353,4.377
0.160,10.838,4.903,4.903,-65.290,-54.411,4.383
0.161,10.891,4.901,4.901,-65.277,-54.463,4.391
0.162,10.941,4.896,4.896,-65.263,-54.509,4.403
0.163,10.989,4.891,4.891,-65.247,-54.551,4.421
0.165,11.038,4.886,4.886,-65.226,-54.589,4.444
0.166,11.090,4.882,4.882,-65.202,-54.623,4.475
0.167,11.147,4.881,4.881,-65.174,-54.654,4.513
0.169,11.211,4.884,4.884,-65.140,-54.682,4.560
0.170,11.283,4.891,4.891,-65.102,-54.706,4.616
0.171,11.366,4.905,4.905,-65.057,-54.729,4.682
0.173,11.461,4.926,4.926,-65.007,-54.748,4.760
0.174,11.568,4.954,4.954,-64.950,-54.766,4.849
0.175,11.689,4.988,4.988,-64.886,-54.782,4.951
0.176,11.826,5.029,5.029,-64.815,-54.796,5.067
0.178,11.978,5.075,5.075,-64.736,-54.810,5.196
0.179,12.144,5.125,5.125,-64.651,-54.822,5.338
0.180,12.319,5.180,5.180,-64.562,-54.832,5.488
0.182,12.500,5.237,5.237,-64.471,-54.842,5.644
0.183,12.684,5.297,5.297,-64.380,-54.851,5.804
0.184,12.868,5.358,5.358,-64.290,-54.859,5.964
0.185,13.048,5.419,5.419,-64.203,-54.867,6.122
0.187,13.221,5.478,5.478,-64.123,-54.874,6.275
0.188,13.383,5.534,5.534,-64.049,-54.880,6.419
0.189,13.531,5.585,5.585,-63.985,-54.886,6.553
0.191,13.663,5.630,5.630,-63.932,-54.891,6.673
0.192,13.774,5.668,5.668,-63.892,-54.896,6.777
0.193,13.866,5.697,5.697,-63.865,-54.901,6.865
0.195,13.942,5.718,5.718,-63.847,-54.906,6.938
0.196,14.004,5.733,5.733,-63.838,-54.912,6.999
0.197,14.056,5.744,5.744,-63.833,-54.920,7.050
0.198,14.100,5.752,5.752,-63.831,-54.928,7.093
0.200,14.139,5.758,5.758,-63.829,-54.939,7.131
0.201,14.175,5.764,5.764,-63.825,-54.952,7.164
0.202,14.211,5.771,5.771,-63.817,-54.967,7.196
0.204,14.252,5.780,5.780,-63.801,-54.985,7.229
0.205,14.300,5.792,5.792,-63.777,-55.007,7.264
0.206,14.359,5.807,5.807,-63.740,-55.033,7.303
0.208,14.433,5.825,5.825,-63.690,-55.062,7.348
