"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.835,2.835,195.157,227.848,198.553
0.001,0.062,2.822,2.822,195.105,227.832,198.524
0.003,0.122,2.811,2.811,195.054,227.815,198.498
0.004,0.176,2.805,2.805,195.006,227.798,198.479
0.005,0.225,2.804,2.804,194.961,227.781,198.471
0.007,0.268,2.810,2.810,194.922,227.763,198.476
0.008,0.311,2.826,2.826,194.890,227.745,198.499
0.009,0.365,2.854,2.854,194.866,227.725,198.543
0.010,0.437,2.894,2.894,194.852,227.705,198.611
0.012,0.536,2.949,2.949,194.848,227.684,198.707
0.013,0.665,3.015,3.015,194.856,227.661,198.834
0.014,0.830,3.091,3.091,194.878,227.637,198.996
0.016,1.032,3.173,3.173,194.914,227.612,199.192
0.017,1.263,3.261,3.261,194.961,227.586,199.417
0.018,1.516,3.350,3.350,195.017,227.561,199.663
0.020,1.783,3.440,3.440,195.079,227.535,199.921
0.021,2.056,3.527,3.527,195.145,227.512,200.185
0.022,2.327,3.610,3.610,195.213,227.490,200.447
0.024,2.588,3.688,3.688,195.279,227.470,200.699
0.025,2.832,3.761,3.761,195.342,227.454,200.933
0.026,3.049,3.828,3.828,195.399,227.442,201.142
0.027,3.232,3.887,3.887,195.447,227.434,201.319
0.029,3.374,3.939,3.939,195.484,227.432,201.456
0.030,3.473,3.983,3.983,195.509,227.434,201.551
0.031,3.534,4.017,4.017,195.525,227.440,201.611
0.033,3.566,4.043,4.043,195.534,227.448,201.639
0.034,3.577,4.061,4.061,195.537,227.458,201.643
0.035,3.594,4.073,4.073,195.537,227.468,201.628
0.037,3.624,4.080,4.080,195.536,227.476,201.600
0.038,3.661,4.082,4.082,195.536,227.482,201.564
0.039,3.699,4.082,4.082,195.540,227.484,201.526
0.041,3.735,4.080,4.080,195.549,227.481,201.491
0.042,3.766,4.076,4.076,195.566,227.471,201.466
0.043,3.799,4.073,4.073,195.592,227.454,201.455
0.044,3.842,4.069,4.069,195.628,227.431,201.460
0.046,3.899,4.065,4.065,195.673,227.403,201.478
0.047,3.967,4.062,4.062,195.727,227.372,201.508
0.048,4.047,4.059,4.059,195.788,227.341,201.547
0.050,4.135,4.057,4.057,195.858,227.311,201.593
0.051,4.231,4.056,4.056,195.933,227.285,201.645
0.052,4.331,4.057,4.057,196.015,227.264,201.700
0.054,4.436,4.059,4.059,196.102,227.251,201.757
0.055,4.544,4.061,4.061,196.194,227.247,201.812
0.056,4.653,4.063,4.063,196.290,227.254,201.865
0.058,4.766,4.066,4.066,196.390,227.274,201.914
0.059,4.882,4.068,4.068,196.493,227.303,201.958
0.060,5.003,4.069,4.069,196.601,227.337,202.000
0.061,5.126,4.069,4.069,196.713,227.369,202.042
0.063,5.254,4.069,4.069,196.831,227.395,202.083
0.064,5.385,4.070,4.070,196.954,227.409,202.126
0.065,5.523,4.074,4.074,197.084,227.407,202.171
0.067,5.670,4.082,4.082,197.221,227.384,202.221
0.068,5.832,4.096,4.096,197.364,227.335,202.277
0.069,6.015,4.118,4.118,197.516,227.253,202.339
0.071,6.226,4.148,4.148,197.676,227.135,202.409
0.072,6.469,4.188,4.188,197.844,226.978,202.489
0.073,6.740,4.238,4.238,198.017,226.788,202.575
0.075,7.033,4.295,4.295,198.192,226.573,202.666
0.076,7.340,4.357,4.357,198.368,226.338,202.760
0.077,7.654,4.423,4.423,198.540,226.092,202.854
0.078,7.969,4.491,4.491,198.705,225.842,202.948
0.080,8.275,4.560,4.560,198.862,225.595,203.037
0.081,8.565,4.627,4.627,199.007,225.358,203.122
0.082,8.831,4.690,4.690,199.136,225.139,203.198
0.084,9.066,4.750,4.750,199.248,224.943,203.265
0.085,9.261,4.806,4.806,199.339,224.780,203.320
0.086,9.413,4.856,4.856,199.409,224.651,203.362
0.088,9.527,4.900,4.900,199.459,224.554,203.393
0.089,9.607,4.937,4.937,199.493,224.485,203.414
0.090,9.657,4.967,4.967,199.511,224.440,203.426
0.092,9.682,4.988,4.988,199.517,224.415,203.431
0.093,9.690,5.001,5.001,199.514,224.408,203.430
0.094,9.705,5.008,5.008,199.502,224.415,203.425
0.095,9.730,5.008,5.008,199.486,224.431,203.416
0.097,9.761,5.005,5.005,199.466,224.454,203.406
