"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.127,3.127,129.018,18.241,43.837
0.001,0.029,3.107,3.107,129.022,18.236,43.865
0.003,0.056,3.088,3.088,129.025,18.230,43.891
0.004,0.081,3.071,3.071,129.029,18.226,43.915
0.005,0.101,3.057,3.057,129.034,18.223,43.934
0.007,0.115,3.048,3.048,129.039,18.222,43.948
0.008,0.124,3.044,3.044,129.045,18.224,43.954
0.009,0.133,3.047,3.047,129.052,18.229,43.952
0.011,0.149,3.057,3.057,129.059,18.237,43.940
0.012,0.177,3.076,3.076,129.068,18.249,43.916
0.013,0.218,3.102,3.102,129.079,18.265,43.880
0.015,0.275,3.136,3.136,129.091,18.286,43.829
0.016,0.348,3.176,3.176,129.104,18.313,43.762
0.017,0.438,3.222,3.222,129.119,18.346,43.680
0.019,0.542,3.274,3.274,129.136,18.382,43.584
0.020,0.658,3.332,3.332,129.154,18.422,43.476
0.021,0.783,3.394,3.394,129.172,18.465,43.360
0.023,0.914,3.460,3.460,129.190,18.509,43.239
0.024,1.048,3.528,3.528,129.208,18.553,43.114
0.025,1.182,3.596,3.596,129.226,18.597,42.988
0.027,1.314,3.665,3.665,129.244,18.638,42.864
0.028,1.441,3.731,3.731,129.260,18.677,42.744
0.029,1.560,3.794,3.794,129.274,18.712,42.631
0.031,1.668,3.852,3.852,129.287,18.742,42.528
0.032,1.763,3.905,3.905,129.298,18.765,42.436
0.033,1.845,3.951,3.951,129.306,18.783,42.357
0.035,1.914,3.993,3.993,129.312,18.796,42.289
0.036,1.973,4.030,4.030,129.315,18.805,42.231
0.037,2.023,4.062,4.062,129.317,18.812,42.182
0.039,2.066,4.089,4.089,129.316,18.816,42.139
0.040,2.104,4.113,4.113,129.313,18.820,42.101
0.041,2.139,4.132,4.132,129.307,18.825,42.067
0.043,2.172,4.149,4.149,129.300,18.831,42.036
0.044,2.205,4.162,4.162,129.290,18.839,42.005
0.045,2.240,4.174,4.174,129.278,18.852,41.975
0.047,2.279,4.184,4.184,129.264,18.869,41.942
0.048,2.325,4.193,4.193,129.248,18.891,41.906
0.049,2.376,4.202,4.202,129.230,18.919,41.867
0.051,2.433,4.212,4.212,129.210,18.952,41.825
0.052,2.493,4.223,4.223,129.189,18.988,41.782
