"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.952,1.952,-22.259,115.256,161.810
0.001,0.310,2.166,2.166,-22.098,115.521,161.816
0.003,0.618,2.378,2.378,-21.938,115.784,161.820
0.004,0.920,2.587,2.587,-21.782,116.042,161.823
0.005,1.213,2.790,2.790,-21.629,116.292,161.823
0.007,1.495,2.987,2.987,-21.481,116.533,161.820
0.008,1.763,3.176,3.176,-21.341,116.761,161.812
0.009,2.015,3.354,3.354,-21.209,116.975,161.800
0.011,2.247,3.521,3.521,-21.086,117.171,161.781
0.012,2.458,3.675,3.675,-20.975,117.348,161.756
0.013,2.645,3.815,3.815,-20.875,117.503,161.723
0.015,2.806,3.941,3.941,-20.790,117.634,161.682
0.016,2.941,4.051,4.051,-20.719,117.737,161.632
0.017,3.052,4.145,4.145,-20.664,117.813,161.572
0.019,3.146,4.222,4.222,-20.623,117.865,161.506
0.020,3.227,4.282,4.282,-20.595,117.898,161.437
0.022,3.301,4.324,4.324,-20.577,117.916,161.368
0.023,3.368,4.351,4.351,-20.569,117.924,161.302
0.024,3.428,4.368,4.368,-20.568,117.926,161.242
0.026,3.479,4.377,4.377,-20.572,117.927,161.192
0.027,3.518,4.384,4.384,-20.581,117.931,161.153
0.028,3.546,4.392,4.392,-20.591,117.942,161.130
0.030,3.572,4.405,4.405,-20.602,117.965,161.126
0.031,3.616,4.428,4.428,-20.612,118.004,161.143
0.032,3.689,4.460,4.460,-20.620,118.064,161.185
0.034,3.794,4.500,4.500,-20.623,118.146,161.251
0.035,3.926,4.545,4.545,-20.624,118.246,161.337
0.036,4.079,4.594,4.594,-20.624,118.361,161.437
0.038,4.246,4.643,4.643,-20.622,118.486,161.548
0.039,4.421,4.691,4.691,-20.621,118.618,161.663
0.040,4.598,4.735,4.735,-20.620,118.752,161.778
0.042,4.771,4.774,4.774,-20.622,118.886,161.887
0.043,4.934,4.806,4.806,-20.626,119.016,161.987
0.044,5.081,4.832,4.832,-20.635,119.136,162.071
0.046,5.208,4.851,4.851,-20.648,119.245,162.135
0.047,5.310,4.865,4.865,-20.666,119.337,162.173
0.048,5.387,4.872,4.872,-20.691,119.410,162.182
0.050,5.450,4.874,4.874,-20.722,119.462,162.163
0.051,5.512,4.870,4.869,-20.755,119.496,162.124
0.052,5.576,4.859,4.859,-20.787,119.515,162.072
0.054,5.639,4.843,4.843,-20.816,119.521,162.016
0.055,5.697,4.822,4.822,-20.839,119.515,161.963
0.056,5.744,4.795,4.795,-20.853,119.501,161.920
0.058,5.776,4.764,4.764,-20.855,119.480,161.896
0.059,5.804,4.728,4.728,-20.842,119.455,161.899
0.060,5.858,4.688,4.688,-20.812,119.429,161.935
0.062,5.955,4.643,4.643,-20.761,119.403,162.013
0.063,6.104,4.595,4.595,-20.686,119.381,162.141
0.065,6.314,4.543,4.543,-20.586,119.363,162.325
0.066,6.582,4.489,4.489,-20.461,119.352,162.561
0.067,6.898,4.434,4.434,-20.314,119.349,162.841
0.069,7.255,4.376,4.376,-20.147,119.354,163.156
0.070,7.643,4.319,4.319,-19.964,119.369,163.498
0.071,8.054,4.260,4.260,-19.766,119.394,163.858
0.073,8.480,4.203,4.203,-19.557,119.431,164.227
0.074,8.912,4.149,4.149,-19.340,119.480,164.597
0.075,9.342,4.100,4.100,-19.117,119.543,164.959
0.077,9.761,4.057,4.057,-18.891,119.621,165.304
0.078,10.164,4.023,4.023,-18.664,119.713,165.624
0.079,10.544,4.000,4.000,-18.440,119.823,165.910
0.081,10.897,3.989,3.989,-18.221,119.949,166.156
0.082,11.224,3.993,3.993,-18.008,120.088,166.362
0.083,11.528,4.009,4.009,-17.805,120.237,166.531
