"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.011,3.011,-23.052,116.428,161.441
0.001,0.127,3.069,3.069,-22.969,116.503,161.502
0.003,0.255,3.127,3.127,-22.888,116.580,161.564
0.004,0.385,3.187,3.187,-22.810,116.660,161.629
0.006,0.517,3.250,3.250,-22.735,116.746,161.697
0.007,0.654,3.316,3.316,-22.666,116.840,161.769
0.009,0.798,3.386,3.386,-22.603,116.943,161.847
0.010,0.950,3.460,3.460,-22.549,117.058,161.932
0.011,1.115,3.541,3.541,-22.503,117.185,162.024
0.013,1.293,3.626,3.626,-22.468,117.328,162.126
0.014,1.489,3.715,3.715,-22.445,117.488,162.238
0.016,1.706,3.806,3.806,-22.435,117.666,162.360
0.017,1.939,3.898,3.898,-22.436,117.859,162.491
0.018,2.183,3.990,3.990,-22.446,118.062,162.627
0.020,2.432,4.080,4.080,-22.462,118.270,162.763
0.021,2.680,4.167,4.167,-22.483,118.478,162.896
0.023,2.920,4.251,4.251,-22.504,118.681,163.023
0.024,3.146,4.331,4.331,-22.524,118.873,163.138
0.026,3.351,4.406,4.406,-22.541,119.051,163.240
0.027,3.529,4.476,4.476,-22.551,119.208,163.322
0.028,3.674,4.541,4.541,-22.552,119.339,163.383
0.030,3.781,4.599,4.599,-22.541,119.441,163.418
0.031,3.857,4.651,4.651,-22.519,119.512,163.429
0.033,3.913,4.696,4.696,-22.487,119.557,163.418
0.034,3.969,4.735,4.735,-22.445,119.579,163.390
0.036,4.033,4.768,4.768,-22.394,119.584,163.349
0.037,4.110,4.796,4.796,-22.337,119.574,163.300
0.038,4.196,4.818,4.818,-22.273,119.554,163.245
0.040,4.287,4.835,4.835,-22.205,119.528,163.190
0.041,4.380,4.847,4.847,-22.134,119.499,163.138
0.043,4.471,4.855,4.855,-22.059,119.472,163.094
0.044,4.556,4.861,4.861,-21.984,119.451,163.061
0.045,4.635,4.866,4.866,-21.908,119.437,163.041
0.047,4.711,4.871,4.871,-21.833,119.430,163.034
0.048,4.785,4.879,4.879,-21.759,119.429,163.037
0.050,4.858,4.890,4.890,-21.687,119.432,163.049
0.051,4.931,4.906,4.906,-21.618,119.439,163.069
0.053,5.002,4.927,4.927,-21.552,119.448,163.096
0.054,5.073,4.952,4.952,-21.490,119.458,163.127
0.055,5.141,4.980,4.980,-21.433,119.469,163.163
0.057,5.205,5.009,5.009,-21.382,119.479,163.201
0.058,5.265,5.038,5.038,-21.337,119.488,163.240
0.060,5.320,5.065,5.065,-21.299,119.494,163.278
0.061,5.367,5.090,5.090,-21.268,119.497,163.314
0.063,5.408,5.111,5.111,-21.243,119.499,163.346
0.064,5.440,5.126,5.126,-21.224,119.499,163.372
0.065,5.461,5.135,5.135,-21.211,119.498,163.389
0.067,5.472,5.136,5.136,-21.204,119.497,163.397
0.068,5.477,5.128,5.128,-21.202,119.494,163.392
0.070,5.496,5.109,5.109,-21.206,119.492,163.374
0.071,5.531,5.078,5.078,-21.214,119.490,163.340
0.072,5.584,5.035,5.035,-21.228,119.488,163.289
0.074,5.656,4.984,4.984,-21.245,119.487,163.219
0.075,5.737,4.928,4.928,-21.263,119.489,163.140
0.077,5.818,4.871,4.871,-21.278,119.492,163.061
0.078,5.889,4.816,4.816,-21.286,119.500,162.991
0.080,5.941,4.767,4.767,-21.283,119.512,162.940
0.081,5.974,4.729,4.729,-21.266,119.529,162.917
0.082,6.020,4.702,4.702,-21.230,119.553,162.933
0.084,6.112,4.687,4.687,-21.172,119.584,162.998
0.085,6.266,4.679,4.679,-21.088,119.624,163.120
0.087,6.493,4.679,4.679,-20.974,119.672,163.310
0.088,6.801,4.682,4.682,-20.827,119.731,163.575
0.089,7.184,4.688,4.688,-20.650,119.798,163.908
0.091,7.624,4.694,4.694,-20.451,119.873,164.292
0.092,8.105,4.698,4.698,-20.235,119.954,164.714
0.094,8.610,4.700,4.700,-20.009,120.040,165.158
0.095,9.124,4.697,4.697,-19.780,120.130,165.609
0.097,9.629,4.690,4.690,-19.553,120.221,166.052
0.098,10.110,4.679,4.679,-19.337,120.313,166.471
0.099,10.549,4.661,4.661,-19.137,120.403,166.851
0.101,10.931,4.636,4.636,-18.959,120.492,167.177
0.102,11.240,4.605,4.605,-18.811,120.576,167.435
0.104,11.477,4.570,4.570,-18.692,120.656,167.624
0.105,11.651,4.533,4.533,-18.600,120.732,167.750
0.107,11.774,4.500,4.500,-18.531,120.803,167.824
0.108,11.863,4.474,4.474,-18.482,120.870,167.855
0.109,11.934,4.457,4.457,-18.449,120.933,167.850
0.111,12.002,4.455,4.455,-18.429,120.991,167.820
0.112,12.075,4.469,4.469,-18.419,121.045,167.772
0.114,12.150,4.498,4.498,-18.414,121.095,167.716
0.115,12.222,4.537,4.537,-18.413,121.140,167.660
0.116,12.284,4.582,4.582,-18.410,121.181,167.614
0.118,12.334,4.629,4.629,-18.404,121.219,167.581
0.119,12.374,4.672,4.672,-18.396,121.253,167.561
0.121,12.409,4.708,4.708,-18.385,121.285,167.552
0.122,12.443,4.732,4.732,-18.370,121.315,167.552
