"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.794,1.794,28.576,263.608,-5.938
0.001,0.156,1.740,1.740,28.521,263.599,-5.793
0.002,0.311,1.687,1.687,28.465,263.591,-5.647
0.004,0.468,1.637,1.637,28.409,263.587,-5.502
0.005,0.625,1.589,1.589,28.351,263.586,-5.356
0.006,0.783,1.545,1.545,28.290,263.592,-5.209
0.007,0.943,1.505,1.505,28.228,263.606,-5.062
0.008,1.106,1.471,1.471,28.162,263.629,-4.915
0.010,1.273,1.444,1.444,28.093,263.662,-4.767
0.011,1.446,1.425,1.425,28.020,263.707,-4.618
0.012,1.625,1.413,1.413,27.942,263.766,-4.467
0.013,1.813,1.408,1.408,27.859,263.841,-4.316
0.014,2.011,1.410,1.410,27.770,263.932,-4.164
0.016,2.221,1.418,1.418,27.676,264.040,-4.010
0.017,2.442,1.432,1.432,27.577,264.164,-3.857
0.018,2.670,1.452,1.452,27.473,264.299,-3.706
0.019,2.901,1.476,1.476,27.367,264.441,-3.557
0.020,3.133,1.505,1.505,27.259,264.588,-3.413
0.022,3.361,1.538,1.538,27.150,264.734,-3.276
0.023,3.583,1.573,1.573,27.042,264.877,-3.146
0.024,3.793,1.611,1.611,26.935,265.013,-3.026
0.025,3.989,1.649,1.649,26.832,265.138,-2.917
0.026,4.167,1.687,1.687,26.732,265.249,-2.820
0.028,4.323,1.725,1.725,26.637,265.341,-2.737
0.029,4.455,1.760,1.760,26.548,265.411,-2.669
0.030,4.561,1.792,1.792,26.466,265.457,-2.618
0.031,4.646,1.820,1.820,26.394,265.481,-2.583
0.032,4.712,1.843,1.843,26.332,265.488,-2.560
0.034,4.762,1.859,1.859,26.283,265.484,-2.548
0.035,4.798,1.867,1.867,26.249,265.473,-2.544
0.036,4.820,1.867,1.867,26.232,265.460,-2.547
0.037,4.832,1.856,1.856,26.233,265.450,-2.553
0.038,4.855,1.833,1.833,26.254,265.449,-2.561
0.040,4.901,1.798,1.798,26.298,265.461,-2.569
0.041,4.975,1.748,1.748,26.366,265.492,-2.573
0.042,5.084,1.686,1.686,26.460,265.546,-2.571
0.043,5.231,1.616,1.616,26.582,265.628,-2.563
0.044,5.423,1.543,1.543,26.733,265.744,-2.544
0.046,5.655,1.473,1.473,26.911,265.891,-2.517
0.047,5.923,1.412,1.412,27.112,266.065,-2.483
0.048,6.221,1.363,1.363,27.331,266.263,-2.446
0.049,6.542,1.334,1.334,27.563,266.481,-2.406
0.050,6.880,1.328,1.328,27.805,266.714,-2.366
0.052,7.229,1.351,1.351,28.051,266.960,-2.329
0.053,7.584,1.400,1.400,28.297,267.213,-2.297
0.054,7.938,1.472,1.472,28.539,267.470,-2.271
0.055,8.286,1.562,1.562,28.773,267.727,-2.255
0.056,8.622,1.668,1.668,28.993,267.981,-2.250
0.058,8.940,1.785,1.785,29.196,268.226,-2.259
0.059,9.237,1.909,1.909,29.378,268.459,-2.283
0.060,9.512,2.038,2.038,29.537,268.680,-2.322
0.061,9.767,2.167,2.167,29.675,268.888,-2.374
0.062,10.003,2.293,2.293,29.794,269.083,-2.436
0.064,10.222,2.415,2.415,29.893,269.264,-2.507
0.065,10.425,2.528,2.528,29.976,269.433,-2.583
0.066,10.612,2.632,2.632,30.043,269.589,-2.663
0.067,10.784,2.723,2.723,30.094,269.731,-2.744
0.068,10.941,2.799,2.799,30.133,269.860,-2.825
0.070,11.083,2.858,2.858,30.159,269.977,-2.902
0.071,11.210,2.898,2.898,30.174,270.080,-2.975
0.072,11.321,2.917,2.917,30.179,270.170,-3.039
