"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.608,2.608,77.171,-50.159,-0.988
0.001,0.430,2.730,2.730,76.875,-50.158,-1.300
0.003,0.856,2.851,2.851,76.582,-50.158,-1.610
0.004,1.276,2.971,2.971,76.293,-50.158,-1.915
0.005,1.685,3.088,3.088,76.013,-50.158,-2.212
0.006,2.081,3.201,3.201,75.741,-50.158,-2.500
0.008,2.458,3.310,3.310,75.483,-50.157,-2.776
0.009,2.816,3.414,3.414,75.239,-50.156,-3.037
0.010,3.149,3.512,3.512,75.012,-50.156,-3.281
0.011,3.454,3.603,3.603,74.805,-50.155,-3.505
0.013,3.728,3.686,3.686,74.621,-50.154,-3.707
0.014,3.967,3.763,3.763,74.461,-50.152,-3.886
0.015,4.169,3.834,3.834,74.328,-50.151,-4.037
0.016,4.328,3.897,3.897,74.225,-50.149,-4.159
0.018,4.447,3.954,3.954,74.151,-50.147,-4.251
0.019,4.527,4.004,4.004,74.104,-50.145,-4.317
0.020,4.576,4.048,4.048,74.078,-50.143,-4.358
0.022,4.598,4.085,4.085,74.071,-50.142,-4.379
0.023,4.605,4.116,4.116,74.077,-50.142,-4.382
0.024,4.624,4.141,4.141,74.092,-50.144,-4.370
0.025,4.656,4.159,4.159,74.113,-50.147,-4.346
0.027,4.695,4.171,4.171,74.135,-50.151,-4.314
0.028,4.738,4.176,4.176,74.155,-50.158,-4.277
0.029,4.780,4.175,4.175,74.167,-50.167,-4.237
0.030,4.821,4.168,4.168,74.168,-50.179,-4.198
0.032,4.862,4.156,4.156,74.155,-50.194,-4.163
0.033,4.909,4.139,4.139,74.122,-50.212,-4.135
0.034,4.969,4.122,4.122,74.070,-50.234,-4.115
0.036,5.042,4.107,4.107,74.002,-50.260,-4.105
0.037,5.129,4.095,4.095,73.921,-50.293,-4.106
0.038,5.228,4.091,4.091,73.831,-50.333,-4.118
0.039,5.338,4.095,4.095,73.735,-50.380,-4.143
0.041,5.457,4.111,4.111,73.637,-50.435,-4.181
0.042,5.587,4.141,4.141,73.539,-50.501,-4.234
0.043,5.726,4.184,4.184,73.445,-50.577,-4.303
0.044,5.875,4.239,4.239,73.358,-50.664,-4.388
0.046,6.038,4.308,4.308,73.281,-50.764,-4.491
0.047,6.215,4.388,4.388,73.218,-50.877,-4.611
0.048,6.410,4.479,4.479,73.172,-51.005,-4.752
0.049,6.626,4.582,4.582,73.145,-51.147,-4.912
0.051,6.862,4.695,4.695,73.137,-51.302,-5.089
0.052,7.114,4.817,4.817,73.145,-51.467,-5.280
0.053,7.379,4.944,4.944,73.166,-51.638,-5.481
0.055,7.652,5.070,5.070,73.198,-51.813,-5.688
0.056,7.928,5.193,5.193,73.238,-51.989,-5.898
0.057,8.202,5.306,5.306,73.283,-52.162,-6.106
0.058,8.470,5.406,5.406,73.331,-52.329,-6.308
0.060,8.725,5.488,5.488,73.379,-52.488,-6.503
0.061,8.964,5.547,5.547,73.424,-52.636,-6.684
0.062,9.180,5.582,5.582,73.465,-52.769,-6.850
0.063,9.369,5.597,5.597,73.498,-52.884,-6.995
0.065,9.525,5.598,5.598,73.521,-52.979,-7.117
0.066,9.646,5.589,5.589,73.532,-53.051,-7.214
0.067,9.735,5.577,5.577,73.533,-53.103,-7.286
0.069,9.796,5.566,5.566,73.524,-53.136,-7.337
0.070,9.836,5.562,5.562,73.508,-53.154,-7.369
0.071,9.862,5.570,5.570,73.487,-53.157,-7.384
0.072,9.890,5.592,5.592,73.461,-53.148,-7.386
0.074,9.925,5.625,5.625,73.432,-53.130,-7.376
0.075,9.969,5.665,5.665,73.402,-53.105,-7.356
0.076,10.018,5.709,5.709,73.373,-53.075,-7.330
0.077,10.071,5.752,5.752,73.346,-53.041,-7.300
0.079,10.123,5.792,5.792,73.322,-53.008,-7.269
0.080,10.171,5.825,5.825,73.304,-52.976,-7.238
0.081,10.212,5.847,5.847,73.292,-52.947,-7.210
0.082,10.246,5.856,5.856,73.287,-52.924,-7.186
0.084,10.272,5.855,5.855,73.287,-52.905,-7.168
0.085,10.292,5.846,5.846,73.292,-52.891,-7.155
0.086,10.306,5.831,5.831,73.298,-52.882,-7.147
0.088,10.316,5.813,5.813,73.306,-52.876,-7.144
0.089,10.324,5.794,5.794,73.313,-52.875,-7.148
0.090,10.334,5.777,5.777,73.318,-52.877,-7.157
0.091,10.351,5.764,5.764,73.320,-52.883,-7.172
0.093,10.375,5.756,5.756,73.316,-52.893,-7.194
0.094,10.408,5.751,5.751,73.305,-52.906,-7.223
0.095,10.451,5.748,5.748,73.287,-52.921,-7.258
0.096,10.506,5.745,5.745,73.258,-52.940,-7.301
0.098,10.572,5.741,5.741,73.219,-52.961,-7.351
0.099,10.651,5.735,5.735,73.170,-52.984,-7.407
0.100,10.738,5.724,5.724,73.112,-53.009,-7.468
0.102,10.832,5.707,5.707,73.048,-53.035,-7.532
0.103,10.931,5.684,5.684,72.980,-53.062,-7.598
0.104,11.032,5.657,5.657,72.910,-53.090,-7.665
0.105,11.132,5.627,5.627,72.839,-53.117,-7.730
0.107,11.230,5.595,5.595,72.769,-53.143,-7.794
0.108,11.323,5.564,5.564,72.703,-53.169,-7.853
0.109,11.407,5.533,5.533,72.642,-53.193,-7.907
0.110,11.482,5.506,5.506,72.589,-53.214,-7.955
0.112,11.544,5.484,5.484,72.545,-53.234,-7.994
0.113,11.591,5.467,5.467,72.512,-53.250,-8.023
0.114,11.622,5.454,5.454,72.491,-53.263,-8.042
0.115,11.639,5.446,5.446,72.481,-53.272,-8.052
0.117,11.645,5.441,5.441,72.480,-53.278,-8.055
0.118,11.652,5.440,5.440,72.486,-53.280,-8.052
0.119,11.664,5.441,5.441,72.496,-53.280,-8.045
0.121,11.679,5.445,5.445,72.508,-53.276,-8.037
0.122,11.696,5.450,5.450,72.520,-53.269,-8.029
0.123,11.712,5.456,5.456,72.531,-53.258,-8.023
0.124,11.727,5.461,5.461,72.538,-53.245,-8.021
0.126,11.744,5.466,5.466,72.538,-53.228,-8.024
0.127,11.768,5.467,5.467,72.530,-53.209,-8.036
0.128,11.803,5.465,5.465,72.512,-53.186,-8.056
0.129,11.854,5.459,5.459,72.481,-53.161,-8.088
0.131,11.923,5.446,5.446,72.437,-53.133,-8.132
0.132,12.007,5.426,5.426,72.380,-53.103,-8.186
0.133,12.104,5.400,5.400,72.313,-53.073,-8.250
0.135,12.214,5.367,5.367,72.235,-53.044,-8.321
0.136,12.333,5.329,5.329,72.149,-53.016,-8.399
0.137,12.460,5.288,5.288,72.056,-52.990,-8.482
0.138,12.593,5.243,5.243,71.957,-52.968,-8.567
0.140,12.730,5.195,5.195,71.853,-52.951,-8.655
0.141,12.869,5.147,5.147,71.746,-52.940,-8.743
0.142,13.009,5.099,5.099,71.637,-52.935,-8.830
0.143,13.148,5.051,5.051,71.527,-52.937,-8.915
0.145,13.284,5.004,5.004,71.417,-52.949,-8.996
0.146,13.418,4.959,4.959,71.309,-52.970,-9.071
0.147,13.548,4.916,4.916,71.204,-53.001,-9.141
0.148,13.675,4.876,4.876,71.101,-53.040,-9.204
0.150,13.799,4.839,4.839,71.001,-53.086,-9.261
0.151,13.920,4.806,4.806,70.905,-53.139,-9.312
0.152,14.038,4.778,4.778,70.812,-53.197,-9.357
0.154,14.152,4.755,4.755,70.724,-53.259,-9.396
0.155,14.263,4.736,4.736,70.641,-53.324,-9.429
0.156,14.369,4.722,4.722,70.562,-53.391,-9.455
0.157,14.471,4.712,4.712,70.489,-53.459,-9.474
0.159,14.568,4.707,4.707,70.422,-53.527,-9.488
0.160,14.659,4.707,4.707,70.360,-53.594,-9.494
0.161,14.743,4.711,4.711,70.306,-53.658,-9.495
0.162,14.821,4.719,4.719,70.257,-53.719,-9.488
0.164,14.894,4.730,4.730,70.214,-53.777,-9.478
0.165,14.963,4.742,4.742,70.174,-53.832,-9.465
0.166,15.028,4.752,4.752,70.136,-53.883,-9.453
0.168,15.091,4.760,4.760,70.098,-53.933,-9.444
0.169,15.153,4.762,4.762,70.059,-53.979,-9.439
0.170,15.215,4.756,4.756,70.015,-54.024,-9.443
0.171,15.281,4.741,4.741,69.967,-54.066,-9.456
0.173,15.355,4.714,4.714,69.911,-54.107,-9.482
0.174,15.440,4.677,4.677,69.846,-54.146,-9.523
0.175,15.543,4.633,4.633,69.771,-54.184,-9.581
0.176,15.665,4.586,4.586,69.684,-54.221,-9.659
0.178,15.812,4.538,4.538,69.582,-54.256,-9.759
0.179,15.985,4.493,4.493,69.466,-54.291,-9.881
0.180,16.180,4.453,4.453,69.336,-54.325,-10.024
0.181,16.395,4.423,4.423,69.196,-54.358,-10.183
0.183,16.625,4.405,4.405,69.048,-54.391,-10.356
0.184,16.866,4.400,4.400,68.893,-54.422,-10.538
0.185,17.115,4.406,4.406,68.733,-54.452,-10.727
0.187,17.368,4.421,4.421,68.572,-54.481,-10.919
0.188,17.620,4.444,4.444,68.411,-54.509,-11.111
0.189,17.867,4.475,4.475,68.252,-54.536,-11.299
0.190,18.107,4.511,4.511,68.098,-54.562,-11.480
0.192,18.334,4.552,4.552,67.950,-54.586,-11.651
0.193,18.545,4.596,4.596,67.812,-54.609,-11.808
0.194,18.736,4.642,4.642,67.684,-54.631,-11.948
0.195,18.905,4.688,4.688,67.568,-54.651,-12.071
0.197,19.056,4.735,4.735,67.463,-54.670,-12.177
0.198,19.188,4.780,4.780,67.368,-54.688,-12.268
0.199,19.306,4.823,4.823,67.283,-54.705,-12.347
0.201,19.409,4.863,4.863,67.206,-54.722,-12.414
0.202,19.501,4.899,4.899,67.137,-54.738,-12.472
0.203,19.583,4.929,4.929,67.075,-54.754,-12.522
0.204,19.656,4.955,4.955,67.019,-54.770,-12.567
0.206,19.722,4.977,4.977,66.968,-54.786,-12.607
0.207,19.784,4.995,4.995,66.921,-54.802,-12.644
0.208,19.843,5.011,5.011,66.879,-54.819,-12.681
0.209,19.900,5.025,5.025,66.839,-54.837,-12.718
0.211,19.958,5.038,5.038,66.801,-54.855,-12.758
0.212,20.017,5.051,5.051,66.765,-54.873,-12.800
0.213,20.075,5.064,5.064,66.731,-54.892,-12.844
0.214,20.133,5.078,5.078,66.699,-54.911,-12.888
0.216,20.189,5.092,5.092,66.669,-54.929,-12.931
0.217,20.242,5.107,5.107,66.640,-54.947,-12.973
0.218,20.292,5.121,5.121,66.614,-54.963,-13.012
0.220,20.338,5.134,5.134,66.590,-54.977,-13.048
0.221,20.379,5.147,5.147,66.567,-54.990,-13.080
0.222,20.413,5.158,5.158,66.546,-54.999,-13.106
0.223,20.441,5.169,5.169,66.528,-55.007,-13.126
0.225,20.462,5.178,5.178,66.511,-55.011,-13.138
0.226,20.478,5.186,5.186,66.497,-55.011,-13.143
0.227,20.491,5.193,5.193,66.485,-55.008,-13.139
0.228,20.507,5.198,5.198,66.474,-55.002,-13.128
0.230,20.527,5.203,5.203,66.465,-54.995,-13.112
0.231,20.548,5.207,5.207,66.457,-54.987,-13.094
0.232,20.569,5.211,5.211,66.451,-54.979,-13.075
0.234,20.588,5.213,5.213,66.446,-54.973,-13.058
0.235,20.602,5.215,5.215,66.442,-54.969,-13.045
0.236,20.610,5.216,5.216,66.439,-54.970,-13.038
0.237,20.616,5.215,5.215,66.436,-54.975,-13.039
0.239,20.632,5.212,5.212,66.433,-54.986,-13.050
0.240,20.661,5.207,5.207,66.431,-55.003,-13.073
0.241,20.707,5.200,5.200,66.428,-55.029,-13.111
0.242,20.771,5.190,5.190,66.426,-55.064,-13.165
0.244,20.855,5.177,5.177,66.423,-55.109,-13.236
0.245,20.956,5.161,5.161,66.418,-55.164,-13.320
0.246,21.072,5.141,5.141,66.411,-55.231,-13.415
0.247,21.201,5.117,5.117,66.400,-55.310,-13.516
0.249,21.341,5.090,5.090,66.385,-55.403,-13.621
0.250,21.492,5.058,5.058,66.365,-55.508,-13.725
0.251,21.651,5.022,5.022,66.338,-55.628,-13.827
0.253,21.820,4.981,4.981,66.305,-55.763,-13.922
0.254,21.998,4.935,4.935,66.264,-55.914,-14.008
0.255,22.187,4.884,4.884,66.213,-56.081,-14.080
0.256,22.389,4.831,4.831,66.153,-56.265,-14.136
0.258,22.606,4.774,4.774,66.082,-56.468,-14.172
0.259,22.842,4.715,4.715,65.999,-56.689,-14.185
0.260,23.097,4.656,4.656,65.906,-56.926,-14.176
0.261,23.370,4.595,4.595,65.804,-57.177,-14.147
0.263,23.656,4.535,4.535,65.696,-57.438,-14.101
0.264,23.953,4.476,4.476,65.584,-57.706,-14.041
0.265,24.257,4.419,4.419,65.469,-57.978,-13.970
0.266,24.563,4.365,4.365,65.354,-58.250,-13.890
0.268,24.867,4.315,4.314,65.241,-58.520,-13.804
0.269,25.166,4.269,4.269,65.131,-58.783,-13.715
0.270,25.454,4.230,4.230,65.028,-59.036,-13.625
0.272,25.727,4.197,4.197,64.933,-59.277,-13.538
0.273,25.980,4.172,4.172,64.849,-59.501,-13.456
0.274,26.210,4.155,4.155,64.776,-59.707,-13.382
0.275,26.413,4.146,4.146,64.718,-59.890,-13.318
0.277,26.590,4.143,4.143,64.673,-60.053,-13.264
0.278,26.744,4.145,4.145,64.639,-60.196,-13.219
0.279,26.877,4.151,4.151,64.614,-60.322,-13.183
0.280,26.992,4.160,4.160,64.598,-60.432,-13.155
0.282,27.091,4.171,4.171,64.588,-60.528,-13.134
0.283,27.177,4.182,4.182,64.583,-60.613,-13.120
0.284,27.252,4.193,4.193,64.581,-60.688,-13.112
0.286,27.319,4.204,4.204,64.580,-60.754,-13.109
0.287,27.379,4.216,4.216,64.579,-60.815,-13.110
0.288,27.436,4.228,4.228,64.576,-60.871,-13.114
0.289,27.490,4.241,4.241,64.569,-60.924,-13.122
0.291,27.545,4.254,4.254,64.557,-60.976,-13.132
0.292,27.602,4.270,4.270,64.538,-61.030,-13.143
0.293,27.663,4.287,4.287,64.514,-61.084,-13.157
0.294,27.728,4.305,4.305,64.485,-61.140,-13.171
0.296,27.796,4.324,4.324,64.452,-61.197,-13.188
0.297,27.868,4.342,4.342,64.415,-61.256,-13.205
0.298,27.943,4.359,4.359,64.376,-61.318,-13.225
