"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.567,2.567,74.937,-51.081,-3.131
0.001,0.259,2.721,2.721,74.782,-51.134,-3.331
0.003,0.515,2.873,2.873,74.629,-51.187,-3.529
0.004,0.765,3.023,3.023,74.479,-51.238,-3.723
0.006,1.007,3.169,3.169,74.333,-51.286,-3.910
0.007,1.238,3.310,3.310,74.195,-51.330,-4.090
0.008,1.455,3.444,3.444,74.064,-51.370,-4.259
0.010,1.656,3.570,3.570,73.944,-51.405,-4.416
0.011,1.838,3.687,3.687,73.834,-51.432,-4.558
0.013,1.997,3.794,3.794,73.738,-51.453,-4.684
0.014,2.133,3.891,3.891,73.657,-51.465,-4.791
0.015,2.241,3.975,3.975,73.592,-51.469,-4.878
0.017,2.323,4.048,4.048,73.544,-51.463,-4.944
0.018,2.382,4.107,4.107,73.511,-51.449,-4.991
0.019,2.424,4.151,4.151,73.491,-51.428,-5.022
0.021,2.457,4.182,4.182,73.482,-51.402,-5.040
0.022,2.488,4.198,4.198,73.481,-51.373,-5.047
0.024,2.520,4.204,4.204,73.488,-51.341,-5.047
0.025,2.555,4.203,4.203,73.499,-51.308,-5.042
0.026,2.590,4.198,4.198,73.513,-51.276,-5.035
0.028,2.624,4.193,4.193,73.527,-51.246,-5.029
0.029,2.654,4.190,4.190,73.540,-51.220,-5.026
0.031,2.678,4.194,4.194,73.550,-51.198,-5.029
0.032,2.697,4.206,4.206,73.555,-51.182,-5.039
0.033,2.717,4.224,4.224,73.557,-51.170,-5.054
0.035,2.737,4.245,4.245,73.556,-51.160,-5.072
0.036,2.759,4.266,4.266,73.552,-51.153,-5.092
0.038,2.780,4.286,4.286,73.546,-51.146,-5.112
0.039,2.801,4.301,4.301,73.540,-51.140,-5.130
0.040,2.819,4.309,4.309,73.532,-51.132,-5.145
0.042,2.834,4.307,4.307,73.525,-51.122,-5.154
0.043,2.850,4.298,4.298,73.518,-51.109,-5.157
0.044,2.869,4.284,4.284,73.512,-51.092,-5.151
0.046,2.896,4.267,4.267,73.508,-51.070,-5.136
0.047,2.931,4.250,4.250,73.505,-51.044,-5.113
0.049,2.968,4.236,4.236,73.504,-51.017,-5.086
0.050,3.004,4.227,4.227,73.504,-50.993,-5.061
0.051,3.032,4.225,4.225,73.504,-50.973,-5.040
0.053,3.049,4.233,4.233,73.505,-50.961,-5.028
0.054,3.051,4.249,4.249,73.505,-50.960,-5.030
0.056,3.073,4.273,4.273,73.505,-50.972,-5.048
0.057,3.121,4.305,4.305,73.505,-51.000,-5.088
0.058,3.202,4.345,4.345,73.504,-51.046,-5.153
0.060,3.318,4.392,4.392,73.501,-51.115,-5.248
0.061,3.474,4.446,4.446,73.496,-51.206,-5.374
0.063,3.664,4.507,4.507,73.491,-51.317,-5.528
0.064,3.880,4.572,4.572,73.484,-51.444,-5.703
0.065,4.114,4.642,4.642,73.477,-51.581,-5.893
0.067,4.359,4.713,4.713,73.469,-51.724,-6.092
0.068,4.608,4.784,4.784,73.461,-51.868,-6.293
0.069,4.851,4.855,4.855,73.453,-52.010,-6.491
0.071,5.083,4.923,4.923,73.445,-52.144,-6.680
0.072,5.294,4.988,4.988,73.439,-52.266,-6.852
0.074,5.479,5.047,5.047,73.433,-52.372,-7.003
0.075,5.628,5.100,5.100,73.429,-52.456,-7.126
0.076,5.739,5.147,5.147,73.427,-52.518,-7.219
0.078,5.816,5.185,5.185,73.426,-52.559,-7.284
0.079,5.866,5.214,5.214,73.427,-52.583,-7.327
0.081,5.893,5.233,5.233,73.429,-52.595,-7.352
0.082,5.905,5.241,5.241,73.433,-52.596,-7.363
0.083,5.913,5.241,5.241,73.439,-52.591,-7.366
