"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.166,2.166,-24.996,112.819,161.195
0.001,0.415,2.263,2.263,-24.735,113.133,161.124
0.003,0.826,2.361,2.361,-24.477,113.445,161.052
0.004,1.230,2.462,2.462,-24.222,113.751,160.982
0.005,1.624,2.567,2.567,-23.974,114.050,160.914
0.007,2.004,2.676,2.676,-23.735,114.337,160.848
0.008,2.366,2.792,2.792,-23.506,114.612,160.786
0.009,2.708,2.916,2.916,-23.291,114.870,160.727
0.011,3.026,3.049,3.049,-23.090,115.110,160.672
0.012,3.315,3.189,3.189,-22.907,115.328,160.622
0.013,3.574,3.331,3.331,-22.742,115.523,160.577
0.015,3.798,3.470,3.470,-22.600,115.691,160.539
0.016,3.983,3.601,3.601,-22.481,115.830,160.507
0.017,4.129,3.719,3.719,-22.386,115.938,160.483
0.019,4.237,3.819,3.819,-22.315,116.018,160.465
0.020,4.313,3.895,3.895,-22.264,116.073,160.452
0.022,4.361,3.945,3.945,-22.231,116.106,160.445
0.023,4.385,3.971,3.971,-22.213,116.121,160.441
0.024,4.391,3.978,3.978,-22.206,116.121,160.440
0.026,4.403,3.970,3.970,-22.210,116.109,160.442
0.027,4.426,3.953,3.953,-22.220,116.090,160.445
0.028,4.454,3.932,3.932,-22.234,116.065,160.449
0.030,4.485,3.910,3.910,-22.250,116.039,160.453
0.031,4.513,3.893,3.893,-22.264,116.015,160.455
0.032,4.534,3.882,3.882,-22.275,115.997,160.456
0.034,4.546,3.877,3.877,-22.279,115.986,160.454
0.035,4.551,3.878,3.878,-22.278,115.983,160.450
0.036,4.560,3.883,3.883,-22.272,115.986,160.444
0.038,4.575,3.891,3.891,-22.262,115.994,160.438
0.039,4.595,3.901,3.901,-22.248,116.007,160.430
0.040,4.619,3.914,3.914,-22.232,116.023,160.422
0.042,4.645,3.927,3.927,-22.215,116.040,160.413
0.043,4.672,3.941,3.941,-22.197,116.059,160.406
0.044,4.699,3.955,3.955,-22.179,116.078,160.399
0.046,4.724,3.969,3.969,-22.161,116.095,160.394
0.047,4.746,3.981,3.981,-22.146,116.111,160.391
0.048,4.764,3.992,3.992,-22.133,116.122,160.390
0.050,4.776,4.001,4.001,-22.123,116.130,160.392
0.051,4.785,4.007,4.007,-22.117,116.134,160.396
0.052,4.792,4.011,4.011,-22.113,116.135,160.401
0.054,4.799,4.012,4.012,-22.111,116.134,160.408
0.055,4.807,4.011,4.011,-22.111,116.132,160.416
0.057,4.815,4.008,4.008,-22.114,116.129,160.423
0.058,4.824,4.004,4.004,-22.117,116.126,160.430
0.059,4.832,3.997,3.997,-22.122,116.124,160.437
0.061,4.839,3.990,3.990,-22.127,116.123,160.441
0.062,4.846,3.982,3.982,-22.133,116.124,160.444
0.063,4.853,3.974,3.974,-22.139,116.129,160.444
0.065,4.864,3.968,3.968,-22.145,116.137,160.441
0.066,4.879,3.965,3.965,-22.150,116.150,160.435
0.067,4.898,3.966,3.966,-22.153,116.167,160.427
0.069,4.922,3.974,3.974,-22.155,116.189,160.419
0.070,4.950,3.989,3.989,-22.153,116.216,160.411
0.071,4.983,4.013,4.013,-22.147,116.248,160.406
0.073,5.022,4.045,4.045,-22.136,116.285,160.404
0.074,5.068,4.084,4.084,-22.118,116.328,160.407
0.075,5.122,4.127,4.127,-22.095,116.376,160.418
0.077,5.187,4.173,4.173,-22.063,116.430,160.436
0.078,5.265,4.219,4.219,-22.023,116.489,160.464
0.079,5.356,4.264,4.264,-21.973,116.555,160.503
0.081,5.463,4.305,4.305,-21.913,116.627,160.554
0.082,5.586,4.341,4.341,-21.842,116.705,160.619
0.083,5.723,4.372,4.372,-21.763,116.787,160.694
0.085,5.870,4.399,4.399,-21.677,116.872,160.778
0.086,6.024,4.425,4.425,-21.586,116.959,160.867
0.087,6.181,4.449,4.449,-21.493,117.044,160.961
0.089,6.338,4.473,4.473,-21.399,117.127,161.054
0.090,6.490,4.499,4.499,-21.308,117.206,161.146
0.092,6.633,4.526,4.526,-21.221,117.280,161.234
0.093,6.765,4.556,4.556,-21.140,117.345,161.315
0.094,6.882,4.587,4.587,-21.067,117.402,161.386
0.096,6.979,4.617,4.617,-21.005,117.447,161.446
0.097,7.053,4.644,4.644,-20.956,117.480,161.490
0.098,7.102,4.668,4.668,-20.921,117.499,161.519
0.100,7.130,4.687,4.687,-20.899,117.507,161.534
0.101,7.142,4.699,4.699,-20.887,117.506,161.538
0.102,7.151,4.704,4.704,-20.884,117.499,161.534
0.104,7.166,4.702,4.702,-20.888,117.488,161.524
0.105,7.185,4.698,4.698,-20.898,117.477,161.512
0.106,7.206,4.691,4.691,-20.910,117.467,161.499
0.108,7.223,4.686,4.686,-20.924,117.461,161.490
0.109,7.237,4.685,4.685,-20.937,117.463,161.486
0.110,7.253,4.690,4.690,-20.947,117.474,161.491
0.112,7.282,4.703,4.703,-20.954,117.497,161.507
0.113,7.330,4.725,4.725,-20.953,117.535,161.536
0.114,7.401,4.754,4.754,-20.946,117.589,161.582
0.116,7.492,4.787,4.787,-20.932,117.657,161.640
0.117,7.598,4.824,4.824,-20.914,117.737,161.708
0.118,7.715,4.862,4.862,-20.893,117.825,161.782
0.120,7.838,4.898,4.898,-20.871,117.918,161.859
0.121,7.963,4.932,4.932,-20.850,118.015,161.935
0.122,8.085,4.962,4.962,-20.831,118.112,162.008
0.124,8.201,4.986,4.986,-20.816,118.206,162.074
0.125,8.306,5.005,5.005,-20.806,118.294,162.130
0.127,8.397,5.018,5.018,-20.804,118.375,162.172
0.128,8.471,5.026,5.026,-20.810,118.444,162.198
0.129,8.530,5.028,5.028,-20.828,118.500,162.203
0.131,8.582,5.024,5.024,-20.856,118.540,162.187
0.132,8.637,5.014,5.014,-20.892,118.567,162.155
0.133,8.697,4.998,4.998,-20.933,118.583,162.114
0.135,8.757,4.979,4.979,-20.974,118.591,162.070
0.136,8.813,4.957,4.957,-21.013,118.592,162.030
0.137,8.857,4.933,4.933,-21.044,118.591,161.999
0.139,8.883,4.910,4.910,-21.065,118.589,161.985
0.140,8.894,4.889,4.889,-21.073,118.588,161.993
0.141,8.933,4.871,4.871,-21.062,118.591,162.031
0.143,9.014,4.857,4.857,-21.031,118.602,162.104
0.144,9.144,4.848,4.848,-20.974,118.621,162.219
0.145,9.331,4.842,4.842,-20.888,118.652,162.383
0.147,9.578,4.838,4.838,-20.773,118.696,162.597
0.148,9.877,4.837,4.837,-20.633,118.751,162.855
0.149,10.216,4.838,4.838,-20.472,118.814,163.147
0.151,10.585,4.839,4.839,-20.298,118.884,163.465
0.152,10.972,4.841,4.841,-20.115,118.958,163.798
0.153,11.366,4.843,4.843,-19.929,119.032,164.137
0.155,11.757,4.843,4.843,-19.746,119.106,164.474
0.156,12.132,4.842,4.842,-19.572,119.176,164.799
0.157,12.482,4.840,4.840,-19.411,119.240,165.104
0.159,12.795,4.835,4.835,-19.270,119.295,165.378
0.160,13.061,4.827,4.827,-19.155,119.340,165.613
0.162,13.268,4.816,4.816,-19.070,119.371,165.799
0.163,13.411,4.801,4.801,-19.019,119.388,165.932
0.164,13.499,4.784,4.784,-18.997,119.393,166.017
0.166,13.544,4.766,4.766,-18.997,119.389,166.062
0.167,13.566,4.748,4.748,-19.013,119.379,166.073
0.168,13.599,4.732,4.732,-19.040,119.366,166.057
0.170,13.647,4.719,4.719,-19.070,119.354,166.023
0.171,13.702,4.712,4.712,-19.099,119.345,165.977
0.172,13.757,4.710,4.710,-19.120,119.342,165.926
0.174,13.806,4.715,4.715,-19.126,119.348,165.877
0.175,13.851,4.726,4.726,-19.112,119.367,165.839
0.176,13.908,4.741,4.741,-19.072,119.401,165.817
0.178,13.998,4.759,4.759,-18.999,119.454,165.819
0.179,14.132,4.778,4.778,-18.891,119.526,165.850
0.180,14.306,4.798,4.798,-18.752,119.615,165.906
0.182,14.514,4.817,4.817,-18.589,119.719,165.982
0.183,14.749,4.834,4.834,-18.406,119.832,166.076
0.184,15.003,4.849,4.849,-18.210,119.954,166.182
0.186,15.268,4.863,4.864,-18.006,120.080,166.296
0.187,15.537,4.877,4.877,-17.801,120.207,166.415
0.188,15.801,4.890,4.890,-17.600,120.331,166.534
0.190,16.054,4.903,4.903,-17.409,120.451,166.649
0.191,16.288,4.917,4.918,-17.234,120.562,166.755
0.192,16.494,4.933,4.933,-17.080,120.662,166.849
0.194,16.664,4.950,4.950,-16.954,120.746,166.927
0.195,16.796,4.968,4.967,-16.857,120.815,166.985
0.197,16.894,4.987,4.986,-16.787,120.869,167.027
