"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.588,2.588,233.427,228.449,235.795
0.001,0.140,2.639,2.639,233.454,228.519,235.677
0.003,0.282,2.691,2.691,233.483,228.589,235.558
0.004,0.424,2.745,2.745,233.516,228.659,235.438
0.005,0.569,2.801,2.801,233.555,228.730,235.318
0.007,0.717,2.859,2.859,233.602,228.801,235.197
0.008,0.870,2.922,2.922,233.659,228.872,235.074
0.009,1.028,2.988,2.988,233.728,228.945,234.951
0.011,1.195,3.060,3.060,233.810,229.018,234.825
0.012,1.372,3.136,3.136,233.909,229.091,234.698
0.013,1.562,3.218,3.218,234.025,229.166,234.568
0.015,1.766,3.304,3.304,234.161,229.242,234.436
0.016,1.987,3.395,3.395,234.319,229.319,234.302
0.017,2.223,3.490,3.490,234.496,229.397,234.166
0.019,2.471,3.590,3.590,234.687,229.474,234.030
0.020,2.725,3.692,3.692,234.889,229.550,233.895
0.021,2.980,3.798,3.798,235.095,229.624,233.764
0.023,3.232,3.905,3.905,235.301,229.695,233.638
0.024,3.476,4.011,4.011,235.503,229.762,233.518
0.025,3.707,4.111,4.111,235.695,229.824,233.406
0.027,3.919,4.205,4.205,235.873,229.880,233.305
0.028,4.108,4.288,4.288,236.031,229.929,233.215
0.029,4.268,4.358,4.358,236.166,229.971,233.138
0.031,4.394,4.412,4.412,236.271,230.004,233.077
0.032,4.485,4.450,4.450,236.345,230.028,233.030
0.033,4.545,4.473,4.473,236.393,230.044,232.998
0.035,4.580,4.485,4.485,236.418,230.054,232.977
0.036,4.594,4.488,4.488,236.426,230.060,232.966
0.037,4.600,4.486,4.486,236.422,230.062,232.963
0.039,4.613,4.481,4.481,236.409,230.063,232.966
0.040,4.631,4.476,4.476,236.393,230.063,232.973
0.041,4.648,4.474,4.474,236.378,230.065,232.983
0.043,4.662,4.477,4.477,236.370,230.068,232.992
0.044,4.673,4.484,4.484,236.372,230.076,233.000
0.045,4.696,4.496,4.496,236.390,230.089,233.005
0.047,4.738,4.512,4.512,236.427,230.109,233.004
0.048,4.800,4.534,4.534,236.483,230.135,232.998
0.049,4.877,4.560,4.560,236.554,230.166,232.987
0.051,4.968,4.592,4.592,236.637,230.201,232.974
0.052,5.069,4.628,4.628,236.729,230.239,232.957
0.053,5.176,4.668,4.668,236.826,230.278,232.939
0.055,5.286,4.711,4.711,236.927,230.318,232.919
0.056,5.396,4.753,4.753,237.028,230.358,232.899
0.057,5.503,4.795,4.795,237.125,230.396,232.880
0.059,5.602,4.833,4.833,237.216,230.431,232.862
0.060,5.691,4.867,4.867,237.298,230.463,232.846
0.061,5.767,4.896,4.896,237.367,230.490,232.833
0.063,5.828,4.917,4.917,237.423,230.512,232.823
0.064,5.876,4.934,4.934,237.468,230.530,232.815
0.065,5.913,4.945,4.945,237.502,230.543,232.811
0.067,5.940,4.952,4.952,237.527,230.553,232.808
0.068,5.960,4.957,4.957,237.545,230.560,232.807
0.069,5.973,4.959,4.959,237.558,230.564,232.808
0.071,5.982,4.960,4.960,237.566,230.566,232.810
0.072,5.988,4.960,4.960,237.572,230.567,232.813
0.073,5.994,4.960,4.960,237.576,230.566,232.816
0.075,6.000,4.960,4.960,237.582,230.566,232.819
