"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.573,2.573,219.666,183.896,214.848
0.001,0.164,2.705,2.705,219.515,183.842,214.813
0.003,0.327,2.835,2.835,219.366,183.788,214.777
0.004,0.487,2.962,2.962,219.218,183.735,214.743
0.005,0.644,3.085,3.085,219.075,183.681,214.709
0.006,0.795,3.201,3.201,218.937,183.628,214.677
0.008,0.940,3.309,3.309,218.806,183.576,214.646
0.009,1.077,3.409,3.409,218.682,183.524,214.617
0.010,1.206,3.497,3.497,218.567,183.472,214.590
0.011,1.325,3.573,3.573,218.463,183.421,214.565
0.013,1.432,3.638,3.638,218.371,183.371,214.543
0.014,1.527,3.693,3.693,218.291,183.322,214.525
0.015,1.610,3.738,3.738,218.226,183.274,214.509
0.016,1.680,3.776,3.776,218.175,183.227,214.497
0.018,1.740,3.806,3.806,218.139,183.180,214.488
0.019,1.792,3.831,3.831,218.115,183.134,214.481
0.020,1.842,3.851,3.851,218.102,183.087,214.475
0.021,1.891,3.867,3.867,218.098,183.038,214.469
0.023,1.941,3.882,3.882,218.101,182.988,214.463
0.024,1.995,3.894,3.894,218.109,182.936,214.455
0.025,2.052,3.906,3.906,218.122,182.881,214.445
0.026,2.114,3.918,3.918,218.136,182.822,214.432
0.028,2.180,3.932,3.932,218.150,182.760,214.415
0.029,2.252,3.948,3.948,218.163,182.693,214.392
0.030,2.330,3.967,3.967,218.173,182.621,214.365
0.031,2.414,3.990,3.990,218.179,182.544,214.330
0.033,2.506,4.016,4.016,218.179,182.462,214.290
0.034,2.601,4.046,4.046,218.176,182.377,214.246
0.035,2.700,4.077,4.077,218.169,182.290,214.199
0.036,2.801,4.108,4.108,218.160,182.203,214.150
0.038,2.901,4.140,4.140,218.148,182.117,214.100
0.039,2.998,4.171,4.171,218.134,182.033,214.052
0.040,3.092,4.199,4.199,218.120,181.954,214.005
0.041,3.179,4.225,4.225,218.105,181.879,213.962
0.043,3.258,4.247,4.247,218.090,181.812,213.924
0.044,3.328,4.267,4.267,218.075,181.752,213.891
0.045,3.385,4.283,4.283,218.062,181.702,213.866
0.046,3.430,4.297,4.297,218.051,181.662,213.849
0.048,3.462,4.308,4.308,218.041,181.633,213.840
0.049,3.485,4.316,4.316,218.033,181.612,213.837
0.050,3.500,4.321,4.321,218.027,181.598,213.839
0.051,3.511,4.323,4.323,218.022,181.589,213.843
0.053,3.520,4.324,4.324,218.019,181.584,213.849
0.054,3.527,4.323,4.323,218.016,181.582,213.855
0.055,3.532,4.322,4.322,218.015,181.580,213.860
0.056,3.534,4.322,4.322,218.014,181.577,213.861
0.058,3.540,4.323,4.323,218.014,181.573,213.857
0.059,3.553,4.326,4.326,218.015,181.564,213.847
0.060,3.576,4.332,4.332,218.016,181.551,213.829
0.061,3.610,4.343,4.343,218.017,181.530,213.802
0.063,3.655,4.356,4.356,218.018,181.503,213.766
0.064,3.709,4.373,4.373,218.018,181.469,213.723
0.065,3.771,4.391,4.391,218.015,181.430,213.676
0.066,3.838,4.410,4.410,218.011,181.385,213.626
0.068,3.910,4.429,4.429,218.003,181.336,213.574
0.069,3.984,4.447,4.447,217.991,181.283,213.524
0.070,4.060,4.463,4.463,217.974,181.226,213.476
0.072,4.138,4.476,4.476,217.951,181.166,213.433
0.073,4.215,4.486,4.486,217.923,181.104,213.397
0.074,4.294,4.493,4.493,217.887,181.039,213.369
0.075,4.375,4.499,4.499,217.843,180.974,213.351
0.077,4.459,4.502,4.502,217.790,180.907,213.346
0.078,4.550,4.504,4.504,217.730,180.841,213.353
0.079,4.646,4.504,4.504,217.664,180.774,213.369
0.080,4.747,4.504,4.504,217.592,180.707,213.395
0.082,4.853,4.504,4.504,217.517,180.640,213.428
0.083,4.961,4.503,4.503,217.440,180.574,213.466
0.084,5.071,4.501,4.501,217.362,180.508,213.509
0.085,5.181,4.497,4.497,217.286,180.444,213.554
0.087,5.289,4.491,4.491,217.212,180.380,213.599
0.088,5.392,4.481,4.481,217.142,180.318,213.644
0.089,5.491,4.469,4.469,217.078,180.257,213.686
0.090,5.581,4.452,4.452,217.020,180.198,213.724
0.092,5.663,4.431,4.431,216.971,180.141,213.757
0.093,5.737,4.405,4.405,216.932,180.085,213.784
0.094,5.805,4.377,4.377,216.901,180.028,213.805
0.095,5.870,4.347,4.347,216.878,179.969,213.821
0.097,5.936,4.317,4.317,216.864,179.905,213.832
0.098,6.006,4.288,4.288,216.857,179.836,213.840
0.099,6.083,4.262,4.262,216.858,179.759,213.844
0.100,6.170,4.239,4.239,216.866,179.673,213.846
0.102,6.268,4.222,4.222,216.881,179.575,213.845
0.103,6.381,4.211,4.211,216.903,179.465,213.842
0.104,6.509,4.204,4.204,216.931,179.340,213.838
0.105,6.655,4.202,4.202,216.965,179.199,213.834
0.107,6.819,4.205,4.205,217.004,179.039,213.829
0.108,7.001,4.210,4.210,217.049,178.862,213.825
0.109,7.198,4.219,4.219,217.098,178.672,213.821
0.110,7.406,4.230,4.230,217.149,178.470,213.817
0.112,7.621,4.242,4.242,217.203,178.262,213.813
0.113,7.840,4.256,4.256,217.258,178.050,213.810
0.114,8.059,4.272,4.271,217.312,177.838,213.806
0.115,8.274,4.287,4.287,217.366,177.630,213.803
0.117,8.482,4.303,4.303,217.417,177.428,213.799
0.118,8.679,4.319,4.319,217.466,177.237,213.796
0.119,8.862,4.335,4.335,217.510,177.060,213.793
0.120,9.027,4.350,4.350,217.550,176.900,213.791
0.122,9.170,4.365,4.365,217.583,176.761,213.788
0.123,9.290,4.378,4.378,217.609,176.643,213.785
0.124,9.390,4.390,4.390,217.630,176.546,213.783
0.125,9.472,4.401,4.401,217.644,176.465,213.781
0.127,9.539,4.412,4.412,217.652,176.399,213.778
0.128,9.593,4.422,4.422,217.655,176.345,213.776
0.129,9.637,4.432,4.432,217.652,176.301,213.775
0.130,9.675,4.441,4.441,217.644,176.264,213.773
0.132,9.710,4.451,4.451,217.632,176.232,213.771
0.133,9.744,4.460,4.460,217.614,176.202,213.770
0.134,9.780,4.469,4.469,217.593,176.173,213.769
0.136,9.821,4.479,4.479,217.567,176.141,213.768
0.137,9.869,4.488,4.488,217.538,176.104,213.767
0.138,9.924,4.498,4.498,217.504,176.060,213.766
0.139,9.987,4.508,4.507,217.466,176.009,213.765
0.141,10.061,4.517,4.517,217.422,175.951,213.764
0.142,10.145,4.527,4.527,217.371,175.883,213.761
0.143,10.241,4.538,4.538,217.312,175.807,213.758
0.144,10.350,4.550,4.551,217.244,175.722,213.754
0.146,10.473,4.567,4.567,217.167,175.627,213.748
0.147,10.611,4.590,4.590,217.079,175.521,213.741
0.148,10.765,4.620,4.621,216.979,175.404,213.731
0.149,10.937,4.660,4.660,216.867,175.275,213.719
0.151,11.126,4.711,4.711,216.741,175.134,213.705
0.152,11.335,4.774,4.774,216.601,174.980,213.688
0.153,11.562,4.850,4.850,216.446,174.815,213.667
0.154,11.804,4.937,4.937,216.280,174.639,213.645
0.156,12.057,5.031,5.031,216.107,174.458,213.621
0.157,12.315,5.130,5.130,215.928,174.273,213.595
0.158,12.574,5.231,5.231,215.749,174.089,213.569
0.159,12.830,5.331,5.331,215.571,173.907,213.542
0.161,13.078,5.427,5.427,215.398,173.731,213.516
0.162,13.314,5.517,5.517,215.233,173.564,213.490
0.163,13.533,5.597,5.598,215.080,173.409,213.466
0.164,13.731,5.669,5.670,214.942,173.269,213.444
0.166,13.903,5.731,5.733,214.821,173.147,213.425
0.167,14.045,5.784,5.787,214.723,173.047,213.408
0.168,14.155,5.829,5.833,214.647,172.969,213.395
0.169,14.234,5.865,5.869,214.592,172.912,213.385
0.171,14.288,5.892,5.897,214.555,172.873,213.377
0.172,14.319,5.910,5.915,214.535,172.850,213.372
0.173,14.332,5.921,5.925,214.528,172.840,213.369
0.174,14.336,5.924,5.928,214.531,172.840,213.368
0.176,14.350,5.922,5.926,214.543,172.849,213.368
0.177,14.373,5.918,5.920,214.560,172.862,213.369
0.178,14.399,5.911,5.913,214.581,172.879,213.370
0.179,14.426,5.904,5.906,214.602,172.896,213.372
0.181,14.450,5.899,5.900,214.620,172.911,213.374
0.182,14.467,5.898,5.898,214.635,172.921,213.375
0.183,14.476,5.900,5.900,214.642,172.925,213.375
0.184,14.479,5.906,5.905,214.644,172.923,213.375
0.186,14.485,5.914,5.913,214.642,172.917,213.375
0.187,14.496,5.922,5.921,214.635,172.908,213.374
0.188,14.509,5.928,5.927,214.627,172.898,213.372
0.189,14.523,5.932,5.931,214.618,172.887,213.371
0.191,14.536,5.931,5.931,214.609,172.879,213.369
0.192,14.546,5.925,5.925,214.601,172.873,213.367
0.193,14.552,5.911,5.912,214.595,172.872,213.365
0.194,14.557,5.894,5.894,214.594,172.877,213.363
0.196,14.569,5.874,5.875,214.597,172.888,213.361
0.197,14.592,5.854,5.856,214.606,172.909,213.359
0.198,14.625,5.838,5.839,214.621,172.938,213.358
0.199,14.665,5.827,5.828,214.641,172.974,213.356
0.201,14.709,5.825,5.826,214.662,173.011,213.354
0.202,14.750,5.833,5.833,214.683,173.047,213.351
0.203,14.784,5.854,5.852,214.700,173.076,213.346
0.205,14.808,5.883,5.880,214.710,173.096,213.339
0.206,14.819,5.916,5.912,214.711,173.102,213.329
0.207,14.840,5.949,5.944,214.700,173.090,213.316
0.208,14.885,5.977,5.972,214.675,173.056,213.300
0.210,14.961,5.995,5.990,214.632,172.997,213.279
0.211,15.073,5.998,5.995,214.569,172.908,213.254
0.212,15.225,5.982,5.981,214.484,172.785,213.223
0.213,15.422,5.943,5.947,214.374,172.626,213.187
0.215,15.660,5.883,5.895,214.242,172.432,213.146
0.216,15.933,5.807,5.828,214.092,172.208,213.102
0.217,16.237,5.718,5.752,213.928,171.957,213.055
0.218,16.565,5.621,5.671,213.755,171.683,213.007
0.220,16.913,5.519,5.590,213.575,171.389,212.958
0.221,17.274,5.416,5.513,213.394,171.079,212.910
0.222,17.645,5.317,5.444,213.215,170.758,212.864
0.223,18.020,5.224,5.387,213.042,170.428,212.821
0.225,18.395,5.140,5.343,212.878,170.094,212.781
0.226,18.763,5.064,5.309,212.729,169.759,212.747
0.227,19.121,4.998,5.283,212.598,169.426,212.718
0.228,19.466,4.942,5.264,212.488,169.101,212.697
0.230,19.796,4.898,5.250,212.400,168.783,212.681
0.231,20.113,4.864,5.240,212.331,168.473,212.671
0.232,20.417,4.843,5.231,212.280,168.174,212.665
0.233,20.708,4.835,5.223,212.245,167.886,212.660
0.235,20.985,4.838,5.214,212.225,167.609,212.658
0.236,21.249,4.850,5.205,212.218,167.345,212.655
0.237,21.500,4.868,5.194,212.223,167.094,212.651
0.238,21.737,4.892,5.183,212.237,166.858,212.645
