"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.303,3.303,220.374,183.636,213.398
0.001,0.114,3.361,3.361,220.262,183.615,213.397
0.003,0.226,3.420,3.420,220.151,183.594,213.397
0.004,0.336,3.477,3.477,220.043,183.574,213.397
0.005,0.443,3.531,3.531,219.939,183.554,213.397
0.006,0.544,3.583,3.583,219.839,183.536,213.396
0.008,0.639,3.631,3.631,219.746,183.519,213.396
0.009,0.726,3.675,3.675,219.660,183.504,213.395
0.010,0.804,3.714,3.714,219.583,183.491,213.394
0.011,0.872,3.747,3.747,219.516,183.480,213.393
0.013,0.929,3.775,3.775,219.460,183.472,213.392
0.014,0.973,3.797,3.797,219.416,183.466,213.391
0.015,1.003,3.815,3.815,219.386,183.463,213.390
0.017,1.021,3.828,3.828,219.368,183.463,213.388
0.018,1.029,3.837,3.837,219.360,183.465,213.387
0.019,1.032,3.841,3.841,219.359,183.468,213.386
0.020,1.038,3.842,3.842,219.364,183.472,213.386
0.022,1.046,3.839,3.839,219.372,183.475,213.386
0.023,1.055,3.834,3.834,219.380,183.477,213.387
0.024,1.061,3.828,3.828,219.386,183.477,213.389
0.025,1.066,3.823,3.823,219.388,183.475,213.392
0.027,1.075,3.821,3.821,219.383,183.469,213.397
0.028,1.092,3.821,3.821,219.370,183.459,213.404
0.029,1.122,3.827,3.827,219.346,183.445,213.412
0.030,1.163,3.840,3.840,219.310,183.426,213.422
0.032,1.214,3.859,3.859,219.266,183.402,213.432
0.033,1.273,3.884,3.884,219.215,183.375,213.441
0.034,1.336,3.914,3.914,219.159,183.346,213.449
0.036,1.403,3.946,3.946,219.101,183.313,213.454
0.037,1.470,3.980,3.980,219.044,183.279,213.455
0.038,1.536,4.014,4.014,218.988,183.244,213.451
0.039,1.599,4.046,4.046,218.937,183.208,213.442
0.041,1.659,4.075,4.075,218.892,183.172,213.426
0.042,1.715,4.099,4.099,218.857,183.136,213.402
0.043,1.768,4.121,4.121,218.832,183.102,213.369
0.044,1.823,4.141,4.141,218.819,183.069,213.326
0.046,1.882,4.160,4.160,218.817,183.036,213.277
