"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.819,2.819,201.848,185.618,169.161
0.001,0.021,2.813,2.813,201.842,185.603,169.175
0.003,0.042,2.807,2.807,201.837,185.588,169.189
0.004,0.067,2.802,2.802,201.833,185.571,169.206
0.006,0.094,2.800,2.800,201.832,185.552,169.226
0.007,0.128,2.801,2.801,201.834,185.530,169.251
0.008,0.169,2.805,2.805,201.839,185.504,169.283
0.010,0.218,2.814,2.814,201.850,185.475,169.321
0.011,0.279,2.829,2.829,201.866,185.440,169.368
0.013,0.352,2.848,2.848,201.888,185.400,169.425
0.014,0.439,2.874,2.874,201.917,185.354,169.493
0.015,0.542,2.905,2.905,201.954,185.301,169.573
0.017,0.663,2.942,2.942,201.999,185.240,169.667
0.018,0.802,2.985,2.985,202.054,185.170,169.775
0.020,0.960,3.035,3.035,202.118,185.093,169.897
0.021,1.134,3.090,3.090,202.189,185.008,170.030
0.022,1.319,3.151,3.151,202.266,184.919,170.173
0.024,1.514,3.217,3.217,202.348,184.826,170.323
0.025,1.713,3.288,3.288,202.432,184.730,170.477
0.027,1.916,3.363,3.363,202.518,184.633,170.632
0.028,2.117,3.440,3.440,202.604,184.538,170.787
0.029,2.314,3.520,3.520,202.688,184.444,170.939
0.031,2.503,3.601,3.601,202.768,184.353,171.084
0.032,2.682,3.682,3.682,202.844,184.268,171.222
0.034,2.846,3.762,3.762,202.913,184.188,171.348
0.035,2.993,3.839,3.839,202.974,184.117,171.461
0.036,3.120,3.912,3.912,203.025,184.055,171.559
0.038,3.228,3.977,3.977,203.069,184.001,171.642
0.039,3.319,4.035,4.035,203.105,183.957,171.712
0.041,3.394,4.082,4.082,203.136,183.919,171.770
0.042,3.457,4.118,4.118,203.162,183.890,171.818
0.043,3.508,4.143,4.143,203.186,183.866,171.857
0.045,3.551,4.161,4.161,203.210,183.849,171.889
0.046,3.587,4.171,4.171,203.233,183.838,171.915
0.047,3.621,4.175,4.175,203.258,183.831,171.936
0.049,3.656,4.176,4.176,203.287,183.829,171.955
0.050,3.694,4.174,4.174,203.320,183.831,171.973
0.052,3.737,4.170,4.170,203.360,183.836,171.990
0.053,3.789,4.167,4.167,203.408,183.844,172.010
0.054,3.850,4.163,4.163,203.464,183.853,172.032
0.056,3.919,4.160,4.160,203.527,183.865,172.056
0.057,3.993,4.157,4.157,203.595,183.878,172.082
0.059,4.072,4.155,4.155,203.668,183.892,172.109
0.060,4.154,4.154,4.154,203.744,183.906,172.138
0.061,4.238,4.155,4.155,203.821,183.920,172.167
0.063,4.321,4.158,4.158,203.898,183.933,172.196
0.064,4.404,4.161,4.161,203.974,183.946,172.225
0.066,4.484,4.165,4.165,204.048,183.957,172.253
0.067,4.559,4.169,4.169,204.118,183.967,172.280
0.068,4.629,4.173,4.173,204.182,183.974,172.306
0.070,4.692,4.176,4.176,204.240,183.979,172.330
0.071,4.746,4.177,4.177,204.290,183.980,172.352
0.073,4.794,4.178,4.178,204.333,183.978,172.372
0.074,4.836,4.177,4.177,204.371,183.974,172.390
0.075,4.875,4.177,4.177,204.406,183.967,172.406
0.077,4.914,4.177,4.177,204.440,183.957,172.421
0.078,4.954,4.179,4.179,204.475,183.945,172.435
0.080,4.996,4.183,4.183,204.513,183.931,172.449
0.081,5.044,4.190,4.190,204.556,183.915,172.462
0.082,5.098,4.201,4.201,204.606,183.898,172.474
0.084,5.161,4.214,4.214,204.665,183.879,172.487
0.085,5.234,4.230,4.230,204.734,183.859,172.500
0.087,5.320,4.249,4.249,204.816,183.839,172.514
0.088,5.420,4.269,4.269,204.913,183.817,172.529
0.089,5.536,4.291,4.291,205.025,183.795,172.544
0.091,5.663,4.315,4.315,205.150,183.773,172.561
0.092,5.801,4.339,4.339,205.284,183.750,172.578
0.094,5.945,4.364,4.364,205.425,183.728,172.595
0.095,6.092,4.389,4.389,205.570,183.706,172.613
0.096,6.240,4.414,4.414,205.715,183.685,172.630
0.098,6.385,4.438,4.438,205.858,183.665,172.647
0.099,6.525,4.460,4.460,205.996,183.646,172.662
