"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.132,2.132,215.269,199.217,195.569
0.001,0.520,2.300,2.300,215.086,199.056,196.028
0.003,1.034,2.465,2.465,214.905,198.895,196.482
0.004,1.539,2.626,2.626,214.726,198.737,196.926
0.006,2.028,2.779,2.779,214.553,198.582,197.356
0.007,2.496,2.923,2.923,214.386,198.431,197.767
0.008,2.938,3.056,3.056,214.228,198.286,198.153
0.010,3.349,3.174,3.174,214.079,198.148,198.511
0.011,3.725,3.276,3.276,213.942,198.017,198.835
0.013,4.059,3.362,3.362,213.818,197.896,199.121
0.014,4.348,3.437,3.437,213.709,197.784,199.363
0.015,4.585,3.502,3.502,213.617,197.683,199.558
0.017,4.770,3.560,3.560,213.542,197.594,199.701
0.018,4.907,3.614,3.614,213.483,197.517,199.797
0.020,5.006,3.666,3.666,213.437,197.448,199.853
0.021,5.078,3.719,3.719,213.403,197.388,199.873
0.022,5.138,3.774,3.774,213.378,197.334,199.864
0.024,5.199,3.829,3.829,213.360,197.286,199.832
0.025,5.267,3.884,3.884,213.347,197.241,199.783
0.027,5.341,3.936,3.936,213.336,197.199,199.723
0.028,5.419,3.985,3.985,213.325,197.159,199.657
0.029,5.497,4.029,4.029,213.312,197.118,199.592
0.031,5.571,4.067,4.067,213.294,197.075,199.533
0.032,5.640,4.099,4.099,213.271,197.030,199.486
0.034,5.706,4.126,4.126,213.243,196.983,199.450
0.035,5.771,4.149,4.149,213.211,196.933,199.425
0.036,5.835,4.168,4.168,213.176,196.881,199.409
0.038,5.900,4.185,4.185,213.141,196.827,199.400
0.039,5.964,4.202,4.202,213.107,196.773,199.398
0.041,6.029,4.218,4.218,213.075,196.717,199.402
0.042,6.092,4.235,4.235,213.046,196.661,199.411
0.043,6.155,4.252,4.252,213.023,196.604,199.422
0.045,6.215,4.269,4.269,213.006,196.548,199.436
0.046,6.274,4.285,4.285,212.997,196.492,199.451
0.048,6.332,4.300,4.300,212.997,196.436,199.466
0.049,6.389,4.314,4.314,213.004,196.381,199.481
0.050,6.447,4.326,4.326,213.016,196.326,199.495
0.052,6.506,4.335,4.335,213.030,196.271,199.508
0.053,6.564,4.342,4.342,213.045,196.215,199.519
0.055,6.623,4.348,4.348,213.057,196.158,199.529
0.056,6.682,4.354,4.354,213.065,196.101,199.538
0.057,6.741,4.361,4.361,213.067,196.042,199.544
0.059,6.803,4.368,4.368,213.059,195.981,199.547
0.060,6.869,4.378,4.378,213.040,195.918,199.548
0.062,6.942,4.391,4.391,213.007,195.853,199.545
0.063,7.025,4.407,4.407,212.959,195.785,199.540
0.064,7.117,4.425,4.425,212.897,195.716,199.532
0.066,7.216,4.444,4.444,212.826,195.649,199.522
0.067,7.319,4.463,4.463,212.746,195.584,199.513
0.069,7.423,4.482,4.482,212.662,195.524,199.504
0.070,7.525,4.501,4.501,212.576,195.470,199.497
0.071,7.622,4.517,4.517,212.490,195.424,199.493
0.073,7.712,4.532,4.532,212.408,195.388,199.492
0.074,7.791,4.544,4.544,212.333,195.363,199.497
0.076,7.860,4.555,4.555,212.266,195.352,199.507
0.077,7.917,4.565,4.565,212.212,195.357,199.525
0.078,7.969,4.573,4.573,212.171,195.377,199.549
0.080,8.020,4.581,4.581,212.143,195.407,199.580
0.081,8.073,4.587,4.587,212.125,195.441,199.616
0.083,8.124,4.592,4.592,212.114,195.473,199.654
0.084,8.170,4.595,4.595,212.109,195.496,199.694
0.085,8.209,4.593,4.593,212.107,195.503,199.733
0.087,8.249,4.585,4.585,212.105,195.487,199.769
0.088,8.305,4.568,4.568,212.102,195.442,199.802
0.090,8.389,4.543,4.543,212.095,195.363,199.829
0.091,8.513,4.506,4.506,212.081,195.241,199.848
0.092,8.686,4.457,4.457,212.059,195.070,199.859
0.094,8.911,4.398,4.398,212.026,194.847,199.859
0.095,9.185,4.334,4.334,211.982,194.577,199.852
0.097,9.497,4.268,4.268,211.929,194.269,199.839
0.098,9.841,4.203,4.203,211.866,193.932,199.825
0.099,10.206,4.143,4.143,211.794,193.574,199.812
0.101,10.586,4.092,4.092,211.713,193.203,199.804
0.102,10.970,4.052,4.052,211.625,192.829,199.802
0.103,11.352,4.026,4.026,211.529,192.459,199.811
0.105,11.724,4.011,4.011,211.427,192.103,199.834
0.106,12.078,4.008,4.008,211.318,191.768,199.872
0.108,12.408,4.017,4.017,211.203,191.464,199.930
0.109,12.711,4.036,4.036,211.084,191.197,200.009
0.110,12.992,4.066,4.066,210.960,190.965,200.108
0.112,13.256,4.106,4.106,210.832,190.764,200.221
0.113,13.506,4.154,4.154,210.702,190.591,200.346
0.115,13.745,4.208,4.208,210.570,190.442,200.480
0.116,13.976,4.267,4.267,210.438,190.313,200.618
0.117,14.198,4.329,4.329,210.306,190.201,200.758
0.119,14.413,4.391,4.391,210.174,190.101,200.895
0.120,14.618,4.451,4.451,210.045,190.010,201.026
0.122,14.814,4.507,4.507,209.918,189.925,201.148
0.123,14.999,4.559,4.559,209.795,189.841,201.257
0.124,15.172,4.607,4.607,209.677,189.755,201.351
0.126,15.337,4.652,4.652,209.562,189.667,201.430
0.127,15.495,4.695,4.695,209.451,189.576,201.496
0.129,15.648,4.737,4.737,209.344,189.483,201.552
0.130,15.798,4.777,4.777,209.238,189.388,201.600
0.131,15.945,4.818,4.818,209.135,189.290,201.641
0.133,16.093,4.861,4.861,209.034,189.190,201.678
0.134,16.240,4.905,4.905,208.933,189.088,201.712
0.136,16.388,4.951,4.951,208.834,188.983,201.745
0.137,16.539,5.001,5.001,208.734,188.876,201.780
0.138,16.692,5.055,5.055,208.634,188.767,201.818
0.140,16.848,5.114,5.114,208.533,188.655,201.861
0.141,17.006,5.178,5.178,208.433,188.543,201.908
0.143,17.164,5.248,5.248,208.333,188.431,201.958
0.144,17.319,5.321,5.321,208.236,188.322,202.009
0.145,17.470,5.397,5.397,208.141,188.216,202.062
0.147,17.615,5.471,5.471,208.051,188.115,202.114
0.148,17.751,5.542,5.542,207.966,188.022,202.164
0.150,17.876,5.607,5.607,207.887,187.937,202.211
0.151,17.988,5.663,5.663,207.816,187.862,202.254
0.152,18.086,5.708,5.708,207.752,187.799,202.292
0.154,18.166,5.743,5.743,207.697,187.749,202.324
0.155,18.229,5.768,5.768,207.652,187.713,202.348
0.157,18.275,5.787,5.787,207.617,187.688,202.366
0.158,18.308,5.800,5.800,207.591,187.673,202.379
0.159,18.330,5.810,5.810,207.573,187.663,202.387
0.161,18.343,5.819,5.819,207.564,187.656,202.392
0.162,18.351,5.828,5.828,207.562,187.649,202.395
0.164,18.362,5.838,5.838,207.566,187.639,202.397
0.165,18.381,5.850,5.850,207.577,187.623,202.399
0.166,18.412,5.862,5.862,207.594,187.598,202.402
0.168,18.455,5.876,5.876,207.616,187.562,202.408
0.169,18.514,5.890,5.890,207.643,187.510,202.417
0.171,18.590,5.905,5.905,207.674,187.442,202.430
0.172,18.681,5.920,5.920,207.709,187.359,202.447
0.173,18.785,5.936,5.936,207.745,187.264,202.469
0.175,18.899,5.953,5.953,207.783,187.160,202.494
0.176,19.019,5.972,5.972,207.820,187.049,202.522
0.178,19.142,5.994,5.994,207.857,186.936,202.554
0.179,19.266,6.019,6.019,207.892,186.822,202.588
0.180,19.388,6.047,6.047,207.923,186.710,202.625
0.182,19.504,6.080,6.080,207.950,186.604,202.664
0.183,19.612,6.118,6.118,207.973,186.507,202.705
0.185,19.710,6.159,6.159,207.988,186.420,202.748
0.186,19.796,6.202,6.202,207.997,186.347,202.792
0.187,19.873,6.243,6.244,207.999,186.285,202.838
0.189,19.942,6.282,6.283,207.995,186.234,202.884
0.190,20.006,6.317,6.317,207.985,186.191,202.930
0.192,20.068,6.344,6.344,207.969,186.153,202.977
0.193,20.129,6.364,6.363,207.948,186.119,203.023
0.194,20.190,6.376,6.375,207.923,186.087,203.069
0.196,20.253,6.383,6.381,207.894,186.054,203.114
0.197,20.318,6.386,6.385,207.861,186.019,203.157
0.199,20.386,6.388,6.387,207.825,185.979,203.199
0.200,20.458,6.391,6.390,207.787,185.933,203.239
0.201,20.536,6.396,6.396,207.746,185.879,203.276
0.203,20.618,6.407,6.408,207.704,185.817,203.312
0.204,20.704,6.422,6.424,207.662,185.751,203.346
0.206,20.792,6.439,6.443,207.621,185.680,203.378
0.207,20.880,6.457,6.462,207.581,185.609,203.410
0.208,20.966,6.472,6.478,207.544,185.537,203.441
0.210,21.050,6.484,6.489,207.511,185.467,203.473
0.211,21.129,6.490,6.492,207.482,185.400,203.504
0.213,21.202,6.487,6.485,207.460,185.339,203.536
0.214,21.267,6.476,6.469,207.444,185.284,203.569
