"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.165,2.165,229.017,202.201,197.005
0.001,0.326,2.331,2.331,229.209,201.960,197.109
0.003,0.649,2.496,2.496,229.400,201.720,197.212
0.004,0.967,2.659,2.659,229.588,201.484,197.313
0.006,1.277,2.820,2.820,229.773,201.255,197.412
0.007,1.578,2.977,2.977,229.952,201.033,197.508
0.008,1.866,3.130,3.130,230.124,200.821,197.599
0.010,2.138,3.277,3.277,230.288,200.622,197.686
0.011,2.393,3.418,3.418,230.443,200.436,197.767
0.013,2.628,3.552,3.552,230.587,200.266,197.841
0.014,2.840,3.675,3.675,230.719,200.114,197.909
0.015,3.028,3.786,3.786,230.838,199.982,197.968
0.017,3.187,3.883,3.883,230.942,199.872,198.018
0.018,3.317,3.965,3.965,231.030,199.786,198.058
0.020,3.416,4.028,4.028,231.101,199.724,198.089
0.021,3.489,4.072,4.072,231.157,199.684,198.111
0.022,3.538,4.098,4.098,231.199,199.662,198.126
0.024,3.570,4.109,4.109,231.228,199.655,198.136
0.025,3.590,4.108,4.108,231.246,199.661,198.143
0.027,3.607,4.099,4.099,231.253,199.677,198.147
0.028,3.629,4.087,4.087,231.252,199.698,198.151
0.029,3.656,4.073,4.073,231.243,199.723,198.156
0.031,3.686,4.063,4.063,231.228,199.748,198.164
0.032,3.718,4.057,4.057,231.207,199.769,198.176
0.034,3.752,4.055,4.055,231.183,199.785,198.193
0.035,3.789,4.056,4.056,231.157,199.792,198.219
0.036,3.833,4.060,4.060,231.129,199.787,198.253
0.038,3.888,4.065,4.065,231.101,199.768,198.296
0.039,3.953,4.070,4.070,231.073,199.739,198.347
0.041,4.028,4.075,4.075,231.046,199.700,198.405
0.042,4.111,4.080,4.080,231.019,199.653,198.468
0.043,4.201,4.083,4.083,230.994,199.599,198.536
0.045,4.296,4.086,4.086,230.969,199.540,198.606
0.046,4.394,4.088,4.088,230.947,199.478,198.678
0.048,4.493,4.091,4.091,230.926,199.414,198.750
0.049,4.591,4.093,4.093,230.908,199.349,198.822
0.050,4.686,4.096,4.096,230.892,199.286,198.891
0.052,4.776,4.099,4.099,230.879,199.226,198.957
0.053,4.859,4.103,4.103,230.870,199.171,199.019
0.055,4.934,4.107,4.107,230.864,199.121,199.074
0.056,5.000,4.110,4.110,230.863,199.078,199.125
0.057,5.059,4.114,4.114,230.865,199.040,199.170
0.059,5.112,4.117,4.117,230.873,199.007,199.210
0.060,5.159,4.119,4.119,230.885,198.979,199.246
0.062,5.204,4.120,4.120,230.902,198.955,199.279
0.063,5.247,4.120,4.120,230.926,198.934,199.310
0.064,5.291,4.118,4.118,230.955,198.917,199.338
0.066,5.338,4.113,4.113,230.990,198.902,199.364
0.067,5.389,4.106,4.106,231.032,198.888,199.389
0.069,5.445,4.096,4.096,231.081,198.877,199.414
0.070,5.507,4.082,4.082,231.137,198.866,199.439
0.071,5.577,4.065,4.065,231.201,198.855,199.465
0.073,5.654,4.043,4.043,231.272,198.845,199.492
0.074,5.737,4.020,4.020,231.349,198.834,199.520
0.076,5.824,3.995,3.995,231.432,198.824,199.548
0.077,5.915,3.972,3.972,231.518,198.813,199.575
0.078,6.007,3.950,3.950,231.605,198.803,199.602
0.080,6.099,3.931,3.931,231.692,198.793,199.628
0.081,6.188,3.918,3.918,231.778,198.783,199.652
0.083,6.275,3.909,3.909,231.861,198.773,199.674
0.084,6.356,3.905,3.905,231.940,198.764,199.692
0.085,6.430,3.904,3.904,232.012,198.755,199.708
0.087,6.497,3.906,3.906,232.076,198.746,199.720
0.088,6.553,3.909,3.909,232.132,198.739,199.727
0.090,6.598,3.912,3.912,232.176,198.731,199.730
0.091,6.633,3.914,3.914,232.210,198.725,199.727
0.092,6.660,3.916,3.916,232.237,198.719,199.721
0.094,6.685,3.915,3.915,232.259,198.714,199.713
0.095,6.709,3.912,3.912,232.282,198.711,199.704
0.097,6.736,3.907,3.907,232.307,198.710,199.695
0.098,6.770,3.900,3.900,232.340,198.710,199.687
0.099,6.813,3.890,3.890,232.383,198.712,199.683
0.101,6.870,3.877,3.877,232.440,198.717,199.682
0.102,6.946,3.861,3.861,232.514,198.724,199.687
0.104,7.043,3.844,3.844,232.611,198.734,199.698
0.105,7.166,3.828,3.828,232.731,198.747,199.718
0.106,7.319,3.816,3.816,232.881,198.763,199.746
0.108,7.506,3.809,3.809,233.062,198.782,199.785
0.109,7.724,3.811,3.811,233.274,198.806,199.835
0.111,7.969,3.824,3.824,233.511,198.832,199.892
0.112,8.233,3.849,3.849,233.765,198.862,199.955
