"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.518,1.518,219.005,192.995,185.059
0.001,0.101,1.457,1.457,218.936,192.991,184.986
0.003,0.196,1.400,1.400,218.870,192.987,184.917
0.004,0.282,1.349,1.349,218.812,192.982,184.855
0.005,0.351,1.306,1.306,218.763,192.978,184.805
0.006,0.400,1.276,1.276,218.730,192.974,184.770
0.008,0.423,1.260,1.260,218.713,192.969,184.754
0.009,0.433,1.262,1.262,218.718,192.965,184.761
0.010,0.478,1.284,1.284,218.748,192.960,184.794
0.011,0.565,1.330,1.330,218.807,192.955,184.858
0.013,0.698,1.398,1.398,218.897,192.950,184.956
0.014,0.884,1.487,1.487,219.023,192.945,185.093
0.015,1.125,1.596,1.596,219.187,192.939,185.270
0.016,1.418,1.724,1.724,219.385,192.933,185.484
0.018,1.750,1.868,1.868,219.613,192.925,185.727
0.019,2.114,2.029,2.029,219.863,192.915,185.991
0.020,2.498,2.204,2.204,220.128,192.901,186.268
0.021,2.893,2.391,2.391,220.403,192.885,186.551
0.023,3.288,2.587,2.587,220.681,192.864,186.831
0.024,3.674,2.786,2.786,220.956,192.838,187.100
0.025,4.041,2.984,2.984,221.221,192.806,187.352
0.026,4.379,3.175,3.175,221.470,192.768,187.577
0.028,4.678,3.354,3.354,221.696,192.723,187.769
0.029,4.932,3.516,3.516,221.894,192.670,187.919
0.030,5.140,3.656,3.656,222.061,192.609,188.026
0.031,5.308,3.771,3.771,222.200,192.543,188.095
0.033,5.446,3.860,3.860,222.313,192.474,188.131
0.034,5.562,3.929,3.929,222.403,192.401,188.138
0.035,5.663,3.979,3.979,222.472,192.328,188.123
0.036,5.758,4.016,4.016,222.523,192.257,188.088
0.038,5.849,4.042,4.042,222.557,192.188,188.040
0.039,5.937,4.062,4.062,222.579,192.123,187.983
0.040,6.022,4.079,4.079,222.589,192.064,187.923
0.041,6.100,4.095,4.095,222.590,192.013,187.863
0.043,6.168,4.113,4.113,222.585,191.972,187.809
0.044,6.223,4.130,4.130,222.577,191.941,187.765
0.045,6.266,4.146,4.146,222.566,191.920,187.730
0.046,6.296,4.161,4.161,222.556,191.908,187.704
0.048,6.314,4.173,4.173,222.549,191.905,187.688
0.049,6.323,4.182,4.182,222.545,191.911,187.682
0.050,6.337,4.186,4.186,222.548,191.924,187.685
0.051,6.363,4.186,4.186,222.559,191.944,187.697
0.053,6.404,4.181,4.181,222.581,191.971,187.720
0.054,6.462,4.173,4.173,222.615,192.004,187.752
0.055,6.536,4.163,4.163,222.663,192.043,187.793
0.056,6.630,4.152,4.152,222.728,192.087,187.845
0.058,6.743,4.142,4.142,222.810,192.135,187.906
0.059,6.874,4.133,4.133,222.908,192.187,187.974
0.060,7.018,4.127,4.127,223.019,192.242,188.049
0.061,7.172,4.126,4.126,223.139,192.298,188.128
0.063,7.334,4.128,4.128,223.266,192.355,188.209
0.064,7.499,4.134,4.134,223.397,192.412,188.291
0.065,7.663,4.144,4.144,223.530,192.468,188.372
0.066,7.825,4.155,4.155,223.661,192.522,188.450
0.068,7.980,4.168,4.168,223.787,192.573,188.524
0.069,8.124,4.182,4.182,223.906,192.620,188.590
0.070,8.255,4.197,4.197,224.015,192.662,188.649
0.071,8.369,4.212,4.212,224.111,192.699,188.697
0.073,8.466,4.226,4.226,224.195,192.730,188.736
0.074,8.550,4.239,4.239,224.268,192.757,188.767
0.075,8.620,4.251,4.251,224.331,192.778,188.790
0.076,8.680,4.262,4.262,224.386,192.796,188.807
0.078,8.732,4.272,4.272,224.434,192.810,188.818
0.079,8.777,4.281,4.281,224.477,192.822,188.826
0.080,8.816,4.287,4.287,224.515,192.830,188.831
0.081,8.853,4.292,4.292,224.551,192.837,188.834
0.083,8.888,4.295,4.295,224.586,192.842,188.836
0.084,8.923,4.297,4.297,224.621,192.846,188.839
0.085,8.960,4.297,4.297,224.657,192.849,188.843
0.086,8.998,4.296,4.296,224.695,192.852,188.849
0.088,9.037,4.295,4.295,224.733,192.854,188.857
0.089,9.075,4.293,4.293,224.769,192.857,188.865
0.090,9.111,4.292,4.292,224.804,192.860,188.875
0.091,9.144,4.290,4.290,224.835,192.864,188.885
0.093,9.172,4.289,4.289,224.861,192.868,188.896
0.094,9.195,4.289,4.289,224.881,192.872,188.906
0.095,9.213,4.289,4.289,224.894,192.878,188.916
0.096,9.225,4.291,4.291,224.899,192.885,188.925
0.098,9.237,4.293,4.293,224.893,192.893,188.933
0.099,9.257,4.296,4.296,224.877,192.902,188.940
0.100,9.286,4.301,4.301,224.850,192.913,188.945
0.102,9.321,4.307,4.307,224.817,192.924,188.949
0.103,9.358,4.314,4.314,224.782,192.934,188.951
0.104,9.393,4.321,4.321,224.748,192.943,188.952
0.105,9.422,4.326,4.326,224.721,192.950,188.951
0.107,9.440,4.329,4.329,224.703,192.954,188.950
0.108,9.445,4.327,4.327,224.699,192.954,188.948
0.109,9.460,4.321,4.321,224.713,192.949,188.946
0.110,9.498,4.308,4.308,224.749,192.938,188.942
0.112,9.563,4.288,4.288,224.812,192.920,188.938
0.113,9.659,4.260,4.260,224.904,192.895,188.934
0.114,9.789,4.226,4.226,225.029,192.861,188.930
0.115,9.947,4.189,4.189,225.183,192.821,188.925
0.117,10.130,4.151,4.151,225.360,192.774,188.920
0.118,10.332,4.114,4.114,225.554,192.723,188.915
0.119,10.546,4.079,4.079,225.762,192.667,188.911
0.120,10.769,4.049,4.049,225.977,192.609,188.906
0.122,10.995,4.026,4.026,226.194,192.549,188.902
0.123,11.218,4.011,4.011,226.409,192.489,188.898
0.124,11.433,4.004,4.004,226.615,192.429,188.895
0.125,11.634,4.003,4.003,226.808,192.370,188.892
0.127,11.818,4.006,4.006,226.983,192.315,188.890
0.128,11.978,4.014,4.014,227.135,192.263,188.888
0.129,12.117,4.025,4.025,227.265,192.215,188.887
0.130,12.238,4.037,4.037,227.378,192.171,188.885
0.132,12.344,4.051,4.051,227.476,192.131,188.884
0.133,12.439,4.065,4.065,227.564,192.096,188.881
0.134,12.525,4.079,4.079,227.645,192.065,188.877
0.135,12.607,4.095,4.095,227.722,192.039,188.871
0.137,12.688,4.112,4.112,227.799,192.018,188.862
0.138,12.771,4.131,4.131,227.880,192.001,188.851
0.139,12.861,4.152,4.152,227.968,191.989,188.837
0.140,12.962,4.176,4.176,228.068,191.982,188.820
0.142,13.078,4.204,4.204,228.181,191.980,188.798
0.143,13.209,4.235,4.235,228.310,191.982,188.774
0.144,13.354,4.270,4.270,228.452,191.987,188.749
0.145,13.511,4.308,4.308,228.608,191.992,188.726
0.147,13.679,4.348,4.348,228.775,191.995,188.706
0.148,13.857,4.391,4.391,228.952,191.995,188.692
0.149,14.043,4.435,4.435,229.138,191.991,188.686
0.150,14.237,4.481,4.481,229.332,191.980,188.689
0.152,14.439,4.528,4.528,229.532,191.960,188.705
0.153,14.649,4.576,4.576,229.738,191.930,188.735
0.154,14.868,4.625,4.625,229.948,191.888,188.782
