"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.436,2.436,208.437,193.128,184.656
0.001,0.291,2.554,2.554,208.592,193.042,184.888
0.002,0.580,2.672,2.672,208.745,192.957,185.117
0.004,0.864,2.789,2.789,208.896,192.874,185.343
0.005,1.141,2.903,2.903,209.042,192.793,185.564
0.006,1.409,3.016,3.016,209.183,192.716,185.779
0.007,1.665,3.125,3.125,209.317,192.643,185.984
0.008,1.908,3.231,3.231,209.443,192.576,186.180
0.010,2.134,3.332,3.332,209.560,192.514,186.364
0.011,2.342,3.429,3.429,209.665,192.459,186.534
0.012,2.528,3.521,3.521,209.759,192.412,186.689
0.013,2.692,3.605,3.605,209.839,192.374,186.827
0.014,2.831,3.683,3.683,209.904,192.345,186.946
0.016,2.943,3.752,3.752,209.953,192.326,187.045
0.017,3.031,3.812,3.812,209.987,192.316,187.126
0.018,3.098,3.861,3.861,210.008,192.314,187.189
0.019,3.147,3.899,3.899,210.018,192.318,187.237
0.020,3.182,3.925,3.925,210.019,192.326,187.271
0.022,3.208,3.939,3.939,210.012,192.338,187.293
0.023,3.231,3.943,3.943,209.999,192.351,187.305
0.024,3.253,3.939,3.939,209.981,192.364,187.309
0.025,3.276,3.929,3.929,209.962,192.376,187.305
0.026,3.300,3.915,3.915,209.941,192.385,187.297
0.028,3.323,3.899,3.899,209.922,192.390,187.285
0.029,3.344,3.884,3.884,209.906,192.389,187.272
0.030,3.363,3.872,3.872,209.894,192.382,187.258
0.031,3.384,3.865,3.865,209.887,192.368,187.245
0.032,3.406,3.862,3.862,209.885,192.349,187.233
0.034,3.431,3.864,3.864,209.888,192.327,187.222
0.035,3.458,3.868,3.868,209.896,192.303,187.213
0.036,3.487,3.874,3.874,209.908,192.278,187.206
0.037,3.517,3.882,3.882,209.926,192.254,187.201
0.038,3.549,3.890,3.890,209.949,192.231,187.198
0.040,3.583,3.897,3.897,209.977,192.212,187.198
0.041,3.620,3.903,3.903,210.011,192.198,187.202
0.042,3.660,3.907,3.907,210.049,192.190,187.209
0.043,3.705,3.911,3.911,210.093,192.189,187.220
0.044,3.757,3.914,3.914,210.142,192.196,187.235
0.046,3.816,3.918,3.918,210.196,192.211,187.254
0.047,3.883,3.924,3.924,210.257,192.229,187.277
0.048,3.957,3.933,3.933,210.323,192.248,187.303
0.049,4.037,3.945,3.945,210.395,192.265,187.332
0.050,4.122,3.962,3.962,210.474,192.277,187.363
0.052,4.214,3.984,3.984,210.559,192.282,187.396
0.053,4.313,4.012,4.012,210.652,192.277,187.431
0.054,4.420,4.046,4.046,210.751,192.259,187.468
0.055,4.538,4.087,4.087,210.858,192.225,187.505
0.056,4.670,4.135,4.135,210.972,192.171,187.542
0.058,4.818,4.192,4.192,211.094,192.097,187.580
0.059,4.985,4.256,4.256,211.224,191.998,187.618
0.060,5.171,4.330,4.330,211.360,191.878,187.654
0.061,5.370,4.413,4.413,211.500,191.739,187.690
0.063,5.580,4.504,4.504,211.642,191.588,187.724
0.064,5.796,4.599,4.599,211.782,191.427,187.756
0.065,6.013,4.695,4.695,211.920,191.262,187.786
0.066,6.227,4.788,4.788,212.052,191.096,187.813
0.067,6.433,4.876,4.876,212.176,190.934,187.836
0.069,6.626,4.954,4.954,212.289,190.779,187.856
0.070,6.801,5.021,5.021,212.390,190.637,187.871
0.071,6.954,5.071,5.071,212.476,190.511,187.882
0.072,7.080,5.103,5.103,212.545,190.405,187.888
0.073,7.174,5.121,5.121,212.594,190.324,187.888
0.075,7.239,5.126,5.126,212.625,190.267,187.884
0.076,7.279,5.123,5.123,212.640,190.231,187.877
0.077,7.299,5.113,5.113,212.643,190.214,187.867
0.078,7.312,5.100,5.100,212.636,190.211,187.857
0.079,7.331,5.087,5.087,212.622,190.221,187.847
