"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.445,2.445,203.916,213.703,206.795
0.002,0.279,2.568,2.568,203.876,213.933,206.642
0.003,0.556,2.690,2.690,203.837,214.162,206.491
0.005,0.829,2.811,2.811,203.799,214.386,206.342
0.006,1.093,2.932,2.932,203.762,214.605,206.199
0.008,1.348,3.052,3.052,203.726,214.817,206.062
0.009,1.590,3.171,3.171,203.691,215.019,205.932
0.011,1.817,3.289,3.289,203.658,215.209,205.813
0.012,2.027,3.405,3.405,203.627,215.386,205.704
0.014,2.217,3.515,3.515,203.599,215.548,205.608
0.015,2.385,3.619,3.619,203.574,215.692,205.527
0.017,2.528,3.713,3.713,203.551,215.818,205.461
0.018,2.645,3.795,3.795,203.532,215.922,205.413
0.020,2.736,3.862,3.862,203.516,216.006,205.381
0.021,2.805,3.912,3.912,203.504,216.072,205.363
0.023,2.854,3.944,3.944,203.495,216.119,205.356
0.024,2.886,3.962,3.962,203.490,216.151,205.358
0.026,2.905,3.966,3.966,203.488,216.168,205.366
0.027,2.919,3.957,3.957,203.491,216.172,205.380
0.029,2.937,3.939,3.939,203.496,216.164,205.395
0.030,2.963,3.912,3.912,203.505,216.146,205.410
0.032,2.995,3.879,3.879,203.519,216.118,205.422
0.033,3.034,3.842,3.842,203.535,216.084,205.429
0.035,3.080,3.806,3.806,203.556,216.043,205.429
0.036,3.130,3.772,3.772,203.579,215.999,205.421
0.038,3.181,3.746,3.746,203.602,215.956,205.408
0.039,3.229,3.730,3.730,203.623,215.916,205.392
0.041,3.268,3.727,3.727,203.639,215.884,205.375
0.042,3.296,3.739,3.739,203.648,215.863,205.359
0.044,3.311,3.764,3.764,203.647,215.857,205.346
0.045,3.330,3.799,3.799,203.635,215.870,205.338
0.047,3.374,3.839,3.839,203.608,215.905,205.337
0.048,3.450,3.883,3.883,203.565,215.966,205.345
0.050,3.562,3.927,3.927,203.502,216.056,205.366
0.051,3.715,3.968,3.968,203.418,216.180,205.399
0.053,3.911,4.005,4.005,203.312,216.338,205.447
0.054,4.142,4.038,4.038,203.189,216.523,205.508
0.056,4.400,4.069,4.069,203.052,216.731,205.579
0.057,4.679,4.098,4.098,202.908,216.954,205.661
0.059,4.969,4.127,4.127,202.758,217.187,205.749
0.060,5.265,4.156,4.156,202.609,217.425,205.844
0.062,5.558,4.185,4.185,202.465,217.659,205.943
0.063,5.840,4.215,4.215,202.330,217.886,206.045
0.065,6.105,4.246,4.246,202.209,218.097,206.147
0.066,6.345,4.275,4.275,202.105,218.289,206.248
0.068,6.553,4.304,4.304,202.025,218.453,206.347
0.069,6.726,4.332,4.332,201.969,218.587,206.441
0.071,6.868,4.358,4.358,201.936,218.694,206.529
0.072,6.984,4.381,4.381,201.923,218.779,206.607
0.074,7.080,4.401,4.401,201.925,218.847,206.674
0.075,7.159,4.417,4.417,201.938,218.904,206.728
0.077,7.225,4.428,4.428,201.959,218.954,206.765
0.078,7.283,4.433,4.433,201.984,219.002,206.784
0.080,7.341,4.432,4.432,202.009,219.055,206.783
0.081,7.410,4.424,4.424,202.031,219.116,206.759
0.083,7.501,4.409,4.409,202.046,219.191,206.709
0.084,7.623,4.390,4.390,202.050,219.285,206.632
0.086,7.781,4.371,4.371,202.040,219.402,206.526
0.087,7.975,4.353,4.353,202.016,219.541,206.394
0.089,8.197,4.339,4.339,201.980,219.698,206.241
0.090,8.440,4.333,4.333,201.934,219.867,206.072
0.092,8.700,4.336,4.336,201.881,220.046,205.892
0.094,8.967,4.348,4.348,201.821,220.229,205.706
0.095,9.236,4.366,4.366,201.758,220.413,205.520
0.097,9.500,4.388,4.388,201.693,220.593,205.339
0.098,9.752,4.410,4.410,201.629,220.765,205.167
0.100,9.984,4.429,4.429,201.566,220.925,205.010
0.101,10.191,4.444,4.444,201.508,221.068,204.872
0.103,10.366,4.453,4.453,201.455,221.191,204.760
0.104,10.506,4.455,4.455,201.410,221.292,204.673
0.106,10.617,4.453,4.453,201.371,221.373,204.609
0.107,10.700,4.449,4.449,201.339,221.435,204.565
0.109,10.758,4.444,4.444,201.314,221.481,204.538
0.110,10.796,4.439,4.439,201.295,221.511,204.525
