"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.337,2.337,131.784,138.604,159.339
0.001,0.081,2.374,2.374,131.714,138.643,159.326
0.003,0.162,2.410,2.410,131.645,138.683,159.312
0.004,0.243,2.446,2.446,131.576,138.724,159.299
0.005,0.324,2.483,2.483,131.509,138.767,159.285
0.007,0.404,2.520,2.520,131.444,138.812,159.273
0.008,0.485,2.557,2.557,131.380,138.861,159.260
0.009,0.566,2.595,2.595,131.319,138.913,159.248
0.010,0.648,2.633,2.633,131.262,138.969,159.237
0.012,0.730,2.672,2.672,131.207,139.030,159.226
0.013,0.815,2.711,2.711,131.156,139.097,159.216
0.014,0.902,2.751,2.751,131.109,139.170,159.207
0.016,0.992,2.792,2.792,131.067,139.249,159.198
0.017,1.087,2.834,2.834,131.030,139.336,159.191
0.018,1.185,2.877,2.877,130.998,139.428,159.185
0.020,1.285,2.921,2.921,130.970,139.524,159.181
0.021,1.386,2.966,2.966,130.948,139.622,159.179
0.022,1.486,3.012,3.012,130.930,139.721,159.179
0.023,1.584,3.058,3.058,130.917,139.819,159.182
0.025,1.680,3.103,3.103,130.909,139.913,159.189
0.026,1.770,3.145,3.145,130.906,140.003,159.199
0.027,1.855,3.184,3.184,130.907,140.087,159.213
0.029,1.933,3.219,3.219,130.913,140.163,159.231
0.030,2.003,3.249,3.249,130.924,140.228,159.254
0.031,2.066,3.272,3.272,130.938,140.283,159.282
0.033,2.123,3.290,3.290,130.958,140.324,159.315
0.034,2.174,3.301,3.301,130.979,140.354,159.351
0.035,2.220,3.308,3.308,131.001,140.374,159.386
0.036,2.260,3.310,3.310,131.021,140.386,159.418
0.038,2.291,3.308,3.308,131.037,140.391,159.444
0.039,2.310,3.303,3.303,131.047,140.391,159.461
0.040,2.317,3.295,3.295,131.050,140.387,159.466
0.042,2.331,3.285,3.285,131.042,140.382,159.456
0.043,2.365,3.275,3.275,131.022,140.376,159.429
0.044,2.424,3.267,3.267,130.988,140.372,159.381
0.046,2.512,3.263,3.263,130.938,140.370,159.309
0.047,2.631,3.265,3.265,130.869,140.374,159.211
0.048,2.785,3.276,3.276,130.781,140.383,159.086
0.049,2.968,3.298,3.298,130.675,140.398,158.937
0.051,3.173,3.333,3.333,130.557,140.419,158.770
0.052,3.394,3.381,3.381,130.429,140.445,158.592
0.053,3.624,3.440,3.440,130.294,140.477,158.409
0.055,3.856,3.504,3.504,130.157,140.514,158.225
0.056,4.084,3.571,3.571,130.020,140.555,158.048
0.057,4.301,3.636,3.636,129.888,140.601,157.882
0.059,4.500,3.695,3.695,129.765,140.651,157.734
0.060,4.676,3.746,3.746,129.652,140.705,157.611
0.061,4.823,3.783,3.783,129.555,140.763,157.516
0.063,4.939,3.806,3.806,129.476,140.825,157.458
0.064,5.028,3.817,3.817,129.418,140.889,157.438
0.065,5.104,3.820,3.820,129.380,140.954,157.451
0.066,5.180,3.816,3.816,129.359,141.017,157.488
0.068,5.258,3.807,3.807,129.351,141.075,157.539
0.069,5.335,3.798,3.798,129.355,141.125,157.597
0.070,5.405,3.789,3.789,129.367,141.165,157.653
0.072,5.460,3.784,3.784,129.384,141.193,157.697
0.073,5.494,3.783,3.783,129.405,141.205,157.722
0.074,5.516,3.785,3.785,129.426,141.198,157.717
0.076,5.570,3.790,3.790,129.445,141.171,157.675
0.077,5.673,3.796,3.796,129.458,141.120,157.586
0.078,5.836,3.803,3.803,129.463,141.043,157.442
0.079,6.066,3.810,3.810,129.458,140.938,157.237
0.081,6.356,3.816,3.816,129.444,140.808,156.978
0.082,6.696,3.822,3.822,129.421,140.659,156.674
0.083,7.076,3.828,3.828,129.390,140.493,156.334
0.085,7.483,3.836,3.836,129.354,140.315,155.969
0.086,7.910,3.849,3.849,129.313,140.130,155.587
0.087,8.344,3.869,3.869,129.268,139.942,155.198
0.089,8.775,3.897,3.897,129.220,139.756,154.812
0.090,9.193,3.935,3.935,129.171,139.575,154.439
0.091,9.588,3.986,3.986,129.122,139.404,154.087
0.092,9.948,4.049,4.049,129.073,139.247,153.766
0.094,10.263,4.122,4.122,129.027,139.108,153.486
0.095,10.526,4.201,4.201,128.983,138.992,153.254
0.096,10.739,4.280,4.280,128.943,138.897,153.068
0.098,10.908,4.357,4.357,128.906,138.820,152.923
0.099,11.037,4.428,4.428,128.872,138.761,152.813
0.100,11.132,4.487,4.487,128.841,138.717,152.735
0.102,11.198,4.532,4.532,128.814,138.687,152.683
0.103,11.241,4.562,4.562,128.790,138.668,152.652
0.104,11.268,4.579,4.579,128.770,138.658,152.638
0.105,11.285,4.585,4.585,128.752,138.656,152.637
0.107,11.300,4.585,4.585,128.739,138.660,152.642
0.108,11.315,4.580,4.580,128.728,138.667,152.650
0.109,11.328,4.575,4.575,128.721,138.677,152.655
0.111,11.338,4.571,4.571,128.718,138.686,152.654
0.112,11.351,4.571,4.571,128.717,138.696,152.646
0.113,11.368,4.577,4.577,128.718,138.705,152.631
0.115,11.390,4.586,4.586,128.721,138.714,152.611
0.116,11.417,4.597,4.597,128.725,138.723,152.586
0.117,11.449,4.611,4.611,128.729,138.732,152.556
0.118,11.485,4.625,4.625,128.733,138.741,152.521
0.120,11.524,4.638,4.638,128.736,138.749,152.483
0.121,11.566,4.650,4.650,128.737,138.757,152.442
0.122,11.611,4.659,4.659,128.736,138.764,152.398
0.124,11.658,4.666,4.666,128.733,138.771,152.351
0.125,11.707,4.671,4.671,128.725,138.778,152.303
0.126,11.758,4.676,4.676,128.714,138.784,152.254
0.128,11.812,4.680,4.680,128.699,138.790,152.203
0.129,11.868,4.685,4.685,128.680,138.796,152.150
0.130,11.927,4.690,4.690,128.659,138.803,152.095
0.132,11.990,4.698,4.698,128.634,138.811,152.038
0.133,12.055,4.707,4.707,128.607,138.820,151.979
0.134,12.125,4.719,4.719,128.578,138.831,151.917
0.135,12.198,4.733,4.733,128.547,138.845,151.852
0.137,12.274,4.749,4.749,128.515,138.860,151.784
0.138,12.355,4.766,4.766,128.482,138.879,151.713
0.139,12.440,4.786,4.786,128.448,138.901,151.638
0.141,12.530,4.807,4.807,128.413,138.926,151.560
0.142,12.624,4.830,4.830,128.378,138.956,151.477
0.143,12.722,4.855,4.855,128.344,138.988,151.391
0.145,12.823,4.880,4.880,128.309,139.024,151.304
0.146,12.925,4.906,4.906,128.276,139.062,151.215
0.147,13.027,4.932,4.932,128.243,139.101,151.127
0.148,13.128,4.958,4.958,128.210,139.142,151.040
0.150,13.227,4.984,4.984,128.179,139.182,150.955
0.151,13.323,5.008,5.008,128.150,139.223,150.873
0.152,13.414,5.031,5.031,128.121,139.262,150.796
0.154,13.500,5.052,5.052,128.095,139.300,150.724
0.155,13.579,5.071,5.071,128.070,139.336,150.659
0.156,13.649,5.089,5.089,128.048,139.369,150.601
0.158,13.711,5.105,5.105,128.027,139.399,150.551
0.159,13.766,5.120,5.120,128.009,139.425,150.506
0.160,13.816,5.134,5.134,127.992,139.449,150.465
0.161,13.865,5.147,5.147,127.976,139.470,150.424
0.163,13.915,5.158,5.158,127.961,139.488,150.380
0.164,13.968,5.170,5.170,127.947,139.505,150.331
0.165,14.029,5.184,5.184,127.932,139.518,150.274
0.167,14.099,5.201,5.201,127.918,139.530,150.206
0.168,14.183,5.222,5.222,127.902,139.541,150.125
0.169,14.283,5.250,5.250,127.886,139.549,150.027
0.171,14.401,5.286,5.286,127.868,139.557,149.910
0.172,14.542,5.331,5.331,127.848,139.563,149.771
0.173,14.705,5.386,5.386,127.826,139.569,149.609
0.174,14.889,5.450,5.450,127.803,139.573,149.427
0.176,15.088,5.520,5.520,127.778,139.577,149.230
0.177,15.296,5.594,5.594,127.753,139.581,149.023
0.178,15.510,5.670,5.670,127.729,139.584,148.810
0.180,15.724,5.746,5.746,127.705,139.587,148.598
0.181,15.933,5.820,5.820,127.682,139.590,148.390
0.182,16.132,5.890,5.890,127.662,139.593,148.192
0.184,16.317,5.955,5.955,127.643,139.596,148.008
0.185,16.483,6.013,6.013,127.628,139.599,147.843
0.186,16.624,6.065,6.065,127.617,139.603,147.702
0.188,16.736,6.110,6.110,127.610,139.608,147.591
0.189,16.815,6.148,6.148,127.607,139.613,147.511
0.190,16.866,6.177,6.177,127.608,139.619,147.461
0.191,16.892,6.198,6.198,127.612,139.625,147.436
0.193,16.901,6.211,6.211,127.618,139.630,147.431
0.194,16.915,6.216,6.216,127.625,139.635,147.442
0.195,16.938,6.215,6.215,127.631,139.638,147.464
0.197,16.968,6.209,6.209,127.636,139.639,147.493
0.198,16.999,6.202,6.202,127.639,139.639,147.525
0.199,17.028,6.194,6.194,127.638,139.636,147.554
0.201,17.052,6.187,6.187,127.633,139.630,147.576
0.202,17.069,6.184,6.184,127.623,139.621,147.587
0.203,17.091,6.185,6.185,127.606,139.608,147.582
0.204,17.128,6.192,6.192,127.583,139.592,147.558
0.206,17.183,6.204,6.204,127.553,139.572,147.517
0.207,17.253,6.220,6.220,127.519,139.551,147.459
0.208,17.337,6.241,6.241,127.482,139.529,147.388
0.210,17.431,6.265,6.265,127.443,139.507,147.305
0.211,17.532,6.294,6.294,127.404,139.486,147.214
0.212,17.639,6.326,6.326,127.366,139.468,147.115
0.214,17.749,6.361,6.360,127.331,139.453,147.013
0.215,17.859,6.397,6.397,127.300,139.443,146.908
0.216,17.967,6.435,6.435,127.275,139.438,146.803
0.217,18.071,6.472,6.472,127.256,139.440,146.700
0.219,18.170,6.507,6.507,127.246,139.450,146.602
0.220,18.264,6.539,6.539,127.245,139.469,146.510
0.221,18.354,6.566,6.566,127.253,139.495,146.424
0.223,18.440,6.588,6.588,127.268,139.527,146.345
0.224,18.524,6.604,6.604,127.289,139.564,146.273
0.225,18.606,6.615,6.615,127.314,139.604,146.206
0.227,18.686,6.622,6.622,127.342,139.647,146.145
0.228,18.762,6.626,6.626,127.372,139.690,146.090
0.229,18.835,6.628,6.629,127.402,139.733,146.040
0.230,18.902,6.629,6.630,127.431,139.774,145.995
0.232,18.963,6.631,6.632,127.457,139.812,145.956
0.233,19.016,6.635,6.634,127.480,139.846,145.921
0.234,19.060,6.640,6.639,127.497,139.873,145.891
0.236,19.095,6.647,6.645,127.508,139.894,145.865
0.237,19.122,6.655,6.653,127.514,139.909,145.843
0.238,19.143,6.664,6.661,127.514,139.918,145.825
0.240,19.160,6.674,6.671,127.510,139.924,145.808
0.241,19.177,6.684,6.682,127.504,139.926,145.794
0.242,19.193,6.694,6.694,127.494,139.925,145.781
0.243,19.210,6.704,6.706,127.483,139.924,145.768
0.245,19.228,6.714,6.719,127.471,139.922,145.754
0.246,19.246,6.724,6.732,127.459,139.921,145.740
0.247,19.266,6.733,6.745,127.448,139.921,145.724
0.249,19.286,6.741,6.757,127.439,139.924,145.706
0.250,19.310,6.748,6.767,127.432,139.931,145.685
0.251,19.337,6.753,6.776,127.428,139.942,145.661
0.253,19.368,6.758,6.783,127.427,139.957,145.634
0.254,19.401,6.761,6.787,127.429,139.975,145.605
0.255,19.437,6.763,6.790,127.433,139.995,145.576
0.257,19.474,6.765,6.791,127.439,140.017,145.547
