"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.738,2.738,83.239,-111.778,-155.963
0.001,0.211,2.794,2.794,83.309,-111.938,-155.845
0.003,0.421,2.851,2.851,83.381,-112.097,-155.728
0.004,0.628,2.908,2.908,83.457,-112.254,-155.616
0.006,0.833,2.965,2.965,83.540,-112.408,-155.510
0.007,1.034,3.022,3.022,83.631,-112.559,-155.412
0.008,1.232,3.079,3.079,83.732,-112.705,-155.325
0.010,1.428,3.136,3.136,83.846,-112.845,-155.250
0.011,1.623,3.193,3.193,83.975,-112.979,-155.189
0.013,1.820,3.250,3.250,84.120,-113.105,-155.145
0.014,2.024,3.305,3.305,84.284,-113.222,-155.119
0.016,2.238,3.357,3.357,84.469,-113.331,-155.114
0.017,2.467,3.405,3.405,84.675,-113.429,-155.131
0.018,2.712,3.448,3.448,84.900,-113.519,-155.167
0.020,2.970,3.485,3.485,85.138,-113.601,-155.222
0.021,3.238,3.515,3.515,85.386,-113.676,-155.291
0.023,3.515,3.538,3.538,85.640,-113.747,-155.375
0.024,3.795,3.557,3.557,85.895,-113.814,-155.469
0.025,4.075,3.572,3.572,86.147,-113.878,-155.572
0.027,4.351,3.586,3.586,86.392,-113.941,-155.682
0.028,4.619,3.599,3.599,86.626,-114.004,-155.797
0.030,4.875,3.613,3.613,86.845,-114.069,-155.913
0.031,5.115,3.630,3.630,87.044,-114.135,-156.030
0.032,5.337,3.650,3.650,87.221,-114.205,-156.144
0.034,5.541,3.670,3.670,87.377,-114.276,-156.256
0.035,5.726,3.690,3.690,87.512,-114.345,-156.362
0.037,5.893,3.708,3.708,87.629,-114.411,-156.461
0.038,6.041,3.722,3.722,87.728,-114.472,-156.552
0.040,6.169,3.730,3.730,87.811,-114.526,-156.634
0.041,6.277,3.732,3.732,87.878,-114.569,-156.705
0.042,6.362,3.727,3.727,87.932,-114.602,-156.763
0.044,6.425,3.718,3.718,87.973,-114.620,-156.808
0.045,6.467,3.705,3.705,88.003,-114.623,-156.836
0.047,6.494,3.693,3.693,88.022,-114.607,-156.848
0.048,6.528,3.681,3.681,88.033,-114.576,-156.844
0.049,6.572,3.674,3.674,88.037,-114.535,-156.829
0.051,6.619,3.672,3.672,88.038,-114.492,-156.808
0.052,6.662,3.677,3.677,88.037,-114.455,-156.786
0.054,6.690,3.686,3.686,88.037,-114.432,-156.770
0.055,6.698,3.698,3.698,88.040,-114.430,-156.763
0.056,6.727,3.709,3.709,88.048,-114.457,-156.772
0.058,6.799,3.718,3.718,88.064,-114.521,-156.802
0.059,6.923,3.722,3.722,88.091,-114.628,-156.858
0.061,7.109,3.718,3.718,88.130,-114.788,-156.945
0.062,7.366,3.707,3.707,88.184,-115.006,-157.069
0.064,7.693,3.692,3.692,88.253,-115.283,-157.229
0.065,8.076,3.679,3.679,88.333,-115.606,-157.418
0.066,8.501,3.673,3.673,88.422,-115.964,-157.629
0.068,8.954,3.679,3.679,88.518,-116.345,-157.854
0.069,9.420,3.704,3.704,88.615,-116.737,-158.087
0.071,9.886,3.752,3.752,88.713,-117.129,-158.319
0.072,10.336,3.826,3.826,88.807,-117.507,-158.545
0.073,10.757,3.922,3.922,88.895,-117.861,-158.755
0.075,11.134,4.031,4.031,88.973,-118.178,-158.943
0.076,11.454,4.145,4.145,89.039,-118.447,-159.102
0.078,11.701,4.256,4.256,89.089,-118.657,-159.225
0.079,11.875,4.356,4.356,89.123,-118.805,-159.310
0.081,11.984,4.435,4.435,89.144,-118.898,-159.362
0.082,12.038,4.488,4.488,89.153,-118.945,-159.386
0.083,12.046,4.515,4.515,89.152,-118.953,-159.387
0.085,12.076,4.521,4.521,89.144,-118.928,-159.370
0.086,12.136,4.511,4.511,89.131,-118.880,-159.338
0.088,12.214,4.490,4.490,89.114,-118.815,-159.298
0.089,12.303,4.462,4.462,89.096,-118.740,-159.254
0.090,12.392,4.433,4.433,89.079,-118.664,-159.210
0.092,12.474,4.407,4.407,89.065,-118.594,-159.171
0.093,12.539,4.387,4.387,89.056,-118.536,-159.142
0.095,12.584,4.371,4.371,89.052,-118.495,-159.124
0.096,12.612,4.360,4.360,89.053,-118.468,-159.114
0.097,12.623,4.354,4.354,89.056,-118.458,-159.112
0.099,12.631,4.352,4.352,89.062,-118.463,-159.116
0.100,12.654,4.355,4.355,89.068,-118.483,-159.124
0.102,12.691,4.363,4.363,89.074,-118.519,-159.134
0.103,12.743,4.375,4.375,89.079,-118.569,-159.144
0.105,12.810,4.392,4.392,89.082,-118.635,-159.153
