"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.784,2.784,223.941,211.205,205.733
0.001,0.051,2.811,2.811,223.926,211.215,205.780
0.003,0.101,2.838,2.838,223.912,211.226,205.827
0.004,0.149,2.862,2.862,223.898,211.237,205.872
0.006,0.195,2.883,2.883,223.885,211.248,205.914
0.007,0.238,2.898,2.898,223.873,211.260,205.954
0.009,0.277,2.908,2.908,223.863,211.273,205.989
0.010,0.311,2.910,2.910,223.854,211.286,206.019
0.012,0.340,2.904,2.904,223.847,211.300,206.044
0.013,0.365,2.891,2.891,223.842,211.315,206.063
0.014,0.385,2.874,2.874,223.839,211.332,206.074
0.016,0.402,2.853,2.853,223.839,211.349,206.077
0.017,0.422,2.830,2.830,223.842,211.368,206.071
0.019,0.447,2.808,2.808,223.848,211.388,206.057
0.020,0.475,2.789,2.789,223.855,211.408,206.039
0.022,0.502,2.772,2.772,223.862,211.425,206.019
0.023,0.525,2.760,2.760,223.868,211.440,206.003
0.025,0.540,2.753,2.753,223.872,211.450,205.992
0.026,0.544,2.750,2.750,223.872,211.454,205.993
0.027,0.559,2.752,2.752,223.867,211.450,206.007
0.029,0.595,2.760,2.760,223.857,211.438,206.039
0.030,0.656,2.773,2.773,223.838,211.416,206.092
0.032,0.745,2.793,2.793,223.812,211.381,206.170
0.033,0.868,2.820,2.820,223.775,211.334,206.277
0.035,1.028,2.858,2.858,223.727,211.273,206.417
0.036,1.223,2.907,2.907,223.669,211.198,206.587
0.038,1.446,2.971,2.971,223.602,211.112,206.782
0.039,1.690,3.051,3.051,223.529,211.019,206.996
0.041,1.949,3.150,3.150,223.452,210.921,207.223
0.042,2.216,3.266,3.266,223.372,210.821,207.456
0.043,2.482,3.393,3.393,223.292,210.721,207.691
0.045,2.743,3.521,3.521,223.214,210.625,207.920
0.046,2.991,3.642,3.642,223.140,210.535,208.139
0.048,3.218,3.746,3.746,223.072,210.455,208.340
0.049,3.418,3.826,3.826,223.012,210.387,208.519
0.051,3.585,3.871,3.871,222.962,210.333,208.668
0.052,3.712,3.878,3.878,222.924,210.297,208.784
0.054,3.802,3.853,3.853,222.897,210.276,208.868
0.055,3.861,3.808,3.808,222.880,210.266,208.923
0.056,3.893,3.752,3.752,222.871,210.265,208.954
0.058,3.904,3.694,3.694,222.869,210.268,208.964
0.059,3.912,3.646,3.646,222.872,210.273,208.957
0.061,3.933,3.618,3.618,222.879,210.275,208.937
0.062,3.963,3.614,3.614,222.888,210.271,208.909
0.064,4.001,3.634,3.634,222.897,210.259,208.875
0.065,4.045,3.670,3.670,222.906,210.233,208.840
0.067,4.098,3.718,3.718,222.912,210.192,208.807
0.068,4.165,3.772,3.772,222.915,210.131,208.781
0.069,4.249,3.828,3.828,222.913,210.048,208.765
0.071,4.350,3.880,3.880,222.907,209.948,208.756
0.072,4.465,3.924,3.924,222.897,209.833,208.755
0.074,4.591,3.961,3.961,222.885,209.708,208.761
0.075,4.724,3.993,3.993,222.872,209.576,208.771
0.077,4.859,4.019,4.019,222.858,209.442,208.785
0.078,4.994,4.042,4.042,222.845,209.308,208.803
0.080,5.125,4.061,4.061,222.833,209.180,208.821
0.081,5.246,4.080,4.080,222.822,209.061,208.841
0.082,5.354,4.097,4.097,222.815,208.955,208.860
0.084,5.446,4.114,4.114,222.811,208.865,208.877
0.085,5.517,4.128,4.128,222.812,208.795,208.891
0.087,5.566,4.141,4.141,222.818,208.747,208.902
0.088,5.598,4.151,4.151,222.826,208.717,208.910
0.090,5.617,4.158,4.158,222.837,208.703,208.915
0.091,5.628,4.162,4.162,222.847,208.701,208.918
0.093,5.640,4.161,4.161,222.856,208.709,208.919
0.094,5.656,4.159,4.159,222.862,208.724,208.917
0.096,5.675,4.155,4.155,222.865,208.743,208.915
0.097,5.696,4.150,4.150,222.861,208.763,208.910
0.098,5.717,4.146,4.146,222.851,208.780,208.905
0.100,5.740,4.144,4.144,222.832,208.793,208.899
0.101,5.770,4.145,4.145,222.804,208.798,208.892
0.103,5.811,4.149,4.149,222.764,208.793,208.886
0.104,5.863,4.156,4.156,222.715,208.776,208.879
0.106,5.927,4.165,4.165,222.658,208.749,208.874
0.107,5.999,4.176,4.176,222.597,208.710,208.869
0.109,6.079,4.186,4.186,222.534,208.661,208.867
0.110,6.164,4.196,4.196,222.472,208.602,208.868
0.111,6.255,4.205,4.205,222.414,208.533,208.871
0.113,6.350,4.213,4.213,222.361,208.454,208.878
0.114,6.449,4.220,4.220,222.318,208.366,208.889
0.116,6.553,4.227,4.227,222.286,208.268,208.905
0.117,6.662,4.235,4.235,222.269,208.162,208.927
0.119,6.781,4.245,4.245,222.268,208.047,208.954
0.120,6.909,4.258,4.258,222.286,207.924,208.988
0.122,7.049,4.276,4.276,222.320,207.794,209.026
0.123,7.199,4.297,4.297,222.367,207.658,209.067
0.124,7.357,4.321,4.321,222.425,207.518,209.110
0.126,7.520,4.346,4.346,222.491,207.374,209.152
0.127,7.687,4.371,4.371,222.561,207.228,209.193
0.129,7.854,4.394,4.394,222.633,207.082,209.230
0.130,8.019,4.414,4.414,222.703,206.937,209.262
0.132,8.179,4.428,4.428,222.769,206.793,209.288
0.133,8.332,4.438,4.438,222.828,206.652,209.305
0.135,8.477,4.442,4.442,222.876,206.516,209.312
0.136,8.612,4.444,4.444,222.910,206.386,209.308
0.137,8.739,4.443,4.443,222.930,206.262,209.291
0.139,8.859,4.441,4.441,222.937,206.144,209.264
0.140,8.975,4.440,4.440,222.933,206.034,209.229
0.142,9.088,4.440,4.440,222.919,205.930,209.187
0.143,9.198,4.443,4.443,222.897,205.833,209.141
0.145,9.304,4.446,4.446,222.869,205.743,209.092
0.146,9.406,4.451,4.451,222.837,205.660,209.043
0.148,9.503,4.454,4.454,222.802,205.583,208.995
0.149,9.593,4.457,4.457,222.766,205.514,208.949
0.151,9.675,4.457,4.457,222.731,205.452,208.909
0.152,9.746,4.455,4.455,222.699,205.397,208.876
0.153,9.807,4.449,4.449,222.672,205.349,208.851
0.155,9.857,4.441,4.441,222.649,205.307,208.836
0.156,9.898,4.432,4.432,222.630,205.271,208.827
0.158,9.934,4.423,4.423,222.616,205.239,208.823
0.159,9.965,4.416,4.416,222.606,205.210,208.823
0.161,9.993,4.410,4.410,222.598,205.183,208.825
0.162,10.020,4.408,4.408,222.594,205.156,208.828
0.164,10.048,4.409,4.409,222.592,205.129,208.829
0.165,10.077,4.414,4.414,222.592,205.099,208.827
0.166,10.110,4.421,4.421,222.594,205.067,208.821
0.168,10.148,4.429,4.429,222.597,205.031,208.809
0.169,10.195,4.439,4.439,222.600,204.989,208.788
0.171,10.251,4.449,4.449,222.604,204.941,208.759
0.172,10.317,4.459,4.459,222.608,204.887,208.722
0.174,10.390,4.468,4.468,222.612,204.826,208.682
0.175,10.469,4.474,4.474,222.615,204.759,208.640
0.177,10.553,4.477,4.477,222.616,204.686,208.600
0.178,10.639,4.475,4.475,222.617,204.606,208.565
0.179,10.729,4.467,4.467,222.615,204.521,208.538
0.181,10.821,4.452,4.452,222.611,204.431,208.521
0.182,10.917,4.428,4.428,222.604,204.335,208.518
0.184,11.020,4.397,4.397,222.594,204.234,208.532
0.185,11.132,4.362,4.362,222.581,204.127,208.566
0.187,11.258,4.325,4.325,222.564,204.016,208.622
0.188,11.401,4.292,4.292,222.543,203.900,208.703
0.190,11.561,4.264,4.264,222.518,203.779,208.805
0.191,11.735,4.247,4.247,222.490,203.656,208.925
0.192,11.923,4.242,4.242,222.458,203.529,209.060
0.194,12.121,4.251,4.251,222.423,203.401,209.207
0.195,12.327,4.269,4.269,222.385,203.271,209.363
0.197,12.538,4.291,4.291,222.344,203.141,209.523
0.198,12.751,4.313,4.313,222.301,203.011,209.687
0.200,12.963,4.329,4.329,222.256,202.882,209.849
0.201,13.172,4.335,4.335,222.209,202.754,210.006
0.203,13.374,4.327,4.327,222.161,202.629,210.157
0.204,13.566,4.304,4.304,222.111,202.506,210.297
0.205,13.750,4.272,4.272,222.058,202.385,210.425
0.207,13.927,4.236,4.236,222.003,202.266,210.543
0.208,14.100,4.205,4.205,221.944,202.145,210.653
0.210,14.274,4.182,4.182,221.879,202.021,210.756
0.211,14.451,4.175,4.175,221.808,201.892,210.853
0.213,14.633,4.190,4.190,221.729,201.757,210.947
0.214,14.825,4.228,4.228,221.642,201.613,211.040
0.216,15.030,4.287,4.287,221.544,201.459,211.131
0.217,15.249,4.363,4.363,221.435,201.293,211.225
0.219,15.487,4.453,4.453,221.313,201.113,211.321
0.220,15.745,4.553,4.553,221.178,200.917,211.421
0.221,16.025,4.662,4.662,221.029,200.705,211.528
0.223,16.326,4.774,4.774,220.867,200.478,211.639
0.224,16.640,4.889,4.889,220.696,200.240,211.754
0.226,16.962,5.004,5.004,220.518,199.998,211.871
0.227,17.286,5.118,5.118,220.338,199.755,211.986
0.229,17.607,5.229,5.229,220.158,199.515,212.099
0.230,17.917,5.337,5.337,219.982,199.284,212.208
0.232,18.211,5.440,5.440,219.813,199.066,212.311
0.233,18.484,5.536,5.536,219.654,198.865,212.405
0.234,18.729,5.625,5.625,219.509,198.687,212.489
