"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.528,3.528,238.648,252.248,256.109
0.002,0.334,3.558,3.558,238.819,252.533,256.081
0.003,0.665,3.590,3.590,238.989,252.816,256.054
0.005,0.992,3.627,3.627,239.157,253.095,256.027
0.006,1.313,3.671,3.671,239.321,253.369,255.999
0.008,1.625,3.723,3.723,239.481,253.636,255.973
0.009,1.926,3.787,3.787,239.636,253.893,255.946
0.011,2.214,3.865,3.865,239.784,254.139,255.920
0.012,2.488,3.955,3.955,239.924,254.372,255.895
0.014,2.744,4.053,4.053,240.056,254.591,255.871
0.015,2.980,4.154,4.154,240.177,254.792,255.847
0.017,3.196,4.253,4.253,240.288,254.975,255.824
0.018,3.387,4.345,4.345,240.387,255.138,255.802
0.020,3.553,4.425,4.425,240.472,255.279,255.781
0.021,3.693,4.487,4.487,240.544,255.397,255.761
0.023,3.809,4.534,4.534,240.604,255.495,255.744
0.024,3.905,4.568,4.568,240.651,255.577,255.728
0.026,3.983,4.595,4.595,240.688,255.645,255.716
0.027,4.047,4.618,4.618,240.715,255.702,255.708
0.029,4.098,4.641,4.641,240.733,255.750,255.704
0.030,4.142,4.668,4.668,240.744,255.793,255.704
0.032,4.183,4.703,4.703,240.747,255.833,255.710
0.033,4.225,4.743,4.743,240.744,255.873,255.723
0.035,4.273,4.786,4.786,240.736,255.916,255.741
0.036,4.330,4.829,4.829,240.723,255.966,255.768
0.038,4.399,4.871,4.871,240.708,256.023,255.802
0.040,4.482,4.908,4.908,240.690,256.092,255.844
0.041,4.578,4.939,4.939,240.670,256.172,255.893
0.043,4.685,4.963,4.963,240.647,256.262,255.948
0.044,4.801,4.983,4.983,240.621,256.359,256.005
0.046,4.923,5.003,5.003,240.592,256.462,256.063
0.047,5.048,5.027,5.027,240.560,256.570,256.119
0.049,5.175,5.057,5.057,240.525,256.680,256.171
0.050,5.302,5.096,5.096,240.485,256.791,256.218
0.052,5.427,5.149,5.149,240.442,256.902,256.256
0.053,5.548,5.211,5.211,240.394,257.009,256.284
0.055,5.665,5.277,5.277,240.341,257.113,256.300
0.056,5.779,5.341,5.341,240.283,257.210,256.300
0.058,5.890,5.399,5.399,240.221,257.300,256.284
0.059,6.000,5.443,5.443,240.153,257.381,256.251
0.061,6.112,5.469,5.469,240.082,257.454,256.205
0.062,6.221,5.473,5.473,240.011,257.519,256.153
0.064,6.325,5.461,5.461,239.943,257.577,256.101
0.065,6.418,5.437,5.437,239.879,257.629,256.056
0.067,6.499,5.407,5.407,239.822,257.676,256.024
0.068,6.563,5.377,5.377,239.776,257.718,256.012
0.070,6.616,5.353,5.353,239.741,257.757,256.025
0.071,6.677,5.341,5.341,239.722,257.793,256.070
0.073,6.767,5.340,5.340,239.720,257.827,256.154
0.074,6.901,5.345,5.345,239.738,257.859,256.282
0.076,7.088,5.353,5.353,239.779,257.891,256.462
0.078,7.336,5.357,5.357,239.845,257.924,256.699
0.079,7.645,5.353,5.353,239.936,257.958,256.993
0.081,8.008,5.334,5.334,240.048,257.997,257.335
0.082,8.412,5.299,5.299,240.179,258.042,257.715
0.084,8.850,5.248,5.248,240.325,258.096,258.124
0.085,9.311,5.190,5.190,240.483,258.161,258.553
0.087,9.785,5.130,5.130,240.648,258.240,258.990
0.088,10.264,5.074,5.074,240.817,258.335,259.428
0.090,10.738,5.030,5.030,240.988,258.448,259.856
0.091,11.200,5.003,5.003,241.155,258.583,260.264
0.093,11.641,4.997,4.997,241.317,258.740,260.643
0.094,12.057,5.012,5.012,241.469,258.923,260.984
0.096,12.443,5.044,5.044,241.608,259.134,261.276
0.097,12.802,5.093,5.093,241.731,259.375,261.512
0.099,13.142,5.156,5.156,241.838,259.643,261.692
0.100,13.474,5.231,5.231,241.934,259.933,261.822
0.102,13.804,5.317,5.317,242.021,260.239,261.910
0.103,14.136,5.410,5.410,242.102,260.557,261.962
0.105,14.470,5.510,5.510,242.180,260.881,261.985
0.106,14.805,5.613,5.613,242.259,261.206,261.985
0.108,15.136,5.718,5.718,242.342,261.526,261.968
0.109,15.461,5.823,5.823,242.431,261.837,261.942
0.111,15.775,5.925,5.925,242.531,262.133,261.913
0.112,16.074,6.022,6.022,242.644,262.410,261.888
0.114,16.356,6.114,6.114,242.773,262.660,261.873
0.116,16.622,6.198,6.198,242.922,262.880,261.874
0.117,16.875,6.275,6.275,243.093,263.066,261.897
0.119,17.123,6.343,6.343,243.281,263.221,261.939
