"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.271,2.271,-24.723,117.311,162.991
0.001,0.288,2.369,2.369,-24.486,117.474,162.961
0.003,0.575,2.467,2.467,-24.251,117.635,162.932
0.004,0.858,2.566,2.566,-24.019,117.794,162.902
0.005,1.135,2.667,2.667,-23.792,117.949,162.872
0.006,1.404,2.769,2.769,-23.571,118.101,162.841
0.008,1.664,2.873,2.873,-23.359,118.246,162.811
0.009,1.912,2.979,2.979,-23.155,118.386,162.780
0.010,2.148,3.089,3.089,-22.963,118.518,162.749
0.012,2.368,3.201,3.201,-22.783,118.641,162.718
0.013,2.571,3.314,3.314,-22.617,118.754,162.686
0.014,2.755,3.424,3.424,-22.467,118.856,162.654
0.016,2.919,3.530,3.530,-22.335,118.947,162.621
0.017,3.062,3.630,3.630,-22.220,119.026,162.588
0.018,3.186,3.720,3.720,-22.121,119.093,162.555
0.019,3.293,3.798,3.798,-22.038,119.151,162.524
0.021,3.384,3.863,3.863,-21.967,119.201,162.494
0.022,3.461,3.913,3.913,-21.909,119.242,162.467
0.023,3.524,3.950,3.950,-21.861,119.278,162.443
0.025,3.577,3.977,3.977,-21.823,119.308,162.423
0.026,3.620,3.996,3.996,-21.793,119.334,162.408
0.027,3.654,4.008,4.008,-21.769,119.358,162.398
0.028,3.683,4.016,4.016,-21.751,119.379,162.395
0.030,3.708,4.022,4.022,-21.736,119.400,162.398
0.031,3.735,4.028,4.028,-21.724,119.421,162.408
0.032,3.764,4.035,4.035,-21.714,119.442,162.425
0.034,3.795,4.043,4.043,-21.706,119.463,162.446
0.035,3.828,4.052,4.052,-21.700,119.483,162.472
0.036,3.863,4.061,4.061,-21.696,119.503,162.500
0.037,3.898,4.071,4.071,-21.694,119.521,162.530
0.039,3.931,4.082,4.082,-21.692,119.537,162.560
0.040,3.963,4.092,4.092,-21.693,119.551,162.589
0.041,3.992,4.103,4.103,-21.694,119.562,162.615
0.043,4.016,4.113,4.113,-21.696,119.570,162.638
0.044,4.035,4.123,4.123,-21.700,119.575,162.656
0.045,4.047,4.133,4.133,-21.704,119.575,162.667
0.047,4.055,4.141,4.141,-21.708,119.572,162.673
0.048,4.062,4.147,4.147,-21.712,119.567,162.673
0.049,4.070,4.152,4.152,-21.716,119.560,162.670
0.050,4.080,4.155,4.155,-21.718,119.552,162.665
0.052,4.088,4.155,4.155,-21.718,119.546,162.659
0.053,4.095,4.154,4.154,-21.714,119.541,162.655
0.054,4.103,4.152,4.152,-21.708,119.540,162.652
0.056,4.114,4.150,4.150,-21.697,119.543,162.654
0.057,4.133,4.149,4.149,-21.682,119.551,162.661
0.058,4.162,4.150,4.150,-21.661,119.566,162.675
0.059,4.204,4.154,4.154,-21.634,119.588,162.698
0.061,4.260,4.161,4.161,-21.600,119.619,162.730
0.062,4.329,4.173,4.173,-21.560,119.659,162.771
0.063,4.411,4.189,4.189,-21.514,119.705,162.820
0.065,4.503,4.209,4.209,-21.464,119.757,162.877
0.066,4.603,4.232,4.232,-21.410,119.814,162.940
0.067,4.710,4.258,4.258,-21.353,119.874,163.007
0.068,4.822,4.287,4.287,-21.294,119.937,163.079
0.070,4.938,4.319,4.319,-21.233,120.000,163.153
0.071,5.054,4.354,4.354,-21.171,120.064,163.229
0.072,5.171,4.390,4.390,-21.110,120.126,163.306
0.074,5.285,4.427,4.427,-21.049,120.185,163.382
0.075,5.395,4.464,4.464,-20.990,120.241,163.457
0.076,5.501,4.501,4.501,-20.933,120.293,163.529
