"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.976,1.976,285.690,211.546,244.911
0.001,0.075,1.997,1.997,285.694,211.515,244.842
0.003,0.151,2.017,2.017,285.699,211.484,244.774
0.004,0.227,2.036,2.036,285.704,211.454,244.704
0.005,0.303,2.056,2.056,285.711,211.423,244.634
0.006,0.381,2.075,2.075,285.719,211.394,244.563
0.008,0.459,2.094,2.094,285.728,211.365,244.491
0.009,0.540,2.112,2.112,285.739,211.336,244.416
0.010,0.622,2.129,2.129,285.753,211.309,244.340
0.011,0.706,2.146,2.146,285.770,211.283,244.261
0.013,0.794,2.162,2.162,285.790,211.258,244.180
0.014,0.884,2.178,2.178,285.813,211.234,244.096
0.015,0.977,2.193,2.193,285.839,211.212,244.009
0.016,1.075,2.209,2.209,285.870,211.192,243.919
0.018,1.177,2.225,2.225,285.905,211.173,243.825
0.019,1.283,2.242,2.242,285.944,211.156,243.729
0.020,1.390,2.259,2.259,285.986,211.140,243.631
0.022,1.498,2.277,2.277,286.029,211.126,243.532
0.023,1.606,2.295,2.295,286.073,211.113,243.435
0.024,1.713,2.314,2.314,286.118,211.101,243.339
0.025,1.817,2.334,2.334,286.163,211.091,243.246
0.027,1.917,2.353,2.353,286.206,211.081,243.156
0.028,2.011,2.373,2.373,286.247,211.072,243.072
0.029,2.099,2.392,2.392,286.286,211.064,242.993
0.030,2.179,2.411,2.411,286.321,211.057,242.922
0.032,2.249,2.429,2.429,286.351,211.050,242.858
0.033,2.310,2.446,2.446,286.376,211.044,242.804
0.034,2.359,2.463,2.463,286.396,211.038,242.759
0.035,2.399,2.478,2.478,286.411,211.033,242.722
0.037,2.432,2.493,2.493,286.423,211.028,242.692
0.038,2.460,2.505,2.505,286.433,211.024,242.666
0.039,2.486,2.517,2.517,286.442,211.021,242.642
0.041,2.510,2.526,2.526,286.452,211.018,242.620
0.042,2.536,2.534,2.534,286.464,211.017,242.597
0.043,2.566,2.541,2.541,286.479,211.016,242.572
0.044,2.601,2.547,2.547,286.499,211.017,242.542
