"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.498,1.498,222.076,224.178,195.462
0.001,0.287,1.657,1.657,222.275,223.992,195.555
0.003,0.572,1.816,1.816,222.472,223.808,195.647
0.004,0.853,1.972,1.972,222.666,223.626,195.737
0.005,1.127,2.124,2.124,222.855,223.448,195.826
0.006,1.393,2.272,2.272,223.038,223.276,195.912
0.008,1.648,2.413,2.413,223.214,223.111,195.994
0.009,1.889,2.547,2.547,223.381,222.955,196.072
0.010,2.116,2.672,2.672,223.537,222.808,196.145
0.011,2.325,2.787,2.787,223.682,222.673,196.213
0.013,2.515,2.893,2.893,223.812,222.550,196.275
0.014,2.683,2.988,2.988,223.928,222.441,196.329
0.015,2.827,3.072,3.072,224.027,222.347,196.376
0.017,2.945,3.145,3.145,224.108,222.270,196.415
0.018,3.036,3.208,3.208,224.170,222.211,196.445
0.019,3.102,3.259,3.259,224.214,222.168,196.467
0.020,3.146,3.298,3.298,224.244,222.139,196.483
0.022,3.170,3.326,3.326,224.260,222.123,196.491
0.023,3.177,3.344,3.344,224.264,222.118,196.495
0.024,3.184,3.353,3.353,224.258,222.122,196.493
0.025,3.203,3.355,3.355,224.245,222.133,196.488
0.027,3.229,3.352,3.352,224.226,222.150,196.481
0.028,3.262,3.345,3.345,224.203,222.171,196.471
0.029,3.298,3.335,3.335,224.177,222.194,196.459
0.030,3.334,3.324,3.324,224.152,222.217,196.448
0.032,3.368,3.314,3.314,224.129,222.240,196.437
0.033,3.398,3.304,3.304,224.109,222.259,196.427
0.034,3.420,3.296,3.296,224.094,222.273,196.419
0.036,3.436,3.288,3.288,224.083,222.284,196.414
0.037,3.446,3.283,3.283,224.077,222.291,196.410
0.038,3.452,3.279,3.279,224.074,222.295,196.407
0.039,3.453,3.278,3.278,224.075,222.296,196.407
0.041,3.456,3.279,3.279,224.078,222.294,196.407
0.042,3.463,3.282,3.282,224.083,222.290,196.410
0.043,3.472,3.288,3.288,224.089,222.285,196.413
0.044,3.483,3.296,3.296,224.096,222.278,196.418
0.046,3.496,3.305,3.305,224.104,222.270,196.425
0.047,3.510,3.315,3.315,224.112,222.261,196.432
0.048,3.524,3.325,3.325,224.120,222.252,196.440
0.050,3.538,3.335,3.335,224.126,222.243,196.449
0.051,3.552,3.345,3.345,224.131,222.235,196.459
0.052,3.566,3.355,3.355,224.135,222.227,196.470
0.053,3.579,3.363,3.363,224.137,222.220,196.480
0.055,3.591,3.370,3.370,224.139,222.213,196.490
0.056,3.602,3.376,3.376,224.139,222.207,196.500
0.057,3.612,3.381,3.381,224.139,222.202,196.508
0.058,3.621,3.384,3.384,224.138,222.198,196.516
0.060,3.627,3.385,3.385,224.137,222.195,196.521
0.061,3.632,3.384,3.384,224.135,222.193,196.525
0.062,3.635,3.382,3.382,224.133,222.192,196.526
0.064,3.637,3.378,3.378,224.131,222.193,196.525
0.065,3.642,3.373,3.373,224.129,222.195,196.521
0.066,3.651,3.367,3.367,224.126,222.198,196.513
0.067,3.663,3.361,3.361,224.124,222.203,196.502
0.069,3.677,3.355,3.355,224.122,222.208,196.490
0.070,3.692,3.350,3.350,224.121,222.214,196.476
0.071,3.706,3.346,3.346,224.119,222.220,196.463
0.072,3.719,3.343,3.343,224.118,222.225,196.451
0.074,3.729,3.341,3.341,224.118,222.229,196.442
0.075,3.736,3.341,3.341,224.117,222.232,196.436
0.076,3.736,3.343,3.343,224.117,222.232,196.435
0.078,3.742,3.346,3.346,224.118,222.230,196.440
0.079,3.756,3.351,3.351,224.119,222.224,196.453
0.080,3.778,3.359,3.359,224.121,222.215,196.473
0.081,3.810,3.368,3.368,224.123,222.202,196.503
0.083,3.854,3.380,3.380,224.126,222.184,196.543
0.084,3.910,3.394,3.394,224.129,222.162,196.593
0.085,3.974,3.410,3.410,224.134,222.136,196.652
0.086,4.046,3.428,3.428,224.138,222.107,196.718
0.088,4.125,3.447,3.447,224.143,222.075,196.789
0.089,4.207,3.468,3.468,224.149,222.041,196.864
0.090,4.292,3.490,3.490,224.155,222.006,196.941
0.091,4.377,3.514,3.514,224.161,221.970,197.018
0.093,4.461,3.539,3.539,224.168,221.935,197.094
0.094,4.542,3.564,3.564,224.175,221.899,197.167
0.095,4.619,3.588,3.588,224.182,221.866,197.236
0.097,4.690,3.612,3.612,224.190,221.834,197.298
0.098,4.752,3.634,3.634,224.198,221.804,197.352
0.099,4.804,3.655,3.655,224.205,221.778,197.397
0.100,4.847,3.672,3.672,224.213,221.755,197.432
0.102,4.880,3.687,3.687,224.221,221.736,197.459
0.103,4.905,3.697,3.697,224.228,221.721,197.477
0.104,4.922,3.704,3.704,224.234,221.709,197.487
0.105,4.932,3.706,3.706,224.240,221.702,197.491
0.107,4.939,3.704,3.704,224.246,221.699,197.490
0.108,4.947,3.698,3.698,224.250,221.700,197.483
0.109,4.960,3.686,3.686,224.253,221.706,197.472
0.111,4.978,3.669,3.669,224.255,221.716,197.457
0.112,5.001,3.647,3.647,224.255,221.731,197.440
0.113,5.028,3.620,3.620,224.253,221.751,197.421
0.114,5.061,3.591,3.591,224.250,221.776,197.400
0.116,5.098,3.563,3.563,224.245,221.806,197.379
0.117,5.138,3.538,3.538,224.238,221.840,197.359
0.118,5.178,3.517,3.517,224.231,221.875,197.340
0.119,5.216,3.505,3.505,224.224,221.909,197.323
0.121,5.250,3.503,3.503,224.218,221.939,197.310
0.122,5.276,3.513,3.513,224.214,221.963,197.300
0.123,5.293,3.534,3.534,224.212,221.979,197.295
0.125,5.299,3.561,3.561,224.215,221.985,197.296
0.126,5.312,3.591,3.591,224.222,221.977,197.304
0.127,5.342,3.619,3.619,224.235,221.954,197.319
0.128,5.393,3.641,3.641,224.253,221.913,197.343
0.130,5.466,3.652,3.652,224.279,221.853,197.375
0.131,5.566,3.648,3.648,224.313,221.770,197.418
0.132,5.694,3.626,3.626,224.356,221.662,197.472
0.133,5.847,3.586,3.586,224.408,221.532,197.535
0.135,6.023,3.533,3.533,224.469,221.383,197.606
0.136,6.219,3.470,3.470,224.540,221.217,197.681
0.137,6.429,3.401,3.401,224.621,221.039,197.759
0.139,6.651,3.331,3.331,224.713,220.852,197.837
0.140,6.882,3.263,3.263,224.815,220.659,197.913
0.141,7.119,3.202,3.202,224.927,220.464,197.985
0.142,7.359,3.152,3.152,225.051,220.270,198.050
0.144,7.598,3.112,3.112,225.186,220.080,198.107
0.145,7.837,3.082,3.082,225.333,219.898,198.152
0.146,8.072,3.060,3.060,225.491,219.726,198.184
0.147,8.304,3.045,3.045,225.662,219.570,198.201
0.149,8.534,3.036,3.036,225.845,219.430,198.200
0.150,8.765,3.030,3.030,226.039,219.308,198.182
0.151,8.999,3.027,3.027,226.245,219.201,198.148
0.152,9.238,3.027,3.027,226.460,219.108,198.101
0.154,9.483,3.028,3.028,226.684,219.028,198.041
0.155,9.736,3.035,3.035,226.917,218.960,197.970
0.156,9.996,3.050,3.050,227.157,218.901,197.890
0.158,10.263,3.074,3.074,227.404,218.851,197.801
0.159,10.536,3.111,3.111,227.656,218.809,197.705
0.160,10.815,3.162,3.162,227.913,218.772,197.604
0.161,11.099,3.230,3.230,228.175,218.740,197.500
0.163,11.386,3.317,3.317,228.440,218.710,197.393
0.164,11.675,3.421,3.421,228.707,218.683,197.285
0.165,11.965,3.539,3.539,228.975,218.656,197.178
0.166,12.255,3.668,3.668,229.243,218.629,197.072
0.168,12.541,3.805,3.805,229.508,218.601,196.968
0.169,12.822,3.947,3.947,229.769,218.573,196.866
0.170,13.095,4.091,4.091,230.022,218.544,196.768
0.172,13.359,4.234,4.234,230.266,218.513,196.674
0.173,13.610,4.372,4.372,230.499,218.480,196.585
0.174,13.847,4.505,4.505,230.718,218.445,196.501
0.175,14.068,4.630,4.630,230.922,218.408,196.424
0.177,14.271,4.746,4.746,231.108,218.368,196.353
0.178,14.454,4.851,4.851,231.274,218.325,196.290
0.179,14.615,4.944,4.944,231.418,218.279,196.235
0.180,14.752,5.024,5.024,231.537,218.229,196.190
0.182,14.867,5.089,5.089,231.631,218.174,196.153
0.183,14.962,5.137,5.137,231.702,218.116,196.125
0.184,15.044,5.171,5.171,231.753,218.055,196.105
0.186,15.117,5.194,5.194,231.786,217.991,196.092
0.187,15.187,5.209,5.209,231.805,217.925,196.085
0.188,15.255,5.218,5.218,231.812,217.857,196.084
0.189,15.325,5.225,5.225,231.810,217.787,196.086
0.191,15.396,5.232,5.232,231.802,217.717,196.092
0.192,15.469,5.243,5.243,231.791,217.645,196.101
0.193,15.542,5.259,5.259,231.779,217.574,196.111
0.194,15.614,5.281,5.281,231.770,217.503,196.122
0.196,15.686,5.307,5.307,231.767,217.433,196.133
0.197,15.756,5.338,5.338,231.772,217.363,196.144
0.198,15.826,5.372,5.372,231.787,217.296,196.153
0.199,15.896,5.407,5.407,231.811,217.230,196.160
0.201,15.968,5.445,5.445,231.844,217.166,196.166
0.202,16.042,5.483,5.483,231.884,217.105,196.172
0.203,16.117,5.520,5.520,231.930,217.046,196.177
