"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.741,1.741,231.352,196.812,221.896
0.001,0.399,1.773,1.773,231.000,196.842,221.710
0.002,0.795,1.807,1.807,230.651,196.872,221.525
0.004,1.186,1.843,1.843,230.306,196.900,221.344
0.005,1.569,1.884,1.884,229.967,196.927,221.167
0.006,1.943,1.931,1.931,229.635,196.952,220.996
0.007,2.304,1.984,1.984,229.314,196.974,220.832
0.008,2.650,2.047,2.047,229.005,196.992,220.677
0.010,2.979,2.119,2.119,228.710,197.007,220.532
0.011,3.288,2.203,2.203,228.431,197.017,220.400
0.012,3.575,2.296,2.296,228.170,197.022,220.280
0.013,3.838,2.398,2.398,227.930,197.021,220.176
0.015,4.074,2.504,2.504,227.711,197.014,220.087
0.016,4.282,2.612,2.612,227.516,197.001,220.016
0.017,4.464,2.719,2.719,227.343,196.982,219.960
0.018,4.623,2.822,2.822,227.192,196.958,219.919
0.019,4.761,2.920,2.920,227.059,196.931,219.890
0.021,4.881,3.008,3.008,226.945,196.901,219.871
0.022,4.984,3.086,3.086,226.848,196.871,219.860
0.023,5.072,3.154,3.154,226.765,196.840,219.856
0.024,5.148,3.212,3.212,226.695,196.810,219.856
0.025,5.212,3.261,3.261,226.638,196.782,219.859
0.027,5.265,3.301,3.301,226.591,196.757,219.864
0.028,5.308,3.335,3.335,226.553,196.737,219.867
0.029,5.343,3.360,3.360,226.522,196.722,219.868
0.030,5.369,3.380,3.380,226.497,196.713,219.864
0.031,5.391,3.393,3.393,226.477,196.709,219.858
0.033,5.409,3.402,3.402,226.461,196.709,219.849
0.034,5.426,3.406,3.406,226.448,196.711,219.838
0.035,5.441,3.408,3.408,226.437,196.715,219.828
0.036,5.455,3.408,3.408,226.427,196.718,219.820
0.037,5.467,3.406,3.406,226.417,196.719,219.813
0.039,5.478,3.405,3.405,226.406,196.718,219.810
0.040,5.492,3.405,3.405,226.393,196.712,219.811
0.041,5.513,3.406,3.406,226.378,196.700,219.819
0.042,5.542,3.410,3.410,226.359,196.682,219.833
0.044,5.584,3.415,3.415,226.336,196.656,219.855
0.045,5.640,3.422,3.422,226.307,196.620,219.886
0.046,5.707,3.429,3.429,226.273,196.576,219.925
0.047,5.785,3.437,3.437,226.235,196.524,219.969
