"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.745,2.745,211.841,188.875,180.238
0.001,0.289,2.883,2.883,212.026,188.704,180.379
0.003,0.575,3.020,3.020,212.210,188.535,180.518
0.004,0.858,3.153,3.153,212.392,188.368,180.655
0.005,1.134,3.281,3.281,212.571,188.205,180.788
0.007,1.402,3.403,3.403,212.747,188.047,180.915
0.008,1.660,3.517,3.517,212.917,187.895,181.036
0.009,1.906,3.622,3.622,213.081,187.751,181.149
0.010,2.138,3.715,3.715,213.239,187.616,181.252
0.012,2.354,3.796,3.796,213.388,187.491,181.344
0.013,2.552,3.867,3.867,213.529,187.377,181.425
0.014,2.730,3.929,3.929,213.659,187.275,181.492
0.016,2.887,3.984,3.984,213.779,187.188,181.544
0.017,3.024,4.033,4.033,213.888,187.114,181.582
0.018,3.143,4.077,4.077,213.987,187.052,181.607
0.020,3.247,4.120,4.120,214.076,187.002,181.622
0.021,3.337,4.161,4.161,214.156,186.962,181.627
0.022,3.415,4.201,4.201,214.228,186.931,181.625
0.024,3.485,4.240,4.240,214.293,186.907,181.618
0.025,3.546,4.277,4.277,214.352,186.890,181.607
0.026,3.602,4.312,4.312,214.404,186.879,181.593
0.027,3.651,4.344,4.344,214.451,186.872,181.580
0.029,3.696,4.372,4.372,214.494,186.867,181.568
0.030,3.735,4.396,4.396,214.532,186.865,181.559
0.031,3.771,4.415,4.415,214.568,186.863,181.555
0.033,3.803,4.430,4.430,214.600,186.863,181.555
0.034,3.832,4.441,4.441,214.629,186.863,181.558
0.035,3.858,4.448,4.448,214.654,186.863,181.564
0.037,3.882,4.452,4.452,214.676,186.865,181.572
0.038,3.903,4.453,4.453,214.695,186.866,181.581
0.039,3.921,4.451,4.451,214.710,186.869,181.592
0.041,3.937,4.447,4.447,214.721,186.872,181.602
0.042,3.950,4.442,4.442,214.729,186.875,181.613
0.043,3.961,4.435,4.435,214.732,186.879,181.622
0.044,3.970,4.428,4.428,214.733,186.883,181.630
0.046,3.978,4.421,4.421,214.729,186.888,181.635
0.047,3.987,4.413,4.413,214.722,186.893,181.639
0.048,3.996,4.407,4.407,214.714,186.897,181.641
0.050,4.005,4.402,4.402,214.707,186.900,181.642
0.051,4.012,4.399,4.399,214.700,186.902,181.641
0.052,4.016,4.399,4.399,214.696,186.903,181.641
0.054,4.017,4.400,4.400,214.696,186.901,181.640
0.055,4.024,4.404,4.404,214.702,186.897,181.640
0.056,4.039,4.411,4.411,214.714,186.890,181.640
0.058,4.062,4.420,4.420,214.735,186.880,181.642
0.059,4.096,4.432,4.432,214.766,186.866,181.646
0.060,4.141,4.446,4.446,214.807,186.848,181.651
