"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.632,2.632,187.289,206.132,201.242
0.002,0.289,2.766,2.766,187.140,206.235,201.467
0.003,0.576,2.900,2.900,186.991,206.338,201.689
0.005,0.857,3.032,3.032,186.845,206.440,201.907
0.007,1.130,3.163,3.163,186.703,206.540,202.117
0.008,1.391,3.291,3.291,186.567,206.638,202.318
0.010,1.640,3.416,3.416,186.438,206.733,202.508
0.011,1.872,3.537,3.537,186.317,206.825,202.683
0.013,2.085,3.652,3.652,186.206,206.913,202.842
0.015,2.277,3.756,3.756,186.106,206.997,202.983
0.016,2.444,3.847,3.847,186.018,207.075,203.102
0.018,2.586,3.920,3.920,185.944,207.148,203.198
0.020,2.699,3.972,3.972,185.885,207.215,203.269
0.021,2.786,3.999,3.999,185.841,207.275,203.313
0.023,2.851,4.005,4.005,185.810,207.329,203.334
0.024,2.903,3.995,3.995,185.787,207.375,203.338
0.026,2.947,3.977,3.977,185.769,207.414,203.326
0.028,2.988,3.957,3.957,185.753,207.445,203.305
0.029,3.029,3.943,3.943,185.735,207.468,203.278
0.031,3.069,3.940,3.940,185.711,207.483,203.249
0.033,3.112,3.951,3.951,185.679,207.490,203.222
0.034,3.161,3.971,3.971,185.635,207.487,203.201
0.036,3.223,3.998,3.998,185.574,207.476,203.190
0.038,3.305,4.025,4.025,185.495,207.456,203.195
0.039,3.414,4.050,4.050,185.392,207.426,203.218
0.041,3.552,4.069,4.069,185.268,207.387,203.260
0.042,3.714,4.078,4.078,185.124,207.340,203.319
0.044,3.895,4.083,4.083,184.967,207.286,203.390
0.046,4.089,4.086,4.086,184.800,207.226,203.471
0.047,4.292,4.092,4.092,184.628,207.162,203.558
0.049,4.498,4.105,4.105,184.456,207.094,203.648
0.051,4.701,4.128,4.128,184.287,207.024,203.737
0.052,4.896,4.164,4.164,184.127,206.953,203.822
0.054,5.077,4.208,4.208,183.980,206.882,203.900
0.055,5.239,4.255,4.255,183.850,206.812,203.966
0.057,5.377,4.299,4.299,183.741,206.745,204.019
0.059,5.487,4.335,4.335,183.659,206.681,204.054
0.060,5.572,4.357,4.357,183.601,206.622,204.073
0.062,5.638,4.361,4.361,183.562,206.569,204.078
0.064,5.689,4.349,4.349,183.538,206.524,204.074
0.065,5.730,4.327,4.327,183.525,206.487,204.064
0.067,5.762,4.300,4.300,183.516,206.459,204.050
0.069,5.785,4.275,4.275,183.507,206.443,204.037
0.070,5.802,4.257,4.257,183.492,206.439,204.028
0.072,5.828,4.252,4.252,183.468,206.448,204.027
0.073,5.875,4.257,4.257,183.429,206.473,204.036
0.075,5.950,4.270,4.270,183.370,206.513,204.060
0.077,6.060,4.284,4.284,183.286,206.570,204.101
0.078,6.209,4.294,4.294,183.173,206.646,204.163
0.080,6.394,4.296,4.296,183.034,206.737,204.244
0.082,6.609,4.285,4.285,182.873,206.841,204.339
0.083,6.845,4.260,4.260,182.695,206.955,204.446
0.085,7.097,4.225,4.225,182.505,207.075,204.560
0.086,7.358,4.183,4.183,182.308,207.198,204.679
0.088,7.621,4.138,4.138,182.108,207.321,204.797
0.090,7.880,4.094,4.094,181.910,207.440,204.913
0.091,8.126,4.055,4.055,181.719,207.553,205.021
0.093,8.355,4.023,4.023,181.540,207.655,205.119
0.095,8.558,3.997,3.997,181.377,207.745,205.202
0.096,8.730,3.978,3.978,181.236,207.818,205.267
0.098,8.866,3.964,3.964,181.120,207.872,205.312
0.100,8.969,3.955,3.955,181.027,207.909,205.338
0.101,9.045,3.951,3.951,180.955,207.932,205.348
0.103,9.100,3.951,3.951,180.902,207.942,205.344
0.104,9.139,3.954,3.954,180.865,207.942,205.330
