"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.222,2.222,271.949,248.313,248.541
0.001,0.355,2.395,2.395,271.679,248.098,248.624
0.003,0.707,2.564,2.564,271.411,247.885,248.706
0.004,1.050,2.726,2.726,271.150,247.677,248.787
0.006,1.383,2.877,2.877,270.897,247.476,248.864
0.007,1.699,3.014,3.014,270.656,247.284,248.937
0.009,1.997,3.132,3.132,270.429,247.104,249.006
0.010,2.271,3.230,3.230,270.220,246.939,249.070
0.011,2.519,3.303,3.303,270.031,246.789,249.126
0.013,2.735,3.356,3.356,269.865,246.659,249.176
0.014,2.917,3.393,3.393,269.725,246.550,249.217
0.016,3.061,3.418,3.418,269.614,246.465,249.248
0.017,3.165,3.436,3.436,269.533,246.403,249.270
0.019,3.234,3.453,3.453,269.479,246.361,249.281
0.020,3.275,3.472,3.472,269.448,246.335,249.282
0.022,3.296,3.497,3.497,269.436,246.320,249.272
0.023,3.317,3.528,3.528,269.441,246.313,249.252
0.024,3.353,3.562,3.562,269.459,246.309,249.222
0.026,3.403,3.597,3.597,269.486,246.304,249.181
0.027,3.466,3.630,3.630,269.519,246.293,249.128
0.029,3.541,3.659,3.659,269.555,246.273,249.065
0.030,3.630,3.681,3.681,269.590,246.240,248.991
0.032,3.734,3.696,3.696,269.620,246.188,248.905
0.033,3.855,3.704,3.704,269.645,246.118,248.809
0.034,3.994,3.710,3.710,269.663,246.033,248.702
0.036,4.147,3.717,3.717,269.676,245.933,248.585
0.037,4.315,3.728,3.728,269.682,245.823,248.460
0.039,4.494,3.747,3.747,269.682,245.704,248.325
0.040,4.684,3.778,3.778,269.676,245.579,248.182
0.042,4.882,3.822,3.822,269.663,245.451,248.032
0.043,5.087,3.880,3.880,269.644,245.321,247.875
0.044,5.296,3.950,3.950,269.618,245.192,247.711
0.046,5.509,4.028,4.028,269.586,245.068,247.542
0.047,5.724,4.113,4.113,269.547,244.949,247.367
