"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.833,2.833,221.335,206.566,192.109
0.001,0.291,2.893,2.893,221.478,206.544,192.360
0.003,0.579,2.953,2.953,221.620,206.522,192.610
0.004,0.862,3.015,3.015,221.760,206.500,192.856
0.006,1.138,3.081,3.081,221.895,206.477,193.095
0.007,1.405,3.150,3.150,222.025,206.454,193.327
0.009,1.659,3.225,3.225,222.148,206.431,193.548
0.010,1.898,3.305,3.305,222.263,206.408,193.756
0.012,2.121,3.391,3.391,222.368,206.384,193.951
0.013,2.324,3.481,3.481,222.463,206.360,194.129
0.015,2.505,3.572,3.572,222.545,206.335,194.289
0.016,2.662,3.660,3.660,222.614,206.309,194.428
0.018,2.794,3.744,3.744,222.668,206.283,194.545
0.019,2.901,3.821,3.821,222.708,206.256,194.641
0.021,2.988,3.888,3.888,222.739,206.229,194.718
0.022,3.060,3.944,3.944,222.762,206.202,194.779
0.024,3.119,3.989,3.989,222.782,206.174,194.828
0.025,3.169,4.025,4.025,222.801,206.147,194.866
0.027,3.216,4.052,4.052,222.822,206.120,194.897
0.028,3.262,4.070,4.070,222.850,206.093,194.923
0.030,3.313,4.081,4.081,222.886,206.068,194.948
0.031,3.373,4.084,4.084,222.935,206.043,194.974
0.033,3.448,4.083,4.083,222.999,206.019,195.003
0.034,3.541,4.079,4.079,223.081,205.996,195.039
0.036,3.654,4.076,4.076,223.183,205.975,195.083
0.037,3.784,4.075,4.075,223.301,205.955,195.134
0.039,3.927,4.080,4.080,223.432,205.936,195.189
0.040,4.081,4.093,4.093,223.573,205.919,195.248
0.042,4.241,4.116,4.116,223.721,205.904,195.308
0.043,4.405,4.147,4.147,223.872,205.890,195.369
0.045,4.567,4.184,4.184,224.023,205.877,195.428
0.046,4.726,4.224,4.224,224.171,205.866,195.484
0.048,4.877,4.265,4.265,224.313,205.857,195.535
0.049,5.017,4.304,4.304,224.445,205.849,195.580
0.051,5.142,4.339,4.339,224.564,205.842,195.618
0.052,5.249,4.369,4.369,224.667,205.838,195.646
0.054,5.340,4.394,4.394,224.755,205.834,195.667
0.055,5.414,4.414,4.414,224.829,205.833,195.681
0.057,5.474,4.430,4.430,224.888,205.832,195.689
0.058,5.520,4.443,4.443,224.934,205.832,195.693
0.060,5.553,4.454,4.454,224.967,205.833,195.694
0.061,5.574,4.464,4.464,224.988,205.835,195.693
0.063,5.585,4.472,4.472,224.999,205.837,195.692
0.064,5.587,4.478,4.478,224.999,205.839,195.692
0.066,5.598,4.483,4.483,224.989,205.842,195.695
0.067,5.617,4.485,4.485,224.970,205.844,195.700
0.069,5.646,4.484,4.484,224.944,205.846,195.711
0.070,5.681,4.479,4.479,224.912,205.848,195.726
0.072,5.720,4.472,4.472,224.877,205.848,195.743
0.073,5.757,4.461,4.461,224.845,205.847,195.760
0.075,5.789,4.447,4.447,224.817,205.843,195.776
0.076,5.813,4.432,4.432,224.798,205.835,195.789
0.078,5.828,4.416,4.416,224.791,205.824,195.796
0.079,5.845,4.400,4.400,224.800,205.809,195.797
0.081,5.881,4.385,4.385,224.829,205.789,195.788
0.082,5.942,4.372,4.372,224.880,205.763,195.769
0.084,6.031,4.359,4.359,224.957,205.731,195.738
0.085,6.155,4.348,4.348,225.065,205.692,195.691
0.087,6.312,4.337,4.337,225.202,205.646,195.631
0.088,6.497,4.326,4.326,225.365,205.595,195.558
0.090,6.703,4.315,4.315,225.546,205.540,195.476
0.091,6.924,4.303,4.303,225.740,205.482,195.389
0.093,7.153,4.290,4.290,225.942,205.423,195.298
0.094,7.383,4.277,4.277,226.145,205.364,195.208
0.096,7.607,4.263,4.263,226.343,205.306,195.120
0.097,7.819,4.248,4.248,226.531,205.252,195.038
0.099,8.012,4.234,4.234,226.703,205.202,194.965
0.100,8.180,4.220,4.220,226.853,205.158,194.904
0.102,8.315,4.207,4.207,226.974,205.121,194.857
0.103,8.414,4.195,4.195,227.064,205.092,194.828
0.105,8.479,4.183,4.183,227.124,205.071,194.812
0.106,8.518,4.172,4.172,227.159,205.057,194.808
0.108,8.536,4.162,4.162,227.175,205.050,194.812
0.109,8.545,4.153,4.153,227.176,205.048,194.821
0.111,8.558,4.145,4.145,227.168,205.050,194.831
0.112,8.576,4.138,4.138,227.154,205.057,194.839
0.114,8.593,4.133,4.133,227.139,205.067,194.841
0.115,8.610,4.129,4.129,227.130,205.079,194.835
0.117,8.633,4.128,4.128,227.130,205.093,194.817
0.118,8.672,4.128,4.128,227.144,205.108,194.784
0.120,8.735,4.130,4.130,227.177,205.123,194.732
0.121,8.822,4.135,4.135,227.230,205.137,194.665
0.123,8.928,4.143,4.143,227.302,205.148,194.588
0.124,9.048,4.150,4.150,227.392,205.156,194.509
0.126,9.179,4.154,4.154,227.499,205.158,194.434
0.127,9.317,4.153,4.153,227.622,205.153,194.369
0.129,9.463,4.142,4.142,227.759,205.140,194.322
0.130,9.617,4.120,4.120,227.909,205.117,194.297
0.132,9.783,4.082,4.082,228.072,205.083,194.303
0.133,9.968,4.029,4.029,228.245,205.036,194.346
0.135,10.179,3.968,3.968,228.429,204.976,194.431
0.136,10.426,3.908,3.908,228.621,204.900,194.566
0.138,10.714,3.857,3.857,228.821,204.809,194.752
0.139,11.039,3.823,3.823,229.025,204.704,194.982
0.141,11.394,3.815,3.815,229.233,204.589,195.247
0.142,11.773,3.842,3.842,229.441,204.465,195.539
0.143,12.168,3.904,3.904,229.647,204.335,195.848
0.145,12.569,3.990,3.990,229.850,204.202,196.168
0.146,12.969,4.092,4.092,230.047,204.067,196.489
0.148,13.359,4.198,4.198,230.235,203.934,196.803
0.149,13.730,4.298,4.298,230.413,203.805,197.102
0.151,14.074,4.381,4.381,230.579,203.681,197.377
0.152,14.382,4.439,4.439,230.730,203.567,197.620
0.154,14.648,4.472,4.472,230.864,203.462,197.824
0.155,14.875,4.487,4.487,230.983,203.367,197.992
0.157,15.069,4.494,4.494,231.091,203.278,198.128
0.158,15.238,4.499,4.499,231.188,203.193,198.236
0.160,15.388,4.512,4.512,231.278,203.109,198.322
0.161,15.526,4.539,4.539,231.364,203.026,198.391
0.163,15.659,4.589,4.589,231.447,202.939,198.446
0.164,15.792,4.659,4.659,231.531,202.846,198.494
0.166,15.932,4.745,4.745,231.618,202.746,198.537
0.167,16.082,4.844,4.844,231.710,202.635,198.582
0.169,16.249,4.950,4.950,231.810,202.512,198.632
0.170,16.436,5.060,5.060,231.920,202.374,198.693
0.172,16.642,5.171,5.171,232.040,202.223,198.765
