"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.848,1.848,195.824,181.474,154.755
0.001,0.518,1.978,1.978,195.473,181.852,154.808
0.003,1.032,2.108,2.108,195.126,182.227,154.860
0.004,1.536,2.236,2.236,194.788,182.598,154.909
0.006,2.026,2.361,2.361,194.463,182.962,154.954
0.007,2.498,2.483,2.483,194.155,183.318,154.993
0.008,2.948,2.601,2.601,193.870,183.663,155.024
0.010,3.370,2.713,2.713,193.610,183.996,155.047
0.011,3.762,2.819,2.819,193.380,184.313,155.060
0.013,4.120,2.920,2.920,193.185,184.614,155.061
0.014,4.442,3.018,3.018,193.030,184.895,155.049
0.016,4.727,3.113,3.113,192.917,185.155,155.023
0.017,4.976,3.207,3.207,192.851,185.392,154.981
0.018,5.199,3.302,3.302,192.827,185.607,154.926
0.020,5.404,3.398,3.398,192.840,185.800,154.860
0.021,5.598,3.497,3.497,192.883,185.975,154.786
0.023,5.786,3.598,3.598,192.950,186.131,154.706
0.024,5.969,3.698,3.698,193.035,186.270,154.623
0.025,6.148,3.794,3.794,193.133,186.394,154.540
0.027,6.319,3.884,3.884,193.237,186.505,154.460
0.028,6.481,3.964,3.964,193.341,186.603,154.384
0.030,6.628,4.032,4.032,193.439,186.690,154.317
0.031,6.757,4.086,4.086,193.525,186.767,154.260
0.032,6.865,4.125,4.125,193.594,186.836,154.215
0.034,6.951,4.153,4.153,193.646,186.897,154.183
0.035,7.020,4.171,4.171,193.684,186.951,154.161
0.037,7.074,4.182,4.182,193.708,186.997,154.148
0.038,7.116,4.188,4.188,193.720,187.036,154.142
0.040,7.148,4.193,4.193,193.724,187.069,154.142
0.041,7.175,4.199,4.199,193.720,187.095,154.146
0.042,7.198,4.207,4.207,193.711,187.115,154.152
0.044,7.218,4.216,4.216,193.698,187.128,154.160
0.045,7.236,4.225,4.225,193.684,187.137,154.167
0.047,7.250,4.234,4.234,193.670,187.139,154.171
0.048,7.262,4.242,4.242,193.659,187.137,154.173
0.049,7.273,4.248,4.248,193.650,187.131,154.170
0.051,7.284,4.251,4.251,193.644,187.123,154.166
0.052,7.295,4.251,4.251,193.640,187.114,154.160
0.054,7.305,4.249,4.249,193.640,187.108,154.153
0.055,7.313,4.247,4.247,193.642,187.104,154.147
0.056,7.320,4.246,4.246,193.647,187.105,154.141
0.058,7.331,4.247,4.247,193.655,187.113,154.139
0.059,7.351,4.251,4.251,193.666,187.129,154.139
0.061,7.380,4.260,4.260,193.679,187.155,154.143
0.062,7.423,4.275,4.275,193.696,187.192,154.152
0.064,7.479,4.295,4.295,193.715,187.243,154.166
0.065,7.549,4.319,4.319,193.738,187.307,154.186
0.066,7.631,4.346,4.346,193.762,187.381,154.211
0.068,7.722,4.376,4.376,193.788,187.463,154.240
0.069,7.821,4.408,4.408,193.815,187.553,154.271
0.071,7.925,4.441,4.441,193.844,187.647,154.306
0.072,8.032,4.474,4.474,193.873,187.744,154.342
0.073,8.141,4.507,4.507,193.902,187.842,154.378
0.075,8.249,4.540,4.540,193.930,187.939,154.415
0.076,8.354,4.573,4.573,193.958,188.033,154.451
0.078,8.453,4.605,4.605,193.985,188.123,154.486
0.079,8.546,4.637,4.637,194.010,188.206,154.519
0.081,8.631,4.669,4.669,194.033,188.282,154.549
0.082,8.709,4.700,4.700,194.054,188.351,154.577
0.083,8.780,4.731,4.731,194.074,188.415,154.601
0.085,8.844,4.760,4.760,194.092,188.473,154.623
0.086,8.903,4.786,4.786,194.109,188.525,154.642
0.088,8.956,4.810,4.810,194.125,188.574,154.658
0.089,9.003,4.831,4.831,194.138,188.618,154.671
0.090,9.047,4.848,4.848,194.151,188.658,154.680
0.092,9.086,4.860,4.860,194.162,188.695,154.686
0.093,9.121,4.869,4.869,194.173,188.729,154.688
0.095,9.154,4.875,4.875,194.181,188.761,154.686
0.096,9.186,4.880,4.880,194.190,188.791,154.681
0.097,9.217,4.884,4.884,194.197,188.820,154.672
0.099,9.249,4.890,4.890,194.205,188.848,154.659
0.100,9.283,4.899,4.899,194.212,188.876,154.642
0.102,9.319,4.911,4.911,194.221,188.905,154.621
0.103,9.359,4.928,4.928,194.230,188.935,154.597
0.105,9.403,4.948,4.948,194.241,188.968,154.569
0.106,9.452,4.972,4.972,194.254,189.002,154.537
0.107,9.506,4.999,4.999,194.269,189.040,154.501
0.109,9.566,5.027,5.027,194.286,189.082,154.462
0.110,9.633,5.058,5.058,194.307,189.127,154.418
0.112,9.705,5.090,5.090,194.330,189.177,154.372
0.113,9.781,5.123,5.123,194.354,189.231,154.323
0.114,9.860,5.156,5.156,194.380,189.286,154.274
0.116,9.939,5.189,5.189,194.405,189.344,154.224
0.117,10.018,5.221,5.221,194.428,189.401,154.176
0.119,10.095,5.251,5.251,194.450,189.459,154.131
0.120,10.167,5.280,5.280,194.468,189.515,154.089
0.121,10.235,5.306,5.306,194.482,189.570,154.051
0.123,10.296,5.329,5.329,194.490,189.622,154.020
0.124,10.350,5.349,5.349,194.492,189.669,153.996
0.126,10.396,5.365,5.365,194.487,189.713,153.979
0.127,10.438,5.377,5.377,194.476,189.752,153.971
