"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.451,1.451,205.121,194.763,179.879
0.001,0.413,1.654,1.654,205.433,194.551,180.047
0.003,0.823,1.858,1.858,205.742,194.339,180.213
0.004,1.229,2.064,2.064,206.045,194.125,180.379
0.005,1.627,2.273,2.273,206.337,193.909,180.541
0.007,2.016,2.486,2.486,206.617,193.691,180.701
0.008,2.394,2.704,2.704,206.881,193.470,180.857
0.009,2.759,2.928,2.928,207.125,193.245,181.009
0.011,3.110,3.159,3.159,207.347,193.016,181.155
0.012,3.445,3.396,3.396,207.542,192.782,181.295
0.013,3.766,3.634,3.634,207.709,192.543,181.428
0.015,4.072,3.870,3.870,207.843,192.297,181.554
0.016,4.368,4.101,4.101,207.942,192.045,181.671
0.017,4.654,4.321,4.321,208.004,191.787,181.779
0.019,4.936,4.527,4.527,208.033,191.525,181.878
0.020,5.214,4.715,4.715,208.033,191.262,181.967
0.021,5.487,4.882,4.882,208.009,191.002,182.048
0.023,5.754,5.027,5.027,207.965,190.748,182.118
0.024,6.014,5.148,5.148,207.907,190.502,182.179
0.025,6.262,5.246,5.246,207.838,190.269,182.230
0.027,6.497,5.320,5.320,207.762,190.050,182.271
0.028,6.714,5.369,5.369,207.686,189.850,182.302
0.029,6.909,5.393,5.393,207.612,189.671,182.322
0.031,7.077,5.392,5.392,207.545,189.517,182.333
0.032,7.216,5.368,5.368,207.490,189.389,182.332
0.034,7.323,5.326,5.326,207.450,189.290,182.322
0.035,7.404,5.275,5.275,207.423,189.216,182.302
0.036,7.466,5.219,5.219,207.407,189.164,182.273
0.038,7.517,5.165,5.165,207.402,189.129,182.236
0.039,7.565,5.121,5.121,207.406,189.109,182.192
0.040,7.618,5.091,5.091,207.418,189.100,182.142
0.042,7.676,5.082,5.082,207.437,189.099,182.086
0.043,7.741,5.092,5.092,207.460,189.101,182.026
0.044,7.811,5.116,5.116,207.487,189.104,181.961
0.046,7.885,5.148,5.148,207.517,189.104,181.894
0.047,7.961,5.186,5.186,207.547,189.097,181.824
0.048,8.040,5.223,5.223,207.577,189.081,181.753
0.050,8.122,5.255,5.255,207.606,189.053,181.681
0.051,8.207,5.278,5.278,207.633,189.017,181.609
0.052,8.294,5.290,5.290,207.657,188.975,181.537
0.054,8.383,5.292,5.292,207.677,188.929,181.464
0.055,8.470,5.287,5.287,207.693,188.880,181.393
0.056,8.556,5.278,5.278,207.705,188.833,181.322
0.058,8.639,5.267,5.267,207.711,188.788,181.253
0.059,8.718,5.257,5.257,207.711,188.747,181.186
0.060,8.791,5.250,5.250,207.704,188.714,181.120
0.062,8.860,5.248,5.248,207.690,188.690,181.058
0.063,8.925,5.253,5.253,207.667,188.678,180.998
0.064,8.990,5.263,5.263,207.636,188.680,180.941
0.066,9.057,5.277,5.277,207.598,188.693,180.888
0.067,9.124,5.297,5.297,207.558,188.715,180.839
0.068,9.190,5.320,5.320,207.518,188.742,180.793
0.070,9.250,5.347,5.347,207.483,188.769,180.753
0.071,9.300,5.377,5.377,207.456,188.792,180.717
0.072,9.338,5.409,5.409,207.442,188.808,180.686
0.074,9.365,5.441,5.441,207.443,188.813,180.660
0.075,9.396,5.471,5.471,207.465,188.803,180.640
0.076,9.452,5.496,5.496,207.511,188.773,180.625
0.078,9.542,5.514,5.514,207.584,188.721,180.617
0.079,9.673,5.523,5.523,207.688,188.642,180.615
0.080,9.850,5.521,5.521,207.827,188.533,180.620
0.082,10.068,5.505,5.505,207.996,188.396,180.630
0.083,10.319,5.478,5.478,208.191,188.238,180.645
0.084,10.597,5.443,5.443,208.405,188.062,180.663
0.086,10.892,5.403,5.403,208.632,187.875,180.683
0.087,11.197,5.363,5.363,208.867,187.681,180.704
0.088,11.503,5.326,5.326,209.102,187.486,180.725
0.090,11.803,5.295,5.295,209.333,187.295,180.744
0.091,12.088,5.274,5.274,209.552,187.114,180.761
0.092,12.351,5.265,5.265,209.755,186.947,180.773
0.094,12.583,5.265,5.265,209.934,186.800,180.780
0.095,12.777,5.270,5.270,210.085,186.678,180.780
0.097,12.927,5.277,5.277,210.202,186.585,180.773
0.098,13.039,5.281,5.281,210.290,186.516,180.760
0.099,13.122,5.279,5.279,210.353,186.466,180.742
0.101,13.184,5.269,5.269,210.397,186.427,180.721
0.102,13.234,5.245,5.245,210.427,186.394,180.699
0.103,13.281,5.210,5.210,210.450,186.359,180.676
0.105,13.331,5.171,5.171,210.470,186.318,180.655
0.106,13.394,5.132,5.132,210.493,186.263,180.637
0.107,13.476,5.100,5.100,210.525,186.188,180.624
0.109,13.587,5.079,5.079,210.570,186.087,180.617
0.110,13.736,5.076,5.076,210.636,185.953,180.618
